"","Power","SFT.R.sq","slope","truncated.R.sq","mean.k.","median.k.","max.k."
"1",1,0.927070832618977,3.60374823680387,0.910601832163137,9321.25876949596,10249.5757567711,10949.8867272349
"2",2,0.846331612891851,2.0102256127524,0.832961182593779,7502.5695568177,8563.86748698712,9676.70110297711
"3",3,0.693506429448396,1.02986881267067,0.624992664702968,6402.51765805835,7428.63536136594,8830.6086960165
"4",4,0.537240873787621,0.647290083442905,0.566279340669434,5637.06057037276,6579.68218878846,8196.42137614593
"5",5,0.391851727052035,0.457758111304807,0.547481697084866,5062.14456454233,5912.11667329347,7689.86223518863
"6",6,0.272417783434467,0.330695723860071,0.569066169569747,4608.97768944223,5360.09729606658,7269.05033170811
"7",7,0.167663460820582,0.233101877001047,0.613719787829413,4239.63410370562,4900.61485878033,6910.00262175638
"8",8,0.0921888945927388,0.161816769799488,0.712865920738492,3931.10780537546,4506.96409717324,6597.6324520603
"9",9,0.041151346201599,0.102645808871878,0.808274947839676,3668.45716948864,4167.87161775692,6321.79887092223
"10",10,0.0128808189652625,0.0558803348930048,0.848653998667641,3441.46762474209,3872.36757294768,6075.34256692076
"11",11,0.00187816651710235,0.0208558163450108,0.888785524709876,3242.87147612673,3611.28980707151,5853.01492825035
"12",12,0.000551593512721069,-0.0108858033490161,0.910274114463257,3067.3292961679,3380.04796965422,5650.8511905304
"13",13,0.00679319169403903,-0.0373942512421538,0.931465250183654,2910.81373769125,3173.84473805423,5465.7824649855
"14",14,0.0211994145102928,-0.0647225393276887,0.941117355086967,2770.21953941216,2991.13385993259,5295.38459064135
"15",15,0.0397544727331019,-0.0877297211116698,0.948968520946349,2643.10725674965,2826.45084744908,5137.7094614715
"16",16,0.0603206000179578,-0.106671457473994,0.957330587647176,2527.52945107944,2677.65574546493,4991.16821083325
"17",17,0.0865219981659982,-0.127375186595756,0.958943900550363,2421.90957110936,2537.72106327663,4854.44817651647
"18",18,0.112654930489058,-0.144986565683006,0.966699482954259,2324.95555195708,2410.39643704361,4726.45254292615
"19",19,0.140270214375203,-0.161955658058805,0.969217435192438,2235.59690503139,2293.45236679772,4606.25560561266
"20",20,0.167564636786583,-0.176578974156728,0.976379665888544,2152.93807698576,2187.4807798589,4493.06904302607
"21",21,0.196143493099369,-0.190360038244218,0.975738168683904,2076.22331067034,2087.93211130931,4386.21609857849
"22",22,0.226559634067139,-0.203838719348957,0.977277869391247,2004.80978840276,1995.68588624022,4285.14042058697
"23",23,0.257708896905115,-0.216503409490721,0.977553109444173,1938.14683806276,1908.98467433421,4189.31572411436
"24",24,0.28733629817573,-0.227938304385418,0.982578624626444,1875.75964363213,1827.44084532315,4098.28246692426
"25",25,0.315730859406384,-0.239954075159147,0.983641927514739,1817.23634768592,1753.18944166548,4011.64775207008
"26",26,0.343829326387718,-0.24909553098231,0.987125891385461,1762.21773959214,1684.52350772225,3929.06386494102
"27",27,0.371498479359218,-0.259418077358302,0.989234335380066,1710.38893703718,1622.13912555527,3850.22163628958
