"","Power","SFT.R.sq","slope","truncated.R.sq","mean.k.","median.k.","max.k."
"1",1,0.938165839078927,4.02998136613238,0.925506517185893,8589.46414240722,9231.17248804998,10039.8513858202
"2",2,0.918747101092577,2.08557821629324,0.899819316868315,6766.91420577664,7452.68238843254,8645.32260975196
"3",3,0.897833106584474,1.41718155463853,0.873065429062533,5697.14077960635,6332.67924761667,7746.13998180774
"4",4,0.867574773424378,1.07171317685864,0.834843839578141,4969.08064373769,5529.27376125698,7088.94544465447
"5",5,0.823572315234415,0.853888450992321,0.781873009457834,4431.4651817119,4915.09017796506,6574.96662389094
"6",6,0.765720347539729,0.703368539228504,0.715036537560093,4013.32918655515,4432.82380612401,6155.6605341748
"7",7,0.723714983781418,0.585405272647596,0.666768859893896,3676.18208590209,4040.37245641703,5803.51283795543
"8",8,0.679736734511608,0.493253632422947,0.61948935844006,3397.01859423595,3712.13399245544,5501.41066399862
"9",9,0.615046663323724,0.411615687894133,0.554917446804091,3161.09552302281,3429.71833291757,5237.98277187929
"10",10,0.577842870613021,0.346848668664008,0.50888263877568,2958.45390043657,3190.33479627104,5005.28909175596
"11",11,0.527108573486591,0.292860056081137,0.450937789651064,2782.08358273409,2976.89555857803,4797.56744270486
"12",12,0.452375286521773,0.244873808315065,0.377145167216094,2626.88379889522,2791.04027048622,4610.50525749001
"13",13,0.387885989387965,0.208377978003046,0.309460873141178,2489.04046792127,2624.03306189344,4440.7925960591
"14",14,0.301765277924483,0.170376904750034,0.224124507221334,2365.63571199211,2476.72717305865,4285.83528134863
"15",15,0.230499780988609,0.137735275976414,0.154019696809556,2254.3934788441,2341.84825008981,4143.56383023532
"16",16,0.163167127347835,0.109280957077763,0.0864894053622264,2153.50841099446,2222.53040415733,4012.30213313131
"17",17,0.110492551981769,0.0851772856275217,0.028085677822722,2061.52749929804,2118.3888258155,3890.67474464042
"18",18,0.0636292414362201,0.0611086445414896,-0.0189130789082455,1977.26625933533,2024.04213776011,3777.53989946832
"19",19,0.0316499015859718,0.0409119987563916,-0.0666302333715689,1899.7481039388,1933.48186305626,3671.9401295227
"20",20,0.00761623308002744,0.019550814571319,-0.100738515760477,1828.1596746411,1851.19566613356,3573.06520733048
"21",21,1.03361362929021e-05,-0.000699573189252816,-0.0970066574307324,1761.81738531333,1773.51217324129,3480.2239008271
"22",22,0.0086383771892832,-0.0196772223834407,-0.0891920562813779,1700.14199165435,1703.69325583173,3392.82214274143
"23",23,0.0335832164931776,-0.0384941706890984,-0.055440168015412,1642.63900284356,1641.20870071108,3310.34594631224
"24",24,0.0690565920806773,-0.0556225405505979,-0.0110469370912822,1588.88341066381,1581.16659479509,3232.34788454287
"25",25,0.111673129308895,-0.0707943349929891,0.0306102822930631,1538.50765343472,1523.84778979437,3158.43628035741
"26",26,0.165676262815376,-0.0865105200241855,0.0923362144217238,1491.19203411591,1472.51742981834,3088.26648372543
"27",27,0.218503294446884,-0.100299566781605,0.151120405376625,1446.65702178499,1424.13055203614,3021.53377291845
"28",28,0.274302720573871,-0.112770927138469,0.207678918562102,1404.65701375127,1379.99529478373,2957.967532278
"29",29,0.319965962313713,-0.124373045726431,0.248892031546539,1364.97524150614,1333.91397478433,2897.3264424333
"30",30,0.387031532184946,-0.138383185054067,0.320138994486332,1327.41958050542,1292.20865012928,2839.3944802826
"31",31,0.441591137683819,-0.150149884286746,0.383868628428772,1291.81908011589,1252.64949468912,2783.97757166585
"32",32,0.478271935949897,-0.159509662534077,0.417483625588681,1258.02107184975,1213.42007373813,2730.90077392405
"33",33,0.51820612366263,-0.169630522012339,0.457630080438972,1225.88874533331,1177.44423267227,2680.00589154098
"34",34,0.552420932832773,-0.180495539692019,0.495498715816661,1195.29910515991,1141.81975494542,2631.14944797539
"35",35,0.607839532330739,-0.192146102944595,0.566655085539416,1166.14123987648,1108.97738204341,2584.20095217114
"36",36,0.631608443699316,-0.201202237291979,0.589743803666712,1138.31484829088,1080.73824761809,2539.04141020795
"37",37,0.665086645561243,-0.211150411926831,0.624655571891777,1111.72897910475,1052.72882827732,2495.56204194862
"38",38,0.694761158989895,-0.220918642911479,0.658593698766675,1086.30094833526,1024.82613384986,2453.66316995885
"39",39,0.720851013916804,-0.229667387169111,0.690643556746252,1061.95540565021,997.937821061849,2413.25325387635
"40",40,0.746945157842586,-0.237490794520117,0.718364926204184,1038.62352602034,972.291022812952,2374.24804812594
"41",41,0.768116369442681,-0.246284442128009,0.740748873024889,1016.24230730426,947.974934832772,2336.56986467708
"42",42,0.786565702257145,-0.254682469465137,0.762022027326337,994.753957760322,923.256375851102,2300.14692561402
"43",43,0.809870215766537,-0.261971603302178,0.786117356906652,974.105360206173,901.700025866047,2264.91279279013
"44",44,0.823679391103046,-0.270219967585004,0.80207702009331,954.247601758383,879.759854188489,2230.8058638821
"45",45,0.844710384030873,-0.278273827767383,0.827298348918083,935.13555988785,859.248872196021,2197.76892583975
"46",46,0.852447690017912,-0.28619135273387,0.833947497574741,916.727537003858,838.77284843392,2165.74875811241
"47",47,0.854823345862211,-0.293118358422088,0.833761665222393,898.984936995599,820.656268894068,2134.69577918196
"48",48,0.859189263642766,-0.300875391444379,0.837619783275672,881.871978165028,802.279526180904,2104.56373088766
"49",49,0.868244065122274,-0.30663948847218,0.84625076294503,865.355437819309,785.056340820379,2075.30939582676
"50",50,0.873989594130203,-0.31477496667034,0.852582825046392,849.404424486488,768.337010010679,2046.89234378429
"51",51,0.880005219466232,-0.321280120754198,0.859444655664717,833.990174299887,751.728452353494,2019.27470370882
"52",52,0.88798319808485,-0.327806959631146,0.868989631564548,819.085868585288,735.999626139771,1992.42095822718
"53",53,0.891725185792232,-0.332805071194459,0.871711833961545,804.666470096713,721.809990487853,1966.29775809418
