"","Power","SFT.R.sq","slope","truncated.R.sq","mean.k.","median.k.","max.k."
"1",1,0.88912452451236,4.2853391333428,0.933078892502801,8421.55809892521,8878.08478600185,9707.487025247
"2",2,0.862883084422754,2.3480360641052,0.899247656638431,6536.79278286677,7001.0614514047,8181.84281307445
"3",3,0.860321439715485,1.72356332810726,0.871169618385994,5455.70365208215,5865.79605941517,7237.44850048747
"4",4,0.852070157578393,1.39576993422067,0.843846448834181,4731.31724028504,5071.03811775493,6565.58456205094
"5",5,0.855327801738591,1.1571579946946,0.834047272769762,4202.3766607209,4481.18207074471,6050.33773453979
"6",6,0.844294541234601,1.0116840637343,0.811290838097304,3794.44965253952,4017.76126258637,5636.2239857819
"7",7,0.828761873172047,0.8873873076997,0.786147601745507,3467.69804880505,3643.9823608176,5292.51212873476
"8",8,0.797366352368494,0.798057656421155,0.743423889060593,3198.57157688683,3338.82451349182,5000.44508479487
"9",9,0.767849529436258,0.708775911991395,0.703940845457655,2972.11652651588,3080.76916959337,4747.75700834579
"10",10,0.752267135986113,0.63086144725203,0.68225955965848,2778.31079418735,2860.67599397757,4526.00366556202
"11",11,0.728305557174482,0.570284055552541,0.650770792062852,2610.14736934055,2668.14655838408,4329.13532703815
"12",12,0.716493574925072,0.511638097414108,0.635874136606463,2462.55766634381,2503.55270598882,4152.67731055579
"13",13,0.695085973749434,0.463151449463156,0.610909109475418,2331.77116812464,2355.76810550908,3993.23217371084
"14",14,0.677064727871311,0.418500587430523,0.591989577474425,2214.91643288545,2225.39044117481,3848.16324620807
"15",15,0.641491008910508,0.379403045672963,0.550332959616008,2109.76267868055,2104.30431715133,3715.3857727879
"16",16,0.604129679475021,0.342092309531766,0.506066190861998,2014.54684756699,1996.56065390608,3593.22467915772
"17",17,0.567455447884337,0.307865135234033,0.466955835271709,1927.85458139016,1901.56008330636,3480.68993085483
"18",18,0.526690508863911,0.276911684876105,0.420485584489679,1848.53628540828,1811.15617624244,3376.53245521691
"19",19,0.475880649856312,0.248895211209565,0.362578899894525,1775.64666152848,1730.24131848629,3279.53325134204
"20",20,0.427375716842612,0.223436222825317,0.309087546675972,1708.40032141502,1653.62857200573,3188.90233896708
"21",21,0.363534321360908,0.196994782578623,0.227954081798819,1646.13865320908,1586.26239626411,3103.9688199754
"22",22,0.319877169399827,0.17555149788833,0.18572166566637,1588.30471492685,1524.59155449059,3024.15841348186
"23",23,0.265462447333567,0.153930426753046,0.121803579717838,1534.4239511904,1465.34248790582,2948.97601402167
"24",24,0.217707858727458,0.134048166878827,0.0718988917995335,1484.08920019092,1410.07499362952,2877.99198926417
"25",25,0.170462144334984,0.114951236961483,0.024440437977975,1436.94890578236,1357.19144223499,2810.83129913964
