"","Power","SFT.R.sq","slope","truncated.R.sq","mean.k.","median.k.","max.k."
"1",1,0.841702570019142,4.80753678572156,0.958011140566767,7992.0696903749,8122.21678333095,8809.91282496752
"2",2,0.780713838264786,2.62085079590624,0.951924025957819,6007.99891405342,6147.4062373461,7012.15928959517
"3",3,0.739446151034613,1.90171768638673,0.939681812082823,4907.58651725477,5036.14892425963,5968.2381011012
"4",4,0.711675110736812,1.58382333294137,0.932944524306197,4188.59547250729,4308.8449345306,5262.53045208574
"5",5,0.690137405871438,1.36062975065753,0.918073915173266,3673.76033696021,3787.08749714292,4742.8753032505
"6",6,0.672181638452659,1.23520331404665,0.901276565706986,3282.88956443358,3386.7553948423,4338.55152709096
"7",7,0.652898150272199,1.11609199800356,0.884742481159024,2973.8226221669,3071.10092426149,4011.97084826579
"8",8,0.642180916607785,1.02839494886965,0.869883395390826,2722.02496852821,2810.90274058584,3741.00449709084
"9",9,0.633878912531893,0.947771300918094,0.85472875178809,2512.13153322799,2593.38096477849,3511.49924149272
"10",10,0.626316397429845,0.882569752468423,0.838885907047616,2333.9690603459,2412.96765782271,3313.64083922685
"11",11,0.61830944989278,0.835241461427428,0.818205041187431,2180.50109519338,2254.75480979379,3140.76746274926
"12",12,0.613858419782534,0.786356228258314,0.802101693153362,2046.68637837128,2118.51451656663,2988.12881444133
"13",13,0.610609224669735,0.737179297319858,0.78768961410291,1928.80685056637,1999.40054716495,2852.47396547868
"14",14,0.599008611740298,0.701043150845937,0.763232009984761,1824.05291080072,1892.12185048789,2730.51952260592
"15",15,0.586492821907724,0.668443220672355,0.739467938653727,1730.25714185861,1795.89957548952,2620.13328304471
"16",16,0.585393675952747,0.629818858416245,0.727114840048327,1645.71754461299,1708.96416546348,2519.62324791976
"17",17,0.58010960704606,0.600757361286267,0.710071834578286,1569.07677797897,1631.02587756477,2427.62630591674
"18",18,0.572097079677665,0.573032588702546,0.689180196261775,1499.23758067837,1559.32293557502,2343.02969779108
"19",19,0.566534596064936,0.546258889669018,0.670513782092077,1435.30222809107,1492.93629981075,2264.91439474404
"20",20,0.553769952793339,0.519550144449131,0.646031218574627,1376.52835093504,1432.42364300594,2192.51348492284
"21",21,0.540107427811725,0.496231188443587,0.619667932783232,1322.29613640191,1376.61973084328,2125.18106209207
"22",22,0.531772478780952,0.47487961780491,0.596636331042111,1272.08360244016,1323.45057578585,2062.36860633937
"23",23,0.522963078212402,0.45113612079245,0.574983436028087,1225.44769835336,1274.60034316886,2003.60680299147
"24",24,0.511466677030879,0.431089340184727,0.548774358367575,1182.00967666129,1229.02513124744,1948.49137140891
"25",25,0.497471696006871,0.412372994041009,0.520402963792697,1141.44364109716,1186.29432100185,1896.67189296298
"26",26,0.485961318737381,0.396696508974706,0.491125947312874,1103.46748723528,1147.10617867701,1847.84291163101
"27",27,0.467002384885835,0.380406080278249,0.457911160525886,1067.8356670507,1109.24107493765,1801.73677729343
"28",28,0.455360789355483,0.36448515457351,0.429870628145951,1034.33335913524,1075.34735523843,1758.11784007525
"29",29,0.438349565555293,0.346497478068397,0.398173421030429,1002.77173316574,1041.62280896411,1716.77770269913
"30",30,0.425591557688255,0.329502406161245,0.367275050243799,972.984074167619,1010.94449865991,1677.53130911832
"31",31,0.407319766534996,0.313249567098772,0.333149083284986,944.822588206275,981.710133977016,1640.2136998863
"32",32,0.393336562580481,0.296740192265125,0.305398661449644,918.15575249279,953.380463284814,1604.67730336201
"33",33,0.376598825667211,0.284117636982814,0.275060946202782,892.866103706527,927.085413089821,1570.78966076765
"34",34,0.35947902463392,0.270103171653731,0.240088713174999,868.84838152834,901.695944070646,1538.43375501895
"35",35,0.335805021255976,0.25632391561028,0.198838019311619,846.007961993614,877.685248965311,1507.52689230328
"36",36,0.312864976152977,0.243119971923373,0.161490761958313,824.259528770737,855.523328639533,1477.94272138435
"37",37,0.292826646982319,0.231401709310955,0.127852819048913,803.525940895671,833.283090433617,1449.59276181638
"38",38,0.27327928539796,0.218409298601844,0.096282071308803,783.737263607547,812.520800280341,1422.39648098762
"39",39,0.253113083240607,0.207308853409804,0.0637915242301641,764.829935291634,792.691206032001,1396.28040745436
"40",40,0.233633007509464,0.193752576093363,0.0320868934087056,746.746048557156,773.732149384114,1371.17736181365
"41",41,0.211733630829472,0.182191321991294,-0.00127715547853091,729.432727466214,756.281522703066,1347.02578712215
"42",42,0.189381879011785,0.170830674543898,-0.0340385778908856,712.84158611807,738.83594297459,1323.76916398222
"43",43,0.169529443704379,0.159673675343386,-0.0626937226411006,696.928256355759,722.458559776425,1301.35549793209
"44",44,0.14839839750404,0.147813094598547,-0.0926307681963865,681.651974433312,706.632012160958,1279.73686881859
"45",45,0.132311958137651,0.138007143135166,-0.11459868285008,666.975218164827,690.966312015727,1258.86903349799
"46",46,0.116675105216772,0.127733693784465,-0.135625820865091,652.863387450701,676.320120567327,1238.7110745779
