"","Power","SFT.R.sq","slope","truncated.R.sq","mean.k.","median.k.","max.k."
"1",1,0.940518052163537,3.73739912421759,0.925813795457041,8443.66994637327,9102.5530435537,10047.0506603076
"2",2,0.905903347698622,1.90546798301615,0.880487724068378,6488.02726721069,7159.37237514096,8546.15481189
"3",3,0.872717062555437,1.24083832196546,0.836670144182491,5361.39014018696,5951.21525673659,7590.19971254749
"4",4,0.804814013912239,0.880625344892526,0.75030366446397,4606.23780157884,5091.11248060438,6896.79808794942
"5",5,0.740693256694141,0.664713561368616,0.671250634618743,4055.85033133147,4452.77943544774,6357.48272013954
"6",6,0.660347309685273,0.511450963923315,0.576049642509732,3632.69080615609,3949.96495536365,5919.65340464295
"7",7,0.563591559461535,0.392020702313319,0.463596114371749,3295.02740716114,3550.65476793908,5553.29916462192
"8",8,0.466115298467254,0.300446014745275,0.354013976262566,3018.09015196363,3213.37225860173,5239.96976253331
"9",9,0.343035097134381,0.223175730020727,0.229213938087514,2786.10528462748,2932.60415052579,4967.51808152729
"10",10,0.212468491328152,0.156766000872869,0.100865938941159,2588.48010398115,2694.98293235799,4727.49241293052
"11",11,0.122729822571281,0.108530343069195,0.000893168426920443,2417.79934546982,2490.03962161261,4513.77560525511
"12",12,0.0505066768637244,0.0651923341742582,-0.0635451847329092,2268.69554984752,2311.1145675784,4321.7987862373
"13",13,0.00921695122282622,0.0262592185071598,-0.0838036840343179,2137.17518978375,2151.72065080043,4148.06087983916
"14",14,0.00117280105371602,-0.00919340945946897,-0.0794274348368023,2020.19773315356,2012.31171330351,3989.82129542061
"15",15,0.0238121432911789,-0.0411389957218877,-0.0497542865872995,1915.40243767699,1884.96623099926,3844.8958101353
"16",16,0.0719284542715271,-0.0713393734739221,0.0155307851062306,1820.92519394081,1773.54343192631,3711.51661595434
"17",17,0.134853069923904,-0.0984349589579661,0.097141845407508,1735.2722826616,1674.48043486706,3588.23372697286
"18",18,0.200374426685115,-0.123052198785485,0.175456214414196,1657.23124309178,1585.05588847373,3473.84388340099
"19",19,0.276770311224612,-0.14533521125171,0.265233797646711,1585.80660476725,1502.57748750792,3367.338231003
"20",20,0.352301086148782,-0.16632057836917,0.356951109935984,1520.17267801307,1427.20562897196,3267.86312402839
"21",21,0.411381859577457,-0.184047455032733,0.424541609697218,1459.63829752544,1358.8325228671,3174.69029189509
"22",22,0.471086915335099,-0.201554631079311,0.493913498401117,1403.62010016235,1293.4147597304,3087.19381020824
"23",23,0.520243146309619,-0.217180686883149,0.542738957046186,1351.62199942221,1236.38572433872,3004.83209764933
"24",24,0.559835704324402,-0.231907159591763,0.576744337677549,1303.21922821873,1183.55422503267,2927.13367999298
"25",25,0.59558392016255,-0.247047353025724,0.615796589993824,1258.04579620426,1135.26371440438,2853.68581547681
"26",26,0.634819735728392,-0.262668135801146,0.661468970427858,1215.78453152699,1089.11379626643,2784.12531989958
"27",27,0.676300010371552,-0.277922414089809,0.710518322089371,1176.15910132328,1046.38777907863,2718.13110152907
"28",28,0.705820529935201,-0.293219422036909,0.741093075317488,1138.92756327755,1007.38311565317,2655.41803849996
"29",29,0.728132362730472,-0.304502436982634,0.763387873719591,1103.87711344782,970.195473174678,2595.73192013521
"30",30,0.759573906923162,-0.317677884724776,0.792032742088777,1070.81977721899,933.2642096573,2538.84523869775
"31",31,0.783682651255764,-0.329010514297153,0.815194157154056,1039.58885004849,900.255996983937,2484.55366635086
"32",32,0.804204605496513,-0.338737027893953,0.837372192228619,1010.03593895165,869.138910390594,2432.67308830339
"33",33,0.819974985530549,-0.349059561137661,0.852367767700161,982.028488807002,839.635726988317,2383.03709053418
"34",34,0.838652117497393,-0.359023327320895,0.872278385930029,955.447702591112,811.106359196844,2335.49482145216
"35",35,0.854125936002912,-0.368855084521593,0.887554453795789,930.186783732344,783.639465347362,2289.90916301568
"36",36,0.859996868800331,-0.378125007736198,0.892854530296253,906.149443440061,758.211622036781,2246.15515940564
"37",37,0.86909529443065,-0.386435706858018,0.900691977156909,883.248627230597,735.951179608895,2204.11866119679
"38",38,0.875393872242405,-0.394376589691834,0.908199622933612,861.405423742952,712.626336036547,2163.69515074484
"39",39,0.884090294525412,-0.403391823669879,0.915963440968589,840.548125911472,690.407025857358,2124.78872068325
"40",40,0.891911593938296,-0.41010271468936,0.922997139969107,820.611420081688,669.880940572779,2087.31118236266
"41",41,0.900646173928227,-0.417172395769516,0.930784712294121,801.535683050367,650.710120959209,2051.18128503889
"42",42,0.905215013207804,-0.424317791449116,0.936212639674734,783.266370531153,633.28442428801,2016.32402983044
"43",43,0.907752192721094,-0.431344623761162,0.938844883301845,765.753483383085,616.422599001275,1982.67006508131
"44",44,0.913236871012244,-0.439132175461641,0.944949263576913,748.95110023584,599.79677324291,1950.15515190354
"45",45,0.916662673235065,-0.445705258190722,0.947229186254921,732.816967014974,584.655425255946,1918.71969043078
"46",46,0.920928547774393,-0.451749990234994,0.952014011056735,717.312135399401,568.959082694363,1888.30829876481
"47",47,0.92537916631883,-0.457817453730503,0.955626617316071,702.400643499719,554.240906194524,1858.86943779936
"48",48,0.931833434879972,-0.465142242245811,0.963215441907953,688.049233082845,539.652585533781,1830.35507610731
"49",49,0.937999075765022,-0.470325291974508,0.966909154641007,674.227098527772,526.558257499039,1802.72038991453
"50",50,0.939161551725807,-0.475383292340856,0.965522441037449,660.905663412305,514.477780298108,1775.923493886
"51",51,0.941959829233799,-0.48153448153435,0.966606126871018,648.058381227944,502.428337965091,1749.92519904237
"52",52,0.943436988009512,-0.486589150330837,0.967635853249731,635.660557220855,490.857660755317,1724.68879462472
"53",53,0.946634967016115,-0.490917233913636,0.968755228823064,623.689188778197,480.342813625626,1700.17985115046
"54",54,0.948331000167953,-0.496035746463714,0.969183902331184,612.122822134771,469.749459238737,1676.36604226379
