"","MEantiquewhite1","MEantiquewhite2","MEantiquewhite4","MEbisque4","MEblack","MEblue","MEblue2","MEblue4","MEblueviolet","MEbrown","MEbrown2","MEbrown4","MEchocolate4","MEcoral","MEcoral1","MEcoral2","MEcoral3","MEcoral4","MEcyan","MEdarkgreen","MEdarkgrey","MEdarkmagenta","MEdarkolivegreen","MEdarkolivegreen2","MEdarkolivegreen4","MEdarkorange","MEdarkorange2","MEdarkred","MEdarkseagreen2","MEdarkseagreen3","MEdarkseagreen4","MEdarkslateblue","MEdarkturquoise","MEdarkviolet","MEdeeppink","MEfirebrick3","MEfirebrick4","MEfloralwhite","MEgreen","MEgreen4","MEgreenyellow","MEgrey","MEgrey60","MEhoneydew","MEhoneydew1","MEindianred3","MEindianred4","MEivory","MElavenderblush1","MElavenderblush2","MElavenderblush3","MElightblue4","MElightcoral","MElightcyan","MElightcyan1","MElightgreen","MElightpink2","MElightpink3","MElightpink4","MElightslateblue","MElightsteelblue","MElightsteelblue1","MElightyellow","MEmagenta","MEmagenta3","MEmagenta4","MEmaroon","MEmediumorchid","MEmediumpurple1","MEmediumpurple2","MEmediumpurple3","MEmediumpurple4","MEmidnightblue","MEmistyrose","MEnavajowhite","MEnavajowhite1","MEnavajowhite2","MEorange","MEorangered1","MEorangered3","MEorangered4","MEpaleturquoise","MEpalevioletred1","MEpalevioletred2","MEpalevioletred3","MEpink","MEpink4","MEplum","MEplum1","MEplum2","MEplum3","MEplum4","MEpurple","MEred","MEroyalblue","MEsaddlebrown","MEsalmon","MEsalmon1","MEsalmon2","MEsalmon4","MEsienna3","MEsienna4","MEskyblue","MEskyblue1","MEskyblue2","MEskyblue3","MEskyblue4","MEsteelblue","MEtan","MEtan4","MEthistle","MEthistle1","MEthistle2","MEthistle3","MEthistle4","MEturquoise","MEviolet","MEwhite","MEyellow","MEyellow3","MEyellow4","MEyellowgreen"
"X.BLA..CN..171..1.0..0.024736.",0.196937182267447,-0.562827777149562,-0.135382309194279,0.505237554357739,-0.606322240401201,0.478323084215328,0.121401402979141,-0.393880790485571,-0.0120167414075321,0.376931365636766,-0.470975874410621,-0.165256951150404,0.376588614452365,-0.178928899599622,0.0486149890571182,0.313307937227523,-0.45782999688814,-0.214588987225159,-0.361813889729416,0.619856043586106,0.358029772664435,-0.240332515555767,-0.293619497295355,-0.0220556860307242,0.619682339396883,-0.101346748067596,0.173579395920529,0.356328145779654,0.466747302360569,-0.337353129228745,0.238696524899677,-0.244509923844437,-0.306447932027926,-0.204481341758163,-0.198610428926174,-0.280654117734966,-0.150927427429127,-0.325484133907302,-0.569483405970503,0.0892831397995794,0.403069278872969,-0.596564103462896,0.493180266928406,0.110495145644272,-0.0268248230610618,-0.0646812330406134,-0.511006733305041,-0.528820745646576,-0.309394054059922,-0.0900928439047717,-0.109484268569814,0.547712802963906,-0.219939371692031,0.231797321277256,-0.128972035680789,-0.474518415262031,-0.438632603014591,0.00938105816325685,-0.0187610983355105,0.0475989251687403,-0.215326905175808,-0.240952563439491,-0.437672607745691,-0.390938039075418,0.435105765825388,-0.381096497774943,0.194090415255266,0.393958409747847,-0.347791426819966,-0.0886074347364063,0.105563534803828,-0.204181704609339,-0.31712157012101,-0.231826904631432,-0.253823016174727,0.0556584440080079,0.0972189155679007,0.57652223809695,-0.238801973820643,-0.246371562686373,-0.169050608975523,0.021385796841681,-0.325391698241008,0.0516815205482435,0.0238577473506257,-0.484961122124992,0.498397354218091,0.265259229551284,-0.535749501238199,-0.395010868691139,0.233835088485575,-0.108941668962667,-0.466650521179596,0.678058508594114,-0.509894053743975,0.299958408375043,0.524898640904669,0.0636096884010839,0.0988138226660587,0.313389238923541,0.438375488712184,0.324347578820382,-0.54049440859045,-0.211951793805763,0.000198132800985541,0.0575662410096893,-0.0532196235197564,-0.376020638283308,0.51134800692512,0.33405213738135,-0.302329357568499,-0.0924227799261397,-0.0604812069426158,0.665321183179462,-0.321167345905796,0.572228941973336,0.544803626930431,-0.022700566555545,-0.301467896587714,0.509450552777382,0.2850202014188,-0.079324691390533
"X.test_BLA..CN..175..1.0..0.177900.",-0.284436750358155,0.0802537687117477,-0.337095489847685,0.0929448777460833,-0.244044797499889,0.0238032573686514,-0.383376051148302,-0.0800628951306328,-0.258753212115082,0.198518266426656,0.0283622797140559,-0.310514780994486,0.139233192632761,-0.222373165316613,-0.166759123310867,0.232148713543944,-0.00848201955941297,-0.367540066234494,-0.409325378314546,0.13322378527913,0.0191713669815154,-0.305612626285022,0.0964919078361853,0.114414488127506,0.0775910277441115,-0.247170733999839,0.232417453159999,0.270064515504031,-0.106145140455697,0.158588752791495,-0.169165479719685,-0.320392106055065,-0.427435931201361,-0.258457720547332,-0.0622016438938212,0.194896116542992,0.0393987195480963,-0.13865637899271,-0.4472405312251,0.169402144944311,0.267463067454483,-0.0313604222030899,-0.0247152003633657,0.254261231853229,-0.202655051054979,0.0143963875358671,-0.0232442425076028,-0.106262180100562,0.129207230067753,-0.312031781358836,0.00560950754472234,0.0159515267873409,-0.228204058947151,0.164431085296249,-0.316353997781075,-0.329653667346049,-0.33885106931946,0.117397420301205,-0.179376045983096,0.222143023516697,-0.0372452800536579,-0.334045675268154,0.0548789152324199,-0.476148473929674,0.168212283242473,-0.188117985496928,0.255533968569654,-0.135747037619923,-0.107383248482543,0.163494148955071,-0.205671762749154,-0.290143550252243,-0.472960828553847,-0.270486057877217,-0.322450720671989,0.0895775548375007,-0.145687964865649,0.0934811620720019,-0.329125032533162,0.128641681103207,-0.0381942272011917,0.0123147799303875,-0.35672648326557,-0.280498333729039,-0.203050332649989,-0.420675827475529,-0.0028042507756656,-0.0303034396570827,-0.266711580693404,-0.315994210109532,-0.118519178806029,-0.300832696504624,-0.369973356908848,0.182157341521119,-0.394457427459411,0.245634651533167,0.0693795507040607,0.18477108789066,-0.174288623512955,-0.0272261689219546,0.209082292796148,-0.0787216094297858,-0.243244692050756,-0.303010401991775,-0.255366337899798,0.153833424107975,0.141337010051592,-0.348811941691563,0.16607092606972,0.0166025404147591,-0.164866249034541,0.152361823336296,0.170494380799528,0.155048249614358,-0.291683507069158,0.248736921841623,0.190774224959935,-0.0676765346260899,-0.453567923391988,0.0102379438384974,-0.23047412236985,-0.253270997358649
"X.BLA..SN..182..1.0..0.000818.",-0.251788674528484,0.213747941333814,0.0726067508544219,-0.290348784460976,0.0866958433920929,-0.075613233705268,-0.291100970993421,0.32258560949222,0.450780282709525,0.0962644602308721,0.0849388776642552,0.503293428911294,-0.494007722156251,0.506702739337295,0.0691772357187777,-0.376702098622974,0.260996876196994,0.443317427652198,0.301238456401971,-0.429587425329557,-0.141007996372521,-0.270532643166249,-0.0120033537672827,-0.328920683845328,-0.402053676802669,0.335657155452293,-0.333533337149001,-0.136225288360665,-0.197823122393007,0.0256927377557966,-0.0946307827027544,0.356082697908719,0.102780227315122,-0.354476606838562,-0.442240778154441,-0.0584260146851613,-0.243761227995448,-0.285205564273285,0.408665379813776,-0.535183578648211,-0.325503341395973,0.140666203763739,0.0360947943425839,-0.194480620336419,0.0473763422614585,-0.134200255119105,0.237434984394863,0.162092240421685,-0.105698000859071,0.249042239098313,0.335511653991368,-0.286285126055456,0.626135569321859,0.120442418653525,0.116760542333683,0.0209494203461134,0.479370177125639,-0.478113917623351,0.572327894139897,-0.361937081516668,0.156070197177064,0.370688992841028,0.00686917551389511,0.380316063715622,-0.564581405210119,0.387393355615809,-0.169521830548497,-0.30797681434542,0.466029029039631,-0.237437095324367,0.0769396731289429,0.240702035336837,-0.0095814767262339,0.514393228044892,0.367715928243473,0.278691232251948,0.169954117833944,-0.290410433119503,0.320222558788488,-0.110479144661576,-0.429485399876994,0.312094669967516,0.469076476317988,0.464679631448334,0.26273512635509,0.0350204150409489,-0.552561643613105,-0.0344015487816862,0.354990218722631,0.44492907878394,-0.52880144940278,0.247927426777727,-0.0264335201534779,-0.319429687034887,0.472505752033929,-0.243634469298609,0.119347051802518,-0.0962373687582565,0.086273225524327,-0.235258034121109,-0.495871928723911,-0.12350284115268,0.312495328271692,0.521408250415096,0.0607906272086775,0.0136225842735379,-0.302037746069621,0.439001101054013,0.129388479822999,-0.140644498196499,0.476801298312563,0.0510925570966661,-0.0705093389433102,-0.385484254451788,0.467901611824051,-0.349680785755507,-0.49709049478683,0.420472861374019,0.211584032844615,-0.317527254608473,-0.00209875448654724,0.276456085265298
"X.BLA..CN..183..1.0..0.030263.",0.105038416162711,0.0816077584745215,0.295012111444945,-0.0180825667712035,-0.0435782633365548,0.237387479044245,0.0877297982087826,0.147464058504843,0.498201128383034,-0.0230240293153365,-0.103530582311134,0.500632605092667,-0.448051770078964,0.294598315234776,0.330791854140339,-0.365744292157818,0.0890747067817156,0.433990175796869,0.386986942070146,-0.114462053737251,0.154208205202179,0.113525680821199,-0.180478551872509,-0.221846903871046,-0.238432456124178,0.49018022720752,-0.327850914624672,-0.224492039826879,-0.0134117207788578,-0.067116478755649,0.208123728573255,0.433499330412925,0.315267491873492,0.11506633702107,-0.0586463583513186,-0.225878901535978,-0.232977528881445,-0.0890372623082585,0.264601874158234,-0.404847412138762,-0.287355698315963,0.183390156739102,0.267471914227179,-0.25525314941779,0.321217910759728,-0.256724942572729,0.108831409883884,0.0200030590431258,-0.144715242030506,0.366739240118797,0.0339858754574824,-0.100259381985007,0.396118276287731,-0.167572147969741,0.349207375554817,0.0151553511036999,0.365075278478014,-0.252371338651451,0.305869275528541,-0.271615927520778,0.152994350595647,0.434093528324342,-0.237272662733749,0.36787539619542,-0.398332096948471,0.212551415863676,-0.339038502104122,-0.0219938390954187,0.0416208300235754,-0.343420800632862,0.37585164321817,0.372592935743491,0.226581079637587,0.525740116218915,0.454993068754108,0.0347549559673045,0.476822815151687,-0.0257948843559019,0.426510147384915,-0.226919381943819,-0.290634476470006,0.0265376398177284,0.443951208653301,0.421170605593923,0.437948806433353,0.154699063957243,-0.154561553628088,0.226730530558802,0.236299570655782,0.491526729747454,-0.0580914189350146,0.478660249700413,0.101182590887367,-0.121671925601014,0.338993107913814,-0.296830709323913,0.21269998256273,-0.193761878500649,0.382435336932895,0.119757952322872,-0.338234818671847,0.113112062755707,0.158441862769142,0.470883431384644,0.352764465789712,-0.207244237489802,-0.333079788209228,0.448595709717263,0.078615356976648,0.0605428640823447,0.033980532255808,-0.100915763377972,-0.251677297363228,-0.249704345598348,0.505987313059585,-0.200095548956379,-0.287234858439981,0.324965784035561,0.342579264224479,-0.133839703919718,0.160896337645298,0.41427765715181
"X.BLA..SN..185..1.0..0.000285.",0.605814903166118,-0.333665709463926,0.391525764275045,0.325885206275849,0.0588218844412731,0.0726767703638661,0.636382153418798,-0.218286534515826,-0.226735363276695,-0.388056875136958,-0.235101050296191,-0.281568900373193,0.294893904696409,-0.468920020249293,0.155077129383405,0.0875125051504306,-0.380590815414728,-0.208883275287121,0.0966861987920562,0.295425749654027,0.206478694846722,0.475821804454649,-0.148039082647038,0.0791942360412892,0.37256921715736,-0.302442563238777,0.0699599963575457,-0.231454343344698,0.508692335221821,-0.227527443629916,0.399954767655767,-0.0457913663949727,0.385860085098593,0.32733217117665,0.40053929565819,-0.100729143961842,0.135471136782402,0.341478077219632,0.0279419742543912,0.269606554807856,-0.08166156467216,-0.0382333071966283,-0.105556567606594,-0.0913175214903696,0.26418575113665,0.0390126231025011,-0.37186449519589,-0.193894063564031,-0.190192219211644,0.122457334292763,-0.401369147712225,0.493016252028948,-0.347830051564519,-0.317590992506452,0.222051112010977,0.25988873715383,-0.399423664289545,0.261956588179619,-0.540867819392381,-0.00345247760822394,-0.365413529939286,-0.0891310536022432,-0.0308272816149804,0.0499819361527726,0.39934917763637,-0.348775684212993,-0.159216051175375,0.639691708110982,-0.365150784591549,-0.0976601428022877,0.132200933967894,0.0193006392364975,0.49695447920476,-0.202445104645087,-0.395881406662434,-0.521561628003853,-0.0830828254340757,0.328631344668799,-0.134188582083661,-0.0678532668411611,0.260957239377557,-0.481241422229438,-0.28221319598788,-0.466855327349977,-0.130441244331517,0.37925772520043,0.534274399395966,0.14950218110958,-0.322353088948117,-0.264466890894786,0.469643446991961,-0.126281694594105,0.346325231037874,0.125862791001295,-0.184760305507469,-0.108802145473507,-0.25370112425577,-0.196951474654491,0.0360818741245171,0.376612860262374,0.244474177210673,0.365218508497553,-0.150766542912848,-0.30664906416194,0.186117424868093,-0.273025349335608,0.100844617063294,-0.200377450595595,-0.325578441497048,0.385626122070821,-0.324952199821812,-0.317596230509589,-0.180454632922634,0.392153850827939,-0.241388779780924,0.00525267086775413,0.362619628542381,-0.555982045045173,0.250711062276138,0.434473548467316,0.534096448729239,-0.0398365359338948
"X.BLA..SN..191..1.0..0.018520.",0.115694227040014,-0.166932203770363,0.218858083540067,0.166432562867036,-0.118581367675338,0.16222729344589,0.0710540012410545,-0.186307008016326,0.179110870141459,-0.222739379372387,-0.235287593189933,0.155902676992201,-0.125235455012832,-0.0494523035944406,0.319552532952404,-0.280070149464796,-0.251635721592504,0.265835434524246,0.243217969330579,0.0555150362821451,0.265859774394525,-0.00740251963985298,-0.251581991244448,-0.305904677490013,0.102305686149957,0.204383313326968,-0.290503342387821,-0.27582787264668,0.095266817589842,-0.294507276941986,0.246930903676406,0.272649467026845,0.189226511246611,-0.0682584113118981,-0.171525188493217,-0.27256685046234,-0.290870227035824,-0.151269796295521,0.0338023063928928,-0.133476484153874,-0.223662070163482,-0.0487039854806137,0.0829024895250811,-0.353593674423494,0.337969742999152,-0.250274270527422,-0.17338929896535,-0.177330024792716,-0.274899930565263,0.262550808391473,-0.253183972536699,0.118333925421094,0.0520288485439697,-0.315297148760582,0.314721182057632,-0.129896297703424,0.00236196973398529,-0.201672766408671,-0.0166073773097046,-0.245565762204613,-0.29718911176325,0.280011989760111,-0.208297325861034,0.188678518383031,-0.0918727942745751,-0.0198380466162699,-0.286399084115328,-0.00832622148100388,-0.0865803666106473,-0.189565235431673,0.290306953884168,0.352724685255952,0.0866687358736036,0.215075840056949,0.0186970977137345,-0.186303026898212,0.218721290378951,0.109414383303832,0.322946075223508,-0.288385956767684,-0.143819700344935,-0.275274323323853,0.198694531486404,0.166090580538918,0.297883974328203,0.0284189412319901,0.0256728809246955,0.327238211800462,-0.0629778910321203,0.174155007053898,-0.0673611013589129,0.306765987130264,-0.0426221545114729,-0.0171376592013526,0.00412919871539647,-0.276269357588819,0.0561084693108625,-0.290103070480148,0.316574008745708,0.220334327027753,-0.176484279616249,0.279400403709137,-0.153021387705251,0.169312433225537,0.297822048461644,-0.325468834085661,-0.280038779250864,0.209804296858677,-0.102333146535744,0.188698982126902,-0.237323005163481,-0.335623009874055,-0.261324727924446,-0.01527344729717,0.186971293122666,-0.17039703457986,-0.136716276058938,-0.0233900330423192,0.23908726545791,0.131211074047441,0.149456962870052,0.317750977649846
"X.BLA..SN..193..1.0..0.002738.",0.143492204654085,-0.0420109210303005,0.0222137751132514,-0.167592013381319,0.296689421563263,-0.22259134470543,0.265580226783796,0.345272542917359,-0.0727951082572743,-0.216236178650595,-0.0516488400370133,0.171634912542094,-0.00959813408884767,0.194235435878023,-0.0122682153396575,-0.137868703615474,0.0793562963822909,0.107865130622369,0.318286517975863,-0.25718574471785,-0.0896449572817562,0.36918624626725,-0.0558134486245757,-0.00745547239647449,-0.118315868452355,0.15470495537117,-0.111728404739356,-0.274000843610025,0.00619978512729771,0.0534873767116713,-0.0912238344283959,0.217429180621654,0.302856089356552,0.345799178195301,0.25406977781036,0.00886108370335784,0.106967944976769,0.307361816710672,0.367049761701058,-0.05097189181257,-0.266170674509084,0.37246701454221,-0.122643196980734,-0.0470049916985774,-0.0669079859652668,0.145153308716169,0.0865591873188779,0.143837092345483,-6.84365031243458e-05,0.137441803892076,0.166450076919119,-0.0736631731642962,0.178769490014186,-0.0740464169771636,0.143746074356571,0.394978918143071,0.291563193725572,-0.0608603274125306,0.141989628117788,-0.145667319472703,0.123480362593599,0.249440626369872,0.137678485091528,0.336010661468264,0.0769501895108911,0.420944123378858,-0.178782422424566,0.178226188570264,-0.187572748250587,-0.148733541596591,-0.0565099665456572,0.151276126005983,0.415762443581593,0.0789539939006507,0.290094466692104,0.185730624023401,-0.0196161598698846,-0.142813917275359,0.228523257055972,0.10611279052129,0.174263578629035,0.0456419321794058,0.33016472984062,-0.00509773739579655,0.121391773859523,0.490924105141117,0.0465886153368046,-0.131246146389571,0.150430277959736,0.259438855867839,0.281035983738758,0.125887005622795,0.513682584511899,-0.406700621176125,0.254976082390904,-0.126814932673168,-0.263595269422045,0.0697576758638164,0.0585883714313937,-0.0911779842333822,-0.229848978722528,-0.126352926423895,0.175051232024241,0.183141905909242,0.152533841804449,0.000863133953729105,0.0804073200002635,0.259098604860569,-0.267576421307407,-0.100344934607862,0.222673667164626,-0.0191448200529356,0.0832742216157401,-0.331485862000175,0.090359454293227,-0.410981948031267,-0.216963735512002,0.161253898504945,0.278825287837735,0.0462863887095763,-0.0635430365119797,0.129753358604965
"X.BLA..CN..194..1.0..0.0.",0.256204215777679,-0.154884590125512,0.298546146160415,0.293532603534029,-0.178406046523787,0.255515742584951,0.107734534330168,-0.363032767438321,0.135402780743708,-0.241417374115418,-0.15432024790512,-0.0265996358120496,0.00106906722049227,-0.300008381499127,0.302544055122989,-0.115132260565041,-0.231372495720833,0.111273527629447,0.140918409240519,0.21975968791793,0.310883052866561,-0.0223755151026317,-0.226362354726433,-0.24717611628296,0.227339443574134,0.140112262561985,-0.212331055953506,-0.238928984978074,0.211669086112521,-0.31698145059239,0.351920500667307,0.200389030221124,0.19549232902749,-0.0445159189988568,-0.197731131551281,-0.255104549670891,-0.18909770373673,-0.10651631110156,-0.102767770823145,-0.0399132355800732,-0.131963292245105,0.143668921023508,0.13600193310144,-0.298514165009742,0.338994882720921,-0.28070692248837,-0.281579186601109,-0.243540232136195,-0.278783368026494,0.294638502326369,-0.412054699607467,0.193113057859225,-0.158765118698829,-0.335634753102537,0.231114660433782,-0.201923986705065,-0.0735618763283704,-0.0324443275313852,-0.202820727793123,-0.136628094971885,-0.442793240256907,0.0979019149786745,-0.233545804741885,0.0352951333533526,0.0110920041983643,-0.40463218318859,-0.278249343139087,0.13005965860226,-0.22108530813768,-0.144780713601886,0.276032005022506,0.263934198100319,0.104307649850814,0.0959176534441985,-0.328176275076296,-0.342755471681918,0.249290693686494,0.23467637153135,0.183698411436559,-0.274631922454751,-0.108896887936209,-0.384690147573466,-0.00941006891548494,0.00281054676479531,0.224597365679099,0.0216463327760038,0.147260867008263,0.304326951539903,-0.204855353697122,-0.0634945532608182,0.118104527354126,0.228803231287886,-0.0892485182109081,0.11926736519392,-0.131990975015001,-0.244172331670735,0.0564718728593963,-0.470363451547572,0.262551819828916,0.311337181969199,-0.0578759784596554,0.282502153374942,-0.248813142914839,0.0198717932399941,0.263931014330056,-0.363991290234689,-0.242879929341023,0.0260085815993825,-0.0947305330934268,0.320735715980241,-0.28699808654239,-0.33002327420292,-0.371944732357732,0.125557842821113,0.0135839976792267,-0.0207094902530083,0.0830702261971502,-0.210224947400486,0.183357415308414,0.194222935839118,0.249822607191256,0.215372236856996
"X.BLA..SN..204..1.0..0.005963.",-0.128016405838554,-0.0522394851399116,-0.024207575070444,-0.0489338338947285,-0.0540214000946058,0.0812044728289096,-0.134685304431809,-0.0942539630801888,0.185293545846689,0.0978955376527863,-0.0379471671982686,0.12380294442077,-0.2810379953196,0.166693326948339,0.150243065093395,-0.241586233386468,0.0305998274373635,0.203706791091941,0.145963222105979,-0.107546819023833,0.023334109723601,-0.193215361351629,-0.0598875828049666,-0.165359599977044,-0.147782157166023,0.0852456079615869,-0.247169561679302,-0.013231892730544,0.0131707357781858,-0.0497182873008925,0.00541478826716729,0.125864037221611,-0.013343186271118,-0.231272118347791,-0.278996595288826,-0.187591786066267,-0.224019151661538,-0.289317578053947,0.146225816741329,-0.23612640196299,-0.139205917856839,-0.18510728091249,0.0731902976359386,-0.153185106027883,0.0414809786974209,-0.274645023586242,0.024324213085453,0.0159745412000495,-0.07575232192303,0.152653377537772,0.0122697517290608,-0.0797237872312435,0.138440602922529,0.00170083145678581,0.15298821351117,-0.104308653271748,0.147633304072031,-0.311801581682111,0.152542450505082,-0.237304004563637,0.0816362633035432,0.194653097390221,-0.187472318562939,0.198646713738179,-0.276414567429245,0.11919459866901,-0.0975797598239581,-0.169010684986093,0.280809698705708,-0.225030851511789,0.162444295386007,0.114109579792008,-0.0282822427302254,0.0850102865656598,0.234018171611434,-0.00274533186751438,0.167332301441429,-0.0412555575116069,0.13388386044645,-0.174055349366512,-0.230076139814987,0.127069874610341,0.0958438579159678,0.0502684426736507,0.093959155974645,-0.044142733874754,-0.194790960723368,0.107147117460808,0.184944597020535,0.217671084318659,-0.34890732418908,0.210747673890793,-0.101015856082141,-0.0583726529823247,0.181718371136037,-0.120227882133117,0.101049771296801,-0.0588772091527625,0.140447161418393,-0.0170452624889383,-0.224585604311203,0.00377215346864317,0.0128039482920857,0.20867840776241,0.0655394798838016,-0.0749877731262178,-0.259017065154898,0.23999295873896,0.0736269543756459,0.0396884810529871,0.00120468852390598,-0.0705335294023157,-0.161599740928239,-0.120017112962736,0.272424660754191,-0.0915300090944294,-0.246598216323847,0.14106519429881,0.152631229947941,-0.164946546872705,0.02266133002235,0.109338411464291
"X.BLA..SN..205..1.0..0.002711.",-0.489981993570234,0.394869923086278,-0.450023350169855,-0.394755775038835,0.240869726611615,-0.442867719580087,-0.462756438268825,-0.0787579327624724,-0.295560992243426,0.181176362446773,0.488992658217608,-0.394295598927271,0.0017836497999665,-0.0182287802819361,-0.449020690066038,0.285528627018461,0.35098333795184,-0.18488595005604,-0.254446561810595,-0.258069795708786,-0.484275756306808,-0.412255845656418,0.582127431680588,0.307337033122451,-0.161575461159589,-0.47039007216669,0.367700082331251,0.264871081657421,-0.489476584606526,0.444438686914548,-0.360200320257071,-0.345536093457864,-0.438360551639536,-0.361594111761215,0.0020190617011934,0.439092335119311,0.349613150630807,-0.0441407042142181,0.00979534959535441,0.313478169945203,0.249457272940247,-0.325152614344444,-0.423999666842019,0.3784606836968,-0.325736855813076,0.219435690767243,0.303460823321663,0.435743229668953,0.474278437883197,-0.484616552685664,0.140897000264421,-0.435404680624349,-0.174327462278533,0.282838084041418,-0.389349598694061,0.00752690095987216,0.0618564364690916,0.284278163758875,-0.0516903100288458,0.299482485512166,0.438969237589689,-0.319459473716815,0.37810927179796,-0.185878714132003,0.0817131712599345,0.0601311393003918,0.345302068553183,-0.460197821226929,0.539617741331892,0.448512756509886,-0.469283364503553,-0.399422264010443,-0.337398674249217,-0.329247183385138,0.0398933677659681,0.0517594263520735,-0.429105732750538,-0.408601971193754,-0.419337001184621,0.278596315953053,0.25245053316377,0.218938202145601,-0.202425006253065,-0.193976812160059,-0.504039926011873,-0.253694179085251,-0.248556442463819,-0.44940057505778,0.351052236169364,-0.0551497747605199,-0.304467009448779,-0.430919757596691,-0.164460688543076,-0.085553711822757,0.166811032581821,0.27667033599857,-0.240633003744561,0.391552246040687,-0.621873387770562,-0.514258889861587,0.25075916955861,-0.364748639591455,0.402091913137191,-0.286070119335091,-0.541475088975779,0.311343028049792,0.299666314824287,-0.239178441406422,-0.00258786942328618,-0.502692715686143,0.289947584910366,0.401807771284564,0.35782115961574,-0.0863984788997453,-0.262685184811896,0.126478513286888,0.0244559444643828,-0.170299692646284,-0.308699953582522,-0.520936319535047,-0.38664166432553,-0.420940691272101
