"","MEantiquewhite2","MEantiquewhite4","MEbisque4","MEblack","MEblue","MEblue2","MEbrown","MEbrown2","MEbrown4","MEcoral","MEcoral1","MEcoral2","MEcoral3","MEcyan","MEdarkgreen","MEdarkgrey","MEdarkmagenta","MEdarkolivegreen","MEdarkolivegreen4","MEdarkorange","MEdarkorange2","MEdarkred","MEdarkseagreen3","MEdarkseagreen4","MEdarkslateblue","MEdarkturquoise","MEdarkviolet","MEfirebrick4","MEfloralwhite","MEgreen","MEgreenyellow","MEgrey","MEgrey60","MEhoneydew","MEhoneydew1","MEindianred4","MEivory","MElavenderblush2","MElavenderblush3","MElightcoral","MElightcyan","MElightcyan1","MElightgreen","MElightpink3","MElightpink4","MElightsteelblue","MElightsteelblue1","MElightyellow","MEmagenta","MEmagenta4","MEmaroon","MEmediumorchid","MEmediumpurple2","MEmediumpurple3","MEmidnightblue","MEnavajowhite1","MEnavajowhite2","MEorange","MEorangered3","MEorangered4","MEpaleturquoise","MEpalevioletred2","MEpalevioletred3","MEpink","MEplum","MEplum1","MEplum2","MEplum3","MEpurple","MEred","MEroyalblue","MEsaddlebrown","MEsalmon","MEsalmon2","MEsalmon4","MEsienna3","MEskyblue","MEskyblue1","MEskyblue2","MEskyblue3","MEsteelblue","MEtan","MEthistle","MEthistle1","MEthistle2","MEthistle3","MEturquoise","MEviolet","MEwhite","MEyellow","MEyellow4","MEyellowgreen"
"X.CPU..CN..171..1.0..0.024736.",0.198662889372887,-0.466725725928768,0.191123954483855,0.261273876694266,-0.0133539126711398,-0.378125399783241,0.178669679432687,-0.0316120627332196,0.243842434701845,0.224260297637701,0.141582744983817,0.391266877414563,-0.27395341287032,0.110319960520945,0.40633087496329,0.332543902209035,0.241187820862595,0.322027340408191,-0.376489203530371,-0.578096200593257,-0.222413331083511,-0.494545428994382,-0.412925537226569,-0.567898227110911,-0.289725345706459,0.24993387579085,-0.227334105538649,-0.0900594006249257,0.251577485716969,0.140650912809207,0.0697766650103333,0.170710394900634,-0.341041954683178,0.130501495518885,-0.0440825763287252,-0.128876028033222,-0.493995524962134,-0.112611964491741,-0.189070053167614,0.288365956054377,-0.0566645361894439,0.396709200277791,0.0847081943167271,0.0184271786282675,-0.197537354380689,-0.243114791733093,0.299520327045936,0.188752756201542,0.077858484742616,0.358849723262249,0.291583787329084,0.0153991959140316,-0.185172095552868,-0.208762601325698,-0.105171360228325,-0.14798124492423,-0.289616203728309,0.0537678991638716,-0.193294334489695,-0.0595852839370353,-0.550236436142949,-0.298192945259135,0.26049255112949,0.117323887922947,0.286849811306167,-0.135806875873445,0.322449587812255,-0.413278047129458,0.164498853280321,0.231098765925253,0.142946694104546,0.277102644062525,-0.078613249646039,0.411109220573825,0.420415084554597,-0.14313891359457,-0.138536443580733,-0.318824791158418,-0.404428022450201,0.141290213642105,0.377710053616317,-0.0810024288607213,-0.203091099168395,-0.0948894936366284,0.314353740494217,0.0848852333950592,0.26875658502344,0.279011384869198,-0.310947233161166,0.21639475707787,-0.119411967694562,-0.453213030885544
"X.CPU..CN..175..1.0..0.177900.",-0.354641443945485,0.111460840817212,-0.141477502206939,-0.123750393770829,-0.0494963042481403,-0.088715239525053,-0.0781804630521303,-0.32919197454644,0.079652484192152,-0.359837259165446,0.0452234971932213,-0.0917712086754262,0.291058819495821,0.219604682359008,-0.0365797040345954,-0.0326311276128733,-0.19120844225787,-0.28280350116525,-0.25263436157901,-0.375635171935532,-0.104619840818931,-0.107343075210165,0.128242220727115,-0.346719988739693,-0.55411337190866,-0.260568023237124,-0.243345833427283,-0.469211129055966,-0.110555046942552,-0.030528491562001,-0.526887340203557,-0.306555357729583,-0.101615874780656,-0.556907629217635,-0.415060917684189,-0.238763238462249,-0.378407262430266,-0.330243936017513,0.079038290724126,-0.197603968045261,-0.0785453948406955,-0.11582303258222,-0.128890746820829,-0.255973940432042,-0.192897175185268,-0.145570877785913,-0.0565362752347326,-0.160234015631433,-0.0598855412516009,-0.389905519327106,-0.0981728716874044,-0.0958335581491776,0.0681191479352898,-0.210963838830796,-0.183609180060109,-0.0910485605244105,-0.425985093685183,-0.127803526791164,-0.292718521840706,0.180639032063949,-0.271918496569018,-0.00193949967655693,-0.275406301592179,-0.423657229129242,-0.395953206659059,-0.197209206507975,-0.20869949684502,0.0445894698892835,-0.36853116224789,-0.190962549591821,-0.320682384672577,-0.165436443380962,-0.0794230027358074,-0.270910852191767,-0.351551332491537,-0.175547545735896,-0.066571392230371,-0.382412112268289,-0.321830375313702,-0.0529223836427083,-0.380599661176507,-0.173506913440286,0.134089335099996,-0.308240795150303,-0.278780365156622,0.04453447420798,-0.0684482694498086,-0.146209108148627,-0.623106348707473,-0.0535049024000063,-0.281589832769827,-0.357105534919829
"X.CPU..SN..182..1.0..0.000818.",-0.338030998157681,0.187797870289112,0.665415533186489,-0.183403624357883,-0.755533099230577,0.227057018014193,-0.304561212138435,-0.505532735973659,0.651003547554156,-0.0921689566004778,0.733717047148182,0.30998625430194,0.308784146231912,0.251823067510601,0.145506736301915,0.457982711982202,0.55083659160644,0.417248634139192,-0.629291863316337,-0.0377127658622836,-0.740182847253119,0.288536190157573,0.0729540061696203,-0.137912002820993,-0.421055878115556,0.51386668516154,-0.666294587712293,-0.493685251886277,0.671612445878272,-0.476704912596006,0.283265640990304,0.240282553398401,0.604685440704662,-0.419507759863764,-0.570361716156859,-0.775047231307608,-0.208300597475838,-0.37716556561488,0.62383700490039,0.355199519400188,-0.708724322300919,0.31864458900981,0.735755829304659,-0.423448846760692,-0.724984464027182,0.356605217879675,0.209199950351901,0.686151007999525,-0.605134156387497,0.0253736332667819,0.546059522772725,0.739557044612992,0.573832653945105,-0.714256834764756,0.725481589530415,0.661859265188991,-0.526748635971633,0.74874957439028,-0.704072871161321,0.456092208032267,-0.308870369298258,0.471140197215267,-0.267076462655886,0.450082347388872,0.282357124316559,-0.745882732089195,0.464987398608294,0.00694534557098431,0.481406183605281,-0.210710242433828,0.565015422722156,-0.15905568320875,-0.796369121588451,0.0944507746177032,0.00130404915802421,-0.779256754578802,-0.762482539147024,-0.551253355060662,-0.492543105102324,0.691993379600602,0.0908689649449881,0.724548332064311,0.43080796350571,-0.568694916258308,0.130788836210397,0.504099822442348,-0.199123708754908,0.344145511358058,-0.360089380112723,-0.367208286935183,-0.752136173380857,-0.411592717756389
"X.CPU..CN..183..1.0..0.030263.",-0.144823303450749,0.301975999044195,-0.135740482974133,-0.149440719583154,0.0735631055233718,0.134894130906251,-0.0242785253656025,-0.175455256049029,-0.0337582506685636,-0.541596061049971,0.0228923314958185,-0.421760966174446,0.363764137859311,0.167541233757443,-0.165633061481541,-0.127567651013641,-0.18526404474415,-0.33375287727888,-0.0100017849272553,0.15760375392293,0.0307028061719162,0.153702390854857,0.3263369153036,-0.00924800054370509,-0.131121582425546,-0.215155598936969,-0.098532969555601,-0.323978317557136,-0.159196894196778,0.0780331049008966,-0.454527834177108,-0.492396615436855,0.0550584805975972,-0.367448012662077,-0.21568377375868,-0.0552823663018172,-0.0293063541075834,-0.136770118019527,0.193825995562925,-0.253700016049655,-0.00445727074259886,-0.208718304156629,-0.126002493024398,-0.225377575916794,0.0238956724027505,0.0326925573901602,-0.068158602158549,-0.148766156091264,0.0704374595779909,-0.49057650077987,-0.104432787461333,-0.0689730551175897,0.120457547424956,-0.060891259908395,-0.105877315407998,-0.0477266035649883,-0.110502733166312,-0.143558446082155,-0.112382471801682,0.19154037089105,0.164333406689843,0.192695327779641,-0.222920493477701,-0.382431961367382,-0.485221378920181,-0.0309236035558056,-0.209459233697079,0.380251183745626,-0.355428847219403,-0.0895110232876981,-0.278791263705093,-0.138234931808192,0.0334789710444199,-0.515320996562479,-0.525987284417423,-0.0111844369926171,0.00834468153345688,-0.0953345166939412,-0.0988128360266878,-0.112267711433611,-0.485531556073468,-0.0796153399205648,0.173351503370159,-0.249556076515849,-0.287658909537742,-0.068874515967439,-0.0694627564342678,-0.0958814733116081,-0.21313244666942,0.0324015729496352,-0.0222870355563385,0.0234647067226148
"X.CPU..SN..185..1.0..0.000285.",-0.0737935239203663,0.142997478858068,-0.198730689624119,-0.283514936285611,0.0344403457450677,0.182038950218387,-0.108379455422157,0.111649100057594,-0.300900307212579,-0.112005620195391,-0.216885831726668,-0.150371035713431,0.054476671233727,-0.364102504380989,-0.412232632437402,-0.384015162063584,-0.244700812919526,-0.238269238832206,0.126346178986232,0.178429441580708,0.115803166191548,0.173759532518244,0.0487667914791306,0.0399719095995238,0.159315649437438,-0.142319802894515,0.0465967847746165,-0.0626454477838078,-0.216383091261786,-0.0911808292563482,-0.130032404833111,-0.207355279448753,0.0636044610235987,-0.160179051955982,-0.0305612978977464,0.113647716598625,0.119485424570797,-0.0100844043957282,-0.0146829895826638,-0.228923294080668,0.0324540968075021,-0.302370531783186,-0.130929094403692,0.0318187424846011,0.057009290794882,0.0260517178157093,-0.338073885056025,-0.177941785994751,-0.0308652257404265,-0.239878812857479,-0.303507772229627,-0.13513157632992,-0.0268386702718219,0.107836734136538,-0.0486048331997455,-0.0728731549893749,0.155283454777018,-0.116669613589457,0.0935321860857451,-0.246668797542645,0.218628636601248,0.0310193489912678,-0.1538539733372,-0.165050267294433,-0.162912711863056,0.0821819565585776,-0.227620583639053,0.1856331376555,-0.162305906409791,-0.292908791216581,-0.155802908502319,-0.249908732008013,0.0893013251790804,-0.235549816009537,-0.187743257831968,0.0837533117272978,0.069047769846029,0.121871625830357,0.15196605142657,-0.179262100419653,-0.204993390346911,-0.065595400802533,0.0767367885965133,0.040930761958124,-0.259926862932417,-0.0472054394581031,-0.192985284578761,-0.324554559725404,0.0667599225948826,-0.162406216333634,0.0583149461640857,0.172732973597071
"X.CPU..SN..191..1.0..0.018520.",0.0258223520056566,-0.00871615987207041,-0.258074081235855,-0.00669148584406106,0.156306078194932,-0.113194847434761,0.107887082518156,0.00520902828529612,-0.218768977794548,0.00243082980263807,-0.216362471946241,0.00462825063329117,-0.046649707951348,-0.0345919558265566,-0.049785187659183,-0.190480369718635,-0.279959115753799,-0.157524487798029,0.0437440523904182,-0.0267157460810563,0.131895487638214,-0.0425029470670603,0.0524811726165591,0.024358949169521,-0.0586397227120492,-0.248600390644505,0.188503381287274,0.0146201532297072,-0.238613502574196,0.0955782628493494,-0.0918829026846194,0.0392260519844644,-0.137085445999548,0.0263804929287776,0.0753099340790259,0.0875516364738958,-0.0421844409410013,-0.0801361956856742,-0.173753397875964,-0.102547833276418,0.154968552217986,-0.178387352102955,-0.269513968953539,-0.0806114577343487,0.0355818086862855,-0.0398077803539385,-0.0595721052278884,-0.249312893808855,0.13686237679676,0.113097858410008,-0.247063555236738,-0.205469448445201,-0.0860723759893036,0.160939133465645,-0.213931345027446,-0.139923543943766,-0.0185112757247815,-0.243379250209736,0.11523383471817,-0.194561142537936,0.0834076519481652,-0.154225226990509,-0.0147262028355859,-0.136768934642799,-0.0276823243042434,0.155020035487364,-0.179363674256676,0.0542874537488094,-0.205475528139168,-0.0301737863769907,-0.21620333123902,-0.0275433156118142,0.171307744472396,-0.0321615418424945,-0.108561382061547,0.167414189212273,0.166900893575552,0.0328513530936991,0.105480086215023,-0.246846605563329,-0.0672745202476445,-0.247337620783043,-0.111555391351871,0.0232938834458732,-0.105564333360758,-0.18198604180519,0.0487337957124725,-0.175919339379791,-0.00527420915135174,0.0584342918051304,0.116737214923239,-0.0263195040932928
"X.CPU..SN..193..1.0..0.002738.",0.00493090069363175,0.0649985090041006,0.091369547262578,-0.0739004460415759,-0.275339081545859,0.162658378134389,-0.134025887060033,-0.0895338759719058,0.130242302993387,0.0131940678627059,0.0590921138138106,0.21549400871399,0.144211015796979,-0.0575009925298793,-0.0461928381364648,0.0543575437103276,0.139393481419419,0.0573861036143972,-0.234873771020342,0.0503183967643105,-0.225360318562605,0.188551433295896,0.144221967482016,-0.0853703817391286,-0.0546739007403948,0.144063627370307,-0.153622089608989,0.0630715306501685,0.0987305577871935,-0.179872191033785,0.137337683554279,0.235482936351709,0.265115310643927,0.139666701035852,-0.100911583044205,-0.163301307670377,-0.031443411986745,0.0434965450335813,0.233433196898813,0.0342601731440038,-0.237429398802857,0.0633270712399338,0.184830703460783,-0.0210668410861171,-0.188369529818707,0.207495845348941,0.0243146509429473,0.143456610291023,-0.235567695102891,0.167373085141202,0.149501992203604,0.218625246269318,0.202534127356444,-0.168568700401417,0.289263228385569,0.255675949753167,-0.112910485795526,0.23121889677828,-0.144312280869735,0.159990099995763,-0.0561668343993247,0.217056953486434,0.00798559887881364,0.204548152823165,0.188432261952768,-0.195368387669372,0.112216251821588,0.0245071946169579,0.165977083539022,-0.113911453144296,0.16643124236431,-0.103623189470953,-0.274315389713411,0.170944877430593,0.0794036010975232,-0.208773653132425,-0.208544249920922,-0.122659289630835,-0.161672780875392,0.12311276126761,0.118726562738806,0.237045595562694,0.245222432128857,-0.0871882985921953,0.11464828265102,0.108601400803188,-0.0709483385050639,0.0619167488546893,0.0445125364669832,-0.161539438802139,-0.1482252761547,-0.166056945703211
"X.CPU..CN..194..1.0..0.0.",0.115293980646254,0.0991245708543917,-0.202617043447319,-0.0544560760660001,0.237525968227712,-0.0900970376939776,0.081092504827541,0.11505941113843,-0.102424248647202,-0.116753465422981,-0.159434795044218,-0.196378322390496,0.0529043062035702,0.10668489978596,-0.153165505465763,-0.192242740275655,-0.16286753638057,-0.100283595250208,0.193765139064056,0.0263719569567309,0.162300935418863,0.0830431653550688,0.215369373531618,0.156511260308322,0.0354623146948853,-0.133400683739759,0.229862588780907,0.150659642528004,-0.22272565922437,0.210353139344629,-0.122080213816089,-0.152886724176993,-0.0556465296134225,0.00800024605974337,0.139810373246353,0.187004146789699,-0.0356891826113264,0.17739373730367,-0.0908383107294313,-0.162928069048111,0.21012501749832,-0.05605775839335,-0.270933539475368,0.0382838715170119,0.24320770462909,-0.0336050874427073,0.0905616053757069,-0.280384805147656,0.186021478411997,-0.148501916801973,-0.272301085701563,-0.256264913280776,-0.138142862949449,0.219595058171302,-0.230343711099848,-0.213183551417735,0.139756384497239,-0.267688182732154,0.180722746233604,-0.0479926052930004,0.0899573489774918,-0.00543730974609666,0.0436997638107819,-0.157341312010268,-0.174425133086293,0.226208752541225,-0.132175370958335,0.193376749136699,-0.176123625265703,0.0115033790544527,-0.167066484386079,0.0463087771760191,0.217031158926724,-0.288457168200588,-0.167249427009221,0.231372315869588,0.190137979737304,0.121404206594665,0.161714466734496,-0.3025407598583,-0.181677315244462,-0.246052626623881,-0.162365531317178,0.0805002147630864,-0.0310776328490278,-0.170527462999404,0.0315149884338987,-0.0383249442966859,0.0753136121647864,0.118871296739275,0.194152459536172,0.0240001316864075
"X.CPU..CN..195..1.0..0.103895.",-0.313823154101768,0.238335671383111,-0.26291554893036,0.10653360198948,0.102356878571516,0.331568672744457,0.24650729164742,-0.373729053308249,-0.209782561730832,0.0613959565354953,-0.239176500171173,0.058793732460517,0.168485460661148,-0.194849811680919,-0.00768577417366384,-0.192148789158053,-0.486409995903861,-0.438314275704815,0.230243163439028,0.187932513617587,0.385285092742314,0.172890492006496,0.264729473894601,0.455341852995941,0.114476728116227,-0.544305564572152,0.367951199831481,-0.124948590471126,-0.270864993657467,-0.0425741673546563,-0.193279632020002,0.00145111925084102,0.0689756328329472,0.108948999491229,-0.137942960108403,-0.00795889254652168,0.288217819379463,-0.331447107505437,0.122251697359521,-0.509280392691518,0.351279494705497,-0.521116583719765,-0.271376348666819,-0.428098373112947,-0.113094842271407,0.417604426579717,-0.489915656559284,-0.331469891867505,0.0245162512464884,-0.0357872192035746,-0.259947517747732,0.0208383433493915,0.302321127671378,0.223486202444563,-0.06909883943845,0.271269588975412,0.132055011692308,-0.205057194361295,0.0641239119083409,-0.0823427265996342,0.0561541804935701,0.173343526094335,-0.348395933668698,-0.327381455384676,0.117956659567819,0.220638330939576,-0.431316320761733,0.296386169727302,-0.413200586771852,-0.181172727990021,-0.454633451809351,-0.385579107323411,0.132698180993045,0.00766336836524517,0.00862874755648737,0.170516860149217,0.370520225423203,0.0845344024012692,0.336549727768344,-0.234666550519131,-0.0613784265935541,-0.143241828137184,0.178590769807077,0.314988532757924,-0.554895375026562,0.545341950285463,0.164814342110218,-0.427065336871259,0.0419096745388129,-0.13676030614108,-0.0016083344166371,0.223698117714345
"X.CPU..SN..201..1.0..0.002198.",0.170734104871258,0.00708799662475432,0.0139003190893545,0.0156483178323029,0.0687613909912283,0.0403394334218227,0.0761851145173503,0.121716387339977,-0.113096441330553,0.0648270973568034,-0.0213440991998089,-0.0121708078956098,-0.172777118582152,-0.274036989657226,-0.13258141666687,-0.00581408013390809,0.102878299889067,0.0837644362090266,0.180703929789367,0.185707592447741,0.128633021702677,0.0643695194739905,-0.0953461783554754,0.0727071682368374,0.267908095164062,0.159150877744495,0.119972558327761,0.183551011308879,0.0301610826195989,0.0669617569539007,0.204210617513259,0.092934692845806,0.09081085678681,0.106566770680032,0.1310994458126,0.149243714231953,0.194475257488278,0.00592444195213748,-0.0816737579977124,0.00248585610566135,0.0538912951681276,-0.0300271463708096,0.0928148090517463,0.0308984961980605,0.116796956881508,0.0765748328876323,-0.221753778305485,0.0646428989868841,0.0789267975372624,0.0835939519549177,-0.00163543178772294,0.0428864746481761,-0.0573550710280868,0.112206203095437,0.142506763864524,0.0226704733178429,0.190081346933018,0.0850602396221143,0.200730101227509,-0.132686854199145,0.111540717062473,-0.0213530795823279,0.0898417258258648,0.209454194095866,0.0566387510916837,0.120306755063665,0.051326722316882,-0.0297038631062432,0.182517521562058,0.0479378716371752,0.139918334091333,-0.0349537936775146,0.0684193788080835,0.139017575018774,0.066805848006567,0.0705594560250278,0.0524446025909711,0.179308958917033,0.159147950322431,0.0473754045302395,0.0858515882928369,0.115805505667663,0.0244190352350329,0.217049668322471,0.143230518814458,-0.101153393569885,0.0529080105123901,0.0349384308974442,0.22791772012087,0.0104570744505164,0.0895503378979674,0.254990086223244
