"","MEantiquewhite4","MEbisque4","MEblack","MEblue","MEblue2","MEbrown","MEbrown2","MEbrown4","MEcoral","MEcoral1","MEcoral2","MEcyan","MEdarkgreen","MEdarkgrey","MEdarkmagenta","MEdarkolivegreen","MEdarkolivegreen4","MEdarkorange","MEdarkorange2","MEdarkred","MEdarkseagreen3","MEdarkseagreen4","MEdarkslateblue","MEdarkturquoise","MEdarkviolet","MEfirebrick4","MEfloralwhite","MEgreen","MEgreenyellow","MEgrey","MEgrey60","MEhoneydew","MEhoneydew1","MEindianred4","MEivory","MElavenderblush2","MElavenderblush3","MElightcoral","MElightcyan","MElightcyan1","MElightgreen","MElightpink3","MElightpink4","MElightsteelblue","MElightsteelblue1","MElightyellow","MEmagenta","MEmagenta4","MEmaroon","MEmediumorchid","MEmediumpurple2","MEmediumpurple3","MEmidnightblue","MEnavajowhite1","MEnavajowhite2","MEorange","MEorangered3","MEorangered4","MEpaleturquoise","MEpalevioletred2","MEpalevioletred3","MEpink","MEplum","MEplum1","MEplum2","MEplum3","MEpurple","MEred","MEroyalblue","MEsaddlebrown","MEsalmon","MEsalmon2","MEsalmon4","MEsienna3","MEskyblue","MEskyblue1","MEskyblue2","MEskyblue3","MEsteelblue","MEtan","MEthistle","MEthistle1","MEthistle2","MEthistle3","MEturquoise","MEviolet","MEwhite","MEyellow","MEyellow4","MEyellowgreen"
"X.PFC..CN..171..1.0..0.024736.",0.133857656216418,0.167595894213566,0.0859297739304482,0.235634691665677,-0.176765945041857,0.224014107758953,0.168315119639825,0.181122790431221,-0.307267467224422,-0.29927865953042,0.278296425760867,0.365558763707063,0.0571064008574188,-0.325426209978127,0.160518735154598,-0.476818352583452,-0.370645428598934,0.0672604595115223,0.307279235933858,0.114563160657193,0.0206559968131115,0.354828044801938,0.205621042895191,0.168375357891679,0.167489012940407,0.297480278399469,0.327296221192803,-0.226161390416897,-0.363219008554206,-0.110295935077083,-0.0370730599648113,0.174130781448535,0.0996339982161838,-0.396531795393937,-0.160767610109184,-0.17011586781438,-0.479265613819399,0.188780319798288,-0.120540336958007,0.26933325379723,-0.362657714102101,-0.313584539488438,0.313304561559111,-0.227564570711654,0.360220103383864,-0.362993397240218,-0.0608487086346225,0.0438546408496106,0.35093196471651,-0.284391819520044,0.235627747791509,0.0990598722206242,-0.117741770259135,0.19957227638003,0.316442918928357,-0.0310989259568506,0.116618483774495,-0.23382221510578,0.100135596050157,-0.0358727159882685,0.281588938291736,-0.232866818476819,-0.188966496980067,0.016523690643956,-0.199330653326962,0.151505140812447,0.283678480511068,-0.137240116681421,0.023987796169403,0.0200962317098464,0.203271485869714,-0.018304978630417,0.135100266977924,0.266002154247,0.267584626558181,0.370432469501338,0.10095106422089,0.224811574553172,0.0670656447062999,-0.407445620455658,0.0328771381920247,0.0787733099541995,-0.161506699644982,-0.023077657591389,0.19181212577499,-0.299180509324171,-0.35546567596596,0.241243109448761,-0.0287410620259266,0.244189019572206
"X.PFC..CN..175..1.0..0.177900.",0.0498000506879636,0.0363961465792834,0.480588070225659,0.632191819847039,-0.0349386575438762,0.619243381338974,0.140165674873469,-0.0414985828584343,-0.471339410440033,-0.131971588733606,0.162063896707143,0.518980948436933,0.073555919469577,-0.546531497379033,0.347112191555165,-0.465678925664815,-0.300288197788029,-0.174693463060779,0.279151309244157,-0.225633301478893,0.134843026369901,0.0754490118906128,0.0706793000665856,-0.064281265928019,0.257897831282211,0.259629418141946,0.482187253585673,-0.586024656925298,-0.572082873033839,-0.323044876407811,-0.364063277350479,0.109827329119504,0.159763819887822,-0.49236403845864,-0.198721391891902,-0.0984237325494277,-0.413931850432692,0.365766816166316,0.16577966342404,0.392928540577556,-0.558258912103036,-0.450157389045086,0.479787775637527,-0.16873107812855,0.0786732285672106,-0.495419884099151,-0.453064880986789,-0.245208035363316,0.534119137976262,-0.653183600918132,0.228917935509565,0.289740710753531,-0.160630532971973,0.209758876227228,0.319106187312957,0.33302172530615,-0.00880020631015738,-0.245210526710961,-0.189068689409483,0.0996603986673069,0.177996998597763,-0.559345917173342,-0.531011392391349,0.274233834927975,-0.258261278356104,-0.0479828783186799,0.617728547582926,-0.571421396850413,-0.27017067516486,-0.239032647461667,0.0149892206306387,0.0497831284530516,0.302225233057305,0.281899736233628,-0.0100399632657411,0.160554011125226,-0.0335237466760788,-0.0435853140395975,0.414971758041041,-0.623218108216959,0.147006233387298,0.000425374046495397,0.0430800681758631,-0.0556704630878182,0.561722321320881,-0.384308612532839,-0.403656661748746,0.615565061875726,-0.398415475381599,0.346561592956984
"X.PFC..SN..182..1.0..0.000818.",0.162127449805867,-0.161265521805077,0.191583809970813,0.208982623629403,0.127171929139048,0.213180978444176,0.0712814143172559,-0.0525395410623896,-0.0327810278953592,-0.112327949167874,-0.0336102309440516,0.0630015426803835,-0.288440967634244,-0.145179959154036,0.221095538899384,0.0290496239216856,0.00494618761742084,0.0778076434706777,0.105349684301947,-0.0373283919765878,0.105806318411142,-0.249909227027771,-0.157148818385952,-0.126044611923361,0.169614131021583,0.118689897442066,0.182387951733289,-0.118209778790889,-0.0522414497474049,-0.215246248303552,-0.13324602669412,-0.0413698790341703,0.0463065510703402,-0.0491908576011076,-0.166217537507146,-0.0345567697986941,-0.00625613151351137,0.235164221706034,0.142202251069435,0.17046922077193,-0.00734024964225219,-0.137000258870073,0.190848256640797,0.109479183348748,0.039278219848748,-0.0353642298768142,-0.182670595234803,-0.19986716828916,0.0660184253770082,-0.130564153009715,0.0609070635660462,-0.0170368800824118,-0.0587802740659804,0.0532151890021687,0.103432632550463,0.106802991947895,0.0697218157541937,-0.013624669514243,-0.131829701099325,-0.0592867904605592,0.0467851463854706,-0.1447657060551,-0.212210000045595,0.0920359208939903,-0.142941992758737,-0.0672647932239338,0.196110810937347,-0.101081333558468,-0.175239849965183,-0.114180258750886,-0.0977629720684019,0.0105564471635511,0.124107945217122,-0.00308615857121324,-0.0152793050464571,-0.133299027599258,-0.255494451681887,-0.144793312453717,0.12833993103365,0.0494808079316117,0.0552740757164768,0.0686207340949885,0.142653834153089,-0.0286243320926044,0.206909337815189,-0.173300207220247,0.0439254629995849,0.194014239856355,-0.26269048297162,0.159311057828539
"X.PFC..CN..183..1.0..0.030263.",-0.0250021828018565,-0.174401206976971,0.246470946888324,0.368433873500328,-0.109762630578626,0.330844518991978,-0.0140565816248246,0.0402483869745083,0.0906255333306439,-0.025937275684197,-0.267189847623088,0.204099204892522,-0.00284461528270305,-0.0549305598821367,0.143557851489209,-0.0957225306423279,-0.0133175317207056,-0.144379261278612,0.0244613326718323,-0.226279890509874,0.0506074804874666,-0.0334454690385943,-0.0852543253382687,-0.246259799146639,0.00919240121556161,0.061310064353157,0.154533750939967,-0.199558006066341,-0.095645964572628,0.026324873446275,-0.186290550573647,-0.0229778708992954,-0.0959444694197384,-0.0119368561382323,0.0562959937548528,-0.220393977456927,0.0591796918636937,0.0859727913473173,0.327555701289833,0.13096202010957,-0.190309708106206,0.132119237193983,0.139340569883109,-0.0715305213114386,-0.217954911694647,-0.0770207301393449,-0.184548320402836,-0.103188729930662,0.169826641415898,0.0951716708793896,-0.040244341806345,-0.167912735344173,-0.133929157143995,-0.131058190992833,0.01137522001235,-0.0124664542429987,0.104861008774182,0.140440536009084,-0.15122848569251,-0.253455415512209,0.0602481368806154,-0.18586807496694,-0.0702267992592871,-0.0843101254347988,0.0378908435983208,0.033750021010762,0.287017129829445,-0.201413229446142,-0.227112956064551,-0.192921113374987,-0.0376486655155658,-0.158935042456864,-0.0169154561064611,-0.0216413378925154,-0.0501507667950887,0.0211620790715244,-0.261577308804036,-0.162496843601938,0.0307588818056572,-0.119900169927176,-0.116668777542424,-0.059277271697188,-0.0764041435589507,0.0358614730434767,0.339812130976099,0.0323695447457941,-0.225829179336557,0.363793016615515,-0.126097542007812,0.152013462581848
"X.PFC..SN..185..1.0..0.000285.",0.275312805475071,-0.42535010401406,-0.078992829672888,-0.238277120004039,0.481031116973027,-0.10761638166466,0.294718991981311,0.14853325705546,-0.0304007226265216,0.00207350243153197,-0.431212200589977,-0.309583088824823,-0.406952362112724,-0.0322446046908706,0.236493649291836,0.159350692150676,0.186021362122843,-0.319189099984103,-0.419955279512504,-0.283574044872095,0.437221648363795,-0.302822804719615,-0.408172491833339,-0.368284585266299,0.330974907809343,0.130255429540903,-0.0871550256179523,-0.0860915125297063,0.0353958056847096,-0.314035992505609,-0.260837579418733,0.319344760665304,0.232324093111865,-0.0123898799577366,-0.410515831144434,0.314092514592003,0.0295791181653316,0.236809959364671,-0.35148323623634,0.100302604587294,0.0718830605282025,-0.158442991839347,0.087115322652112,0.54277511577942,-0.288779434400025,0.00102048544463332,-0.226589513867758,-0.346766643748751,-0.0550076713326959,-0.0610452299360643,-0.364138788273549,0.213115210727352,-0.34603399488417,0.328951736429962,0.102443683350593,0.142314269171954,0.276649810793473,-0.234901309830571,-0.372168743771076,0.329749059935069,0.151007028167413,-0.099010651666205,-0.205906970989716,0.264005403922953,-0.32067877316644,0.204822177365101,-0.161101886140649,-0.166976512050995,-0.315587105288897,-0.319867906522134,0.228875833763437,0.357121304456765,0.27798356650329,-0.47880465922138,0.116594486268024,-0.394078644539012,-0.34563612907694,-0.370825070145056,0.245388815969958,0.172043440777874,0.304498703113955,0.321355797704113,0.470533265410049,-0.344546199911822,-0.183725886584613,-0.114769193667831,0.357659213298451,-0.249065667895491,-0.319508454903745,0.126255361037533
"X.test_PFC..SN..191..1.0..0.018520.",-0.301344290157433,0.11188176330544,-0.229595390244721,-0.25429914527128,-0.0347413776827465,-0.314881200828191,-0.326388417773846,-0.302449284003976,0.511620368304773,0.427638786341558,-0.0656170192480498,-0.246127593330566,0.340229728365242,0.462562829820886,-0.364031782082699,0.359640916725727,0.30588550800519,0.25073778050944,-0.090942631518604,0.25768362485957,-0.34963631226863,-0.136454733954488,0.0335226990743928,0.119378375348968,-0.34866691212594,-0.419144545601213,-0.399855339745821,0.406330251547708,0.449110640238948,0.293476824936158,0.289163714483586,-0.278032626283378,-0.338232790101627,0.506983384941429,0.474014763503372,0.107172585667788,0.426209122800496,-0.45197242139982,0.200039661994563,-0.36213111799509,0.425882311311523,0.502769322712117,-0.373386897320663,-0.0509063469956298,-0.157388116096558,0.500757075360417,0.33645258386085,0.144168564545374,-0.401717634067231,0.37740935617268,-0.00601382086469063,-0.043852259173903,0.353359634667416,-0.209426298821514,-0.353204800323646,-0.101411206256705,-0.302581032414062,0.473652758930967,0.197395741325141,-0.11651099677665,-0.336349839117673,0.442510801204537,0.432152266452378,-0.126687461341667,0.451901259414426,-0.37497952303458,-0.353705906016362,0.365067436449848,0.259181512054017,0.214980546918755,-0.291192103853656,-0.188021510279451,-0.325182347470031,0.00411544851714135,-0.266071588843485,-0.103015607073315,0.116021585431728,0.0876082256378559,-0.215478040366439,0.367354273645285,-0.226640003638557,-0.245471344047707,-0.019643033503954,0.120843925848461,-0.223300450460164,0.506567351655856,0.17587112908538,-0.256133227676663,0.333637143839795,-0.369764035818116
"X.PFC..SN..193..1.0..0.002738.",-0.102073701176471,0.017346945592755,-0.298583312023179,-0.30292856193093,0.198644939151681,-0.358094819303637,-0.259153821251653,-0.165966267947628,0.0445085193596637,0.194489224102234,0.0327372188084404,-0.322949162057507,-0.0209639383747488,0.179632020731707,-0.331846957913791,0.290888648566774,0.315880929604107,0.132253391046048,-0.157678402679004,0.141345178547199,-0.2371223349727,-0.285369738366453,-0.0796296123929109,0.0905914777992926,-0.19000230692793,-0.274624453796873,-0.309514547359364,0.267643029207201,0.274243668593385,0.0530241215019703,0.146526347317127,-0.146761997085257,-0.266180208532337,0.170058926322655,0.0337269366423053,0.303397479491363,0.199143812495023,-0.309203351707511,-0.237354868799513,-0.35670161252237,0.355570643797032,0.0675525865239375,-0.312529992370316,0.0597555900619704,-0.145071122065731,0.225817566663541,0.162015307706064,-0.0195046904554133,-0.30736776027416,0.0252253164236048,-0.0720695580439634,0.0749543347841418,0.216538275674856,-0.0107551598333896,-0.197838664368989,-0.0530482026337483,-0.286310237275099,0.0700922869062429,0.118752248065737,0.132459621401675,-0.356985701667323,0.253852215150985,0.131921290353494,0.0940163308327827,0.0479832630008747,-0.370701233498163,-0.32883409495881,0.213027502553023,0.122188071162654,0.110356192085496,-0.17265606337301,0.00920902903814856,-0.118899145754169,-0.125826133940117,-0.25449823653656,-0.195080262367742,0.0646368892308215,-0.0159337774886667,-0.127406868625671,0.301585949671013,-0.0194146573505738,-0.0965743360976958,0.118723174492917,0.125571796211224,-0.339841778554326,0.13396106119172,0.289663040660023,-0.314137416273347,0.0933139991058692,-0.373720469046869
"X.PFC..CN..194..1.0..0.0.",-0.705409275027276,0.141549549164302,-0.0701412557985441,0.0703188103750742,-0.171385246264319,-0.0451159264203893,-0.572281166358503,-0.61652580017359,0.263235705112508,0.189348202274465,0.0834516763041094,-0.139796549048288,0.265580975531457,0.207927449556456,-0.391456729630407,0.169252555444466,0.181991875245401,0.336642590773225,0.105308862204761,0.152939396293697,-0.542045400470688,-0.0932325367969478,0.187944681944106,0.166360830233175,-0.462167165627266,-0.486160090293418,-0.258028576157775,0.182872536887505,0.201820413766304,0.495855076698131,0.216346654110517,-0.654346490025369,-0.575426316010638,0.235936833059634,0.402331232209258,-0.27163057199651,0.200653000283921,-0.440721834828554,0.270583916402616,-0.464369963907504,0.192634024194586,0.229994414033635,-0.418129377800337,-0.274585203242519,-0.111427221146028,0.23681344616287,0.178375593542023,0.087836025961963,-0.386720870251015,0.0862333332086697,0.156227211031915,-0.35968125189338,0.550460436169179,-0.551148691718447,-0.595389928081645,-0.154077515032023,-0.610931180214281,0.435853824579345,0.173351353587077,-0.312209869219992,-0.45066856550476,0.142761537703947,0.104275218026952,-0.306825976570062,0.415568942121265,-0.468141230382338,-0.10964072519619,0.151587081729192,0.248254476330007,0.248065925060938,-0.656904961687983,-0.454824171886814,-0.472522307721784,0.182779780568983,-0.6060200342264,-0.0713823789941327,0.23777121035173,0.0466405470980941,-0.284032231831946,0.120939154740209,-0.420287946887337,-0.553032812841173,-0.268527692255094,0.310862837537399,0.0111002465604647,0.310610975034164,-0.0787002271438609,0.0407555770530279,0.131287039043952,-0.450565285090356
"X.PFC..CN..195..1.0..0.103895.",-0.334221667768047,0.256451029139758,-0.114484415800607,-0.120958662846956,-0.164756911844038,-0.216226731208794,-0.364396797993442,-0.239485916196019,0.335712441660599,0.446374581714864,0.0152567439740988,-0.0986994394953482,0.492548041923372,0.443118224989194,-0.435406686936675,0.208332044345507,0.267220841125471,0.0125723081675295,-7.33085141569612e-05,0.089286840752235,-0.295434551414323,0.105384943232942,0.215046125882665,0.228981778768815,-0.397684602297619,-0.421365316421983,-0.272731866016811,0.298695745236173,0.318749121817984,0.379890471955439,0.317305028431919,-0.255720756655634,-0.314403609096312,0.362972750724509,0.44445170366669,0.150347891241689,0.317255888341045,-0.402611414995147,0.150209647425432,-0.408796393358855,0.169900823201288,0.443761203587445,-0.381211511347146,-0.299215436246595,-0.204550691038629,0.342164210407626,0.295749841900647,0.486879484196724,-0.303529089760005,0.413130362073137,0.013323187133801,0.0276112401817088,0.195302441893413,-0.159833693267847,-0.375337691160955,-0.0367092466016021,-0.31144147135322,0.403472881304802,0.248879961672051,-0.043476072164172,-0.448650584503925,0.403382685919386,0.516234882747726,-0.0802568348201336,0.513725839628105,-0.28936104443004,-0.233856053387718,0.224092892721414,0.324530992099219,0.287512707535977,-0.237537530201771,-0.139850777320473,-0.309662776019604,0.145446244644614,-0.327589607336071,0.0415743919875863,0.476064598618169,0.176089710890587,-0.234088373743157,0.110773951333204,-0.241701067590953,-0.29988403644457,-0.123271256533,0.256869178731782,-0.13981223656832,0.479615997267381,-0.0506781016280408,-0.115455691259615,0.557520756075265,-0.426274734955317
"X.PFC..SN..201..1.0..0.002198.",0.0999890304621002,0.118856858186359,-0.305933010275226,-0.134941696608366,-0.0360912464842223,-0.181022947254909,0.0296301571706786,0.0128955965940516,-0.316754256466603,-0.281106761500432,0.205151784538272,-0.00940942734755026,-0.460198852284253,-0.0952571433532505,-0.054123643962548,-0.132412807656286,-0.157799392449868,0.159081873038361,0.0818152496818139,0.219358368069793,0.0488214726358417,0.0478858126477159,0.0565295951933716,0.197444966414229,-0.0115793743065255,0.0955697789800411,0.0600847334439367,0.104571310596636,-0.045069741676119,0.000855106855156294,0.147099487028513,0.0324960170910593,0.0511896344231051,-0.205372986564757,-0.347238600466256,-0.0153823894606929,-0.232722535026184,0.0364605555149266,-0.469500445782523,0.00890531866872595,0.0285313761851095,-0.212046349036776,-0.0425678780005196,0.0410350124165933,0.21182038685535,-0.124200903278705,0.119948537590314,-0.030064309311087,0.0224812880938703,-0.227950465307542,0.139190684153293,-0.125705698305178,0.0572066269307649,-0.0226760089849296,0.0807963717677915,-0.253755178076936,-0.0129469535978836,-0.326168281430611,0.150289154176011,-0.00526503217314433,0.0965907578561408,0.0511261844589117,-0.0516458776492899,-0.0715789537047488,-0.258284638086693,0.0100211469876588,-0.0785773154123874,0.158121151942588,0.141276244251404,0.157632308503365,0.08845705361711,-0.0347112325177012,-0.00333705437188422,0.0132663398086559,0.148664587454659,0.125414496325309,0.0331679412704179,0.189417599506877,-0.178413631827186,0.062243320963067,-0.054491659028017,0.032268488690163,-0.133400174031328,0.050817011345406,-0.271953951129417,-0.236917172948105,0.0622094596636301,-0.105008151112467,-0.00338478873274626,-0.00725422341507656
