"","AI"
"MEpurple",-0.595592141714707
"MEred",-0.683600759881559
"MEblue",-0.52210086176509
"MElightgreen",-0.520786842787378
"MElightcyan",-0.515479483067377
"MEmagenta",-0.515564925011518
"MEmidnightblue",-0.440796303541897
"MEgrey60",-0.381500347581071
"MEpink",-0.430240081128114
"MEblack",0.332713743649096
"MEgreenyellow",0.255929128438465
"MEturquoise",0.493007873314783
"MEsalmon",0.482282125216564
"MEyellow",0.394761398576594
"MEgreen",0.32692929223919
"MEtan",0.371887037911015
"MEbrown",0.209233565298246
"MEcyan",0.181612552097623
"MEgrey",-0.27561529957695
