"","AI"
"MEblack",0.201213871693986
"MEpink",0.377584128696492
"MEtan",0.356167479206243
"MEroyalblue",0.101661773884208
"MElightcyan",0.196125292685179
"MEmidnightblue",0.253032375292548
"MEred",0.297905426038535
"MEgrey60",0.366205816617716
"MEmagenta",0.555569705696199
"MEdarkturquoise",0.419787793571264
"MElightgreen",0.428970251520109
"MEbrown",-0.401962769004592
"MEgreenyellow",-0.263938929133199
"MEturquoise",-0.212160107106687
"MEcyan",-0.308296825706638
"MEdarkred",-0.230333195013177
"MEpurple",-0.213954413256214
"MEsalmon",-0.361816867709537
"MEdarkgreen",-0.298661024055481
"MElightyellow",-0.323000856331739
"MEgreen",-0.409659640996109
"MEblue",-0.490624405866069
"MEyellow",-0.412861876595461
"MEgrey",-0.492102043939277
