"","AI"
"MEblack",0.454905660471018
"MEpink",0.149346655229117
"MEtan",0.175732960897943
"MEroyalblue",0.707932854870025
"MElightcyan",0.466625323595621
"MEmidnightblue",0.344383188449371
"MEred",0.262439088362105
"MEgrey60",0.163007317636657
"MEmagenta",0.0254621335046266
"MEdarkturquoise",0.10549929888587
"MElightgreen",0.0973181530962764
"MEbrown",0.12273965737353
"MEgreenyellow",0.323260848615804
"MEturquoise",0.430203192115468
"MEcyan",0.24534613837739
"MEdarkred",0.390769504930381
"MEpurple",0.426221220648624
"MEsalmon",0.168492897686117
"MEdarkgreen",0.261172212655857
"MElightyellow",0.222373477726281
"MEgreen",0.115071458817303
"MEblue",0.0536600020337386
"MEyellow",0.111981925166419
"MEgrey",0.0528343977584271
