"","AI"
"MEorange",0.54956397133585
"MEpink",0.206743962343144
"MEtan",0.431773387527673
"MEdarkred",0.427688634690791
"MElightgreen",0.374768915519035
"MEgrey60",0.502282782227637
"MEpurple",0.575730688665065
"MEred",0.552080352141603
"MEturquoise",0.356899963423659
"MEdarkorange",0.647606347985317
"MElightyellow",0.494828134170212
"MEgreenyellow",0.244557350457518
"MEgreen",0.364702961399941
"MElightcyan",0.511484670216086
"MEblue",-0.15297556711846
"MEdarkgreen",-0.35081662603963
"MEroyalblue",-0.527329176218966
"MEcyan",-0.0849013192864228
"MEblack",-0.247236074466759
"MEbrown",-0.0468301171802452
"MEmagenta",-0.378189840097921
"MEsalmon",-0.13627561928164
"MEdarkgrey",-0.201886645152591
"MEdarkturquoise",-0.529324352359048
"MEmidnightblue",-0.546991914387176
"MEyellow",-0.324549479179136
"MEgrey",-0.203928762303239
