"","AI"
"MEorange",0.0338253376560777
"MEpink",0.459727670800778
"MEtan",0.108027891597058
"MEdarkred",0.111778274602541
"MElightgreen",0.168716270455632
"MEgrey60",0.0563859454354045
"MEpurple",0.0247102932129754
"MEred",0.0328531692500559
"MEturquoise",0.191598574770355
"MEdarkorange",0.00904623815596105
"MElightyellow",0.0607556376711981
"MEgreenyellow",0.379702128825211
"MEgreen",0.18137265460371
"MElightcyan",0.0513142534476551
"MEblue",0.586239558179304
"MEdarkgreen",0.199824179573298
"MEroyalblue",0.0433784713985357
"MEcyan",0.763538037106444
"MEblack",0.374337789555905
"MEbrown",0.868371819858825
"MEmagenta",0.164551166552512
"MEsalmon",0.628190893658182
"MEdarkgrey",0.470569641808117
"MEdarkturquoise",0.0424478606570924
"MEmidnightblue",0.0348411542722202
"MEyellow",0.237914141161065
"MEgrey",0.465996409421953
