"","AI"
"MEpink",-0.104272356790689
"MEtan",-0.408382653678343
"MEmagenta",-0.408717643937829
"MEcyan",-0.338075205546457
"MEgreenyellow",-0.512025189344121
"MEblack",-0.556414757958539
"MEmidnightblue",-0.363178395827876
"MEbrown",-0.326052994950636
"MEred",-0.319638602011723
"MEpurple",-0.700826575314718
"MEgreen",-0.437984314764088
"MEsalmon",-0.473024414479743
"MElightgreen",0.302446472859231
"MEgrey60",0.489483186831093
"MElightcyan",0.521706391291061
"MEyellow",0.456889210981913
"MEblue",0.459615907832044
"MEturquoise",0.362996327242367
