"","AI"
"MEpink",0.711516236477999
"MEtan",0.130725726630393
"MEmagenta",0.130379471175191
"MEcyan",0.217776845615729
"MEgreenyellow",0.0510271520726689
"MEblack",0.0312280306353185
"MEmidnightblue",0.183342020793208
"MEbrown",0.235620576622192
"MEred",0.245501703840023
"MEpurple",0.00360894946614287
"MEgreen",0.102494424647247
"MEsalmon",0.0749461310173744
"MElightgreen",0.273225070554077
"MEgrey60",0.0640367547044669
"MElightcyan",0.0460824783055222
"MEyellow",0.0868754501038526
"MEblue",0.0847708458197715
"MEturquoise",0.183578135309919
