"","AI"
"MEbisque4",0.568399321307867
"MEdarkred",0.329811424278975
"MEskyblue3",0.723089847156502
"MElightsteelblue1",0.442180348903331
"MEgrey60",0.0912249197992556
"MEviolet",0.0174717254346026
"MEbrown4",0.21606084633856
"MEsaddlebrown",0.427645398507507
"MEivory",0.0702412564408953
"MEsteelblue",-0.121576424995025
"MEdarkmagenta",-0.0237415545041834
"MEorangered4",-0.025557559824738
"MEskyblue",0.546264814236995
"MEyellowgreen",0.357052585082455
"MEorange",0.324230125637984
"MEdarkgrey",0.138380715681362
"MEdarkorange2",0.132611189359197
"MElightcyan1",0.461831419217951
"MEpink",0.364785733341206
"MEbrown",0.67397817814373
"MEblack",0.74546851566077
"MEblue",0.806526524223128
"MEsalmon",0.236934673513383
"MEdarkorange",0.444443879019806
"MEsienna3",0.480342782397878
"MEgreenyellow",-0.0966752629642192
"MEplum1",-0.158911220454189
"MElightgreen",0.00863569887300406
"MEturquoise",-0.138342797168594
"MEgreen",-0.283420168311839
"MEyellow",-0.153239327219644
"MElightyellow",-0.355313817050523
"MEfloralwhite",-0.210102510964358
"MEwhite",-0.255383522400492
"MEmagenta",-0.436806097028415
"MEdarkolivegreen",-0.300723076705044
"MEred",-0.240442949081356
"MEroyalblue",0.0105514808447278
"MEdarkgreen",-0.118975840209453
"MEmediumpurple3",0.000508364854253859
"MEdarkturquoise",-0.243709464506731
"MEtan",-0.418333365284106
"MEpaleturquoise",-0.137211271833332
"MEmidnightblue",-0.330044799990291
"MEcyan",-0.328953710134184
"MElightcyan",-0.344083730208178
"MEpurple",-0.381854732894991
