"","AI"
"MEbisque4",0.0538196532663382
"MEdarkred",0.295131060455046
"MEskyblue3",0.00787518097709308
"MElightsteelblue1",0.150058324036962
"MEgrey60",0.777973625208282
"MEviolet",0.95702067123001
"MEbrown4",0.500023311051131
"MEsaddlebrown",0.165521296813933
"MEivory",0.828272766146191
"MEsteelblue",0.70662653536506
"MEdarkmagenta",0.941617406280329
"MEorangered4",0.937159187330712
"MEskyblue",0.0661275198621243
"MEyellowgreen",0.254553707549395
"MEorange",0.303867851367452
"MEdarkgrey",0.668000146798278
"MEdarkorange2",0.681184136976892
"MElightcyan1",0.130671714912717
"MEpink",0.243664195597532
"MEbrown",0.0162454151416425
"MEblack",0.00538598530159332
"MEblue",0.00152731338774385
"MEsalmon",0.458415861599406
"MEdarkorange",0.147736788140719
"MEsienna3",0.113973328308925
"MEgreenyellow",0.765028124772496
"MEplum1",0.621801225705573
"MElightgreen",0.978750197820019
"MEturquoise",0.668086518790005
"MEgreen",0.372025395465758
"MEyellow",0.634448119437265
"MElightyellow",0.257040644794294
"MEfloralwhite",0.512199194518157
"MEwhite",0.423060891951365
"MEmagenta",0.155663417159462
"MEdarkolivegreen",0.342219480158855
"MEred",0.451587904438457
"MEroyalblue",0.974037319324669
"MEdarkgreen",0.712664026813307
"MEmediumpurple3",0.998748946297572
"MEdarkturquoise",0.445274270424421
"MEtan",0.175937073482014
"MEpaleturquoise",0.670665639675264
"MEmidnightblue",0.29476885541149
"MEcyan",0.29646440502549
"MElightcyan",0.273442236324643
"MEpurple",0.220619168315479
