geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	database	userId
GO:0006396	RNA processing	http://amigo.geneontology.org/amigo/term/GO:0006396	775	21	6.775020096463022	3.099621802002225	4.356946983863352e-6	0.041491206127330704	13434;20088;24010;66935;67011;67239;67302;70650;70767;71916;72515;74200;75553;100715;108013;116940;193116;209416;213895;231386;433702	geneontology_Biological_Process	ENSMUSG00000015748;ENSMUSG00000020409;ENSMUSG00000020648;ENSMUSG00000021012;ENSMUSG00000022000;ENSMUSG00000024268;ENSMUSG00000024474;ENSMUSG00000025290;ENSMUSG00000026723;ENSMUSG00000028330;ENSMUSG00000029427;ENSMUSG00000031148;ENSMUSG00000038510;ENSMUSG00000041057;ENSMUSG00000041777;ENSMUSG00000042167;ENSMUSG00000021891;ENSMUSG00000028060;ENSMUSG00000028233;ENSMUSG00000030138;ENSMUSG00000035851
GO:0016071	mRNA metabolic process	http://amigo.geneontology.org/amigo/term/GO:0016071	586	17	5.122789389067524	3.318504570240477	1.5887027964178735e-5	0.06600300991418726	16341;16909;24010;66935;67302;68134;70650;70767;74200;75553;100715;108013;193116;209416;227331;231386;433702	geneontology_Biological_Process	ENSMUSG00000015748;ENSMUSG00000020409;ENSMUSG00000021012;ENSMUSG00000022000;ENSMUSG00000024268;ENSMUSG00000024474;ENSMUSG00000028330;ENSMUSG00000029427;ENSMUSG00000031148;ENSMUSG00000032698;ENSMUSG00000036572;ENSMUSG00000041777;ENSMUSG00000042167;ENSMUSG00000022336;ENSMUSG00000028060;ENSMUSG00000035851;ENSMUSG00000048000
GO:0000245	spliceosomal complex assembly	http://amigo.geneontology.org/amigo/term/GO:0000245	39	5	0.3409364951768489	14.665487768936044	2.1813883190890948e-5	0.06600300991418726	74200;108013;193116;231386;433702	geneontology_Biological_Process	ENSMUSG00000020409;ENSMUSG00000024268;ENSMUSG00000028330;ENSMUSG00000028060;ENSMUSG00000035851
GO:0071826	ribonucleoprotein complex subunit organization	http://amigo.geneontology.org/amigo/term/GO:0071826	223	10	1.9494573954983923	5.1296324931704556	2.7723620671715743e-5	0.06600300991418726	16341;66361;67239;70767;74200;108013;193116;231386;268449;433702	geneontology_Biological_Process	ENSMUSG00000015748;ENSMUSG00000020409;ENSMUSG00000024268;ENSMUSG00000028330;ENSMUSG00000038510;ENSMUSG00000039795;ENSMUSG00000058546;ENSMUSG00000022336;ENSMUSG00000028060;ENSMUSG00000035851
GO:0006376	mRNA splice site selection	http://amigo.geneontology.org/amigo/term/GO:0006376	26	4	0.2272909967845659	17.598585322723256	7.257395264603783e-5	0.12249105354609893	74200;108013;193116;231386	geneontology_Biological_Process	ENSMUSG00000020409;ENSMUSG00000024268;ENSMUSG00000028060;ENSMUSG00000035851
GO:0006397	mRNA processing	http://amigo.geneontology.org/amigo/term/GO:0006397	420	13	3.6716237942122185	3.5406677613574167	8.621320933477339e-5	0.12249105354609893	24010;66935;67302;70650;70767;74200;75553;100715;108013;193116;209416;231386;433702	geneontology_Biological_Process	ENSMUSG00000015748;ENSMUSG00000020409;ENSMUSG00000021012;ENSMUSG00000022000;ENSMUSG00000024268;ENSMUSG00000024474;ENSMUSG00000028330;ENSMUSG00000029427;ENSMUSG00000031148;ENSMUSG00000041777;ENSMUSG00000042167;ENSMUSG00000028060;ENSMUSG00000035851
GO:0022618	ribonucleoprotein complex assembly	http://amigo.geneontology.org/amigo/term/GO:0022618	210	9	1.8358118971061093	4.9024630541871925	9.933165747244566e-5	0.12249105354609893	16341;67239;70767;74200;108013;193116;231386;268449;433702	geneontology_Biological_Process	ENSMUSG00000015748;ENSMUSG00000020409;ENSMUSG00000024268;ENSMUSG00000028330;ENSMUSG00000038510;ENSMUSG00000058546;ENSMUSG00000022336;ENSMUSG00000028060;ENSMUSG00000035851
GO:0090394	negative regulation of excitatory postsynaptic potential	http://amigo.geneontology.org/amigo/term/GO:0090394	11	3	0.09616157556270095	31.197492163009407	1.0290123158340769e-4	0.12249105354609893	64009;77116;108013	geneontology_Biological_Process	ENSMUSG00000024268;ENSMUSG00000031918;ENSMUSG00000096054
GO:0099072	regulation of postsynaptic membrane neurotransmitter receptor levels	http://amigo.geneontology.org/amigo/term/GO:0099072	91	6	0.7955184887459806	7.542250852595681	1.476239106734667e-4	0.15620250014926926	13642;18759;22627;54376;54377;64009	geneontology_Biological_Process	ENSMUSG00000001300;ENSMUSG00000037643;ENSMUSG00000066189;ENSMUSG00000020723;ENSMUSG00000020849;ENSMUSG00000096054
GO:0099590	neurotransmitter receptor internalization	http://amigo.geneontology.org/amigo/term/GO:0099590	34	4	0.2972266881028939	13.457741717376607	2.1318663539471316e-4	0.18472444339144875	13642;54376;54377;64009	geneontology_Biological_Process	ENSMUSG00000001300;ENSMUSG00000066189;ENSMUSG00000020723;ENSMUSG00000096054
