geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	database	userId
mmu04142	Lysosome	http://www.kegg.jp/kegg-bin/show_pathway?mmu04142+114143+11605+13040+14667+15212+16792+17159+18145+19141+27060+67963+74008	124	12	1.83782154340836	6.529469655549481	3.2659208137886253e-7	0.002402652698092811	114143;11605;13040;14667;15212;16792;17159;18145;19141;27060;67963;74008	pathway_KEGG	ENSMUSG00000021665;ENSMUSG00000024413;ENSMUSG00000028581;ENSMUSG00000038642;ENSMUSG00000021242;ENSMUSG00000021190;ENSMUSG00000000594;ENSMUSG00000001750;ENSMUSG00000005142;ENSMUSG00000020604;ENSMUSG00000031266;ENSMUSG00000033379
GO:0040011	locomotion	http://amigo.geneontology.org/amigo/term/GO:0040011	1665	51	24.677200562700964	2.0666849900748208	5.045999575958859e-7	0.002402652698092811	11421;12977;12978;13051;13650;13805;14182;14388;14747;14763;15212;17913;17974;18806;18830;19141;19243;19285;20353;20397;20440;20672;20750;21846;22051;22422;23871;26362;29806;56233;56508;66597;71609;72461;76854;78560;93840;101502;105844;107449;108101;110012;140570;140571;217069;224650;228564;269116;319757;328949;494504	geneontology_Biological_Process	ENSMUSG00000000275;ENSMUSG00000002602;ENSMUSG00000014599;ENSMUSG00000017774;ENSMUSG00000020097;ENSMUSG00000020282;ENSMUSG00000021665;ENSMUSG00000024621;ENSMUSG00000024965;ENSMUSG00000025239;ENSMUSG00000026814;ENSMUSG00000027238;ENSMUSG00000031486;ENSMUSG00000031565;ENSMUSG00000031714;ENSMUSG00000032035;ENSMUSG00000035235;ENSMUSG00000036606;ENSMUSG00000042190;ENSMUSG00000049044;ENSMUSG00000052336;ENSMUSG00000071847;ENSMUSG00000004044;ENSMUSG00000017754;ENSMUSG00000020828;ENSMUSG00000023348;ENSMUSG00000026064;ENSMUSG00000029304;ENSMUSG00000033170;ENSMUSG00000033191;ENSMUSG00000042289;ENSMUSG00000071856;ENSMUSG00000020099;ENSMUSG00000020681;ENSMUSG00000022475;ENSMUSG00000026121;ENSMUSG00000026442;ENSMUSG00000026556;ENSMUSG00000031385;ENSMUSG00000046470;ENSMUSG00000061119;ENSMUSG00000001761;ENSMUSG00000021190;ENSMUSG00000031887;ENSMUSG00000053647;ENSMUSG00000022382;ENSMUSG00000024219;ENSMUSG00000039904;ENSMUSG00000022885;ENSMUSG00000020308;ENSMUSG00000066877
GO:0010035	response to inorganic substance	http://amigo.geneontology.org/amigo/term/GO:0010035	551	24	8.166448954983922	2.9388538558553017	2.6985276961877247e-6	0.007593437679925473	11428;11513;12334;12335;13430;14450;14567;14763;14854;17766;17969;18145;18439;18806;19141;19697;23871;23939;26362;50799;50873;67092;227753;320404	geneontology_Biological_Process	ENSMUSG00000002602;ENSMUSG00000023826;ENSMUSG00000024413;ENSMUSG00000027199;ENSMUSG00000029468;ENSMUSG00000031659;ENSMUSG00000032035;ENSMUSG00000079110;ENSMUSG00000015112;ENSMUSG00000020828;ENSMUSG00000028405;ENSMUSG00000036639;ENSMUSG00000001034;ENSMUSG00000015950;ENSMUSG00000026509;ENSMUSG00000033335;ENSMUSG00000038855;ENSMUSG00000021190;ENSMUSG00000022962;ENSMUSG00000026879;ENSMUSG00000024927;ENSMUSG00000027610;ENSMUSG00000039904;ENSMUSG00000015291
GO:0001570	vasculogenesis	http://amigo.geneontology.org/amigo/term/GO:0001570	86	9	1.2746181672025723	7.060938115884904	5.175132402057692e-6	0.007593437679925473	13805;14182;20397;20672;21846;22422;54409;56233;319757	geneontology_Biological_Process	ENSMUSG00000020097;ENSMUSG00000026814;ENSMUSG00000031565;ENSMUSG00000033191;ENSMUSG00000001240;ENSMUSG00000022475;ENSMUSG00000046470;ENSMUSG00000001761;ENSMUSG00000022382
GO:0040012	regulation of locomotion	http://amigo.geneontology.org/amigo/term/GO:0040012	951	33	14.094905546623794	2.341271453777469	5.291680775343366e-6	0.007593437679925473	11421;12977;12978;13051;13805;14182;14388;14747;17913;18806;19141;19243;19285;20353;20440;21846;22051;23871;56233;56508;66597;71609;72461;76854;78560;105844;108101;140570;140571;217069;228564;319757;328949	geneontology_Biological_Process	ENSMUSG00000000275;ENSMUSG00000014599;ENSMUSG00000017774;ENSMUSG00000024621;ENSMUSG00000024965;ENSMUSG00000026814;ENSMUSG00000027238;ENSMUSG00000031486;ENSMUSG00000031565;ENSMUSG00000031714;ENSMUSG00000032035;ENSMUSG00000035235;ENSMUSG00000036606;ENSMUSG00000042190;ENSMUSG00000049044;ENSMUSG00000052336;ENSMUSG00000004044;ENSMUSG00000020828;ENSMUSG00000023348;ENSMUSG00000026064;ENSMUSG00000033170;ENSMUSG00000033191;ENSMUSG00000071856;ENSMUSG00000020681;ENSMUSG00000022475;ENSMUSG00000026121;ENSMUSG00000031385;ENSMUSG00000061119;ENSMUSG00000001761;ENSMUSG00000021190;ENSMUSG00000031887;ENSMUSG00000053647;ENSMUSG00000022885
GO:0022603	regulation of anatomical structure morphogenesis	http://amigo.geneontology.org/amigo/term/GO:0022603	1005	34	14.895247186495176	2.2826073024706974	6.491128663355106e-6	0.007593437679925473	12334;12977;12978;13051;13430;13805;14182;14388;14567;15212;17136;17196;20353;20440;21846;22422;23871;23939;27054;29806;50873;54409;54612;56233;56699;67414;70827;78560;93840;104445;105844;140570;140571;319757	geneontology_Biological_Process	ENSMUSG00000014599;ENSMUSG00000021665;ENSMUSG00000023826;ENSMUSG00000024621;ENSMUSG00000025239;ENSMUSG00000026028;ENSMUSG00000026814;ENSMUSG00000031486;ENSMUSG00000031565;ENSMUSG00000031714;ENSMUSG00000032035;ENSMUSG00000036606;ENSMUSG00000052336;ENSMUSG00000033170;ENSMUSG00000033191;ENSMUSG00000001034;ENSMUSG00000001240;ENSMUSG00000022475;ENSMUSG00000026121;ENSMUSG00000026509;ENSMUSG00000026556;ENSMUSG00000031385;ENSMUSG00000033335;ENSMUSG00000041598;ENSMUSG00000001761;ENSMUSG00000018822;ENSMUSG00000027429;ENSMUSG00000022382;ENSMUSG00000036634;ENSMUSG00000041607;ENSMUSG00000049521;ENSMUSG00000022885;ENSMUSG00000027668;ENSMUSG00000015291
GO:0048870	cell motility	http://amigo.geneontology.org/amigo/term/GO:0048870	1476	44	21.876004823151124	2.011336181158422	6.922751348725775e-6	0.007593437679925473	11421;12977;12978;13051;13650;13805;14182;14388;14747;15212;17913;17974;18806;18830;19141;19243;19285;20353;20397;20672;20750;21846;22051;23871;26362;29806;56233;56508;71609;72461;76854;78560;93840;101502;105844;108101;110012;140570;140571;224650;228564;319757;328949;494504	geneontology_Biological_Process	ENSMUSG00000002602;ENSMUSG00000014599;ENSMUSG00000017774;ENSMUSG00000020097;ENSMUSG00000020282;ENSMUSG00000021665;ENSMUSG00000024621;ENSMUSG00000024965;ENSMUSG00000025239;ENSMUSG00000026814;ENSMUSG00000027238;ENSMUSG00000031486;ENSMUSG00000031565;ENSMUSG00000031714;ENSMUSG00000032035;ENSMUSG00000036606;ENSMUSG00000042190;ENSMUSG00000049044;ENSMUSG00000052336;ENSMUSG00000071847;ENSMUSG00000004044;ENSMUSG00000017754;ENSMUSG00000020828;ENSMUSG00000023348;ENSMUSG00000026064;ENSMUSG00000029304;ENSMUSG00000033170;ENSMUSG00000033191;ENSMUSG00000042289;ENSMUSG00000071856;ENSMUSG00000020681;ENSMUSG00000022475;ENSMUSG00000026121;ENSMUSG00000026556;ENSMUSG00000031385;ENSMUSG00000046470;ENSMUSG00000061119;ENSMUSG00000001761;ENSMUSG00000021190;ENSMUSG00000031887;ENSMUSG00000053647;ENSMUSG00000024219;ENSMUSG00000020308;ENSMUSG00000066877
GO:0051674	localization of cell	http://amigo.geneontology.org/amigo/term/GO:0051674	1476	44	21.876004823151124	2.011336181158422	6.922751348725775e-6	0.007593437679925473	11421;12977;12978;13051;13650;13805;14182;14388;14747;15212;17913;17974;18806;18830;19141;19243;19285;20353;20397;20672;20750;21846;22051;23871;26362;29806;56233;56508;71609;72461;76854;78560;93840;101502;105844;108101;110012;140570;140571;224650;228564;319757;328949;494504	geneontology_Biological_Process	ENSMUSG00000002602;ENSMUSG00000014599;ENSMUSG00000017774;ENSMUSG00000020097;ENSMUSG00000020282;ENSMUSG00000021665;ENSMUSG00000024621;ENSMUSG00000024965;ENSMUSG00000025239;ENSMUSG00000026814;ENSMUSG00000027238;ENSMUSG00000031486;ENSMUSG00000031565;ENSMUSG00000031714;ENSMUSG00000032035;ENSMUSG00000036606;ENSMUSG00000042190;ENSMUSG00000049044;ENSMUSG00000052336;ENSMUSG00000071847;ENSMUSG00000004044;ENSMUSG00000017754;ENSMUSG00000020828;ENSMUSG00000023348;ENSMUSG00000026064;ENSMUSG00000029304;ENSMUSG00000033170;ENSMUSG00000033191;ENSMUSG00000042289;ENSMUSG00000071856;ENSMUSG00000020681;ENSMUSG00000022475;ENSMUSG00000026121;ENSMUSG00000026556;ENSMUSG00000031385;ENSMUSG00000046470;ENSMUSG00000061119;ENSMUSG00000001761;ENSMUSG00000021190;ENSMUSG00000031887;ENSMUSG00000053647;ENSMUSG00000024219;ENSMUSG00000020308;ENSMUSG00000066877
GO:0016477	cell migration	http://amigo.geneontology.org/amigo/term/GO:0016477	1334	41	19.771402733118972	2.073702131984855	7.176408602260764e-6	0.007593437679925473	11421;12977;12978;13051;13650;13805;14182;14388;14747;15212;17913;17974;18806;19141;19243;20353;20397;20672;20750;21846;22051;23871;26362;29806;56233;56508;71609;72461;76854;78560;93840;101502;105844;108101;140570;140571;224650;228564;319757;328949;494504	geneontology_Biological_Process	ENSMUSG00000002602;ENSMUSG00000014599;ENSMUSG00000017774;ENSMUSG00000020097;ENSMUSG00000020282;ENSMUSG00000021665;ENSMUSG00000024621;ENSMUSG00000024965;ENSMUSG00000025239;ENSMUSG00000026814;ENSMUSG00000027238;ENSMUSG00000031486;ENSMUSG00000031565;ENSMUSG00000031714;ENSMUSG00000032035;ENSMUSG00000036606;ENSMUSG00000042190;ENSMUSG00000049044;ENSMUSG00000052336;ENSMUSG00000071847;ENSMUSG00000020828;ENSMUSG00000023348;ENSMUSG00000026064;ENSMUSG00000029304;ENSMUSG00000033170;ENSMUSG00000033191;ENSMUSG00000042289;ENSMUSG00000071856;ENSMUSG00000020681;ENSMUSG00000022475;ENSMUSG00000026121;ENSMUSG00000026556;ENSMUSG00000031385;ENSMUSG00000046470;ENSMUSG00000061119;ENSMUSG00000001761;ENSMUSG00000021190;ENSMUSG00000031887;ENSMUSG00000053647;ENSMUSG00000024219;ENSMUSG00000066877
GO:0044093	positive regulation of molecular function	http://amigo.geneontology.org/amigo/term/GO:0044093	1577	45	23.372940112540192	1.9253033543630365	1.6242530728516336e-5	0.01238491023536598	11421;11544;12335;12977;12978;13040;13051;13430;13806;14130;14182;14388;14567;14570;14667;17196;17305;17969;18088;18439;18519;19141;19339;19697;20787;22422;27054;50873;66597;67443;67469;69538;71609;72512;76281;76854;93840;105844;106952;107607;215653;217069;227753;235633;319757	geneontology_Biological_Process	ENSMUSG00000000275;ENSMUSG00000000708;ENSMUSG00000014599;ENSMUSG00000023826;ENSMUSG00000024349;ENSMUSG00000024451;ENSMUSG00000024621;ENSMUSG00000029468;ENSMUSG00000031565;ENSMUSG00000031714;ENSMUSG00000035235;ENSMUSG00000038642;ENSMUSG00000052336;ENSMUSG00000079110;ENSMUSG00000018169;ENSMUSG00000032540;ENSMUSG00000033170;ENSMUSG00000038058;ENSMUSG00000040158;ENSMUSG00000015950;ENSMUSG00000020681;ENSMUSG00000026556;ENSMUSG00000026656;ENSMUSG00000027339;ENSMUSG00000027434;ENSMUSG00000033335;ENSMUSG00000033420;ENSMUSG00000044037;ENSMUSG00000001761;ENSMUSG00000021190;ENSMUSG00000026879;ENSMUSG00000027429;ENSMUSG00000031887;ENSMUSG00000053647;ENSMUSG00000000594;ENSMUSG00000020538;ENSMUSG00000022382;ENSMUSG00000024927;ENSMUSG00000041607;ENSMUSG00000002844;ENSMUSG00000015291;ENSMUSG00000031812;ENSMUSG00000031840;ENSMUSG00000063524;ENSMUSG00000073433
