userId	geneSymbol	geneName	entrezgene	gLink
ENSMUSG00000065818	Snord35a	small nucleolar RNA, C/D box 35A	27211	https://www.ncbi.nlm.nih.gov/gene/?term=27211
ENSMUSG00000021594	Srd5a1	steroid 5 alpha-reductase 1	78925	https://www.ncbi.nlm.nih.gov/gene/?term=78925
ENSMUSG00000021809	Nudt13	nudix (nucleoside diphosphate linked moiety X)-type motif 13	67725	https://www.ncbi.nlm.nih.gov/gene/?term=67725
ENSMUSG00000025875	Tspan17	tetraspanin 17	74257	https://www.ncbi.nlm.nih.gov/gene/?term=74257
ENSMUSG00000026424	Gpr37l1	G protein-coupled receptor 37-like 1	171469	https://www.ncbi.nlm.nih.gov/gene/?term=171469
ENSMUSG00000030082	Sec61a1	Sec61 alpha 1 subunit (S. cerevisiae)	53421	https://www.ncbi.nlm.nih.gov/gene/?term=53421
ENSMUSG00000032531	Amotl2	angiomotin-like 2	56332	https://www.ncbi.nlm.nih.gov/gene/?term=56332
ENSMUSG00000032724	Abtb2	ankyrin repeat and BTB (POZ) domain containing 2	99382	https://www.ncbi.nlm.nih.gov/gene/?term=99382
ENSMUSG00000032867	Fbxw8	F-box and WD-40 domain protein 8	231672	https://www.ncbi.nlm.nih.gov/gene/?term=231672
ENSMUSG00000037813	D630003M21Rik	RIKEN cDNA D630003M21 gene	228846	https://www.ncbi.nlm.nih.gov/gene/?term=228846
ENSMUSG00000041319	Thoc6	THO complex 6	386612	https://www.ncbi.nlm.nih.gov/gene/?term=386612
ENSMUSG00000041930	Fam222a	family with sequence similarity 222, member A	433940	https://www.ncbi.nlm.nih.gov/gene/?term=433940
ENSMUSG00000076439	Mog	myelin oligodendrocyte glycoprotein	17441	https://www.ncbi.nlm.nih.gov/gene/?term=17441
ENSMUSG00000090137	Uba52	ubiquitin A-52 residue ribosomal protein fusion product 1	22186	https://www.ncbi.nlm.nih.gov/gene/?term=22186
ENSMUSG00000000149	Gna12	guanine nucleotide binding protein, alpha 12	14673	https://www.ncbi.nlm.nih.gov/gene/?term=14673
ENSMUSG00000001138	Cnnm3	cyclin M3	94218	https://www.ncbi.nlm.nih.gov/gene/?term=94218
ENSMUSG00000005958	Ephb3	Eph receptor B3	13845	https://www.ncbi.nlm.nih.gov/gene/?term=13845
ENSMUSG00000006526	Tmem110	transmembrane protein 110	69179	https://www.ncbi.nlm.nih.gov/gene/?term=69179
ENSMUSG00000006782	Cnp	2',3'-cyclic nucleotide 3' phosphodiesterase	12799	https://www.ncbi.nlm.nih.gov/gene/?term=12799
ENSMUSG00000020101	Vsir	V-set immunoregulatory receptor	74048	https://www.ncbi.nlm.nih.gov/gene/?term=74048
ENSMUSG00000020411	Nipal4	NIPA-like domain containing 4	214112	https://www.ncbi.nlm.nih.gov/gene/?term=214112
ENSMUSG00000020821	Kif1c	kinesin family member 1C	16562	https://www.ncbi.nlm.nih.gov/gene/?term=16562
ENSMUSG00000022548	Apod	apolipoprotein D	11815	https://www.ncbi.nlm.nih.gov/gene/?term=11815
ENSMUSG00000022817	Itgb5	integrin beta 5	16419	https://www.ncbi.nlm.nih.gov/gene/?term=16419
