GeneID,LogFC,Pval
Gm22887,-1.442182425,0.016129062
Mir7078,-1.357753398,0.008967904
Gm22720,-1.226205834,0.042576283
Gm22574,-0.999512052,0.007624895
Mir6982,-0.928012428,0.033635942
Gm20627,-0.87038169,0.027716817
Gm16253,-0.684810023,0.031111221
Aspn,-0.636784773,0.047376942
Gm13618,-0.60620518,0.011553022
Gm24119,-0.530474118,0.040408841
Gm7420,-0.527803975,0.008631274
Plekhf1,-0.519465176,0.033477562
Slc19a3,-0.518147035,0.001459472
1810012K08Rik,-0.50045419,0.014191462
Acta2,-0.497715964,0.027500773
Gm3086,-0.489568539,0.028734981
Gm6970,-0.48744053,0.030366413
Gm15122,-0.429562228,0.014136854
Nkd2,-0.399425616,0.033729397
Gm22392,-0.383716811,0.048985675
Sema3g,-0.374135342,0.023193011
Vstm4,-0.372256808,0.030856802
Atp2a3,-0.368583112,0.022418656
A330093E20Rik,-0.359749148,0.043949933
Cdh5,-0.35584393,0.024376922
Ppil6,-0.347883619,0.03411018
Lcat,-0.347258505,0.047972235
Colec12,-0.340315742,0.007844969
Flt3l,-0.310409153,0.035546974
Tek,-0.309830733,0.029826503
Notch4,-0.30912572,0.041895554
Zbtb40,-0.29337704,0.044690108
Nadsyn1,-0.289265717,0.020205763
Slc22a8,-0.286956084,0.008618178
Entpd2,-0.28386356,0.041543399
Bbs12,-0.27602759,0.024186836
Tubd1,-0.27448584,0.04307159
Cbfa2t3,-0.264155344,0.038306166
Aplf,-0.249512629,0.01344728
Afap1l2,-0.242830764,0.04802327
Ptrf,-0.240910434,0.030292312
Rbms2,-0.218667421,0.046415995
Cav1,-0.218497423,0.040889055
Dimt1,-0.210003392,0.02781753
Zcchc7,-0.205804045,0.047994681
Prdm15,-0.203094301,0.012112226
Slc22a5,-0.202639389,0.026703163
Ndfip1,0.200795137,0.019026656
Phf13,0.205390304,0.01578447
Insig1,0.207474298,0.02549397
E430018J23Rik,0.209364861,0.025355006
Tchh,0.212356776,0.043843659
Polr1e,0.213315556,0.049378415
Hnrnpab,0.219574723,0.004939228
Gabra5,0.233696705,0.030765574
Dnajc25,0.235300386,0.02848646
Rest,0.237878977,0.023155071
E130311K13Rik,0.243849699,0.04847249
Gpatch3,0.247629861,0.024847229
Pecr,0.261571856,0.025632326
Zfp472,0.268415781,0.036208383
Stat1,0.273934917,0.019053263
AA414768,0.295925825,0.0220455
Blm,0.302967157,0.026545461
Atg10,0.316232389,0.016458043
Lacc1,0.32393363,0.014816213
Lck,0.326047586,0.035434729
Zfp791,0.336934498,0.035296208
Irgm1,0.444859485,0.002742203
Apoa2,0.510067677,0.016288351
Gm8186,0.520169982,0.039135979
Gm27030,0.566652708,0.015287278
Gm22637,0.600918839,0.03661847
Dnajb3,0.652968043,0.001135442
Mir8094,0.713414991,0.03596056
H2-Eb1,0.770639019,0.040701862
Gbp3,0.802585866,0.009086069
Gm24698,0.821565041,0.027588039
Mir665,0.895874921,0.043918543
Igtp,1.019074252,0.003779667
Snord66,1.167409959,0.049688646
Gm23645,1.173141604,0.018161858
Gm23363,1.38668179,0.018366964
Gm16024,1.543707223,0.015137267
