GeneID,LogFC,Pval
Tmem212,-1.037333687,0.01605176
Fam216b,-0.982245702,0.020570177
1700012B09Rik,-0.910535858,0.026459463
Ccdc153,-0.840160329,0.028677226
Lrrc23,-0.761360009,0.022800973
Dnali1,-0.754869461,0.048128283
Fam183b,-0.748326356,0.037077433
Drc7,-0.726142634,0.049999325
Dynlrb2,-0.706267032,0.006646196
Ppp1r36,-0.655566789,0.044084141
Pifo,-0.648259223,0.014387629
Sap30bpos,-0.587029953,0.02736108
Cd24a,-0.562955784,0.025866968
1700009P17Rik,-0.540816543,0.033732386
Rsph1,-0.488576816,0.037793986
Foxj1,-0.477101873,0.041680217
1110017D15Rik,-0.473817921,0.041208529
Cldn1,-0.405278794,0.035061459
Chp2,-0.381549273,0.021271279
Txnip,-0.37399906,0.005352699
Sgk1,-0.320373139,0.012832488
Plekhf1,-0.319818644,0.032011264
Tsc22d3,-0.309194835,0.029481378
Gpc4,-0.296661522,0.033034051
Pdk4,-0.29111931,0.034829374
Lurap1l,-0.27955053,0.00135966
Abracl,-0.268831121,0.013348596
Gjb6,-0.250642264,0.014238494
Efcab1,-0.230963523,0.048181322
Pthlh,-0.227108875,0.043180354
Aaed1,-0.221880054,0.01536923
Gm15721,-0.213425833,0.022814664
Pcdhb6,-0.209361595,0.017484611
Asb2,-0.208392928,0.039086651
Nubpl,-0.205288198,0.007298806
Apex1,-0.204940338,0.042050973
Peli1,-0.201287334,0.045405316
Man2c1,0.201446385,0.045656714
Pnisr,0.201804516,0.048212132
Zfp446,0.201808072,0.015795317
Galnt6,0.202716165,0.045612387
Igsf9,0.202716289,0.047568397
Rccd1,0.203075885,0.042856705
Fancm,0.203671846,0.028646538
Gramd2,0.205384129,0.041384441
Rab3il1,0.205518462,0.01709644
Sox12,0.206055513,0.009545276
Csf1,0.207650258,0.042847395
Cyth4,0.207867151,0.028215687
Sprtn,0.208182954,0.018940475
Zfp36l2,0.208638523,0.027113499
Nphp3,0.208659722,0.009721083
Mob3c,0.209010642,0.027134084
Sema4a,0.20998952,0.037301174
F11r,0.210381219,0.014560176
Vav1,0.211339876,0.023216107
B3galnt2,0.21144397,0.011595398
AI854517,0.211964832,0.019628878
Atxn7l2,0.212608908,0.04842294
Lyn,0.21284004,0.042421105
Nav1,0.213038242,0.049466252
Nudt6,0.213287711,0.039219789
Zgpat,0.213576598,0.03542463
Kif21b,0.214076816,0.017861789
Cflar,0.214866447,0.024943991
Safb2,0.214979825,0.026911058
Nktr,0.215628516,0.032227474
Mcm9,0.215808772,0.006041298
Pros1,0.215976312,0.013784237
Asap3,0.216647637,0.046800549
Il10ra,0.21707724,0.017720986
Atp10d,0.218563947,0.018781252
Lcp1,0.218947176,0.035444164
Pald1,0.21900369,0.013150849
D930048N14Rik,0.219952754,0.040496959
Ralb,0.219982674,0.008025362
Tmem198b,0.219984146,0.016294327
Bzrap1,0.220180065,0.047830302
Hpgds,0.220294951,0.013053565
Tapbp,0.221605568,0.011558409
Stx2,0.221633463,0.005904106
Mri1,0.221717243,0.025316273
Itgb2,0.22263822,0.039054352
Fes,0.223547603,0.041296612
4933407K13Rik,0.224512721,0.024130537
Csmd2,0.226670891,0.047809656
Dock6,0.227330477,0.000646499
Polr3g,0.227781168,0.012636852
Tgfbr2,0.228572277,0.014228997
Slc9a9,0.229344697,0.002265757
Rbm15,0.231016295,0.008883854
Ankrd16,0.231392536,0.028086609
Nfam1,0.231444195,0.034248086
