GeneID,LogFC,Pval
Mir1191,-0.804836075,0.00299909
Sgk1,-0.564869992,0.049016148
Derl3,-0.535638763,0.027040553
Fam167a,-0.48437491,0.032404795
Gm14446,-0.454418405,0.001759774
RP23-333L19.2,-0.450025707,0.003463945
Ldhd,-0.346264757,0.017133304
Shq1,-0.311060761,0.039975563
Gm10762,-0.297044887,0.041358868
Lrrc8c,-0.236880869,0.012140869
A230056P14Rik,-0.230984356,0.008760954
Setd6,0.203829639,0.047963212
Mina,0.208850489,0.026239811
Epas1,0.209476192,0.046110601
Ppp4r1l-ps,0.209762309,0.04529205
Baz2b,0.217112315,0.031036196
Pnisr,0.224093072,0.041188572
Phf7,0.225777341,0.0428308
Ets1,0.226908668,0.038409613
B3gntl1,0.227105785,0.049474736
Gpam,0.228567836,0.038927617
Adamts3,0.229394768,0.04571822
Mzf1,0.233890782,0.035709385
Csf1,0.235851965,0.040162777
Lca5,0.238259746,0.049776312
Vav2,0.240333763,0.024570829
Arhgef40,0.240482241,0.048747469
Mycn,0.241915371,0.036811544
Itga6,0.2424438,0.02912527
Kri1,0.24332553,0.009884274
Gsap,0.244069892,0.040220031
Ece2,0.244991372,0.039991546
Zkscan4,0.245155691,0.031581299
Slc30a10,0.248664138,0.044791855
Lepre1,0.250015845,0.037904356
Phkg1,0.251777952,0.015075626
PCDHGB6,0.252517183,0.045840682
Rnd3,0.252529396,0.027799779
Mcm5,0.253350836,0.0296621
Star,0.255242799,0.04768923
Fnbp4,0.256325111,0.010117095
Ofd1,0.256482375,0.031788861
Ppap2b,0.257217907,0.023170845
4632428N05Rik,0.257643866,0.023317208
Samhd1,0.257750334,0.006149809
Plekho2,0.258151222,0.02548441
5830415F09Rik,0.261098043,0.042771359
2610005L07Rik,0.262466011,0.042982802
Kdelc2,0.263694732,0.041567097
Lmo2,0.263788703,0.012946421
Il15ra,0.265257494,0.047460924
Ccnj,0.265593958,0.01317146
Mex3d,0.27603162,0.007692577
Vsig2,0.276118109,0.043962978
Siglech,0.27943762,0.033021431
Bcan,0.279999527,0.04576079
Alpk1,0.284458205,0.019802938
Papss2,0.292745895,0.032886519
Itpr2,0.292939573,0.010369755
Tmem198b,0.294709741,0.036379486
Dlx2,0.299868387,0.045342242
Galnt4,0.302682444,0.04456931
S100a13,0.30271766,0.024379498
Slc14a1,0.303452064,0.031336327
Appl2,0.304539947,0.011991634
Mfng,0.305313169,0.043886321
Igdcc4,0.306112496,0.015169998
Aldh1l2,0.316550392,0.030594573
Epb4.1l2,0.316629935,0.006369739
Hexb,0.316690555,0.038107928
Ncf1,0.318959498,0.045559326
Grin2d,0.320362325,0.041727085
Nr2e1,0.320702763,0.045496237
Lpcat2,0.322200527,0.032775821
Lgals9,0.322329558,0.037327977
Slc7a7,0.323080915,0.047540394
Gm10785,0.324332963,0.04407516
