GeneID,LogFC,Pval
Gm24325,-1.304346794,0.006092929
Gm25184,-0.995188881,0.021609596
Gm18775,-0.616954053,0.021609526
Gm15379,-0.563108785,0.018312419
RP23-372H6.7,-0.472894674,0.013408593
Gm12696,-0.460602489,0.003074871
Nr2c2ap,-0.38181149,0.028120964
1110019D14Rik,-0.374866376,0.015459652
Sgk1,-0.332133827,0.011757532
Cdkn1a,-0.325211178,0.044594706
Gm17102,-0.324341074,0.049907459
Kctd8,-0.265413991,0.045086119
Frg1,-0.261311635,0.010297676
Thyn1,-0.254434061,0.012134552
2810414N06Rik,-0.244338945,0.037356158
Wdr70,-0.243385774,0.011050083
Srek1ip1,-0.210035395,0.036567657
Snrpc,-0.200215967,0.03637914
Abcg2,0.20064814,0.029431993
Anxa3,0.203605464,0.017218295
Ninl,0.20750959,0.032298039
Cd97,0.20893544,0.048680082
Ptrf,0.209328042,0.043384861
Impa2,0.20958958,0.043659754
Il10ra,0.210284146,0.041128947
Ripk2,0.212440495,0.017522438
Ctss,0.213933792,0.029112644
Gm3764,0.21532332,0.024618295
Cyp4v3,0.215568619,0.017325679
Irf9,0.217665697,0.035044838
Ramp2,0.218433364,0.033486065
Zfp36l2,0.221526866,0.024649512
Nckap1l,0.22237636,0.008454654
Gpr124,0.223009256,0.017851846
P2rx7,0.226981156,0.047945961
Zfp41,0.229539398,0.046991788
Csf1r,0.230224307,0.005042194
Sik1,0.235171286,0.015432952
Slco2b1,0.235424396,0.026488925
Myo1d,0.240850509,0.042527812
Fzd6,0.241598553,0.028611364
Slc25a45,0.242703619,0.035582201
Hspa12b,0.243505332,0.02761059
Gli3,0.243985074,0.040259365
Zfp128,0.244776064,0.000780227
Itga6,0.252269358,0.018136044
Ephb3,0.253945495,0.047232369
Unc93b1,0.25431313,0.024209638
Id1,0.25518845,0.027121929
Slc16a6,0.255587692,0.042157557
Bgn,0.256198583,0.018960524
Abcb1a,0.257002748,0.011284305
Sox17,0.257917515,0.01153953
Aif1,0.258317386,0.035347718
Il10rb,0.258479114,0.009856768
St3gal6,0.261273462,0.014139164
Lhfpl2,0.26163387,0.016342282
Bcam,0.264881059,0.02891391
4930506C21Rik,0.265432249,0.049277231
Eif2ak2,0.267998849,0.04778567
Fermt3,0.268206405,0.022899966
Ehd2,0.268338128,0.023029992
Vwa5a,0.270167094,0.024836175
Itpr2,0.272374867,0.030765352
Trip6,0.273511018,0.039241025
Vangl1,0.277347751,0.040821058
Tnfrsf1b,0.277924407,0.044349509
Wnt7b,0.279220383,0.022711137
Jag1,0.28090355,0.005930574
Zfp454,0.281929748,0.002484772
Eng,0.282153204,0.013130587
Pecam1,0.285141827,0.002845798
Gcnt4,0.286414562,0.040012417
Tek,0.289395443,0.005248728
Slco1a4,0.291845796,0.007112192
Erap1,0.291977,0.016705673
Mpeg1,0.292126246,0.0067153
Snx33,0.292569014,0.01270869
Padi2,0.292938957,0.036916065
Fgd2,0.2931879,0.026002506
Myo1c,0.293384731,0.01177713
Tgfbr2,0.295247174,0.002412907
Ctsh,0.295346001,0.007174615
Gm16892,0.295514522,0.0183131
Itgb2,0.29609599,0.022707024
Mcam,0.297575023,0.024519103
F11r,0.301327876,0.003016132
Gpr116,0.305051492,0.007987346
Csf3r,0.30671363,0.007078343
Itpripl2,0.307344519,0.017112445
Cdh5,0.308876367,0.010138478
RP23-263M10.12,0.310316384,0.042519869
Cd34,0.310328042,0.003869681
Slc29a3,0.310493657,0.026462224
Sox21,0.310577124,0.001301957
Cmklr1,0.312280989,0.041647241
Unc5b,0.312289858,0.034968921
Prom1,0.314811912,0.012532889
Card10,0.316188947,0.019425273
Cfh,0.321410534,0.01044117
Abcc9,0.327931432,0.041463707
Mycn,0.330358622,0.025845459
Tgm2,0.331094401,0.043765247
Ifit2,0.331853941,0.02254247
Robo4,0.332846535,0.003575693
Itgam,0.337788168,0.007478518
Gm7694,0.339160718,0.005016881
Podxl,0.341975609,0.014853526
Irf1,0.345297726,0.037129874
Lamc3,0.352019677,0.012960455
Apcdd1,0.35298684,0.004559816
Zic2,0.35452623,0.01014579
Ly6c1,0.354600633,0.008049075
Pld4,0.355445909,0.003930792
Trim36,0.359062634,0.014965539
Fgd3,0.359170304,0.005410755
C4b,0.361403328,0.023438531
Pglyrp1,0.361842967,0.019050216
Tap2,0.362554594,0.031148987
Vim,0.363564547,0.016984112
Gm15717,0.363790605,0.033396289
Oacyl,0.363955092,0.02531762
H2-D1,0.368920432,0.036826902
Emr1,0.370554456,0.006168438
Anxa2,0.370818568,0.047499375
Plekhg2,0.374699493,0.004066446
1810012K08Rik,0.375958773,0.031792372
Lgals9,0.376816855,0.007260167
Ephb4,0.377303261,0.002786394
Igf2,0.377353384,0.015893295
Thsd1,0.377844684,0.005059423
Ifit3,0.379839342,0.019054707
Igfbp7,0.381403819,0.017533143
B2m,0.388157851,0.01926992
Gm10602,0.393361291,0.034388755
Gm9996,0.394179821,0.040233099
Slc12a7,0.396038407,0.016511936
Ptprb,0.396770751,0.004908711
Gm17096,0.400961057,0.022868375
Adcy4,0.401005625,0.002896921
Eltd1,0.402069858,0.007946288
Capn3,0.403903784,0.00481028
Rnf213,0.417934981,0.020995291
Cd33,0.43124329,0.006318225
Lag3,0.434324178,0.001388976
Fcgr1,0.44112499,0.003608981
Cd93,0.446186811,0.015385512
Gbp7,0.448244264,0.033474179
Ly6a,0.449189794,0.011694053
Irgm1,0.449996949,0.006800988
Ifitm3,0.463447975,0.044970202
Gm26280,0.465982109,0.037276623
D930015M05Rik,0.473797706,0.029147364
Icam2,0.481151857,0.011303367
Gm17971,0.489238957,0.043924284
Slc52a3,0.492722573,0.011982815
Aebp1,0.49443044,0.016833146
Mmrn2,0.516678397,0.004372059
Mir27b,0.52307015,0.016282731
Serping1,0.531640704,0.008667288
RP23-372I17.5,0.565641948,0.020567813
H2-K1,0.5755862,0.009758971
Fn1,0.58741787,0.001438541
Gm16184,0.639389573,0.003126994
Snord88c,0.692771814,0.023568072
Igtp,0.712418095,0.016524562
Gbp9,0.749625919,0.003102955
Vwf,0.777611455,0.000674152
Gm23205,0.784438612,0.04015488
AW112010,0.805396687,0.005580473
Gm16306,0.828452453,0.010030018
Mir6982,0.851444737,0.04856949
Cd74,0.865320027,0.030469837
Gm24837,0.884190476,0.018558863
H2-Q4,0.886648577,0.005271601
RP24-186G5.2,0.895876755,0.028618168
Gbp3,0.930783773,0.003676626
Gm25588,0.937713844,0.031107963
Gm17081,0.94237032,0.01437487
Irgm2,0.98706808,0.001583574
Gbp2,1.148697852,0.008451426
Gm22079,1.15472185,0.033110757
Gm25321,1.21938951,0.031091525
Mir140,1.322517341,0.008438615
