GeneID,LogFC,Pval
Gm27734,-1.693997399,0.001518048
Gm23294,-1.235598976,0.007652268
Gm24091,-1.062268713,0.018977232
Gnrh1,-0.934580737,0.000787498
Gm28707,-0.83513639,0.002135047
CAAA01187608.3,-0.824199948,0.001175507
Gm25492,-0.817561184,0.025234141
Mir6999,-0.800331756,0.026779124
Snord65,-0.786019756,0.034427629
Gm26618,-0.584198209,0.009936009
Gm6970,-0.544680147,0.01096522
Gm5977,-0.505759569,0.040836659
Tnnc1,-0.48170988,0.027454639
Mc4r,-0.476327039,0.017322716
Mir3098,-0.446355151,0.011165644
Cdkn1a,-0.37773777,0.021385243
Tgm3,-0.345786287,0.008211876
Rnf39,-0.339420119,0.028543235
Clec11a,-0.335292703,0.01071218
Il12a,-0.333501833,0.047647293
Vill,-0.327201517,0.032167872
Ccdc155,-0.314966205,0.035869138
Gpr68,-0.308474873,0.030290798
Car4,-0.308463998,0.020954473
Prr16,-0.300722229,0.006224692
Cmbl,-0.29664176,0.018611561
Serpinb8,-0.294459174,0.047961143
Zfp189,-0.293981393,0.006951596
Evc2,-0.289173026,0.001962685
Angptl6,-0.282224214,0.008414553
C130026L21Rik,-0.276824898,0.043569093
Pik3r6,-0.262280298,0.045731691
Fv1,-0.260267916,0.026034996
Dyrk3,-0.259720664,0.0339369
Trpc6,-0.258582551,0.027905336
Rnf32,-0.258579276,0.009690441
Pcsk1,-0.257994192,0.047466069
Lamp5,-0.248632294,0.014978832
Mkx,-0.245328681,0.035325123
Nfil3,-0.244578695,0.017203115
Bhlhe40,-0.236270307,0.022448632
Kiss1r,-0.231538215,0.048981488
Banp,-0.226415796,0.039214884
Opn3,-0.223887829,0.044993184
Sidt1,-0.223877086,0.008369118
Psrc1,-0.221099894,0.032597101
Stambpl1,-0.2193602,0.005276958
Mtfp1,-0.216917452,0.012658251
Fabp3,-0.213625862,0.016971948
N6amt2,-0.212043439,0.025942722
Ckmt1,-0.203920191,0.015650464
Gng3,-0.202645546,0.021024264
Lrrc3b,-0.201354671,0.027712594
Ssfa2,0.200386854,0.038840184
Anp32b,0.200437725,0.047034336
Kcna1,0.201543549,0.046169232
Agap1,0.201670893,0.003697578
Gna13,0.202150617,0.004123373
Crlf3,0.20257879,0.036409194
Usp6nl,0.203599918,0.027204556
Acss1,0.204056692,0.028716745
Axl,0.205053516,0.012892329
Pou3f3,0.206086308,0.029102717
Atp8b1,0.206184093,0.017868438
Cdc42ep4,0.206440511,0.030712266
Ccnd1,0.206468239,0.043567585
Iqgap1,0.206555004,0.017149107
Lrrc75b,0.206945918,0.005859382
Bhlhe41,0.207756611,0.032039573
Cx3cr1,0.208094232,0.030336982
Msi2,0.20813407,0.014743867
Pskh1,0.208280772,0.040731379
Cat,0.208300509,0.022349617
Otx1,0.208531864,0.032700019
Pbxip1,0.209015469,0.035191271
Reck,0.20937946,0.041571703
Ripk2,0.210077539,0.010601955
Tbc1d12,0.2106253,0.019484839
Rpusd2,0.210678358,0.021237362
Tapbp,0.21085769,0.017097922
Mast4,0.21185558,0.020951633
Hmha1,0.211877013,0.047605653
Sft2d2,0.212350118,0.045944852
Slc31a1,0.213461215,0.000544168
Fmnl3,0.213537081,0.035745505
Tfdp2,0.214564549,0.019850211
P2ry12,0.215486682,0.025881061
Pdgfra,0.216115469,0.005594373
Slc38a3,0.216387537,0.046505212
Trmt2b,0.216616057,0.030038553
Hbp1,0.216704035,0.023747807
Pdlim5,0.218431887,0.039344877
Ginm1,0.219083137,0.019385246
Sox6,0.220942783,0.021668258
Scarb2,0.221246586,0.02574307
Caskin2,0.221359263,0.048845253
Mob1a,0.222330427,0.012458669
Atl3,0.222983854,0.018625132
Ptpdc1,0.22363233,0.020349777
P2ry13,0.223765385,0.029496661
Irf1,0.223875367,0.025737438
Ppap2b,0.224273639,0.008960007
Unc93b1,0.225590819,0.037117633
Mfap3l,0.226184295,0.027245935
Laptm5,0.226420884,0.02011521
Arhgap23,0.227333484,0.034713312
Mex3d,0.227555604,0.007317269
Frmd5,0.228241806,0.046932741
Daam1,0.228909192,0.014277117
Lbr,0.228956163,0.045764452
Zfp120,0.229361087,0.044626502
Epb4.1l2,0.229556435,0.022058324
Klhl5,0.232246087,0.001343531
Gstm1,0.232576022,0.032053108
Elovl5,0.234241926,0.045335653
Zfp395,0.234768376,0.024237665
Fam53b,0.236562429,0.03054289
Dennd4c,0.238090721,0.036524049
Tcf12,0.238773269,0.024590704
Aaed1,0.239393379,0.034051222
Nfia,0.239940372,0.034281592
Samd4,0.240615446,0.031412147
Syde1,0.241969251,0.034911761
Ccnd2,0.242929124,0.030617753
Nxpe4,0.243886183,0.021053951
Ghr,0.243918197,0.017478063
Gdf11,0.244039367,0.030013491
Plekho2,0.244697484,0.048758131
Ntn1,0.244876176,0.047491472
Itpk1,0.24622262,0.005677873
Itgb1,0.246405994,0.010865777
Cdon,0.247819593,0.025740839
Snx18,0.248763883,0.00726138
Zkscan17,0.248998276,0.016118305
Zfp386,0.249244435,0.008229552
Itga6,0.249999256,0.041574579
Samhd1,0.250390235,0.009955534
Ppp2r3a,0.250878291,0.039682667
Tspan9,0.250917763,0.024377329
Ttc28,0.252322343,0.011888411
Mex3b,0.252838305,0.016495727
Mcm6,0.25364202,0.041770132
Plxnb1,0.254575552,0.042413208
Wipi1,0.254911415,0.043623111
Aldh6a1,0.254937788,0.028141519
Ppp1r18,0.25502607,0.020128413
Entpd5,0.255163406,0.017733284
Kank1,0.25589674,0.040061984
Bmpr1b,0.255955177,0.00885554
Lca5,0.256013589,0.019002624
Ctso,0.256031376,0.024117059
Abcg2,0.256393097,0.004016288
Prex2,0.256471945,0.046889601
Efemp2,0.256515329,0.02276678
Pigm,0.257215318,0.011926721
Zbed4,0.257446549,0.016834514
Cdr2l,0.259332074,0.025812489
Ccnyl1,0.260807802,0.003859275
Smad5,0.261227414,0.012412372
Cln5,0.261288498,0.004038186
Scd2,0.261465603,0.024567415
Ankrd28,0.261516949,0.02465488
Lamc1,0.262337445,0.010538554
Adhfe1,0.262343559,0.029171003
2810474O19Rik,0.263228853,0.038216868
Sh3d19,0.263634342,0.022630134
Pcdhga4,0.264111723,0.039063043
PCDHGB6,0.264192617,0.023551528
Cyp2j6,0.264643918,0.003530277
Klf3,0.264679447,0.022631646
Wscd1,0.266217572,0.034028174
Sepp1,0.266453994,0.042270039
Wwtr1,0.267029242,0.018985245
