GeneID,LogFC,Pval
Gm24195,-1.989008443,0.00055583
Gm23264,-1.180628626,0.036467599
Gm6096,-0.91248783,0.00796118
Sgk1,-0.808600506,0.000706517
Gm10343,-0.73014732,0.004488247
Arl4d,-0.654780936,0.001288351
Ghrh,-0.646747748,0.045746262
Plekhf1,-0.612833038,0.001000913
Arrdc2,-0.609032866,0.00983026
RP23-445K23.6,-0.595393653,0.045789456
Gm16275,-0.525457711,0.031581219
Gm19345,-0.492221499,0.0132179
Pdk4,-0.46017359,0.021075414
Rgcc,-0.431333793,0.006757946
Sycp3,-0.42868398,0.049442613
Nfkbia,-0.425630854,0.016411579
Ddit4,-0.424031266,0.006257344
Gm11627,-0.416217624,0.038559315
Gm15351,-0.410024538,0.047670322
Fhit,-0.343467672,0.01440154
Errfi1,-0.3408787,0.032545565
2310069G16Rik,-0.340308748,0.049345192
2210408F21Rik,-0.337680965,0.004475475
D330023K18Rik,-0.324287801,0.013094749
Lrp8os3,-0.309167093,0.034605077
Arid5b,-0.304898577,0.032798288
Smco4,-0.304851486,0.045288677
Gm15631,-0.287075531,0.008833076
Pcdhb8,-0.281493558,0.035810323
Bbs12,-0.24269666,0.033924555
Arrdc3,-0.235983982,0.024273045
Apln,-0.224287324,0.030401983
Mettl4,-0.214564353,0.024732298
Fam188b,-0.208479734,0.033290509
Ndp,-0.207277245,0.028439241
Zfp113,0.20122233,0.022596645
Syna,0.203512407,0.049708268
Iqgap1,0.204120231,0.020872564
Xndc1,0.205052294,0.031009355
Tctn1,0.205312927,0.013852922
Prcp,0.209444077,0.020103365
Cflar,0.210052522,0.036496301
Zfp28,0.212391541,0.0131641
C130071C03Rik,0.212906389,0.015377883
Nhlrc3,0.213709504,0.008064018
02-Mar,0.214978317,0.037304183
Nxpe4,0.215250704,0.01388211
Zc3hav1,0.215439263,0.04873474
Ripk2,0.216952942,0.007230667
Ccdc141,0.219060017,0.023583731
Rarg,0.219344316,0.048305893
Klf11,0.220085976,0.034000001
Ccdc159,0.221313269,0.023478412
1810021B22Rik,0.221338748,0.049672801
Ifit2,0.229742876,0.019051422
Swap70,0.231272789,0.025623122
Fbxo4,0.236275325,0.034964373
Itih5,0.241378541,0.042846044
Rgs5,0.241870561,0.039154582
Hhipl1,0.242247069,0.016945966
Gm16008,0.242534106,0.046543885
Ets1,0.24315209,0.005878983
Tapbp,0.243348997,0.038075397
Prkd2,0.244722275,0.036027064
Polk,0.245155397,0.003297011
Eif2ak2,0.251131619,0.021939063
Fam117a,0.252394995,0.048266949
Trim25,0.253199049,0.049642062
Sfxn2,0.255421073,0.02598627
Hes1,0.255938803,0.04044188
Stard8,0.257400471,0.013217312
Ocln,0.258527121,0.02098977
Aox1,0.264199591,0.003501153
Slco1a4,0.264201541,0.009955429
Pnma1,0.264552243,0.049115921
Amotl2,0.266716424,0.0044467
Mbd4,0.267252131,0.015094977
Ppp1r18,0.270022843,0.025364317
Dcst1,0.27017885,0.017961892
Flna,0.270181254,0.005734224
Nfkbie,0.272545647,0.044267992
Fam105a,0.273873435,0.005329665
Irf9,0.274045096,0.005421762
Rnf213,0.274939693,0.009403239
Shc1,0.2761506,0.00368228
Abcc4,0.277516239,0.023566016
Lima1,0.278002781,0.007162095
Gm26873,0.282844443,0.038803432
