logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSMUSG00000098475	-0.337089509972114	7.20825728119449	-12.5967892736142	9.99488295785895e-36	1.35510623142652e-31	70.1740779141013
ENSMUSG00000005469	0.155272979708138	6.97546176482896	12.1532306358243	2.05441145884909e-33	1.3926855279538e-29	64.7112821128087
ENSMUSG00000044502	0.2736503442042	6.49327848643525	12.0569044183903	6.38155915077204e-33	2.88403929887224e-29	63.7105173525629
ENSMUSG00000042275	0.396466050624013	6.65282735647197	11.8647175636665	5.97406324895472e-32	1.53272515208084e-28	61.4725701730638
ENSMUSG00000029708	0.376764707482357	6.66366364136138	11.8615026592936	6.20006721224757e-32	1.53272515208084e-28	61.4309764893338
ENSMUSG00000002731	0.222445458955331	7.16892230801889	11.8537198336744	6.78297013754613e-32	1.53272515208084e-28	61.4196893994547
ENSMUSG00000078853	0.640722258857621	6.75048478206589	11.7848740432714	1.49826908491763e-31	2.90193317904476e-28	60.5909262566572
ENSMUSG00000055302	0.230890376964282	6.24810243030361	11.4834688332733	4.57718072216303e-30	7.75717702888579e-27	57.3242451371831
ENSMUSG00000034501	0.240627808830492	7.15394920473083	11.1616665311229	1.61011584723815e-28	2.18299506568548e-25	53.801774604067
ENSMUSG00000086043	-0.0789837397723758	7.6003115363231	-11.1884209440124	1.20185384563192e-28	1.8105260487864e-25	53.6816727685002
ENSMUSG00000078908	-0.0756825593709545	7.22535316497656	-11.1331241698287	2.19806131163769e-28	2.70921047847125e-25	53.5492858257684
ENSMUSG00000020525	0.361402769595536	6.94847253824002	11.0988350431902	3.19165968475971e-28	3.60604350049768e-25	53.0676334748643
ENSMUSG00000028850	0.371041539122474	7.01996939888996	11.0649707747337	4.60820899599322e-28	4.80600750520585e-25	52.7400222251245
ENSMUSG00000086671	-0.284399777250688	7.38054735499123	-10.6477906795861	3.90404127878561e-26	3.78078511841252e-23	48.4281163410401
ENSMUSG00000025332	-0.0748615502117129	7.20273120514154	-10.6379005079929	4.32898819841589e-26	3.91282813294151e-23	48.3569331695816
ENSMUSG00000069844	0.432096000463328	6.9742893626893	10.6027842389184	6.24304998769549e-26	5.29020448332347e-23	47.9315087491765
ENSMUSG00000045594	0.257932558748525	7.13029401220104	10.5302084461754	1.32580221293195e-25	1.05736625899597e-22	47.2274536370665
ENSMUSG00000021692	-0.241241481641882	7.13787320637552	-10.4980222728633	1.84869528808283e-25	1.3924783731015e-22	46.922394463757
ENSMUSG00000036893	-0.151875637655755	7.29225192759253	-10.3610217504323	7.53085442114759e-25	5.37385917062732e-22	45.5599528479816
ENSMUSG00000097075	-0.250486477570739	6.59954030345948	-10.3212424533411	1.12864963205239e-24	7.65111585568313e-22	45.0993526339393
ENSMUSG00000083307	0.3911137029246	6.76924470592194	10.3140114621061	1.2145980447779e-24	7.84167632909467e-22	45.0203452377142
ENSMUSG00000032478	-0.139730592664947	7.47224401916677	-10.2193849409685	3.15949363281843e-24	1.94710975789783e-21	43.9265473970959
ENSMUSG00000051721	-0.0779999198153698	7.31397545480023	-10.1883361480471	4.31589111861976e-24	2.54412399070638e-21	43.832336869638
ENSMUSG00000003039	0.382576147613794	6.96736848278225	10.1028464390492	1.01400565641171e-23	5.72828695401249e-21	42.9568275272479
ENSMUSG00000034674	0.202312360042773	7.30556233362411	10.0565907240783	1.60525642797018e-23	8.7056266601679e-21	42.5565780020203
ENSMUSG00000059981	-0.102968784023544	7.36738747720896	-10.0313290307527	2.06129021228359e-23	1.07488356531311e-20	42.2484275568572
ENSMUSG00000021266	0.270009601488365	6.93440121486706	9.984427450242	3.2740339116992e-23	1.64405006573399e-20	41.799266283612
ENSMUSG00000051671	0.25032154893435	6.56984667007339	9.9761760986017	3.55094660327952e-23	1.71941907311656e-20	41.7492652836632
ENSMUSG00000034620	0.192479935239406	7.29301976310612	9.93409602196384	5.36715282880594e-23	2.50865197254143e-20	41.3767833614706
ENSMUSG00000020358	0.526301378367199	6.68828371479548	9.93065892589807	5.55093370528418e-23	2.50865197254143e-20	41.3044012444588
ENSMUSG00000047669	0.184068728240863	7.07342351508438	9.85227357076656	1.19275072022176e-22	5.21655298863439e-20	40.5586578314508
ENSMUSG00000010453	-0.0859609533854053	7.2047773558532	-9.82283315653486	1.58736863772413e-22	6.52167999704964e-20	40.3169556090473
ENSMUSG00000030612	0.226108917352012	6.66866603884583	9.81470218829793	1.71750817196355e-22	6.82464517211574e-20	40.1965848802049
ENSMUSG00000059772	-0.298458283186788	7.32648914148154	-9.81207447130596	1.761783308925e-22	6.82464517211574e-20	40.1844343469006
ENSMUSG00000044367	-0.175375400036381	7.4697791589746	-9.824144110561	1.56732070438778e-22	6.52167999704964e-20	40.111436394734
ENSMUSG00000046879	0.477004007910946	6.89509577651751	9.75274840964692	3.12446411630285e-22	1.17670790246761e-19	39.62077677052
