logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSMUSG00000026740	0.00334349318359184	7.0099724296424	0.145686658790376	0.884173406768352	0.999992724696631	-5.58930066118635
ENSMUSG00000020627	0.00405357671123951	7.00496223320134	0.133072363289356	0.894140394599948	0.999992724696631	-5.59257020873016
ENSMUSG00000030655	0.00438441315145965	7.11259707338158	0.115395701590674	0.908135157366458	0.999992724696631	-5.59346497376535
ENSMUSG00000039357	0.00512345155190452	7.04699518773661	0.111092380083537	0.911546624084548	0.999992724696631	-5.59367144418799
ENSMUSG00000096054	0.00589616611978894	7.05190672508971	0.114547583274625	0.908807372797876	0.999992724696631	-5.59376160402536
ENSMUSG00000053907	0.0035241271583617	6.91273513580665	0.105576249950067	0.915921924760418	0.999992724696631	-5.59396862739903
ENSMUSG00000038170	0.00409526392717474	6.96231691387326	0.109329658342214	0.912944499845619	0.999992724696631	-5.59418820890758
ENSMUSG00000042246	0.00447809391269782	7.02454690072113	0.118279356713257	0.905850078039098	0.999992724696631	-5.59453839241999
ENSMUSG00000042249	0.00290452688104637	6.92972703003383	0.102649559925849	0.918244368983026	0.999992724696631	-5.59477306431333
ENSMUSG00000086905	0.00381251650506442	6.96310205064075	0.09806420326285	0.921884426597872	0.999992724696631	-5.59509576932736
ENSMUSG00000088464	0.0060861651731523	7.26172140766938	0.088347021285262	0.929603670804015	0.999992724696631	-5.59519703468656
ENSMUSG00000051586	0.0040809785963356	7.17358083275552	0.086014437252794	0.931457669282253	0.999992724696631	-5.59528645708127
ENSMUSG00000020198	0.00312527645111693	6.94861247249934	0.100828240190426	0.919690011750255	0.999992724696631	-5.59531961931715
ENSMUSG00000018401	0.00249647186015611	6.89514657051924	0.0858923687031704	0.931554702873757	0.999992724696631	-5.59532771484905
ENSMUSG00000031511	0.00315758727943471	6.9997423281767	0.0914202557929404	0.927161569005083	0.999992724696631	-5.59549740400906
ENSMUSG00000034111	0.00261531831031458	7.00944351714585	0.0872804806640788	0.930451338230897	0.999992724696631	-5.59552397089461
