logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSMUSG00000013707	0.531003597965999	6.94481884584497	15.6299133976608	6.47092913540643e-54	8.52609622881152e-50	111.406628432791
ENSMUSG00000025537	0.307576591374897	7.1576033612315	14.2417541356222	3.18048963892093e-45	1.73516287095855e-41	91.665357587604
ENSMUSG00000028859	0.501012822838559	6.98581314771208	14.2260343895712	3.95073513424078e-45	1.73516287095855e-41	91.4670981195082
ENSMUSG00000042195	0.341206843112729	7.22720763724084	13.375813063356	3.52921497676106e-40	1.16252341334509e-36	80.2581076485198
ENSMUSG00000080533	-0.547559433849712	7.28038534494072	-13.3127800036706	8.00751238027004e-40	1.7584497187073e-36	79.5093437219456
ENSMUSG00000035047	0.334083321850315	6.8108656301541	13.3177865500203	7.50399896118531e-40	1.7584497187073e-36	79.4993085665489
ENSMUSG00000029454	0.511693558653233	7.0858243090573	12.7772651569344	7.30286583925472e-37	1.37460800425743e-33	72.7408352817441
ENSMUSG00000029538	0.339649359537345	7.22496846828572	12.6831827100919	2.35424172968562e-36	3.87743612879221e-33	71.5888983052255
ENSMUSG00000002771	0.311264552339845	7.17285382753863	12.3447775434397	1.48389594558461e-34	2.17242366433588e-31	67.4940963076466
ENSMUSG00000031805	0.364338788489143	7.06094692678779	12.2973061160691	2.63155510839459e-34	3.46733701082071e-31	66.9271413270606
ENSMUSG00000030786	0.57956082155002	7.08224190058865	12.2536861489025	4.4467822775455e-34	5.32643666263087e-31	66.4585127062093
ENSMUSG00000046805	0.457223446459375	7.07388837980627	12.2206936524444	6.60492889744113e-34	7.25221192939036e-31	66.0439234955538
ENSMUSG00000035697	0.378675871731095	7.03028293415739	12.2137168884896	7.18037524436009e-34	7.27758647843758e-31	65.9389688894161
ENSMUSG00000004609	0.387790752175653	7.24688371633705	12.0529414558443	4.86193832845144e-33	4.57577852969116e-30	64.094051404753
ENSMUSG00000095325	0.351164814034925	7.37962871223603	12.0311198665888	6.29157705726771e-33	5.52652128710396e-30	63.8628426402258
ENSMUSG00000022010	-0.286103340863838	6.88282227653817	-12.0246278788588	6.79248010325587e-33	5.59360736503121e-30	63.7256074316548
ENSMUSG00000037845	-0.225375018366059	7.41992760764392	-11.9898794509994	1.02285632305602e-32	7.48730828477008e-30	63.3899111952605
ENSMUSG00000050370	0.595468065245598	6.94101599898672	11.9901864472755	1.01916859197754e-32	7.48730828477008e-30	63.3621730201827
ENSMUSG00000074876	0.312191106660388	7.2748385510383	11.963151449958	1.40035370479313e-32	9.71108442860754e-30	63.0485408407071
ENSMUSG00000028599	0.405430252508603	6.79521970696863	11.8854775384815	3.47598344345384e-32	2.28997789254739e-29	62.1463611273994
ENSMUSG00000024561	0.372767819645772	7.20538837062923	11.8550913588721	4.95318466870788e-32	3.10776958070929e-29	61.7985718189907
ENSMUSG00000020263	0.404628900153817	7.17582174032023	11.8301015282316	6.62369192196854e-32	3.96698930744807e-29	61.51426253629
ENSMUSG00000008200	0.308831111122689	7.41428209400716	11.7971728589913	9.70579912169728e-32	5.56015692293406e-29	61.1694908715915
ENSMUSG00000010529	0.63099960296555	7.13201863465787	11.6878254330228	3.42716790036602e-31	1.88151517730094e-28	59.9111513247629
ENSMUSG00000032816	0.458871954420454	7.19289269478983	11.477669586733	3.75420896416502e-30	1.97861829247353e-27	57.5510701045748
ENSMUSG00000004730	0.452727404331051	7.05166742043476	11.4705035818024	4.07056424308605e-30	2.06283671026546e-27	57.4634871653793
ENSMUSG00000049858	0.336456768970456	6.90130435838058	11.4428072757691	5.5623813177186e-30	2.71444208304668e-27	57.1455047175378
ENSMUSG00000021665	0.24194346423358	7.42857071233102	11.4256293887118	6.74857637723935e-30	3.17568722666092e-27	56.9873021044759
ENSMUSG00000033578	-0.287021364694242	7.21807723259004	-11.4156380902751	7.55069558963709e-30	3.4306194858296e-27	56.8631028424338
ENSMUSG00000002885	0.203518278680526	7.21636849176856	11.2678458712915	3.93356245042582e-29	1.72762062822702e-26	55.2329113685659
ENSMUSG00000041135	0.548714521014299	7.27982618333594	11.144016940725	1.54383786166164e-28	6.56096175996926e-26	53.9093346977228
ENSMUSG00000071847	0.410610629315993	7.128284313914	11.1411380454209	1.59343333575453e-28	6.56096175996926e-26	53.8616326095502
ENSMUSG00000086155	0.461418986814755	7.1080455848616	11.1221733749095	1.96205510282895e-28	7.83395091965887e-26	53.6582602840243
