logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSMUSG00000031480	0.289112510071035	7.14821850922398	13.3980455810962	2.20479655891747e-40	2.9173868067596e-36	79.6603893228189
ENSMUSG00000087478	0.249920286823118	7.44597329226598	11.343335725756	1.54461247982486e-29	1.02191561665212e-25	56.0282276187316
ENSMUSG00000084781	0.204330024890425	7.59229357818316	11.1136169251162	1.97540346145046e-28	8.7128462006375e-25	53.659656600142
ENSMUSG00000064210	0.341402728206417	7.33203778398469	10.6432921577084	3.12515535090509e-26	1.0338013900794e-22	48.4195399772008
ENSMUSG00000024978	0.11247701987266	7.54524720639629	10.4726358925921	1.86450539272151e-25	4.9342270712982e-22	46.9276118957676
ENSMUSG00000033400	0.17833412676404	7.47516950780379	10.2696785066239	1.5051784929037e-24	3.27416761093259e-21	44.8630050281662
ENSMUSG00000052387	0.130997698150534	7.51840440086156	10.255895620771	1.73210197071706e-24	3.27416761093259e-21	44.7432163376127
ENSMUSG00000077704	0.147859527155432	7.59111580451642	10.156590507219	4.73884986229487e-24	7.83805767223571e-21	43.7232823764318
ENSMUSG00000030757	0.103849350469825	7.6057217393109	9.99175530695143	2.46769825350457e-23	3.26525832903724e-20	42.0630593756914
ENSMUSG00000095115	0.233481776008169	7.12401857137642	10.0168431771255	1.92283162483246e-23	2.82698978442035e-20	41.9951290358361
ENSMUSG00000025017	0.287813489153222	7.35590613270424	9.96288710706122	3.28586864190904e-23	3.95260126088549e-20	41.7183576396025
ENSMUSG00000088290	0.0956026895521447	7.62033149308725	9.87442631206187	7.86306896062768e-23	8.67034404058546e-20	40.9201188318496
ENSMUSG00000032806	0.144840734949192	7.41672521876835	9.85805878136121	9.23323960820815e-23	9.39801742275463e-20	40.7974051833543
ENSMUSG00000008200	0.193531405357884	7.50293772194901	9.83595020809749	1.14659789478054e-22	1.08369881026687e-19	40.6318925769963
ENSMUSG00000048271	0.184829353200899	7.55281077951726	9.80220547556809	1.59435598792062e-22	1.38944494078119e-19	40.2929274910845
ENSMUSG00000035125	0.199728581989529	7.55200707107741	9.79683323148559	1.68010270952985e-22	1.38944494078119e-19	40.2355019553033
ENSMUSG00000087479	0.160438000366266	7.58021106303667	9.72512584025673	3.37185873322138e-22	2.62449616223443e-19	39.527959834707
ENSMUSG00000046610	0.137143159714823	7.62217318553131	9.71063948014132	3.87909908291248e-22	2.85156883694988e-19	39.3422482701526
ENSMUSG00000030287	0.23221006635062	7.43439657386088	9.68901325728081	4.78000782541223e-22	3.32889808136077e-19	39.1844130604544
ENSMUSG00000001280	0.159866758656015	7.58181470011143	9.67536976397412	5.45191249246225e-22	3.60698530501302e-19	39.0562021561902
ENSMUSG00000061436	0.118526969918427	7.548296953837	9.5843553999194	1.30507242932424e-21	8.22319923086587e-19	38.2267166010338
ENSMUSG00000037926	0.180845325514879	7.40879514382769	9.5600743378636	1.64510104727804e-21	9.89453502617412e-19	37.9920467340107
ENSMUSG00000041135	0.439855437187535	7.20168459676064	9.54075342730373	1.97713005600449e-21	1.13745151743702e-18	37.6288149590841
ENSMUSG00000087595	0.278365449446679	7.41730871675086	9.52310538798595	2.33792537253986e-21	1.28897618872698e-18	37.6278203054747
ENSMUSG00000009418	0.152454522767072	7.54429568588302	9.43340773930347	5.45554713944763e-21	2.85802546703273e-18	36.8359166781247
ENSMUSG00000084507	0.500087214322768	7.43480347241516	9.43032824009114	5.61582996847423e-21	2.85802546703273e-18	36.7452901688327
ENSMUSG00000095403	0.29502841723355	7.39232795832186	9.36893632012547	9.98396392146122e-21	4.89288187439907e-18	36.2306458729437
ENSMUSG00000085269	0.135662067305884	7.6151316277815	9.36445392820993	1.04108762954019e-20	4.91988268359851e-18	36.1160637366081
ENSMUSG00000064658	0.241288539540659	7.56688616289075	9.35608226516039	1.12571253794278e-20	5.13635458691685e-18	36.1082363155451
ENSMUSG00000023206	0.315578080508359	7.33749196679901	9.33466368923405	1.37445593123076e-20	6.06226696068182e-18	35.8593140552409
ENSMUSG00000026799	-0.263758975946937	6.99154446112593	-9.29124354735896	2.05739409292057e-20	8.78175439920161e-18	35.3572642743077
ENSMUSG00000087177	0.191849022547526	7.53682752406398	9.260246283296	2.74098378205747e-20	1.13339679388076e-17	35.2502189255353
ENSMUSG00000092876	0.24939648856947	7.46582239094272	9.23700858660658	3.3966224259083e-20	1.36194266483693e-17	35.0576741436216
ENSMUSG00000028133	0.147754861656543	7.550884683516	9.2286267462688	3.66934501943703e-20	1.42802274403502e-17	34.9473181137101
ENSMUSG00000103039	0.163513868185179	7.56441455623511	9.19348616616774	5.06866910510816e-20	1.91624655996546e-17	34.6502654468532
ENSMUSG00000098960	0.0955491346526296	7.50206544177528	9.1581452312889	7.00625164541775e-20	2.57518671589355e-17	34.3432515922904
ENSMUSG00000080316	0.158985125972006	7.58056131800065	9.14842525167347	7.65707710560076e-20	2.73833633138674e-17	34.1973261730772
ENSMUSG00000103109	0.281020715405932	7.30208762122368	9.14055040931106	8.22789295965304e-20	2.86503893795076e-17	34.0697648892996
ENSMUSG00000103663	0.187880597392223	7.60720985721365	9.12713000864802	9.29918212030406e-20	3.07616944539658e-17	34.0046727955947
ENSMUSG00000103831	0.156299679216923	7.6216489456432	9.12977347931144	9.07779253040952e-20	3.07616944539658e-17	33.9835316136651
ENSMUSG00000020961	0.122219830364826	7.547518726554	9.07366106380237	1.51178201871057e-19	4.87899991989714e-17	33.5651920158216
ENSMUSG00000038119	0.197105227592188	7.55320206781345	9.06603485777381	1.6199217700384e-19	4.9848383398019e-17	33.5014881289811
ENSMUSG00000005774	0.126916822832528	7.59282245843748	9.06713562442629	1.60385322338141e-19	4.9848383398019e-17	33.4729336660907
ENSMUSG00000090115	0.263217652493401	7.4217646482902	9.0500385695548	1.87220129397536e-19	5.63021989133682e-17	33.389942143449
ENSMUSG00000044229	0.177033249363988	7.50976788579734	9.00929347545887	2.70387142212935e-19	7.7777449255686e-17	33.0268200307168
ENSMUSG00000031574	0.402347898511585	7.20500694556024	9.02593081135497	2.32748073673012e-19	6.84382780186955e-17	33.0216311282772
ENSMUSG00000055254	0.12733065541937	7.3406507722708	8.98949623089709	3.23073577268743e-19	8.90606161337501e-17	32.8105857098738
ENSMUSG00000096954	0.105757511043854	7.59878755616485	8.99200574175959	3.15871067375845e-19	8.89277864578124e-17	32.7886357250099
ENSMUSG00000024079	0.245415792191296	7.41732327133963	8.9445051129465	4.83510895092827e-19	1.30567676813639e-16	32.4533885300057
ENSMUSG00000071793	0.224662452125862	7.51179827761298	8.91333909668495	6.38577891103935e-19	1.68993253101745e-16	32.1904056375575
ENSMUSG00000033439	0.206562920622183	7.50508969521415	8.8991906020058	7.24310409611088e-19	1.85001590910183e-16	32.0601721852422
ENSMUSG00000097838	0.252937305824998	7.39347713614985	8.89876911319262	7.27031645052109e-19	1.85001590910183e-16	32.0582707738867
ENSMUSG00000097156	0.205022795872696	7.44047640152747	8.85785347565137	1.04543633708635e-18	2.61004030421257e-16	31.7129742416297
ENSMUSG00000069874	0.571494998132265	6.87799793792936	8.84953777363286	1.12531211137157e-18	2.75743145512381e-16	31.5343303525195
ENSMUSG00000101493	0.0933303142794371	7.60636764362798	8.80158162645301	1.71836568913389e-18	4.13407541793084e-16	31.0958384476477
ENSMUSG00000097899	0.22776004644135	7.51613660669055	8.74956703299619	2.71295012087075e-18	6.36528839147797e-16	30.7753669489638
ENSMUSG00000024593	0.195999082840093	7.3588070759424	8.7483503653366	2.74199998726001e-18	6.36528839147797e-16	30.7486558330933
ENSMUSG00000060397	0.356160941388455	7.05027331219665	8.72522648356802	3.35633724872096e-18	7.65707835777168e-16	30.4189235195084
ENSMUSG00000087314	0.159447972298915	7.57515691325433	8.71070908876935	3.80954517982844e-18	8.5437121727949e-16	30.3830247255347
ENSMUSG00000087823	0.158143448182048	7.61125226623258	8.6860466821226	4.72194689237067e-18	1.04134668799748e-15	30.1445309847891
ENSMUSG00000041797	0.169472631092403	7.20133240061378	8.67854492647908	5.04005365150363e-18	1.09327852322453e-15	30.0422683819684
ENSMUSG00000037355	0.182716026641416	7.53674847676174	8.65915072736474	5.96385784245812e-18	1.27280269308719e-15	29.9759271842967
ENSMUSG00000103280	0.399905552126534	7.28648595790291	8.64035860612096	7.01781464915612e-18	1.47396386408943e-15	29.7953621773089
ENSMUSG00000102995	0.19629786600839	7.41906906713132	8.62819091580986	7.79623637084073e-18	1.58707384090715e-15	29.7554278516239
ENSMUSG00000090338	0.187376520690036	7.54247640050936	8.62920958059889	7.72792344554513e-18	1.58707384090715e-15	29.7366913002555
ENSMUSG00000097379	0.183885751703215	7.40484824164297	8.60655846254264	9.39619265973166e-18	1.88379426172075e-15	29.5783836085196
ENSMUSG00000097876	0.265133615111383	7.33894846567216	8.60311788570171	9.67893371362611e-18	1.91151717759255e-15	29.5006095991764
ENSMUSG00000031902	0.265082661644906	7.45811086171086	8.58296312253479	1.15120824710979e-17	2.1663498725652e-15	29.3808447302167
ENSMUSG00000021318	0.351037051499278	7.35545150904913	8.58020859481033	1.1787877178408e-17	2.1663498725652e-15	29.319230404845
ENSMUSG00000008307	0.114091871558317	7.64587525789195	8.59521245776893	1.03607998546511e-17	2.01608975995211e-15	29.2857998030751
ENSMUSG00000037405	0.436317992308838	7.08585493918261	8.58696501446803	1.11227097259092e-17	2.13298108830768e-15	29.2855429269058
ENSMUSG00000023083	0.0912958130180819	7.6503163591749	8.58096739570861	1.17112586101309e-17	2.1663498725652e-15	29.1464881016498
ENSMUSG00000101013	0.270813584269245	6.98849506235656	8.55457073358329	1.46886654967059e-17	2.66247153222482e-15	28.9777509566502
ENSMUSG00000056459	0.140142128797634	7.55173303237618	8.5408958426349	1.65133214195532e-17	2.95276039220983e-15	28.9569286530106
