logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSMUSG00000025358	0.584555482252846	7.04869299171854	16.8220356690392	5.78632049888777e-62	7.57545079714386e-58	129.91353567684
ENSMUSG00000100071	-0.480343349505406	7.31489789979277	-16.0464408944888	1.14477059053608e-56	7.49366828564918e-53	117.937575696952
ENSMUSG00000097162	0.369823136420562	7.39879018972258	15.398426804365	2.04384284710832e-52	8.91933018478072e-49	108.252957113681
ENSMUSG00000104212	-0.629426720856678	6.85282309227634	-14.9060447562964	2.71896663518268e-49	8.8991777969529e-46	101.044313538272
ENSMUSG00000037860	0.290319750285153	7.38108382893216	14.7544080274385	2.38671290566826e-48	6.24936907220178e-45	98.9771315172972
ENSMUSG00000022831	0.218523439270792	7.37041937536158	14.7251618166943	3.62024608468635e-48	7.89937695678562e-45	98.5603542319497
ENSMUSG00000031548	0.630931353761795	7.03641381739924	14.6683832972264	8.11095655672829e-48	1.5169806177241e-44	97.7210153715684
ENSMUSG00000042660	0.562037875939352	7.02821352519752	14.5860029184045	2.60117666170528e-47	4.2568256068807e-44	96.5428395603654
ENSMUSG00000099314	-0.692233434558794	7.29207604298942	-14.4860673673144	1.06073958694803e-46	1.54302251914706e-43	95.2188600138262
ENSMUSG00000083811	0.64349443943053	7.26452047570884	14.3667050484307	5.6190854934939e-46	7.35650672808222e-43	93.5631158588325
ENSMUSG00000022885	0.733665833995302	6.94321736357205	14.1273528151923	1.53106569962044e-44	1.82224655813008e-41	90.2624502583297
ENSMUSG00000020263	0.385875046816171	7.24497381315131	13.773739189375	1.84014935112167e-42	2.00760294207374e-39	85.5406525731596
ENSMUSG00000036862	0.416981102871906	7.060215938298	13.7639152199976	2.09865279034506e-42	2.1135047947075e-39	85.3709607262311
ENSMUSG00000061517	0.669755664695591	6.91040659940443	13.6576209892779	8.65396687313401e-42	8.09269530736218e-39	83.9937922876751
ENSMUSG00000057963	0.48236949757216	6.77008407440645	13.576127734949	2.54651322449673e-41	2.22259674234075e-38	82.9121506498
ENSMUSG00000009733	-0.299438280153251	7.40453781609221	-13.4782445758213	9.23671524139835e-41	7.5579422462742e-38	81.6784849496272
ENSMUSG00000036904	0.241750899078844	7.51046424135066	13.4438284897735	1.45002217857395e-40	1.11668766834648e-37	81.195509208977
