logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSMUSG00000032329	0.134129752457796	7.63613347962367	8.74052110374802	3.53328834690142e-18	3.38200858142202e-14	30.5000634142716
ENSMUSG00000098882	-0.211885929628858	7.50603277173107	-8.69181200992295	5.38233359996615e-18	3.38200858142202e-14	30.1195388720579
ENSMUSG00000038593	0.199307682496115	7.60596808316196	8.65140334835655	7.61885240239248e-18	3.38200858142202e-14	29.7775014237037
ENSMUSG00000038195	0.237164616876868	7.41548835842545	8.47502759302027	3.41139332395038e-17	1.13573812237618e-13	28.2542275835831
ENSMUSG00000080486	0.38270876645242	7.27349908126476	8.41672700209669	5.56388304477282e-17	1.48188461014479e-13	27.6744268243567
ENSMUSG00000078519	0.368014827342583	7.48050835077014	8.32066975559082	1.23714336329765e-16	2.74583969483914e-13	27.0310640782125
ENSMUSG00000031628	0.148714726929611	7.43428662833471	8.07168649618929	9.43237285074911e-16	1.79444156076323e-12	25.0749607088802
ENSMUSG00000020700	0.274489069407277	7.11381053963811	7.92507317754036	3.0365067292924e-15	5.05464501424837e-12	23.8006684717244
ENSMUSG00000071691	0.143016943446468	7.62297648222945	7.83255153771859	6.28513539495093e-15	9.29990533939573e-12	23.1960151368245
ENSMUSG00000060419	-0.316295080629382	7.13261263492439	-7.78490422662897	9.11308052120237e-15	1.21358893300852e-11	22.8144346205396
ENSMUSG00000058173	-0.395727891953451	6.96506780338007	-7.73358859856408	1.3564620754056e-14	1.64218231437967e-11	22.4141070880124
ENSMUSG00000025857	0.298979805073682	7.33861758072286	7.71246278032435	1.5966595625077e-14	1.77189294949291e-11	22.2879483266621
ENSMUSG00000050174	0.325173817960228	7.39700956982067	7.62564355183725	3.10663339080183e-14	3.17445948523433e-11	21.6886166487182
ENSMUSG00000088712	0.325718579396733	7.38437986333373	7.61624765116105	3.33727061600064e-14	3.17445948523433e-11	21.6080443995633
ENSMUSG00000039670	-0.175126435979289	7.403645493925	-7.56868902860304	4.78922207345303e-14	3.98612939701088e-11	21.3001313276468
ENSMUSG00000035356	0.43294562763765	7.04722334874739	7.57510062332738	4.56215210911559e-14	3.98612939701088e-11	21.2528581843218
ENSMUSG00000042997	0.286787315309679	7.28239414861568	7.55686680230971	5.23743015763455e-14	4.10275631818937e-11	21.1324652953036
ENSMUSG00000051351	0.367178743221184	7.39951062921595	7.54670498885043	5.65547664998531e-14	4.18411014154746e-11	21.109732124487
ENSMUSG00000024851	0.239160592426122	7.45397957182413	7.47432135640726	9.74577591229414e-14	6.83076304336953e-11	20.6112825674212
ENSMUSG00000029298	0.417090764590875	6.84367772099866	7.41438297064343	1.52375000289735e-13	1.0145889394292e-10	20.1422173174568
ENSMUSG00000026707	0.277443936725269	7.51908109931015	7.40260828364004	1.66292087766192e-13	1.05452939656304e-10	20.0931198722102
ENSMUSG00000004562	0.238119682318055	7.44140140719077	7.35832811294704	2.30733931100957e-13	1.39667443657793e-10	19.7771074607665
ENSMUSG00000037017	0.365986626315888	7.42095308482937	7.29500203504572	3.67404125746879e-13	2.12726988807443e-10	19.3172343522961
ENSMUSG00000084603	0.384167666841472	7.4478337849628	7.27768943459733	4.16958561426037e-13	2.31359881771272e-10	19.2033094881359
ENSMUSG00000088990	0.277598215943124	7.35743953831062	7.25536721750476	4.90638458985536e-13	2.61353294332415e-10	19.0288644245457
ENSMUSG00000020389	0.351447043213138	7.52550386540282	7.20585203643934	7.02738726584753e-13	3.59937370074198e-10	18.7084721681642
ENSMUSG00000065208	0.376272901282033	7.21926851058768	7.1517048933603	1.03819232889583e-12	5.12059527552065e-10	18.2744078699276
ENSMUSG00000086288	0.366513794326841	7.41948416947024	7.13404520180837	1.17840635951671e-12	5.18470375821909e-10	18.2053822758633
ENSMUSG00000021260	0.391705418811644	7.35314825088742	7.13265271825705	1.19022160280006e-12	5.18470375821909e-10	18.1819216340266
ENSMUSG00000022797	0.204439348098653	7.55534713870317	7.13318511934349	1.18569050300424e-12	5.18470375821909e-10	18.1677177814856
ENSMUSG00000046010	0.482427481134892	7.09779068995287	7.1307074559848	1.20692210336256e-12	5.18470375821909e-10	18.1391054617176
ENSMUSG00000022893	0.221003211846837	6.70810514923362	7.10127699815085	1.4895135452294e-12	6.01086420661208e-10	17.9731629520728
ENSMUSG00000042672	0.277588095202074	7.60125632924425	7.10594437092128	1.44071621441353e-12	5.99563057104529e-10	17.9577321283351
ENSMUSG00000000489	0.240579387954311	7.32252746223738	7.08901000497396	1.62563210984577e-12	6.23474276543816e-10	17.8626497636234
ENSMUSG00000030987	0.249325869033749	7.23680163020414	7.08710030971175	1.6478931012052e-12	6.23474276543816e-10	17.8337821402386
ENSMUSG00000050334	0.318297112186088	7.28971803954023	7.08393550141878	1.6854452170592e-12	6.23474276543816e-10	17.827972113994
ENSMUSG00000097347	0.478200283159411	7.38757314275242	7.00854599983084	2.87481845836266e-12	1.03470155162204e-09	17.346569839675
ENSMUSG00000020329	0.176534590652893	7.32197248825403	6.96304989011027	3.95760048752118e-12	1.35136835108512e-09	17.0327822723456
ENSMUSG00000006127	0.197202017019051	7.61976697692692	6.96589257639367	3.87956360510956e-12	1.35136835108512e-09	16.9796884777696
ENSMUSG00000031728	0.317424992831991	7.17474775870382	6.94614683393875	4.45443381333347e-12	1.48299237730404e-09	16.8792389455502
ENSMUSG00000020955	-0.198219805405665	7.02720122669729	-6.9257165093598	5.13706389646772e-12	1.66854341242099e-09	16.7314180971862
ENSMUSG00000064120	0.212243230067256	7.49645033893421	6.87289722778833	7.41335430013766e-12	2.34380379432274e-09	16.4296658764288
ENSMUSG00000001521	0.396023316725156	7.09763066521092	6.86991222181806	7.56803808334292e-12	2.34380379432274e-09	16.3826353929315
ENSMUSG00000021224	0.313924070389403	7.29982191670414	6.85139694941849	8.60065838819801e-12	2.60306744899166e-09	16.2782216517288
ENSMUSG00000044551	0.140245044840025	7.45566303325763	6.84051720056707	9.27058358233103e-12	2.7434747014645e-09	16.2258323685456
ENSMUSG00000020829	-0.29551052305769	7.10557062777263	-6.83384256109488	9.70661606371819e-12	2.81006535044642e-09	16.1543865294489
