"","x"
"1","sperm motility"
"2","Golgi vesicle budding"
"3","morphogenesis of an epithelial fold"
"4","mRNA export from nucleus"
"5","endothelial cell apoptotic process"
"6","cranial skeletal system development"
"7","negative regulation of cardiac muscle tissue growth"
"8","lipid phosphorylation"
"9","selective autophagy"
"10","positive regulation of excitatory postsynaptic potential"
"11","regulation of axon guidance"
"12","regulation of cellular respiration"
"13","maturation of LSU-rRNA"
"14","peroxisome organization"
"15","cell differentiation involved in kidney development"
"16","azole transport"
"17","modification by host of symbiont morphology or physiology"
"18","neutrophil migration"
"19","transcription by RNA polymerase III"
"20","glycosylceramide metabolic process"
"21","regulation of metaphase/anaphase transition of cell cycle"
"22","mitochondrial respiratory chain complex IV assembly"
"23","regulation of filopodium assembly"
"24","negative regulation of Notch signaling pathway"
"25","retina layer formation"
"26","eye photoreceptor cell differentiation"
"27","regulation of leukocyte mediated cytotoxicity"
"28","DNA topological change"
"29","regulation of glial cell migration"
"30","endosome organization"
"31","interleukin-6-mediated signaling pathway"
"32","negative regulation of ubiquitin-dependent protein catabolic process"
"33","inhibitory postsynaptic potential"
"34","endothelial cell chemotaxis"
"35","negative regulation of histone H4 acetylation"
"36","maternal process involved in female pregnancy"
"37","positive regulation of immunoglobulin production"
"38","mitochondrial ATP synthesis coupled electron transport"
"39","positive regulation of dendrite morphogenesis"
"40","regulation of polysaccharide metabolic process"
"41","positive regulation of reproductive process"
"42","lymph node development"
"43","positive regulation of gene silencing by miRNA"
"44","negative chemotaxis"
"45","positive regulation of cardiac muscle hypertrophy"
"46","mitochondrial ATP synthesis coupled electron transport"
"47","macrophage migration"
"48","neuropeptide signaling pathway"
"49","regulation of interleukin-1 beta production"
"50","morphogenesis of an epithelial sheet"
"51","lysosomal lumen acidification"
"52","cellular response to glucose starvation"
"53","positive regulation of smooth muscle contraction"
"54","vascular smooth muscle cell differentiation"
"55","short-chain fatty acid metabolic process"
"56","ATP hydrolysis coupled proton transport"
"57","regulation of extrinsic apoptotic signaling pathway via death domain receptors"
"58","immunoglobulin production involved in immunoglobulin mediated immune response"
"59","regulation of peptidyl-threonine phosphorylation"
"60","protein localization to Golgi membrane"
"61","hindlimb morphogenesis"
"62","GPI anchor biosynthetic process"
"63","long-chain fatty-acyl-CoA metabolic process"
"64","regulation of cardiac muscle cell action potential"
"65","regulation of T cell differentiation in thymus"
"66","response to phenylalanine"
"67","axon ensheathment in central nervous system"
"68","thalamus development"
"69","clathrin coat disassembly"
"70","fructose 1,6-bisphosphate metabolic process"
"71","regulation of intrinsic apoptotic signaling pathway in response to DNA damage"
"72","oligodendrocyte progenitor proliferation"
"73","DNA unwinding involved in DNA replication"
"74","positive regulation of synaptic transmission, glutamatergic"
"75","protein heterotrimerization"
"76","negative regulation of cytoplasmic translation"
"77","thymus development"
"78","ribosomal small subunit assembly"
"79","adenosine receptor signaling pathway"
"80","inner mitochondrial membrane organization"
"81","blood vessel endothelial cell differentiation"
"82","bicellular tight junction assembly"
"83","regulation of hematopoietic stem cell differentiation"
"84","dosage compensation by inactivation of X chromosome"
"85","phenol-containing compound catabolic process"
"86","neutral lipid catabolic process"
"87","glutamate biosynthetic process"
"88","spontaneous neurotransmitter secretion"
"89","natural killer cell mediated immunity"
"90","regulation of prostaglandin biosynthetic process"
"91","androgen metabolic process"
"92","ovarian follicle development"
"93","homotypic cell-cell adhesion"
"94","nerve growth factor signaling pathway"
"95","lipid droplet organization"
"96","nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay"
"97","regulation of vascular endothelial growth factor signaling pathway"
"98","interleukin-1 beta production"
"99","stem cell fate commitment"
"100","proteasome assembly"
"101","regulation of cyclase activity"
"102","glucose catabolic process"
"103","heme metabolic process"
"104","mRNA modification"
"105","positive regulation of neuron migration"
"106","protein kinase C-activating G protein-coupled receptor signaling pathway"
"107","negative regulation of hydrogen peroxide-mediated programmed cell death"
"108","regulation of grooming behavior"
"109","positive regulation of superoxide anion generation"
"110","negative regulation of protein processing"
"111","regulation of SNARE complex assembly"
"112","positive regulation of striated muscle cell differentiation"
"113","calcium-mediated signaling using intracellular calcium source"
"114","positive regulation of mucus secretion"
"115","positive regulation of B cell mediated immunity"
"116","synaptic transmission, dopaminergic"
"117","positive regulation of endoplasmic reticulum unfolded protein response"
"118","positive regulation of ubiquitin-protein transferase activity"
"119","regulation of gluconeogenesis"
"120","cyclic nucleotide metabolic process"
"121","histone H2A phosphorylation"
"122","regulation of protein localization to early endosome"
