"","MEantiquewhite1","MEantiquewhite2","MEantiquewhite4","MEbisque4","MEblack","MEblue","MEblue2","MEblue4","MEblueviolet","MEbrown","MEbrown2","MEbrown4","MEchocolate4","MEcoral","MEcoral1","MEcoral2","MEcoral3","MEcoral4","MEcyan","MEdarkgreen","MEdarkgrey","MEdarkmagenta","MEdarkolivegreen","MEdarkolivegreen2","MEdarkolivegreen4","MEdarkorange","MEdarkorange2","MEdarkred","MEdarkseagreen2","MEdarkseagreen3","MEdarkseagreen4","MEdarkslateblue","MEdarkturquoise","MEdarkviolet","MEdeeppink","MEfirebrick3","MEfirebrick4","MEfloralwhite","MEgreen","MEgreen4","MEgreenyellow","MEgrey","MEgrey60","MEhoneydew","MEhoneydew1","MEindianred3","MEindianred4","MEivory","MElavenderblush1","MElavenderblush2","MElavenderblush3","MElightblue4","MElightcoral","MElightcyan","MElightcyan1","MElightgreen","MElightpink2","MElightpink3","MElightpink4","MElightslateblue","MElightsteelblue","MElightsteelblue1","MElightyellow","MEmagenta","MEmagenta3","MEmagenta4","MEmaroon","MEmediumorchid","MEmediumpurple1","MEmediumpurple2","MEmediumpurple3","MEmediumpurple4","MEmidnightblue","MEmistyrose","MEnavajowhite","MEnavajowhite1","MEnavajowhite2","MEorange","MEorangered1","MEorangered3","MEorangered4","MEpaleturquoise","MEpalevioletred1","MEpalevioletred2","MEpalevioletred3","MEpink","MEpink4","MEplum","MEplum1","MEplum2","MEplum3","MEplum4","MEpurple","MEred","MEroyalblue","MEsaddlebrown","MEsalmon","MEsalmon1","MEsalmon2","MEsalmon4","MEsienna3","MEsienna4","MEskyblue","MEskyblue1","MEskyblue2","MEskyblue3","MEskyblue4","MEsteelblue","MEtan","MEtan4","MEthistle","MEthistle1","MEthistle2","MEthistle3","MEthistle4","MEturquoise","MEviolet","MEwhite","MEyellow","MEyellow3","MEyellow4","MEyellowgreen"
"X0",-0.0366753550494213,0.199845046635005,0.0261282994740346,-0.189014260455336,0.140687964482499,-0.130957815371893,-0.0052291953025112,0.184920596610536,-0.0250088291136678,-0.0559653690818779,0.179676321364342,0.0899959405607732,-0.13358892743672,0.142024372640891,-0.0449135002769794,-0.10071535817913,0.145790495636279,0.20401627691541,0.128401836558359,-0.161324972827066,-0.154316811788893,0.0202238192672902,0.162202327650612,0.0138720143785234,-0.20481934442027,-0.0417721140463101,-0.0591808569489123,-0.0701785766021374,-0.179951422833593,0.163737248640268,-0.0781552202988668,0.142888892979773,0.0677874796068154,-0.0527141166827995,0.0295656281686409,0.145357964240638,0.0958118621955761,0.0644296712595335,0.1483254901831,0.0390211861123804,-0.0917527745934452,0.149587276473902,-0.101398675720185,-0.00791699649584885,0.0265507615818112,0.0824255345769653,0.206146830661564,0.176628260550135,0.132165713094034,0.0630858422634554,0.0858492993696568,-0.225853728869042,0.179957700776358,-0.0242735199885923,0.0762658279933017,0.116571979667396,0.236749396992026,-0.0480959087441453,0.0761145698498303,-0.0806060623444311,0.161709288038772,0.173823630283668,0.147657434396906,0.144357390180139,-0.153063940258693,0.228209674379049,-0.0331890769114047,-0.147448174410669,0.207373681818593,0.0357239853810812,-0.0998339573410679,0.107947152770363,0.0727289910154947,0.183914135028218,0.222455497619344,0.00457480004560251,-0.0913718181452334,-0.173568086805679,0.183014384412841,0.123563708001323,0.100066058097659,0.0405732593682813,0.260688996056376,-0.0112038696883159,-0.00479616960937923,0.0975671079699874,-0.231330486478692,-0.138109592299191,0.1980122316838,0.224964417490902,-0.189112297603208,0.0886218654038291,0.105509775863313,-0.136554453714079,0.181459677617777,-0.0615926711457914,-0.0860089100104976,0.0764626991271497,-0.098555672014397,-0.190696784157028,-0.147625645293449,-0.137372654207648,0.169223432361924,0.229681037764441,0.0122639036046289,0.0130892388646769,0.0878065087959541,0.201028742130943,-0.0743183412569318,-0.17994111273587,0.212278814947367,0.0546573665358666,0.105533073949901,-0.206990718676929,0.23992513904809,-0.118090967251733,-0.179561287746923,0.00372410950773038,0.105534525163649,-0.210671817685126,-0.0576117283036351,0.112488874551104
"X1",-0.0356412372623763,0.197219383407318,0.0261197615041305,-0.187718848423304,0.139838623513992,-0.131007456164265,-0.00390218093770602,0.181542410329742,-0.0276144762855899,-0.0570414060174071,0.17757688078068,0.0850116634788466,-0.132868782970351,0.137829164361534,-0.0458263424950686,-0.100483368115349,0.14181692096855,0.198991985559542,0.127174907950405,-0.160621997949575,-0.154095427615539,0.0214664519420935,0.160576651995131,0.0137701710592365,-0.203656468439077,-0.043915823000961,-0.0589362018017898,-0.0707236930411197,-0.177694213368349,0.161065784705328,-0.0777326336987909,0.140382276639408,0.0677499642753731,-0.0509394071390443,0.0303450461205793,0.144024296296583,0.0957913864630608,0.0649935648374931,0.147209770525055,0.0393600241842251,-0.091969405840611,0.143297582497947,-0.102116745006116,-0.00909562986218021,0.0259939329369378,0.0811900642006258,0.202295864877714,0.174858050176392,0.129754972114432,0.0618836910302771,0.0827060055624,-0.223096968820389,0.174339448136688,-0.0256228496573642,0.0754692865146572,0.11628396942665,0.232701908136299,-0.0471460400352492,0.0723711012364655,-0.080354963698954,0.158089941025409,0.170834397880026,0.146588686423077,0.143030128397266,-0.151382500118594,0.224506687872515,-0.0339784081644636,-0.144724381386787,0.204895383107324,0.0343737577613402,-0.100682293303738,0.106074906720312,0.0728250701105755,0.178446054571499,0.21720149535732,0.002342983606893,-0.0925780241892752,-0.17267490183473,0.178928580979097,0.122238258289238,0.0997302398721688,0.0380471108032451,0.254574878395077,-0.0139357039136353,-0.00888166576117455,0.0974261085283936,-0.229175714359608,-0.138216208384108,0.195552562883438,0.220954325239491,-0.187073404189588,0.0829066430996615,0.10525072797887,-0.136216370318956,0.179341028730596,-0.0620972887855619,-0.0868538976958095,0.0743916697504345,-0.100240892534122,-0.189495645216212,-0.146578761367288,-0.136593644143597,0.167675845414439,0.223116273767264,0.0104813465537827,0.0113501287890914,0.0871371582253875,0.197688525152031,-0.0753169262861119,-0.178386476190025,0.208487382962844,0.0525130903435196,0.102982096784774,-0.204965941197566,0.234525525731638,-0.117907397900201,-0.17821502413688,0.00140765680727406,0.10480098639552,-0.209118143962103,-0.0558355362432396,0.108015273242766
"X2",-0.0344826515962361,0.194409405201143,0.0261655071301267,-0.186354115458812,0.13890725020469,-0.131056373336783,-0.00247724302763157,0.177793030407891,-0.0304367955332578,-0.0581621427323436,0.175332282467495,0.0796968692790363,-0.131864879475132,0.13335142957552,-0.0469208792336569,-0.100135729908739,0.137550050247783,0.19377163366117,0.125876728859888,-0.159871894134343,-0.153896377322833,0.0227970442558203,0.158779476950938,0.0136710849408479,-0.202364703197283,-0.0461729728254133,-0.0585481527917046,-0.0712888303189562,-0.175155066669194,0.15823683133067,-0.0772642970153897,0.137731679498609,0.0676671993077943,-0.0489724718894518,0.0310279658061649,0.14260362968088,0.0958050438069109,0.0656237121710025,0.145983607017567,0.0396718981000806,-0.0921581327066721,0.13461752029021,-0.102872248098823,-0.0102021966177608,0.0253835168535342,0.0798312700660791,0.198235384686261,0.172943185044839,0.127190660087795,0.0605601645872293,0.0794225029272347,-0.22018737667242,0.16839140599304,-0.0270043091662082,0.0746444523751618,0.115959138891121,0.228405751432901,-0.0461840931630599,0.0683994354132347,-0.080088576759207,0.154260428487194,0.167627764232695,0.145433293272508,0.141595244409955,-0.149357788004366,0.220558051355394,-0.0347856393995748,-0.141751558054843,0.202143839975832,0.0328965538364196,-0.101679052959897,0.104014273655044,0.0729373422816383,0.172271250946528,0.211732457256465,2.15141665279884e-05,-0.0940010392904748,-0.171702602099041,0.174553751080105,0.120755141488261,0.0994102180690041,0.0353686780155238,0.248206874334913,-0.0168097817649947,-0.0132365053885811,0.0972766207898482,-0.226790665990964,-0.138424934323966,0.192919369577675,0.216641941248985,-0.184709728160276,0.0768820183428376,0.104979564016038,-0.135836263399767,0.177066852218976,-0.0625760417061798,-0.0877430962714853,0.0722822764274255,-0.102075167273897,-0.188270664452617,-0.145343438602289,-0.135884791847635,0.165994650644254,0.21610842502024,0.00860005833588727,0.00954473323466463,0.0864630832420589,0.194136625599875,-0.0763602127337045,-0.176960623786234,0.204514048115533,0.0502220759360681,0.100357121761015,-0.202767054759661,0.228657655461721,-0.11770021125643,-0.176768299015286,-0.00104590474338428,0.103987462803336,-0.207396337924937,-0.0539749006294583,0.103292256930518
"X3",-0.0329984111231507,0.191348904309391,0.0263849829323915,-0.184809527058212,0.137931815307157,-0.131092588173664,-0.000798926661245404,0.173714275972959,-0.0335914325193599,-0.059362036350489,0.172937748192708,0.073946452184403,-0.130435754101283,0.128481095299436,-0.0480743252695389,-0.0996379407596231,0.132980878856248,0.188144800178807,0.124518021917365,-0.158985358055538,-0.15363618448917,0.0243611900330019,0.156832190357874,0.0136615776135154,-0.200779461943634,-0.0486129085120959,-0.0579908799401303,-0.0718851797215005,-0.172206315932934,0.155320182300231,-0.0765906634004169,0.13494865231586,0.0676259053731233,-0.0466451044906628,0.031914958962289,0.141142469785413,0.0959395167581759,0.0664708199074363,0.144660136153807,0.0402158435844492,-0.0923140683884576,0.125508754992889,-0.103665883066249,-0.0112380852820519,0.0248135970745954,0.0784507741327139,0.193886927439271,0.170901264230418,0.124441642053081,0.0591937566177353,0.0759644507563131,-0.216869675680252,0.16197909634041,-0.0284452740026888,0.0738405513282732,0.11566057748754,0.223769710625588,-0.044834865794585,0.0640920742538597,-0.0797697529752311,0.150198931093552,0.164187876326621,0.144226351894653,0.140063702383909,-0.146743866150235,0.216319918193483,-0.0355780308500378,-0.138284530575185,0.199006972806675,0.0313271062328891,-0.102758551136602,0.101789052201218,0.0731638645800136,0.16532660101747,0.20592180213402,-0.00246364403248986,-0.0955647932275846,-0.170568021241593,0.169852526797632,0.119261113442552,0.0992081903403867,0.0324618358648636,0.241431902351244,-0.0199204643194593,-0.0178646634578043,0.0971917917472457,-0.223865484581597,-0.138678569711575,0.190100310176112,0.212000566674323,-0.181590490035386,0.0704748508847736,0.104764709813622,-0.135384160756181,0.174622352074232,-0.0630303197620734,-0.0886973449685339,0.0700668756329501,-0.104011345422197,-0.18683371482688,-0.143850933184193,-0.13498975361642,0.164164683385496,0.208533336749128,0.00671909472239669,0.00763734024914573,0.0859052798428305,0.190324191725564,-0.0774560020570086,-0.175344515552077,0.200331712994207,0.0477922782987741,0.0976641940554722,-0.200315220580913,0.222128957801943,-0.117450775905605,-0.17505540845829,-0.00372357605219243,0.103151854523916,-0.205355132140879,-0.0518759302005413,0.098309313485357
"X4",-0.0314070037940314,0.188084959783696,0.0266921072603361,-0.183137415012056,0.136861926175602,-0.131081055022234,0.000945738799387074,0.169327928827663,-0.0368134531841139,-0.0605790440658909,0.170368184550153,0.0680415514559949,-0.128927464065991,0.123404226738714,-0.0491654149634678,-0.0991340181406465,0.128295516084921,0.182402100262319,0.123094772066022,-0.158003331660191,-0.153296355777897,0.0259578794202504,0.154722960663679,0.0136072688091646,-0.199006296755632,-0.0510857498517208,-0.0574135407162759,-0.0724992670127011,-0.169107101285931,0.152286579000749,-0.0758000085123066,0.132105633746077,0.0675761534423731,-0.0442510771347302,0.0327736666462393,0.139573812362569,0.0959898725838107,0.0673129984795585,0.143235405171523,0.0407571716451836,-0.0924545560073807,0.115758660155379,-0.10443389349852,-0.0123235183387425,0.0242766377915367,0.0769682787181811,0.189327782411439,0.168722061559233,0.12148136232068,0.0578071670000817,0.0723918909036654,-0.213350460492115,0.15531248936724,-0.0299339026086932,0.0730409794934831,0.115295822386358,0.218948691100265,-0.0434302531243534,0.0596280913978525,-0.0794679984653312,0.14596041625643,0.160655958871232,0.142904562671363,0.138440329097891,-0.14398330190496,0.211874002464268,-0.0364035126516049,-0.134674586362038,0.195641189206795,0.0296707423015247,-0.103790549697238,0.0995051532099845,0.0734003355047404,0.158167652772698,0.199875196830639,-0.00500633249960782,-0.0971375925964754,-0.169323920102445,0.165039260390486,0.117635049296929,0.0989335824112037,0.0294465296043635,0.234420483255652,-0.0230822808519586,-0.0225523766431601,0.097068683947502,-0.220742304265568,-0.138901002929072,0.187126390729224,0.207198557156386,-0.178191700711708,0.0640060324950094,0.104507484801165,-0.134872183340392,0.172048710935185,-0.0635081808646115,-0.0896435170758729,0.0677281637649764,-0.10595060057403,-0.185250274776904,-0.142275522270211,-0.133957652995209,0.16220109843571,0.200706742586606,0.00487839879148606,0.0056718062728564,0.0852983491759696,0.186375236438607,-0.078549147570782,-0.173660932013128,0.195999862362992,0.0452345830994126,0.0948382425918824,-0.197763244389097,0.215340971964778,-0.117165877807359,-0.173252628315172,-0.00648457992524891,0.102274728521978,-0.203145543498509,-0.049721746921638,0.0933244450338982
"X5",-0.0296421426596564,0.184618790649023,0.0271457737002053,-0.181288037024453,0.135716834946966,-0.130975031463869,0.00279318835388618,0.164722719494393,-0.0400480535662631,-0.061798022114691,0.167653802944499,0.0620675242039483,-0.12727665320764,0.118142200773799,-0.0500911806776161,-0.0986004121411642,0.123492944592729,0.176578610548568,0.121644235544947,-0.156884247295176,-0.152803693441762,0.0276454788300819,0.15245360709047,0.0135275322910087,-0.196994873454073,-0.0535487618449259,-0.0568523585505485,-0.0731072600208056,-0.165724274093945,0.149147626829836,-0.0747804830940897,0.129247379557053,0.0675605071064384,-0.041686453147244,0.0337210574920744,0.1379319860745,0.0959671374106361,0.0681816019080129,0.14173109085532,0.041321671648135,-0.0925618519588954,0.106243512175795,-0.105132648953624,-0.0134535370272464,0.0238431500136375,0.0753964649237268,0.184579488665469,0.166424010754578,0.118386906728534,0.0565052614992525,0.068729003794442,-0.209512016650138,0.148429688865783,-0.0314604258595524,0.0722986273956352,0.114892740578685,0.213968034048411,-0.0418508886190556,0.0550291766803762,-0.0791702262853433,0.14157687447267,0.157082722937435,0.14148780972374,0.136759533005897,-0.141028652198071,0.207241986722987,-0.0372520722452155,-0.130793072868967,0.192062426454641,0.0279398199431761,-0.104621724480922,0.0972169064984706,0.0736738136233472,0.150886682459597,0.193639103785839,-0.00759538996474076,-0.098642976136081,-0.167923970164256,0.160199253854392,0.115922457437816,0.0986346152136112,0.0263395337832634,0.22721308706631,-0.0262703458410837,-0.0271684393122131,0.0969394314858375,-0.217311452267494,-0.138984810127082,0.184006699379182,0.202274783802906,-0.17444401164518,0.0576244874607146,0.104239187370731,-0.134270907165325,0.169361063220678,-0.063991759355755,-0.0905519043675072,0.0652720168260422,-0.107762940561677,-0.183404720674525,-0.140588053998312,-0.132692784645213,0.160125518417459,0.192729935008148,0.00321757011013613,0.00366282226069317,0.0846642469166196,0.182324448319005,-0.0796129518921917,-0.171768020228622,0.191526352462725,0.0425710495345256,0.0919147499321537,-0.195049654646214,0.208378328840849,-0.116821387769542,-0.171304587412321,-0.00930699212495285,0.101397231212183,-0.200718718206237,-0.0474213115140797,0.0884333826275316
"X6",-0.0276062053642219,0.181020927040287,0.0277949382296869,-0.179171146440584,0.134547926103843,-0.130747478049123,0.00490151083931735,0.159903537274134,-0.0433304050840145,-0.0630032301906655,0.164842897908743,0.0559116082468063,-0.12534641534473,0.112670110560315,-0.0508250653955909,-0.0979049634330162,0.118569765261877,0.170666085024742,0.120172438962609,-0.155565480299633,-0.152134638743211,0.0295563629238803,0.150180382759291,0.0136587335476,-0.194631391856234,-0.0560664197400203,-0.0561079380767267,-0.0736679810897536,-0.161923020546815,0.14599222549709,-0.073404535360745,0.126331529295384,0.0676287754033972,-0.0387304149520431,0.0350039135743098,0.13628997380004,0.0960174473753768,0.0692012758977549,0.140184127751618,0.0421186157616949,-0.0925732347611018,0.0960343181958866,-0.105763414072681,-0.0144869184759874,0.0235867142163605,0.0738916041852808,0.179685413808276,0.164058092982306,0.115337710081953,0.0552621326940337,0.0649641284281256,-0.205160809304748,0.141299156785472,-0.0329947193728565,0.0716316206072273,0.114522135666232,0.208790195430435,-0.0397656330437418,0.0502466469320113,-0.0786891850296227,0.137113067733867,0.15344257636432,0.14005120616559,0.135031683314864,-0.137559281007623,0.202393718733551,-0.0380423210581991,-0.126376336382085,0.188394698067052,0.026306147592896,-0.105223257112089,0.0948843116414977,0.0740463177343664,0.143480688497356,0.187213882799125,-0.0102577377528857,-0.100066664294289,-0.16629764874375,0.155214035324841,0.114220224697833,0.0984262383317907,0.0231857815681799,0.21976185494916,-0.0294956773409676,-0.0318260281310499,0.0968555701148969,-0.213353942671351,-0.138913383494877,0.180759259505416,0.197242184772053,-0.17010542042333,0.05117171213182,0.104019010024037,-0.133523412930505,0.166580063900992,-0.0644097551750882,-0.091418230493887,0.0627955761474482,-0.109485660965094,-0.181220832487346,-0.138603621956662,-0.131036709581635,0.157996560780477,0.184497066648082,0.00174811757762319,0.00164122190383653,0.0841665226731477,0.17813035117913,-0.0806485775362852,-0.169528560214316,0.186940926483864,0.0398779943644312,0.0889446811649282,-0.191992543811517,0.201239352236935,-0.116355147101276,-0.16902280645564,-0.0122257290752744,0.100540673304018,-0.197996459496286,-0.0447728212246425,0.0835646553770339
"X7",-0.0250883149283977,0.177277580843038,0.028714149762106,-0.176704881572709,0.133375967267102,-0.130389037213254,0.00743084792651672,0.154818064162058,-0.04672022164159,-0.0642341526135455,0.161934909528635,0.0494213876914106,-0.122902228450398,0.106826246651567,-0.0513223369409983,-0.0969499183793641,0.113408453573925,0.164504498089629,0.11868292763687,-0.153969718198637,-0.151250398395741,0.0318198118112777,0.147909727515931,0.0141671213149107,-0.191727441176461,-0.0587298843945343,-0.0550825190184386,-0.0741910308108679,-0.157439310760569,0.14281194369939,-0.0715076782267992,0.123330241405493,0.0678412687253814,-0.0351642535970464,0.0367828545924557,0.134673965539162,0.0962470359775615,0.070490752934824,0.138594550114774,0.0433689600774979,-0.0924827321058315,0.0849895620498088,-0.106335320657708,-0.0153757389433191,0.0235744960682553,0.0725661763019124,0.174543060681808,0.161605399461451,0.112338205229294,0.0540847529213709,0.0610237268903613,-0.200017151247028,0.133804209145324,-0.0345536066920666,0.0710602502744229,0.114222110424606,0.203253368738593,-0.036945188650543,0.0451821112784971,-0.0779581546740933,0.132490025322782,0.14968283674215,0.138623284380434,0.133250250721385,-0.13330423154024,0.197253483854898,-0.0387731111971615,-0.121183730498276,0.184583764307607,0.0248098914294705,-0.105581664160218,0.0924868499672999,0.0745789919350387,0.135747420682973,0.180428534107201,-0.0130560403606723,-0.101422855611862,-0.164365884277955,0.14999996876902,0.112570161220593,0.0984024590360153,0.0198973472642881,0.211918915013947,-0.0328478770031296,-0.0365925885539709,0.0968647692352082,-0.208600128279511,-0.138638872102184,0.177339051415425,0.192016954259509,-0.164798296575867,0.0444815369726268,0.103889321448111,-0.132590752581413,0.16368168763252,-0.0647628675672007,-0.0922717865749347,0.0602625367839148,-0.111129188263555,-0.178602487156603,-0.136211147583623,-0.12879412626542,0.155803777413593,0.175748767877675,0.000501922785669218,-0.000422370813821251,0.0839167844680537,0.173717835272163,-0.0816901757435371,-0.16672218551648,0.182208146212446,0.0371288038381304,0.0859292525354516,-0.188446325298462,0.193665561491033,-0.115746446539998,-0.166263149613131,-0.0153317857462569,0.0997320708987014,-0.194775024067461,-0.0416010089009291,0.0786474547791016
"X8",-0.0220346282013486,0.173339772088322,0.0299100901535078,-0.173855044113851,0.132191692105565,-0.129894636405677,0.0104426338083328,0.149469859683352,-0.0503135610888403,-0.0655145799891001,0.158938910998103,0.0424932197949837,-0.119812274144351,0.100562483079404,-0.0516067171260533,-0.0956840861508245,0.107936197302947,0.157946273361823,0.117171200594054,-0.15207510206948,-0.15012746190017,0.0345297845605349,0.145629081396622,0.0150440045899354,-0.188239175577529,-0.0615900798082527,-0.0537184532600029,-0.0746859183313986,-0.15217027525675,0.139569967637314,-0.0690457572343114,0.120201295868347,0.0682105319201287,-0.0308414040488807,0.0392049839243711,0.133098043232924,0.0966926741184948,0.0721246373478664,0.136940865712005,0.0451745319258792,-0.0922799566567024,0.0737004550140307,-0.106870886625082,-0.016153007743872,0.0238166575591499,0.0714419447971187,0.169087798743959,0.159069101542346,0.109332916555309,0.0529582763039391,0.0568425718413335,-0.193959665360395,0.125838701645279,-0.0361710768938399,0.0705971774762763,0.114007971095302,0.197301448581168,-0.0333083872052731,0.0397345836807549,-0.0769393018446881,0.127624210103591,0.145745717486665,0.137202259116786,0.131399571608871,-0.128142228890853,0.191771044977426,-0.0394429069352893,-0.115096656382446,0.180585799372784,0.0234557297340649,-0.105700034403856,0.0900057841740475,0.0752920325988134,0.127567973454032,0.173251010216124,-0.0160538416809143,-0.102743191839343,-0.162103945785998,0.144486154003883,0.110989940615557,0.0986223081782295,0.0164071300048028,0.203609804670195,-0.0364121397428234,-0.0415427591409962,0.0969842024970786,-0.202930761600294,-0.138143738026416,0.173711178947313,0.186513926629298,-0.158364651618631,0.0374824770087553,0.103874050070894,-0.131466625573443,0.160625114786697,-0.0650360510249582,-0.0931376148082685,0.0576747011234992,-0.112676827800816,-0.175482123111813,-0.133362593115581,-0.125952857028553,0.153524837710735,0.166382465319988,-0.000521324369942327,-0.00255037108513463,0.083915276741071,0.169031144810871,-0.0827585669946329,-0.163303249317965,0.177216937140338,0.0343035290915431,0.082900563356651,-0.184347091964416,0.185523664010441,-0.114986719032156,-0.162948202451361,-0.0186879323293921,0.098971032349776,-0.190989752967277,-0.0378925347647884,0.0736043469629009
"X9",-0.018293710924099,0.169191138051602,0.0314600485725086,-0.170590042730797,0.131037682674118,-0.129279726781548,0.0140492335465963,0.143789790613912,-0.0542306802785608,-0.0668916724014244,0.155833575482675,0.0349617422260809,-0.115964061916627,0.0937545415476906,-0.0516665763951105,-0.0940567353052734,0.10206054334325,0.150903867251524,0.115646890855342,-0.149855423784816,-0.148773817862931,0.0378106520054991,0.143355075329031,0.016384940919505,-0.184070061739205,-0.0647371513906787,-0.0519423542332439,-0.0751689077466431,-0.145980202600591,0.136267787657715,-0.0659127298961724,0.116907626343007,0.0687855035853367,-0.0255710105015276,0.0424220131358622,0.131566803562327,0.0974581245073478,0.0742132883501664,0.135238529658779,0.0476843123111758,-0.0919688743755264,0.0614186515912076,-0.107401363762978,-0.01679052120181,0.0243672640888071,0.0705708763716213,0.163276151765259,0.156453464503625,0.106365536266728,0.0518733251893922,0.0523553415436795,-0.186865401782052,0.117226632909292,-0.0378947516386941,0.0702716106131025,0.113938351563461,0.190838845653054,-0.028690349068439,0.0338357366922812,-0.0755991490521028,0.12247599919116,0.141588529447629,0.135829797187695,0.12948730409722,-0.12182514595661,0.185855204274797,-0.0400586197011762,-0.107886083061018,0.176411692404019,0.0222510482204284,-0.105588592957977,0.0874334029343359,0.0762554448739104,0.118791358882236,0.165575805777698,-0.0193182690235679,-0.104067823983131,-0.159468563219268,0.138568309358304,0.109517106508123,0.0991673385988357,0.0126407060914626,0.19469032032536,-0.0402620346762463,-0.0467939564353908,0.097272523342009,-0.196163704198623,-0.13742923222006,0.169863506429459,0.180686897673534,-0.150575269936366,0.0299682428787027,0.104028227753011,-0.130135666705655,0.157404782855888,-0.0652323469164493,-0.0940498830076387,0.0550078136056441,-0.114179450039586,-0.171811124822204,-0.129945147462928,-0.12243209963197,0.151176894856984,0.156219142189142,-0.00132333356870631,-0.00479019025525675,0.0842375428998175,0.164004880910618,-0.083893675266191,-0.159175764910699,0.171925767803543,0.0313685724792304,0.0798013895920235,-0.179533074346783,0.176620042721852,-0.114070276633067,-0.158971533828508,-0.0223889433478881,0.0982844890784453,-0.186550340954017,-0.0335009357992193,0.0683563184118137
