"","Step0","Step1","Step2","Step3","Step4","Step5","Step6","Step7","Step8","Step9","Step10","Step11","Step12","Step13","Step14","Step15","Step16","Step17","Step18","Step19","Step20","Step21","Step22","Step23","Step24","Step25","Step26","Step27","Step28","Step29","Step30","Step31","Step32","Step33","Step34","Step35","Step36","Step37","Step38","Step39","Step40","Step41","Step42","Step43","Step44","Step45","Step46","Step47","Step48","Step49","Step50","Step51","Step52","Step53","Step54","Step55","Step56","Step57","Step58","Step59","Step60","Step61","Step62","Step63","Step64","Step65","Step66","Step67","Step68","Step69","Step70","Step71","Step72","Step73","Step74","Step75","Step76","Step77","Step78","Step79","Step80","Step81","Step82","Step83","Step84","Step85","Step86","Step87","Step88","Step89","Step90","Step91","Step92","Step93","Step94","Step95","Step96","Step97","Step98","Step99"
"MEbrown4",0.0904493234833973,0.0854399365343313,0.0800983673832016,0.0743189807495821,0.0683843322221803,0.0623802089244844,0.0561932805999991,0.0496703635124538,0.0427072927860799,0.035137873024556,0.0270359879751418,0.0186295486966359,0.00998265699607858,0.00091710762443531,-0.0087077608495888,-0.018807784325921,-0.0292544021285955,-0.0399354193694367,-0.0506070127591979,-0.0613649935650267,-0.0724901862183505,-0.0836697445506801,-0.0948173191461374,-0.105863166845406,-0.116774653075513,-0.127256479371802,-0.137185617851385,-0.146101544237142,-0.154152866110899,-0.161175260007449,-0.166627979545288,-0.171014710037968,-0.174116900187006,-0.175768217060286,-0.176044449257277,-0.175157725227733,-0.173176719400533,-0.170080984306253,-0.165475542978429,-0.160336709139704,-0.154335022365665,-0.147289438270585,-0.139640812708024,-0.131675257025642,-0.123054957412599,-0.113772073400205,-0.104234235867376,-0.0944828646255868,-0.0839304466555559,-0.0728804184842725,-0.0610724615322106,-0.0490734267767002,-0.0375917031489994,-0.0260848552904595,-0.0143680213944408,-0.00299110593529762,0.00771359278658585,0.0189356829922963,0.0298583753772457,0.0406299298292085,0.0512552349057187,0.0614747750081184,0.071400952392444,0.0813392429458931,0.0905013483888668,0.0986527137819613,0.105836596519805,0.111887764939675,0.116872668565752,0.120694378736655,0.123428994488848,0.124943536373105,0.125276314774069,0.124432964485745,0.122388014548102,0.11995647841982,0.11720570513738,0.114109127120342,0.110589891948396,0.106682985783107,0.103128748353018,0.0998254978839182,0.0963993672696345,0.0931463947964743,0.0900280312331957,0.0871887745569797,0.0847632626191844,0.0826398713891677,0.0803747683434283,0.0780123938592874,0.0757582224954969,0.0736054452990665,0.07163628302629,0.0698122667788263,0.0681671523131098,0.0665344550511134,0.0652421543605561,0.063966300076163,0.0628442272475737,0.0619551007324456
"MEpalevioletred3",-0.0048203318258232,-0.00892640995247348,-0.0133031884574064,-0.0179546623319728,-0.0226659913503446,-0.0273053088903492,-0.0319863617812087,-0.0367769352549623,-0.0417520438869066,-0.04702969574316,-0.0525871650181753,-0.0583271313595394,-0.064209985327773,-0.0702740325647868,-0.0766011832605901,-0.0831964986227957,-0.0899252411017506,-0.0967610113578919,-0.103375315649935,-0.109811477815416,-0.116163294184738,-0.122084574175374,-0.12756788523339,-0.13270292463006,-0.137526617349419,-0.141744423455187,-0.1452744736313,-0.147726013956463,-0.149200150546628,-0.149765348518944,-0.149055947009407,-0.147386152740842,-0.144513989358594,-0.140427574643498,-0.135354115573559,-0.129287782070974,-0.122278526605218,-0.114272289141203,-0.105182833836845,-0.0957735643793435,-0.0856797142316813,-0.0748265154243247,-0.063698004883437,-0.0526791143228717,-0.0414511476904999,-0.0299915256274578,-0.0186111806581489,-0.00720632846108189,0.00464796092477604,0.0167619263310377,0.0292993071737841,0.0416241030598728,0.0531606746789769,0.0646140638406872,0.0759093015876366,0.0865733590084082,0.0964315735598048,0.106506074435148,0.11619263717208,0.125220068403421,0.133526425316986,0.141000785240339,0.147824594081976,0.154387104806971,0.160130740128446,0.164616278224996,0.167630669276471,0.169337464074297,0.170073844764376,0.169711983507228,0.167845187925691,0.164274729146344,0.159176312701618,0.152743505221275,0.14482468074777,0.136431636377172,0.127495385520561,0.118212146766831,0.108617783056194,0.0985971345376818,0.0888960405624858,0.0795293176028788,0.0701453395878815,0.0610453011627224,0.0522119091961544,0.0436583189480909,0.0354782157236821,0.0279199673027833,0.0205171923626372,0.0132094153405799,0.00630406550601911,-0.000163338174515552,-0.00630537249745694,-0.012067738576278,-0.0173356117016232,-0.0222552255666244,-0.0266550246757279,-0.0307056370573513,-0.0342926206016184,-0.0375119721498257
"MEplum4",0.0890683259896603,0.083324311451359,0.0772693357480041,0.0708298901639515,0.0643284830621943,0.0579147889829484,0.0514295057640377,0.0447056267383407,0.037671306803383,0.0301192173499688,0.0221157611379815,0.0138621461091732,0.00536726989828828,-0.00344985589743622,-0.0126971866240579,-0.0223344053758906,-0.0321544594308208,-0.0421278526245514,-0.0518648535353387,-0.061431808041712,-0.0711585157946843,-0.0805123745589807,-0.0895146397465946,-0.0982006831579105,-0.106606046506702,-0.11438793061939,-0.121511321576094,-0.127333117588709,-0.132195627905114,-0.136208587533745,-0.138776222103519,-0.140193651974841,-0.14016868042249,-0.138619646861878,-0.13562087183006,-0.131389749511067,-0.126141688919564,-0.119751749299896,-0.111914266172626,-0.10359105757964,-0.0943218723945178,-0.083787225735492,-0.0726701960459206,-0.0615729053569834,-0.0501200381683211,-0.0381675457889264,-0.0262732974328188,-0.0142622004915427,-0.00149303548889419,0.0118509918087065,0.0259100862189557,0.0398905390205317,0.0529363064458276,0.0658846146288537,0.0787328115428796,0.0908969947862311,0.10194799501854,0.113353871972149,0.124194272815984,0.133920669280367,0.142677795338684,0.150514513300583,0.157547304962611,0.164349612528083,0.169849436149768,0.173502641968803,0.175304391451761,0.175335647012007,0.173932985999461,0.170966148703155,0.165968053407216,0.158619940718719,0.149199917133769,0.13808864207276,0.125154587715246,0.111719545098943,0.0977992247812192,0.0836201741139608,0.0692550633312429,0.0546821012841159,0.0405915688578777,0.0270556190123095,0.0134634844631714,0.000375573754665833,-0.0122525367767853,-0.0243349265006351,-0.0357505377476353,-0.0463941461170592,-0.0568139306182725,-0.0669687799346785,-0.0764114317667971,-0.0852528670552563,-0.0935620576181224,-0.101451316095558,-0.108810099240702,-0.115764654972293,-0.122098064049584,-0.127961638302971,-0.133152554055619,-0.137594386949751
"MEmediumpurple3",-0.100336902374748,-0.101189512097276,-0.102191293244441,-0.103276229733532,-0.104313427312265,-0.105148789400957,-0.105753352442393,-0.106113565079017,-0.106232531650075,-0.106120528782779,-0.105850666159816,-0.105570649924692,-0.105194620517592,-0.104671990578323,-0.104095121218707,-0.103466797546833,-0.102745318076718,-0.101867816686715,-0.100600176269681,-0.0992797854841788,-0.0978005899881349,-0.0957734768317506,-0.0933112533818138,-0.0905631089323539,-0.0876837226620266,-0.0844401226478397,-0.08078011420634,-0.0765154139027798,-0.0717193029898923,-0.066619331612072,-0.0610115527047803,-0.0551544820137554,-0.0488612264229149,-0.0421624047884136,-0.0350997947114195,-0.0275989408441269,-0.0198162460675386,-0.0116456881823442,-0.00305714374992688,0.00562681042408263,0.0146344782101188,0.0241638861204484,0.0335507202189337,0.042474328348194,0.0514183831196989,0.060397802056222,0.0691038484250018,0.0776830600846907,0.0862259580780703,0.0948380996205414,0.103495190356549,0.111761481779241,0.119552772826245,0.127141104959482,0.134180955021156,0.140361544679451,0.145429688018904,0.150312311938754,0.154904585154387,0.158552583131336,0.161243497977849,0.163004167603417,0.163961470109386,0.164474171896469,0.164334907741511,0.16304507856925,0.1605004195061,0.157050080595676,0.152966280580664,0.148003156443724,0.141708984249456,0.134027330855975,0.125151557526466,0.115381897281205,0.104574127155789,0.0932597711482674,0.0814221933386449,0.0691967865283899,0.0568688092014666,0.0441754670139822,0.0317807190422744,0.0197602264177212,0.00784730592973538,-0.00358174575901985,-0.014750027139679,-0.0256887454261903,-0.0363008472297489,-0.0462879603695074,-0.0560026617992051,-0.0654918053816737,-0.0743652406087541,-0.0827111362567283,-0.0906329086802881,-0.0980181355834907,-0.104721723721203,-0.110922579196602,-0.116629186553719,-0.121934180720062,-0.126745743155876,-0.131130380482216
"MEsalmon4",-0.191657479326136,-0.190450289269236,-0.189219137278858,-0.18777494856637,-0.186183531437949,-0.18432867977495,-0.182133789562538,-0.179502253491734,-0.176366169629345,-0.172676677528535,-0.168550840156611,-0.164257633692954,-0.159715092342858,-0.15478933996486,-0.149578736072239,-0.144080203538619,-0.138410378091607,-0.132539929157207,-0.126268589905748,-0.119952143232581,-0.113256856337548,-0.106017345682637,-0.0983402521801138,-0.090397446183265,-0.0823614993873251,-0.0741365879349812,-0.0657065671065921,-0.0571247162467736,-0.0482182888666928,-0.0393056420950139,-0.0304764769828472,-0.0217797231466467,-0.0132178728537606,-0.00483327551176868,0.00321950283685464,0.0111853245799304,0.0189848520208662,0.0267783306637815,0.0343876792097407,0.0418135437608784,0.0491425138659891,0.0564292766093093,0.0632831132809302,0.0695188140497602,0.0754638216875008,0.0810298552546838,0.0863035238824301,0.0912684288474437,0.0956829112876775,0.0997067093498813,0.103405552041075,0.106678670516586,0.109744466132209,0.11266091672433,0.114930980760462,0.11660419754511,0.117568742103605,0.118090721379816,0.11848797131252,0.118486418137647,0.117998006959607,0.116941518062682,0.115383208358073,0.113435544184112,0.111508450520188,0.109286392062896,0.106606637827288,0.103902701273649,0.101428399682627,0.0988429099230397,0.095798946871143,0.0922490382613284,0.0883562853182251,0.0844690987870693,0.0803734468556618,0.0759984525024693,0.0713234585977386,0.0664155460047279,0.0615335552226111,0.0564370187365019,0.0513806082223753,0.0463948351614955,0.0414775665065501,0.0368350637149665,0.0322521700182244,0.0275627660207051,0.0229157412978116,0.0186061892597437,0.0144775832373588,0.0104283060877061,0.0066412076335785,0.00304664496332037,-0.000465757303393144,-0.00371109874268603,-0.00660394362143379,-0.0091960068220639,-0.011566985622645,-0.0136422952384129,-0.0153844368307165,-0.01698521925824
"MEplum",-0.138805362910719,-0.138912516107776,-0.139122293570359,-0.139377206726194,-0.139600760521148,-0.139684989924339,-0.139613203457956,-0.13933730912758,-0.13883968065781,-0.1381215753032,-0.137284821510039,-0.136424994149865,-0.135485262795686,-0.134404296002494,-0.133248209887932,-0.132031982058566,-0.13076151041009,-0.129388799591823,-0.127724178810397,-0.126020903164296,-0.124085052855832,-0.12162273836607,-0.118723689749425,-0.115558164380381,-0.112229781063353,-0.108547225735922,-0.104464345303469,-0.0998627257945726,-0.0947025670113474,-0.0892414452281844,-0.0833931677213207,-0.077219931346669,-0.0706798514515087,-0.0637873351533578,-0.0566406745859022,-0.0491512957669324,-0.0414292466171022,-0.033313902013661,-0.0248364271034568,-0.0163195104032423,-0.00755343432825349,0.00157300901492415,0.0106501920693257,0.0193496541610946,0.0279496993700796,0.0364432277983425,0.0447426490988392,0.0529187614634171,0.0609615078392569,0.0689251271478028,0.0768743765126217,0.0845050525633976,0.0917098327735094,0.0987522868141531,0.10531627555043,0.111288979727751,0.116548548473254,0.121589525018128,0.126320142712375,0.130567211855357,0.134218192840452,0.137158256184251,0.139445658087428,0.141349568442851,0.142883290428111,0.143707128905702,0.143698192276914,0.143095069421854,0.14217426866976,0.14069967644564,0.138252741911546,0.134673994307177,0.130111488147983,0.124954855276726,0.119030823725652,0.112673580419793,0.105851030964402,0.0987454703266135,0.0915616292892704,0.0841023564490505,0.0767600657018101,0.0695763358296416,0.0624134503647229,0.0555246461962153,0.0487860975783359,0.0421322973520643,0.0356612559624609,0.0296634182056305,0.0238564293608724,0.0181066387393429,0.0126731416773806,0.00756434791558928,0.00264280130257171,-0.00199985433382407,-0.00624124286551756,-0.0101937064533814,-0.013879730918726,-0.0172848495505848,-0.0203567843189728,-0.0232257215626366
"MEsalmon2",-0.099052177282753,-0.100745887632128,-0.102589403109176,-0.104535335365296,-0.106484360126325,-0.108305830348016,-0.110037229498569,-0.111689036583933,-0.113244472843271,-0.114754665015284,-0.116280513365234,-0.117875893973122,-0.119437833381013,-0.120941068884166,-0.122479235732193,-0.124047498243776,-0.12561751361754,-0.127170637607375,-0.128419723370422,-0.129544530207899,-0.130474888485346,-0.130895778423055,-0.130890764637753,-0.130547402335099,-0.129991280293723,-0.129024490521773,-0.127563476699682,-0.125375261812336,-0.122473111080325,-0.119066261166463,-0.114885772656072,-0.110105522594553,-0.104628430589057,-0.0984581636997318,-0.0917390830789711,-0.0844865936919361,-0.0767805217991751,-0.0684505365084042,-0.0594767637018428,-0.0503915551963214,-0.0409267193800421,-0.0309347889455738,-0.0209012898381365,-0.0112404776912599,-0.00161634474241203,0.00798957341765521,0.0174079636289258,0.0267753302851054,0.0361976559389455,0.0455941516846587,0.055129594943927,0.0643541228134876,0.0729060008889743,0.0813220359845501,0.0893746385605908,0.0968075144967579,0.10356188313608,0.110255557880202,0.116678734476016,0.122532605636454,0.127761243016101,0.132313737131638,0.136280783000205,0.139987319421275,0.143290175965658,0.145708771562145,0.147098212158819,0.147681541211107,0.147794046892093,0.147235256477164,0.145590269646183,0.142741233608744,0.138912704488619,0.134374884628788,0.128964653030807,0.123218723481388,0.117090434902237,0.11071998512796,0.10423205224105,0.0974398720139953,0.0908277972483461,0.0844319593352374,0.078060863880975,0.0720034000873035,0.0661296599275514,0.0603794431206899,0.0548545584939091,0.0497670183477218,0.0448062944306557,0.039898348186658,0.0353306349394513,0.0311083247355644,0.0270621795472019,0.0232987174541954,0.0199906993323713,0.0169993579769805,0.0143775190331743,0.0119623829277825,0.00988626763805346,0.00807943533440105
"MEthistle3",-0.208033499677995,-0.20599852174375,-0.203788557722195,-0.201324371655808,-0.198759539079392,-0.196032278772695,-0.192959766778386,-0.189395683071594,-0.185275798557306,-0.18043752880826,-0.175001057126402,-0.169246163738349,-0.163169180871527,-0.156638432949547,-0.149708086301571,-0.142366431808229,-0.13481841443973,-0.12701415927326,-0.118905800542057,-0.110853111284914,-0.102482921655146,-0.0937832539717731,-0.0848132253667509,-0.0757532454474072,-0.0667518218578292,-0.0578066914814187,-0.0489924897482562,-0.040486941460886,-0.0320754660016922,-0.0240092381633552,-0.0165951513462973,-0.00968846731841677,-0.00356517717349873,0.00186305098487329,0.00654335301406082,0.0109065501446453,0.0147891351990454,0.0182822794930178,0.0213073841930361,0.0240769613037765,0.026554787799267,0.0287758973081005,0.030616787680695,0.0321073541975838,0.0333553354734596,0.0342250532630484,0.0349957471635546,0.0356073175218183,0.0356333889240003,0.0353237669819726,0.0346537259144521,0.0338629901907971,0.0335875782586104,0.0334604785155332,0.0328942454012143,0.0322783127278364,0.0314702959353163,0.0303600594130395,0.0296212793475937,0.0292278896675389,0.02899074992406,0.0287905437051747,0.0284702194444075,0.0280784575337341,0.0281030392243613,0.0287371086351775,0.0299097621240638,0.0321509560380677,0.0352540377126141,0.0387582728711578,0.0423801378113117,0.0460182209316659,0.0498160949267765,0.0542798351196342,0.0591551818363321,0.0639944876004493,0.0687754356285869,0.0735665136593187,0.0784860762643784,0.0833785332145735,0.0880715332422021,0.0924408080887234,0.0965840041857678,0.100721601221822,0.104584671409675,0.108064013620242,0.111235528069018,0.114456350613478,0.117647258633546,0.120705984442732,0.12358566693557,0.126238538032009,0.128541056410342,0.130699513822469,0.132854534254006,0.134998981932807,0.13707724613737,0.139296448460642,0.141569815057945,0.143682250401595
"MEviolet",-0.180465884342299,-0.179112838504898,-0.17765882504941,-0.175937305266229,-0.174125443049796,-0.17216758827676,-0.169874312129158,-0.167100752645297,-0.163769105392131,-0.15977240304741,-0.155205216777855,-0.150413461692173,-0.145343548294818,-0.13988436879066,-0.134112932012244,-0.127985177652096,-0.121770460872254,-0.115358431928835,-0.108717480669945,-0.102216428419699,-0.0954242284779748,-0.0883313805667696,-0.0809177521190491,-0.073383177942869,-0.0658648388302765,-0.0584406349262336,-0.0511213202701064,-0.0441440335959741,-0.0373149490916773,-0.0308411015639626,-0.0249486791099797,-0.0195596732774482,-0.0149738339495541,-0.0111217363009724,-0.00802786671370285,-0.00518776201242606,-0.00268192649664732,-0.000474439327424504,0.00127331206613575,0.00292687680847351,0.00438269159402835,0.00556114275692512,0.00654694508794025,0.00742125536659739,0.00817780208641783,0.00862124810511688,0.00902103708484629,0.00927786139177213,0.00896141667628629,0.00830656848881314,0.00733975206717023,0.00639847354909982,0.00605624399136364,0.00585443947237956,0.00534904505149806,0.00482082688255665,0.00410081992179572,0.00318494234857093,0.00282892268121485,0.00283417343389272,0.00307114242452059,0.00341200104244015,0.00372942632209404,0.00411515106144498,0.00502814091417661,0.00649787554445706,0.00861520255436512,0.0118933550124555,0.0161823727060572,0.0209221311560494,0.0258680049248171,0.0309885722052844,0.0364733200205467,0.0428249408343395,0.0497699149650472,0.0568824329656122,0.0640669239365434,0.0713027914358146,0.0787359432824124,0.0862377552304224,0.0935649589350148,0.100588479869917,0.10742820490044,0.114273102634227,0.120829473838065,0.126982880246198,0.132864737693613,0.138697733197196,0.144418404377327,0.149929750205709,0.155237437862229,0.16024462693921,0.164836833542957,0.169208239935386,0.173439699829174,0.177487254181709,0.1813168386819,0.185125054856356,0.188898896514586,0.192515495694007
"MEdarkolivegreen4",-0.205851186438973,-0.204682452103416,-0.203384179186977,-0.20179095178075,-0.200008853714107,-0.197987297233546,-0.195611908852049,-0.192693328605229,-0.189187489768635,-0.184997372704998,-0.180209456767902,-0.175131587760259,-0.169769502741226,-0.163987966446335,-0.157821729184548,-0.151267720393044,-0.144522162757656,-0.137531374718278,-0.130204169104746,-0.122867423879814,-0.115082871268824,-0.106762650879825,-0.097938551415014,-0.088849608040411,-0.0796517989698701,-0.0703577748897687,-0.0609929374952618,-0.0517767033436748,-0.0424961925383567,-0.0335007468784848,-0.0250044528060987,-0.016917139444388,-0.00939851861268571,-0.00254051002232685,0.00355402494988251,0.00935307348063668,0.0148035203833339,0.0200178688314726,0.0247784099459158,0.0294395908598404,0.033881047244996,0.03805256329488,0.0418652992713586,0.0453524622093914,0.048555393173443,0.0513698733587543,0.0539763995970113,0.0563166888220498,0.0579621837609256,0.0591669999139961,0.0599376955489484,0.0604586397622193,0.0612416271231454,0.0620960651741451,0.0624815128034307,0.0625556322072127,0.0622370393499062,0.0615704126318393,0.0612124616957368,0.0608802803535919,0.0603803644099839,0.0596595757558439,0.0587168412595778,0.0576056972001912,0.0568328514742009,0.0562800774873793,0.0558951876113054,0.0562342785126365,0.0573666220023253,0.0587459691581837,0.0600613813453316,0.0612471682396101,0.0624872018421937,0.0642034857580136,0.0662370207830836,0.0682499563544697,0.0701478325212276,0.0720552997886782,0.07418741649804,0.0762955490202132,0.0782479360709479,0.0800273925220196,0.0817769943415305,0.0836799915708435,0.0854948680656114,0.0870311340613276,0.0883957478993026,0.0899032529456674,0.0914734811846638,0.0929567731996331,0.0943837657048474,0.095729109383635,0.0968321316050089,0.0978713462424986,0.0989488144765883,0.100063897739693,0.101110407106421,0.10231733138581,0.103641560703753,0.104886091767124
