"","Step0","Step1","Step2","Step3","Step4","Step5","Step6","Step7","Step8","Step9","Step10","Step11","Step12","Step13","Step14","Step15","Step16","Step17","Step18","Step19","Step20","Step21","Step22","Step23","Step24","Step25","Step26","Step27","Step28","Step29","Step30","Step31","Step32","Step33","Step34","Step35","Step36","Step37","Step38","Step39","Step40","Step41","Step42","Step43","Step44","Step45","Step46","Step47","Step48","Step49","Step50","Step51","Step52","Step53","Step54","Step55","Step56","Step57","Step58","Step59","Step60","Step61","Step62","Step63","Step64","Step65","Step66","Step67","Step68","Step69","Step70","Step71","Step72","Step73","Step74","Step75","Step76","Step77","Step78","Step79","Step80","Step81","Step82","Step83","Step84","Step85","Step86","Step87","Step88","Step89","Step90","Step91","Step92","Step93","Step94","Step95","Step96","Step97","Step98","Step99"
"MEbrown4",0.370809665793437,0.397996706957614,0.428251473703483,0.462422819742935,0.499016689282401,0.537524814646631,0.578684701476472,0.62359483300812,0.673100825993976,0.728540056071207,0.789461776837086,0.854037585234993,0.921476557445056,0.992774636779867,0.931478781960548,0.85265677445346,0.772636582788585,0.693218749332886,0.617055247598388,0.544178243944844,0.47353961831045,0.407879702637213,0.348055022952836,0.294513739014401,0.247260724926601,0.207056000025959,0.173496918429484,0.146935245621713,0.12569119046726,0.1091597258806,0.0975324376193206,0.088904889004739,0.083177730204543,0.080251391095968,0.079770012824636,0.0813235126153264,0.0848814960667179,0.0906886301439266,0.0999048960370033,0.111039810363058,0.125239396958277,0.143641207865267,0.165853456952155,0.191589356833511,0.222570935959866,0.259708300028829,0.302047772529049,0.349765777453017,0.406415226756485,0.471155416641921,0.546102868634917,0.62777791920725,0.710397627523263,0.796705696770956,0.887173918874548,0.976437853369914,0.939286029182729,0.851666203247952,0.768073654772912,0.688157369463136,0.612546833117329,0.543456828500588,0.480228939089116,0.421108081651162,0.37053340945011,0.328812463619534,0.29463562662984,0.267734522888201,0.246861445004583,0.23163887275898,0.221157397780856,0.215498527981586,0.214269035616864,0.2173946152722,0.225107182628089,0.234525710684547,0.245508097106037,0.258290097777504,0.273359451559255,0.290769288423533,0.307232107617587,0.323066744027805,0.340033912857253,0.356654219845989,0.37305139544262,0.388373837260153,0.401757690758885,0.413695140524647,0.42665432490231,0.440414982779803,0.453775822583026,0.466743084966713,0.478779420287401,0.49007577832984,0.500383982812957,0.51072521558987,0.518987714162885,0.527211217295913,0.534497227746239,0.540305948584911
"MEpalevioletred3",0.96203698247239,0.92976256503978,0.895486462434557,0.859269959539178,0.822882596743242,0.787413823918014,0.752060959245858,0.716404311473621,0.680008811415399,0.642188280953138,0.603328524755377,0.564325092412609,0.52563550485096,0.487202729247757,0.448753295746294,0.410546025999391,0.3735996013948,0.338216863051868,0.306070799962547,0.276770963446443,0.249761230931158,0.226267805900511,0.205937639571061,0.188115478813867,0.172420096634868,0.159505382868175,0.149262087236624,0.142444697409736,0.138460211926687,0.136955149424846,0.1388462121507,0.143375493078604,0.151425932822636,0.163457690649458,0.17936527142552,0.199838712046681,0.225525477196426,0.257605472423259,0.297645156007978,0.343192730177781,0.396669040821445,0.459363253537087,0.528948802203358,0.60269441479619,0.682190296655207,0.767068782067208,0.854179909523513,0.943271860908183,0.963393551549212,0.868531965304187,0.772297063258385,0.680936056273041,0.599378267328579,0.523027897612718,0.452873374071868,0.391744096625483,0.339871845661625,0.291574635306787,0.249640819840637,0.214476494491764,0.185364959137353,0.161728450727353,0.142175567362295,0.125110448744569,0.111505434108788,0.10170312462926,0.0955045244362778,0.0921291853911188,0.0907023775326353,0.0914013158464907,0.0950750138062994,0.102424910246388,0.113682888066351,0.129229129949383,0.150539081169009,0.175895422110396,0.206197623130626,0.241449430126453,0.28205778626932,0.329086367072126,0.379115618547511,0.431550421208334,0.488002539582881,0.546281730342383,0.605919458372406,0.666250248669432,0.726014498506605,0.782745316166327,0.839436967358704,0.896219050698687,0.950364790616715,0.998713135748214,0.950354513073125,0.905145033821693,0.864074803357391,0.826041382098097,0.792361117821077,0.761686065619732,0.734824874150483,0.710984651305283
"MEplum4",0.378188829888958,0.409824910423942,0.444794483860857,0.48375616728179,0.524870135169511,0.567086716616823,0.61133722086961,0.658737729351324,0.709811710040067,0.766105466471827,0.827114495778819,0.89112153163953,0.957733282730076,0.972825379670567,0.900222281901139,0.825432272652244,0.750800423100324,0.677287914400822,0.608320039773217,0.543739124880858,0.481724686695997,0.425860461013206,0.375794336147012,0.33104436471585,0.291119354987102,0.257120993745071,0.228471887966283,0.206780365342058,0.189824557550643,0.176609611293715,0.168516104749474,0.164167308841211,0.164243196293329,0.169001663055691,0.178501628062504,0.192562668198748,0.211095138731922,0.235331085977185,0.267620489685926,0.305057029989488,0.350591132184297,0.407219377410189,0.472439001552812,0.542812373784073,0.620451563947807,0.706162995705316,0.795269111109775,0.887999470791749,0.988237493788154,0.90684099541146,0.798038652558159,0.693546290668787,0.600922311913776,0.514871579105725,0.436192266791149,0.368436615567497,0.312833104210339,0.261475309928924,0.21828507389642,0.18405858690083,0.15674742481474,0.13497939561527,0.117475330381236,0.102266318937102,0.0911353244451217,0.0842877499205969,0.0810649044560087,0.0810098783692519,0.08350884980218,0.0889969667261769,0.0988855058656666,0.114967336283611,0.13846083606166,0.170656066819968,0.21471819276975,0.268459129426759,0.333034634918584,0.408158511007436,0.493554539910659,0.588955223924874,0.688436576463467,0.789312451173745,0.894234377705756,0.997041037370767,0.903699393743532,0.810078050636692,0.723995805894888,0.646697051083857,0.574490681549684,0.507963579622503,0.449881155220314,0.399034352456386,0.354502846576553,0.315208797553229,0.281201500116617,0.251401034997255,0.226216119614106,0.204529737448185,0.186610049597019,0.172206678663912
"MEmediumpurple3",0.320581569022362,0.316465732091044,0.311673618302185,0.306537140067824,0.301678606654533,0.297802428167839,0.295017712557083,0.29336670714095,0.292822777076245,0.293334849833968,0.294571079997968,0.295857452891261,0.297590718828094,0.300010798693849,0.302696998131952,0.305640658903487,0.309043725940591,0.313215821879437,0.319306996758052,0.325732240030797,0.333027853907609,0.343193173372425,0.355799983121571,0.370205619509796,0.385675962968494,0.403561099737494,0.42431827909122,0.449262902410151,0.478268620897787,0.51018492491789,0.546504017017314,0.585735862164901,0.629267782434723,0.677037960224415,0.728822802312122,0.785182655106288,0.844852602178318,0.908447804641458,0.975917800779381,0.955691449058963,0.885095716577214,0.811388082907417,0.740355686572013,0.674783058518969,0.611414391896273,0.550554209429833,0.494500853204028,0.442353027870201,0.39365429325841,0.347948902721905,0.305507238331679,0.268278363307178,0.236115676179969,0.207471447094311,0.18319978697079,0.163657765416237,0.148823316975669,0.135510506762693,0.123834776331975,0.115123598675964,0.109007829239656,0.105145232521399,0.103090433663682,0.102002947887266,0.102297446188795,0.105056769587903,0.11067079772201,0.118652167847785,0.128664881627324,0.14168905985193,0.159610807392209,0.183706308054187,0.214729382293825,0.252982455063024,0.300465395238383,0.356066608640799,0.420633026275955,0.49391912705776,0.574120524154239,0.662536477666372,0.753603925432578,0.845285735104712,0.938235622867464,0.971786897776287,0.884194745710504,0.799727640670497,0.71992219992209,0.647451615579556,0.579975638484816,0.517386256640478,0.462143489078987,0.413291176037172,0.369835375590222,0.331948421672469,0.299779950729647,0.2719100735815,0.247854123715985,0.22684459846575,0.208899604764197,0.193449969347888
"MEsalmon4",0.0561039698633731,0.0577001275193463,0.0593660567258362,0.0613701254466969,0.0636420223848552,0.0663758306468533,0.0697330327704867,0.0739376165739287,0.0792122801162231,0.0857989122195201,0.093672892843575,0.102461142745515,0.112449686176712,0.124118005599178,0.137450698283092,0.152670697871238,0.169652242784292,0.188663386026107,0.210632538550213,0.234542744750169,0.261886392751314,0.293807122238778,0.330354215480954,0.3710852636596,0.415275294094938,0.463525064526713,0.516010624570516,0.572395894902174,0.633790919623774,0.697820063946839,0.763412169317242,0.829701453576806,0.89615297407458,0.961935119226341,0.974639254470202,0.912052172636992,0.851285451866582,0.791422379640216,0.734117190053648,0.679563263497403,0.627293179038607,0.577088298506982,0.531641440525847,0.491906257123748,0.455537248031111,0.422882671419519,0.3932273140534,0.366474770315852,0.343651838701745,0.323645763179413,0.30592858701372,0.290788915102497,0.277065981581267,0.264421202782035,0.254854220597984,0.247956159584757,0.244038684099675,0.241936618997768,0.240345281149879,0.240351488816509,0.24230907055155,0.24658124290807,0.252977026535325,0.261129582211481,0.269370293498743,0.279088296303877,0.291116663469749,0.303596495861906,0.315318691285456,0.327876247795669,0.343064250859888,0.361326274177216,0.382028062282486,0.403399192525064,0.426661952812028,0.452341312841538,0.480706777025896,0.511482638526173,0.543070754204247,0.577035961257215,0.611676513045087,0.646692155845342,0.68199865623411,0.71597519516948,0.750068008388817,0.785457436853208,0.820963398932866,0.854218586057238,0.886319309354202,0.917983010112088,0.94771394348745,0.976000478818861,0.996330529583473,0.970768436629491,0.948006911722259,0.927646893267198,0.909063868541198,0.892837978899117,0.879250713507731,0.866796627597898
"MEplum",0.168425849566104,0.168094280852756,0.167446554919216,0.166661951228941,0.165976111736465,0.165718247660037,0.165937999616727,0.166784573119767,0.16831960612827,0.170553113544838,0.173183140083024,0.17591665944855,0.17894029100357,0.182465218069003,0.186290912699365,0.190378274525714,0.194716960041234,0.199484576219559,0.20537796941458,0.211536118198504,0.218693387216136,0.228042330529666,0.239404460363488,0.252253335899177,0.266265373404964,0.28237237825242,0.300975893110116,0.322885418394044,0.34864139566458,0.377258941025819,0.409436733252876,0.445086532353354,0.484685188061602,0.528369945848928,0.575660026908316,0.627231573364467,0.682349180957983,0.742123950392962,0.806239989391262,0.871972068421755,0.940544317919395,0.987607491007841,0.916244171098164,0.848461596535299,0.782519686295003,0.718869511653605,0.658472775571958,0.60104312651882,0.546833722360213,0.495620533687977,0.447132247613039,0.403198350296494,0.364151715816688,0.32832211568148,0.297029233772227,0.27031982565999,0.248183491528717,0.228170322303413,0.210444816262463,0.195386739513325,0.183077162070722,0.173583536153093,0.166451727233153,0.160682930561578,0.156145031831891,0.153747368160723,0.153773228236489,0.155526029128062,0.158230806004733,0.162635121055086,0.170143525402427,0.181581048785221,0.196964216633129,0.215456626814178,0.23818244040937,0.264367165578227,0.294569406525091,0.328355668614583,0.364930679684806,0.405451228489635,0.447810134907291,0.491547167420226,0.53730764203762,0.583218759757744,0.629795620409281,0.677255758788526,0.724657434316705,0.769545670829272,0.813744260977044,0.858091151502301,0.900410263071691,0.940458570385949,0.97918093571741,0.98424509467087,0.95085880679517,0.919821901366699,0.890984262898787,0.864469022655153,0.840675657523717,0.818582830769915
"MEsalmon2",0.326848126116407,0.318602978562126,0.309782371832706,0.300645716441453,0.291673586154506,0.283450452232407,0.275778646092345,0.268590686714529,0.261938896764346,0.255588683950403,0.249280452392622,0.242800227418285,0.236569726580938,0.230679328615465,0.224759092431599,0.218833907966533,0.213013612683453,0.207365047519222,0.202900500332598,0.198939518126255,0.195705575771093,0.194255085845044,0.194272318734767,0.195455119538294,0.197381839384583,0.200763854001791,0.205953441849812,0.213904425656204,0.224782451577252,0.238041721978095,0.255042402196779,0.275478927373799,0.300213088376012,0.329771874640393,0.363998095982204,0.403301456460579,0.447688783694928,0.49860027788163,0.556659380547973,0.618556928497215,0.685998629163319,0.759961190217589,0.836472517043259,0.911620261796287,0.987266110829368,0.93711813266609,0.863512975273209,0.791445218229948,0.72068547001789,0.652390630526304,0.585905271268078,0.524704603532898,0.470999343920897,0.421206664410723,0.376544454819734,0.337983658301499,0.305193992097906,0.274821234539389,0.247651893725913,0.224555614299961,0.205245406374258,0.189425646130639,0.176378213167986,0.164795125261578,0.154957382557226,0.148036825263323,0.144167679604333,0.142566236827312,0.142258922003317,0.143790230162317,0.14837039542139,0.156561275590382,0.168093698363072,0.18256182900385,0.20097453673503,0.221951259462036,0.245975935334341,0.272792072440432,0.302057956107112,0.334822598866551,0.368802813857001,0.403606720018081,0.440130154377631,0.476522869223093,0.513306026392436,0.550675585305965,0.587778964454014,0.62291863414762,0.658017390837078,0.693489294529051,0.727109282754492,0.758655730221049,0.789262549435211,0.818022479845354,0.843504060170593,0.866686768673788,0.887099829811362,0.905969349252422,0.922232374723312,0.93641234322164
"MEthistle3",0.0378051392685155,0.0397637432460095,0.0419860706031218,0.0445851052637597,0.0474308353751531,0.050620083340186,0.0544228512300779,0.0591247783006797,0.0649682348766308,0.0724204864433507,0.0816004842697854,0.0923073185619584,0.104788775489855,0.119633329918947,0.137107064560042,0.15766346645237,0.181108875861516,0.207929248297097,0.238679356427909,0.272212287221932,0.310287486115176,0.353361282886005,0.401479279739501,0.453805569223146,0.509342133080704,0.567811742865325,0.628346004049389,0.689198310318005,0.75139270026836,0.812573010240188,0.869828476987309,0.923783600975163,0.971917353896599,0.985322710976542,0.9484832875141,0.914235678621911,0.883889841371545,0.856729178646895,0.83334078128963,0.812054056934691,0.793124447547644,0.776257127056977,0.762355168224452,0.751153591480325,0.741814479802894,0.735328028488441,0.729595580838918,0.725057246767176,0.724863986292043,0.72716024403895,0.732137732077206,0.73802610751969,0.740080597742986,0.741029340666784,0.745260712893345,0.749872086600293,0.755934907565495,0.76428950638351,0.769863946236401,0.772837059194,0.774630875499964,0.776146235522362,0.778572512259995,0.781542778128657,0.78135631155152,0.776550827487178,0.767685798135437,0.750826687787989,0.727677713022586,0.701828195623837,0.675463661998976,0.649370009088402,0.622575413336852,0.591703064424371,0.558798635775914,0.52702883042993,0.496559368593129,0.466979438192506,0.43763590787774,0.409519217249049,0.383569973563902,0.36032467028286,0.339105452043496,0.318720251087702,0.300416393206067,0.284533156527661,0.270551424014988,0.256834642294285,0.243721685466261,0.231593667888509,0.220567197511643,0.210742023234096,0.202470527548243,0.194930492197123,0.187606883499744,0.180519784584808,0.173840172916688,0.166910224111569,0.160025309822458,0.153819367597777
"MEviolet",0.0723748852464485,0.0745767908870695,0.077002743481233,0.0799564531144645,0.0831623751004471,0.0867410145094091,0.0910872512590281,0.0965720847068767,0.103500790117519,0.112319122303629,0.12309827458208,0.135244623968865,0.149066702538047,0.165109042123329,0.183423942822182,0.204445789131021,0.227473673586745,0.253079627116129,0.281613666396382,0.311553990839968,0.344964048292005,0.382162770096892,0.423526736671881,0.468093343926677,0.514998029744669,0.563566033336694,0.613477040294897,0.662761977090497,0.712435967519894,0.760666253741304,0.805381533015364,0.846836749222249,0.882450074895665,0.912550172062677,0.936817365193989,0.959145651423555,0.978872791540667,0.996262128717332,0.989968432193745,0.976943671874644,0.965481439198449,0.956208037240056,0.948455045384696,0.941582895291343,0.935639811899023,0.932157923425507,0.929019918556141,0.927004635367409,0.929487820502115,0.934628624715415,0.942223344723731,0.949622432804497,0.952313683214796,0.95390090164221,0.95787667000528,0.962033086500914,0.967700255977235,0.974911406344714,0.977715099687146,0.977673747389135,0.975807561486795,0.973123451835551,0.97062413813039,0.967587439077935,0.96040165700054,0.9488408526361,0.932205383970009,0.906509486216097,0.873038900332162,0.836311729499439,0.79835969145547,0.759556521982061,0.718647092466561,0.672251902256627,0.622898374191568,0.57402864876285,0.526560277901043,0.480834256795266,0.436173960459445,0.393589335242774,0.35448785845694,0.319363552442379,0.287393041710122,0.257602062127155,0.231113051811365,0.208042159775925,0.18757269058791,0.168759379095091,0.151699561611609,0.136519706589325,0.123019538090112,0.111247788808408,0.101239154333446,0.0923813904962352,0.0844021555567419,0.0772931311233683,0.071017122146547,0.065190631870365,0.0598057703976641,0.054991647088292
"MEdarkolivegreen4",0.0399087809555594,0.0410750184827778,0.0424037082108313,0.0440829881437676,0.0460264565067838,0.0483165359515828,0.0511270458337834,0.0547633864004351,0.0594093930844143,0.06537948863963,0.0727881134056017,0.0813696684492952,0.091289932871257,0.103034011067622,0.116829693585217,0.133014919746311,0.151402552224281,0.172405108519113,0.1966426622209,0.223282043057833,0.254222663173542,0.290407113536794,0.332343049191352,0.379365631864795,0.430839138758241,0.486682656031079,0.546626646325318,0.608930437783409,0.674625109329535,0.740728713250259,0.804955084931764,0.867325648382499,0.926058004595654,0.979986580878891,0.972005163609096,0.926414537830067,0.883777692145022,0.843294077643148,0.80668377052838,0.771236678527309,0.737891471476579,0.707007843529132,0.679188395898347,0.654114689679538,0.631417659324671,0.611751011524053,0.593779630569259,0.57784964753521,0.566768970486472,0.55871994897584,0.553600000602257,0.550152087636447,0.544989490553847,0.539382949171323,0.536863112749059,0.536379231415599,0.53846066439127,0.542828739699255,0.545181366155957,0.547369071226243,0.550669494104888,0.55544501697292,0.561720920641274,0.569161001815839,0.57436304734971,0.578097323500163,0.580704076750025,0.578407223121911,0.570767855163354,0.561526508279225,0.552780433153698,0.544953039992657,0.536825964755716,0.525677501429601,0.512620885880975,0.499862445073299,0.487987039701153,0.476204321829912,0.463217750205976,0.450570725292618,0.439031822793674,0.428662145223024,0.418604587294009,0.407822082326115,0.397692314584039,0.389235478174345,0.381814671051106,0.373716933539676,0.365394475577887,0.357638341419777,0.350273681575902,0.343417822278763,0.337860249172816,0.332676526269605,0.32735568525401,0.321906702921056,0.316846155439169,0.311074056911162,0.304820033365985,0.299017828146524
