"","x"
"1","lightpink2"
"2","orangered4"
"3","yellow"
"4","darkred"
"5","purple"
"6","tan"
"7","brown"
"8","thistle1"
"9","steelblue"
"10","black"
"11","brown"
"12","darkorange"
"13","darkolivegreen"
"14","lightcyan1"
"15","turquoise"
"16","greenyellow"
"17","skyblue"
"18","purple"
"19","darkgrey"
"20","skyblue2"
"21","darkgrey"
"22","lightgreen"
"23","magenta"
"24","lightslateblue"
"25","darkgrey"
"26","salmon2"
"27","turquoise"
"28","red"
"29","skyblue3"
"30","grey60"
"31","darkred"
"32","turquoise"
"33","salmon"
"34","greenyellow"
"35","cyan"
"36","brown"
"37","darkorange2"
"38","tan"
"39","lightsteelblue"
"40","darkred"
"41","yellow"
"42","mediumorchid"
"43","lightyellow"
"44","greenyellow"
"45","mediumpurple3"
"46","salmon"
"47","purple"
"48","brown4"
"49","turquoise"
"50","blue2"
"51","darkolivegreen"
"52","magenta"
"53","floralwhite"
"54","greenyellow"
"55","midnightblue"
"56","lightsteelblue"
"57","mistyrose"
"58","lightslateblue"
"59","greenyellow"
"60","lightsteelblue1"
"61","darkgreen"
"62","thistle3"
"63","darkslateblue"
"64","cyan"
"65","chocolate4"
"66","thistle3"
"67","purple"
"68","darkmagenta"
"69","palevioletred2"
"70","green"
"71","lightcyan1"
"72","brown"
"73","coral"
"74","orangered4"
"75","pink"
"76","lightgreen"
"77","indianred4"
"78","mediumpurple1"
"79","skyblue1"
"80","lightgreen"
"81","thistle2"
"82","red"
"83","brown"
"84","plum2"
"85","bisque4"
"86","ivory"
"87","black"
"88","turquoise"
"89","greenyellow"
"90","red"
"91","darkolivegreen4"
"92","yellow"
"93","coral3"
"94","greenyellow"
"95","paleturquoise"
"96","pink4"
"97","black"
"98","white"
"99","bisque4"
"100","plum2"
"101","cyan"
"102","tan"
"103","green"
"104","turquoise"
"105","tan"
"106","red"
"107","coral"
"108","plum1"
"109","magenta"
"110","blue4"
"111","green"
"112","navajowhite"
"113","blueviolet"
"114","darkviolet"
"115","darkorange2"
"116","lavenderblush1"
"117","purple"
"118","lightcyan1"
"119","black"
"120","black"
"121","darkorange"
"122","firebrick3"
"123","thistle1"
"124","purple"
"125","thistle1"
"126","darkorange"
"127","red"
"128","green"
"129","darkmagenta"
"130","green"
"131","yellow"
"132","pink"
"133","steelblue"
"134","violet"
"135","mediumorchid"
"136","darkred"
"137","orangered1"
"138","mediumpurple2"
"139","pink"
"140","mediumorchid"
"141","purple"
"142","royalblue"
"143","yellow"
"144","pink"
"145","darkgrey"
"146","orangered4"
"147","plum4"
"148","sienna3"
"149","plum1"
"150","greenyellow"
"151","darkorange2"
"152","turquoise"
"153","darkseagreen4"
"154","maroon"
"155","lightyellow"
"156","violet"
"157","lightslateblue"
"158","lightslateblue"
"159","maroon"
"160","lavenderblush1"
"161","red"
