"","x"
"antiquewhite1","ENSMUSG00000023079"
"antiquewhite2","ENSMUSG00000023991"
"antiquewhite4","ENSMUSG00000050199"
"bisque4","ENSMUSG00000097929"
"black","ENSMUSG00000032528"
"blue","ENSMUSG00000004317"
"blue2","ENSMUSG00000002846"
"blue4","ENSMUSG00000061451"
"blueviolet","ENSMUSG00000041362"
"brown","ENSMUSG00000040591"
"brown2","ENSMUSG00000027953"
"brown4","ENSMUSG00000034330"
"chocolate4","ENSMUSG00000028953"
"coral","ENSMUSG00000027533"
"coral1","ENSMUSG00000057182"
"coral2","ENSMUSG00000053128"
"coral3","ENSMUSG00000034192"
"coral4","ENSMUSG00000044167"
"cyan","ENSMUSG00000032867"
"darkgreen","ENSMUSG00000041837"
"darkgrey","ENSMUSG00000025089"
"darkmagenta","ENSMUSG00000033684"
"darkolivegreen","ENSMUSG00000040675"
"darkolivegreen2","ENSMUSG00000025484"
"darkolivegreen4","ENSMUSG00000031327"
"darkorange","ENSMUSG00000037706"
"darkorange2","ENSMUSG00000029474"
"darkred","ENSMUSG00000021938"
"darkseagreen2","ENSMUSG00000028107"
"darkseagreen3","ENSMUSG00000034891"
"darkseagreen4","ENSMUSG00000050812"
"darkslateblue","ENSMUSG00000029231"
"darkturquoise","ENSMUSG00000042207"
"darkviolet","ENSMUSG00000071078"
"deeppink","ENSMUSG00000022342"
"firebrick3","ENSMUSG00000032872"
"firebrick4","ENSMUSG00000059456"
"floralwhite","ENSMUSG00000021044"
"green","ENSMUSG00000047013"
"green4","ENSMUSG00000035045"
"greenyellow","ENSMUSG00000024382"
"grey60","ENSMUSG00000025909"
"honeydew","ENSMUSG00000027634"
"honeydew1","ENSMUSG00000038388"
"indianred3","ENSMUSG00000015747"
"indianred4","ENSMUSG00000007411"
"ivory","ENSMUSG00000023277"
"lavenderblush1","ENSMUSG00000028670"
"lavenderblush2","ENSMUSG00000102555"
"lavenderblush3","ENSMUSG00000085397"
"lightblue4","ENSMUSG00000037940"
"lightcoral","ENSMUSG00000032231"
"lightcyan","ENSMUSG00000010054"
"lightcyan1","ENSMUSG00000032393"
"lightgreen","ENSMUSG00000020827"
"lightpink2","ENSMUSG00000004665"
"lightpink3","ENSMUSG00000026799"
"lightpink4","ENSMUSG00000026627"
"lightslateblue","ENSMUSG00000005625"
"lightsteelblue","ENSMUSG00000096753"
"lightsteelblue1","ENSMUSG00000038371"
"lightyellow","ENSMUSG00000039349"
"magenta","ENSMUSG00000073514"
"magenta3","ENSMUSG00000021719"
"magenta4","ENSMUSG00000038712"
"maroon","ENSMUSG00000002379"
"mediumorchid","ENSMUSG00000020250"
"mediumpurple1","ENSMUSG00000026037"
"mediumpurple2","ENSMUSG00000042032"
"mediumpurple3","ENSMUSG00000020859"
"mediumpurple4","ENSMUSG00000055799"
"midnightblue","ENSMUSG00000030882"
"mistyrose","ENSMUSG00000026991"
"navajowhite","ENSMUSG00000032387"
"navajowhite1","ENSMUSG00000028898"
"navajowhite2","ENSMUSG00000074785"
"orange","ENSMUSG00000031367"
"orangered1","ENSMUSG00000030739"
"orangered3","ENSMUSG00000026179"
"orangered4","ENSMUSG00000030374"
"paleturquoise","ENSMUSG00000071655"
"palevioletred1","ENSMUSG00000041607"
"palevioletred2","ENSMUSG00000024079"
"palevioletred3","ENSMUSG00000036879"
"pink","ENSMUSG00000001521"
"pink4","ENSMUSG00000024008"
"plum","ENSMUSG00000022533"
"plum1","ENSMUSG00000030189"
"plum2","ENSMUSG00000041235"
"plum3","ENSMUSG00000061904"
"plum4","ENSMUSG00000037470"
"purple","ENSMUSG00000042766"
"red","ENSMUSG00000038646"
"royalblue","ENSMUSG00000064080"
"saddlebrown","ENSMUSG00000045193"
"salmon","ENSMUSG00000035692"
"salmon1","ENSMUSG00000029162"
"salmon2","ENSMUSG00000031967"
"salmon4","ENSMUSG00000071064"
"sienna3","ENSMUSG00000004789"
"sienna4","ENSMUSG00000031290"
"skyblue","ENSMUSG00000083844"
"skyblue1","ENSMUSG00000079038"
"skyblue2","ENSMUSG00000029090"
"skyblue3","ENSMUSG00000028773"
"skyblue4","ENSMUSG00000041444"
"steelblue","ENSMUSG00000064036"
"tan","ENSMUSG00000000088"
"tan4","ENSMUSG00000055373"
"thistle","ENSMUSG00000065765"
"thistle1","ENSMUSG00000028893"
"thistle2","ENSMUSG00000017801"
"thistle3","ENSMUSG00000024424"
"thistle4","ENSMUSG00000062760"
"turquoise","ENSMUSG00000026914"
"violet","ENSMUSG00000049119"
"white","ENSMUSG00000025510"
"yellow","ENSMUSG00000063317"
"yellow3","ENSMUSG00000006418"
"yellow4","ENSMUSG00000070427"
"yellowgreen","ENSMUSG00000022220"
