"","x"
"1","viral RNA genome replication"
"2","negative regulation of TOR signaling"
"3","peptidyl-lysine trimethylation"
"4","negative regulation of cardiac muscle tissue development"
"5","protein heterotetramerization"
"6","membrane protein ectodomain proteolysis"
"7","positive regulation of type I interferon production"
"8","apoptotic process involved in development"
"9","regulation of telomere maintenance via telomerase"
"10","spleen development"
"11","execution phase of apoptosis"
"12","regulation of calcium ion import"
"13","protein targeting to ER"
"14","production of miRNAs involved in gene silencing by miRNA"
"15","antigen processing and presentation of peptide antigen"
"16","protein K48-linked ubiquitination"
"17","synapse maturation"
"18","establishment of chromosome localization"
"19","mitochondrial ATP synthesis coupled electron transport"
"20","ribosomal large subunit assembly"
"21","spliceosomal snRNP assembly"
"22","positive regulation of fat cell differentiation"
"23","vascular endothelial growth factor signaling pathway"
"24","response to arsenic-containing substance"
"25","antigen processing and presentation of peptide antigen"
"26","mitochondrial ATP synthesis coupled electron transport"
"27","mesoderm morphogenesis"
"28","dopamine receptor signaling pathway"
"29","regulation of long-term neuronal synaptic plasticity"
"30","viral gene expression"
"31","positive regulation of organ growth"
"32","maternal behavior"
"33","T-helper 1 type immune response"
"34","negative regulation of DNA-dependent DNA replication"
"35","glycosyl compound biosynthetic process"
"36","regulation of lipid storage"
"37","negative regulation of cardiac muscle tissue growth"
"38","innate immune response in mucosa"
"39","blastocyst formation"
"40","UV protection"
"41","chemosensory behavior"
"42","positive regulation of extrinsic apoptotic signaling pathway"
"43","regulation of bone mineralization"
"44","regulation of protein autophosphorylation"
"45","negative regulation of response to endoplasmic reticulum stress"
"46","modification of postsynaptic actin cytoskeleton"
"47","cellular water homeostasis"
"48","positive regulation of epithelial cell differentiation"
"49","regulation of execution phase of apoptosis"
"50","abscission"
"51","box C/D snoRNP assembly"
"52","centrosome localization"
"53","positive regulation of transcription elongation from RNA polymerase II promoter"
"54","drug transmembrane transport"
"55","myoblast fusion"
"56","negative regulation of retrograde protein transport, ER to cytosol"
"57","oocyte maturation"
"58","intraciliary retrograde transport"
"59","histone dephosphorylation"
"60","actin nucleation"
"61","negative regulation of ubiquitin protein ligase activity"
"62","keratinocyte differentiation"
"63","T cell selection"
"64","mRNA 5'-splice site recognition"
"65","regulation of vasoconstriction"
"66","peripheral nervous system axon ensheathment"
"67","sleep"
"68","regulation of bone remodeling"
"69","response to epinephrine"
"70","positive regulation of DNA-templated transcription, elongation"
"71","ubiquinone biosynthetic process"
"72","heterotypic cell-cell adhesion"
"73","phagolysosome assembly"
"74","negative regulation of telomere maintenance via telomerase"
"75","neuromuscular junction development"
"76","regulation of respiratory gaseous exchange by neurological system process"
"77","negative regulation of G protein-coupled receptor internalization"
"78","cellular response to amyloid-beta"
"79","lung morphogenesis"
"80","secretory granule organization"
"81","N-terminal peptidyl-methionine acetylation"
"82","protein K48-linked deubiquitination"
"83","coenzyme A metabolic process"
"84","positive regulation of cellular senescence"
"85","activation of MAPKK activity"
"86","histone H2A monoubiquitination"
"87","neuropeptide signaling pathway"
"88","noradrenergic neuron differentiation"
"89","NLS-bearing protein import into nucleus"
"90","negative regulation of reproductive process"
"91","behavioral response to chemical pain"
"92","chemokine (C-X-C motif) ligand 1 production"
