"","MEantiquewhite2","MEantiquewhite4","MEbisque4","MEblack","MEblue","MEblue2","MEbrown","MEbrown2","MEbrown4","MEcoral","MEcoral1","MEcoral2","MEcoral3","MEcyan","MEdarkgreen","MEdarkgrey","MEdarkmagenta","MEdarkolivegreen","MEdarkolivegreen4","MEdarkorange","MEdarkorange2","MEdarkred","MEdarkseagreen3","MEdarkseagreen4","MEdarkslateblue","MEdarkturquoise","MEdarkviolet","MEfirebrick4","MEfloralwhite","MEgreen","MEgreenyellow","MEgrey","MEgrey60","MEhoneydew","MEhoneydew1","MEindianred4","MEivory","MElavenderblush2","MElavenderblush3","MElightcoral","MElightcyan","MElightcyan1","MElightgreen","MElightpink3","MElightpink4","MElightsteelblue","MElightsteelblue1","MElightyellow","MEmagenta","MEmagenta4","MEmaroon","MEmediumorchid","MEmediumpurple2","MEmediumpurple3","MEmidnightblue","MEnavajowhite1","MEnavajowhite2","MEorange","MEorangered3","MEorangered4","MEpaleturquoise","MEpalevioletred2","MEpalevioletred3","MEpink","MEplum","MEplum1","MEplum2","MEplum3","MEpurple","MEred","MEroyalblue","MEsaddlebrown","MEsalmon","MEsalmon2","MEsalmon4","MEsienna3","MEskyblue","MEskyblue1","MEskyblue2","MEskyblue3","MEsteelblue","MEtan","MEthistle","MEthistle1","MEthistle2","MEthistle3","MEturquoise","MEviolet","MEwhite","MEyellow","MEyellow4","MEyellowgreen"
"X0",-0.00457934876280898,0.177956062206093,0.160178773624199,-0.112840865777396,-0.182105114079671,0.13583182977384,-0.157246791665273,0.103725641368927,0.0606377175957761,-0.126322834515092,0.117434457681807,-0.0468777621753603,-0.0162123140788955,-0.0577163196735323,-0.0887476768983609,-0.00670845677967268,0.159463106960476,0.145977620500948,-0.0905850399096097,0.125618717903258,-0.163901994107222,0.151754831618691,-0.012488622414767,0.0114834640577589,0.0696808822209698,0.16461911048251,-0.144124354152115,0.0785969071870263,0.1440079075015,-0.152228344047426,0.149037594983154,0.214565875152698,0.172012663097922,-0.0390876264407774,-0.00682193901590067,-0.164833891200853,0.0975851294964404,0.0596674591314198,0.180670430185217,0.108703990176227,-0.169466386526567,0.0701228164378475,0.193851707654297,0.0861705551847423,-0.183629563216023,0.126269286890994,-0.00398466232986516,0.184261504530787,-0.1694823008358,0.0127851974181346,0.0909200302113681,0.223413586776807,0.062066304903606,-0.150070001612348,0.18635117015069,0.218843073166081,-0.0292337236924515,0.19989492809867,-0.0917761265985643,0.0380521162680206,0.119840417331695,0.222929035745559,-0.047729877210107,0.161946424374366,-0.0564601350404991,-0.177066375391215,0.104630973685168,0.0684906480391016,0.170788009997728,-0.0888609606041866,0.173060713314785,-0.0393171509950105,-0.19321707422299,-0.0777692520371361,-0.108035602031826,-0.193236401347829,-0.176039562857219,0.0127928251507001,-0.0308147015946004,0.184034958347878,-0.118610943587287,0.195496750956755,0.210722423339664,-0.110388473565696,0.14094023570772,-0.0946985996645549,-0.135742024635719,0.0380884353786325,0.0892744487413938,-0.126943631742642,-0.199464963488937,0.0492330577637492
"X1",-0.00518731893069569,0.175618185965716,0.158965465279261,-0.11335341328553,-0.181753895305633,0.134414608076548,-0.157404665476916,0.103824955076656,0.0593266154936618,-0.126988501674029,0.116135371735889,-0.0479065737382866,-0.0176687664821394,-0.0582749355283245,-0.0894817574913961,-0.0076890409050735,0.158916624044961,0.144971134191407,-0.0901326278189039,0.125144349192413,-0.163926248875774,0.151125484493305,-0.0149260998031817,0.0106088110987969,0.0696784662448872,0.164044414206233,-0.144241844416644,0.0787131805296477,0.142651710137466,-0.152172454735273,0.148718773072634,0.206273636957032,0.171234301857971,-0.0396149846765885,-0.00596001223352532,-0.163777651108254,0.0969353548350267,0.0599007718360573,0.178092835848836,0.107981888200913,-0.169543163412671,0.0694356683768211,0.192927817460838,0.086363986339991,-0.182219290667237,0.12319485666549,-0.00461641550480964,0.183377218961919,-0.169236453586039,0.0126303425038115,0.0896707460190198,0.220980450905166,0.0589186558244488,-0.149602713577458,0.185439874398528,0.215094841779827,-0.0285114212415787,0.198809153140002,-0.0906827836676322,0.0366232560973968,0.119695962042086,0.220737757132144,-0.0481027066146563,0.161592164752213,-0.0578347326494607,-0.176527126610149,0.103848505215228,0.067506727959753,0.170338418343326,-0.0892173540311532,0.172501986779574,-0.0396808225763247,-0.192745553025828,-0.0791156170323463,-0.109072440297999,-0.192638807136014,-0.175851132645063,0.0130782921205126,-0.030648792800358,0.182521362776973,-0.119616940536808,0.194562530819599,0.208519073161272,-0.109965963980531,0.140393519593109,-0.0959672305867667,-0.136117853920458,0.0372885731414275,0.0892916587628145,-0.126995033210463,-0.198090878452109,0.049122118060922
"X2",-0.00589329445442905,0.172987753402648,0.157475642205283,-0.113893408703359,-0.181311251312411,0.1328072141915,-0.157549186849456,0.103858946128598,0.0578188507163623,-0.127732309724275,0.114561028960291,-0.0490217762667972,-0.019274120922231,-0.0588605070979548,-0.0902566145431582,-0.00877165008658487,0.158200124711747,0.143765968842093,-0.08962814159188,0.124558642281103,-0.163887207601567,0.150353230506718,-0.0176180305664514,0.00961559489975441,0.0696272813408516,0.163309320763848,-0.144319619382468,0.0788143292848378,0.141006848312683,-0.152070696410966,0.148288711204858,0.195789708271667,0.17027195412108,-0.0402019439826696,-0.00510320587683659,-0.162541232152498,0.0961392007877453,0.0600995235855933,0.175036688195006,0.1071258516219,-0.169572888027341,0.0686143468066334,0.191788351823597,0.086504055073617,-0.180709489307591,0.119740473340693,-0.00531508776845294,0.182257477417438,-0.168933061358061,0.012403947164859,0.088241770669047,0.218099041109563,0.0553705537687111,-0.149056890680265,0.184337719135404,0.210694212113005,-0.0277544847167299,0.197494645283685,-0.0895119799586988,0.0350192828428385,0.119477171328517,0.218224741754506,-0.0485297492978283,0.161116840442894,-0.0594127455135649,-0.175875320902436,0.102878679460283,0.0664043343844873,0.169751516908035,-0.0895908769051342,0.171785077443703,-0.0400860816768832,-0.192166058882158,-0.080704524434679,-0.110289892837172,-0.191899996684957,-0.175607360405131,0.0134176136746809,-0.0304723328266727,0.180716578110608,-0.120739357141042,0.193428356801254,0.206015255605019,-0.109502324690194,0.139726922087779,-0.0973747592955887,-0.136507957575548,0.0364123621644651,0.0892734735531939,-0.127020040595205,-0.196597796511016,0.0489579403600114
"X3",-0.00672302259860662,0.169963426371709,0.155670678516232,-0.114474053193622,-0.180766352050381,0.13092141373207,-0.157668692544918,0.10376957742798,0.0560487961026209,-0.12852797942168,0.112697671536331,-0.0502400225674158,-0.0211544398138533,-0.0595041021393412,-0.0910841628294059,-0.0100098964588174,0.157285417081373,0.142344650383202,-0.0890493163417777,0.123836748715378,-0.163797708022213,0.14937042427668,-0.020641846745303,0.00847015701232907,0.0695209652185854,0.16240628443937,-0.14434128694297,0.0788374153744201,0.139037924049587,-0.151901522867065,0.147730735609315,0.184707715106008,0.1690968564596,-0.0408764554401204,-0.00429502374408063,-0.161134450389975,0.0951771595159658,0.0602032513886449,0.171432512398198,0.106090299009914,-0.169561466317052,0.067625829699319,0.19039329407173,0.0864699644002123,-0.179139385903069,0.115737279312659,-0.00610191479432921,0.180883972835352,-0.16854918772335,0.0120987356574004,0.0865609273084576,0.214731876696403,0.0513312538981289,-0.148428503874141,0.183006701518103,0.205568039151375,-0.0269911965791356,0.195913156917723,-0.0882702437608443,0.0331651498661045,0.11917072244419,0.215275382418129,-0.0490385536083675,0.160508335208781,-0.0611755441771423,-0.175098868741715,0.101679565046675,0.0650654050246871,0.169002257224668,-0.0899872369894146,0.170898966194246,-0.0405850026742591,-0.191479224153584,-0.082527765496775,-0.111731632279576,-0.191019403715983,-0.175302413571178,0.0137552926210149,-0.0303097313969822,0.178579057168129,-0.122001574162691,0.192052166806596,0.203140965922289,-0.109026436557582,0.13891294870962,-0.0989875991717247,-0.136912409283065,0.0354116662456711,0.0891847408227544,-0.127020239398411,-0.195016486036646,0.0487371804678405
"X4",-0.00778449068756627,0.166766973334721,0.153569308597798,-0.115031373997943,-0.180078029944282,0.128929066677423,-0.157686744326948,0.103526179839068,0.0540520576203048,-0.129137507266167,0.110609492022854,-0.0513243638208471,-0.0231751059369782,-0.0601931817502663,-0.0919171548150698,-0.0113719623489977,0.156137754401175,0.140668780654685,-0.0882441820138447,0.123059049531796,-0.163540538637596,0.148255411043902,-0.0238319942166998,0.00740021544424205,0.0694307082177228,0.161273533986808,-0.144152065980371,0.0787530947977657,0.13678892299888,-0.151654957276055,0.147055180179462,0.173995792513414,0.167770910267729,-0.0414060634184814,-0.00345698831911012,-0.159477397571061,0.0941941405821186,0.0600908969720592,0.167480265325717,0.104845190757922,-0.169407496592375,0.0664219906044734,0.188762227068582,0.0861825171966724,-0.177450414825627,0.111518363216922,-0.00702530217401285,0.179270814158518,-0.168057618907661,0.0118626250003117,0.0846347060817147,0.211020262141639,0.0470769571272517,-0.147592249455998,0.181493584416572,0.200128139805515,-0.0261160364494291,0.194089274676297,-0.0868607277600811,0.0311205843780414,0.118804186095615,0.2120737117395,-0.0496728425714842,0.159755290635749,-0.0628616744803793,-0.174098170694388,0.100236090830319,0.0636985101993819,0.168063896336148,-0.090402956984501,0.169808241848756,-0.0412040529230355,-0.190606297736947,-0.0843089825823788,-0.113173580279838,-0.189923643195541,-0.174819606270702,0.0141675811673989,-0.0300330761753752,0.176150650209533,-0.123178249300809,0.190460904048903,0.200025402826807,-0.108383100760124,0.137868054584434,-0.100563057765675,-0.137258614554748,0.0342383052490022,0.0890744546746584,-0.126992254006262,-0.193307522317747,0.0485619764652967
"X5",-0.00882220842922821,0.163333483395108,0.151146751134006,-0.115588668623492,-0.179190885153715,0.126794193268812,-0.157598175573085,0.103323348573244,0.0517890547649556,-0.129591353906089,0.108247132594996,-0.0523038963721321,-0.0254254913578135,-0.0609441372243411,-0.0927864534368344,-0.0129033506412467,0.154786152170294,0.138755242491833,-0.0871166379594065,0.122236262401573,-0.163082262457135,0.147013810917717,-0.0272955712079711,0.00643569436033375,0.0694235126457397,0.15995669312989,-0.143683864801461,0.0787312724974295,0.134246105117973,-0.151289687375244,0.146306789371768,0.163887822999005,0.16628789929132,-0.0417375843981002,-0.00237994183493376,-0.15737148299805,0.0931962647812137,0.0598874550146598,0.163019178187583,0.10342445696825,-0.169090022626874,0.0650467038139256,0.186881221489584,0.0858159815375147,-0.175425603832487,0.106965607208885,-0.00805622578936669,0.17740909042802,-0.167404586299535,0.0117452946048755,0.082430852870605,0.206856635346921,0.0424152428496701,-0.146452892595578,0.179784242029147,0.19424274537599,-0.0250116611015323,0.192003126987627,-0.0850885677280161,0.028834225355916,0.118450922905695,0.208519545944979,-0.0502382220026617,0.158899124231025,-0.0645258035599488,-0.172789940892746,0.0985427185256454,0.0623029984269913,0.166980131367431,-0.0908300357322881,0.168557681646163,-0.0418932042688668,-0.189472088015568,-0.0860794490663224,-0.114656028561771,-0.188525533791949,-0.174133440032421,0.0147720513714515,-0.0295792636256595,0.173409010709453,-0.124289993443816,0.18863725274112,0.196586801578235,-0.107505790282141,0.136696725686877,-0.102212307114676,-0.137563163393152,0.0329191681067957,0.0890033213935487,-0.126909181069801,-0.19119513545286,0.0484650693213191
"X6",-0.00964149523446421,0.159538575608065,0.148367765154439,-0.116174622991124,-0.178081566506983,0.124443317373247,-0.157422287012762,0.10326702911374,0.0492292743048448,-0.12991003380521,0.105545070427523,-0.0532403512135434,-0.0279986472820899,-0.0617655490470087,-0.0937243141760568,-0.0146468652428043,0.153246996481579,0.136639887582248,-0.0856568017210956,0.121331934813141,-0.162442569841589,0.145604024040526,-0.0311963339662081,0.00547017845894282,0.0695083882204784,0.158523093155118,-0.142946282876729,0.0788723885879524,0.131360413084439,-0.150784340993124,0.145498299557523,0.154142788540088,0.16461109846693,-0.0418888252805943,-0.000945906534999089,-0.154700949997422,0.0921266051095652,0.0596865120169843,0.157906904884695,0.10185396076271,-0.168629041737611,0.0635375334249273,0.184721493186716,0.0854741987509442,-0.172902026306192,0.101819782966921,-0.00916811198875542,0.175286705347349,-0.166564436407532,0.0117326019021273,0.0798840665478551,0.202137241533354,0.0370898039442082,-0.144957870966641,0.177832136203645,0.187697584084497,-0.023667703934084,0.189621721809857,-0.0829262085799998,0.0262535624656818,0.118125952353006,0.204432227641981,-0.0505646857185393,0.157964856860586,-0.06624847763954,-0.17115416930903,0.0966189993842929,0.0607599021405379,0.165780768800222,-0.0912627024725602,0.16717152868021,-0.0426225099093073,-0.188045486996419,-0.0879414047541406,-0.116290331164871,-0.186795320758526,-0.173246671035344,0.0156227279587264,-0.028966432927513,0.170296549173456,-0.125447860511547,0.186541037630884,0.192711972819926,-0.106400834101999,0.135473870700073,-0.104067139784921,-0.137846922670669,0.0315022893899707,0.0889937013180562,-0.12674107346366,-0.188582903065777,0.048428402453745
"X7",-0.0100947786738116,0.155345414004513,0.145222633480418,-0.116781055514887,-0.176702725471654,0.121849183394016,-0.157133996628117,0.103401944477079,0.04635979069798,-0.130120554286002,0.102480103222618,-0.0541749499759179,-0.0309118012788259,-0.0626497603434847,-0.0947262647343263,-0.0166037060933541,0.151521483322588,0.134346105123103,-0.0838433828868624,0.120337791598691,-0.161596611607609,0.144019054716087,-0.0355277504678217,0.00447174517028575,0.0696866222245704,0.156982965077499,-0.141922152713912,0.0792145436430584,0.128109920546341,-0.150098932584932,0.144630699843671,0.143621668971844,0.162728415357085,-0.0419192199977649,0.000948029425807187,-0.15145542665862,0.0909747903306292,0.0595540392335953,0.152090233244272,0.100139790258189,-0.16799883450071,0.0619082006707849,0.182258677436934,0.0851792104450599,-0.16981282199744,0.0961078443239497,-0.0103510803916318,0.172872751836122,-0.165495125274297,0.0118226740857479,0.0770080012842487,0.196823712737776,0.0310791987713549,-0.143097791327247,0.175635323097674,0.180419972368182,-0.0220268811085984,0.186923922593322,-0.0803140603049229,0.0233590261962859,0.117829925410683,0.199761679786906,-0.0506534343751937,0.156953307497803,-0.0680509382413682,-0.169160055277891,0.094490486755013,0.0590617543050644,0.1644703066732,-0.0916872129789225,0.165654581554304,-0.04333440245366,-0.186276747752511,-0.0899140323212039,-0.118091236491945,-0.184701033882333,-0.172147326349733,0.0167441747850403,-0.0281744170165764,0.166807646191895,-0.126650012690015,0.184159160217463,0.188361268659389,-0.105057583875945,0.134225721522114,-0.106149970490456,-0.138094027661556,0.0300085839404525,0.0890503100447398,-0.126455614781382,-0.18538225139019,0.0484401944641468
"X8",-0.0101421702866252,0.15081601104108,0.141755915625629,-0.117391911892453,-0.175077160866549,0.119014018482516,-0.156733964146732,0.103789952747203,0.0432331510772434,-0.130235105199295,0.0990896949148918,-0.0551245903637459,-0.034118941501625,-0.0635823381326198,-0.0957792907880315,-0.0187378209012893,0.149632228006502,0.131913142464133,-0.0817546425750102,0.119243130363317,-0.160570096076664,0.142261686810673,-0.0402339996774206,0.00341433020227148,0.0699416558620021,0.155360171946161,-0.140654838497518,0.0797612273208311,0.124538185280011,-0.149236002764412,0.143704078039837,0.132604873767192,0.160639693877003,-0.0418378427807098,0.00323323238008692,-0.147740457468531,0.0897147242507653,0.0595113971063836,0.145627285445924,0.0983187689903443,-0.167213537683122,0.0602213290521403,0.179515785595561,0.0850043598730794,-0.166267674118182,0.0899136328336409,-0.0115765206799185,0.170189945599484,-0.164207748229002,0.0119868494085698,0.07385916347082,0.190968576920337,0.0244656284717755,-0.140913523191958,0.17319595850856,0.172420834786113,-0.0201363348082792,0.183933912939389,-0.0772904256172697,0.0201917281552515,0.11756916771534,0.19456075736167,-0.0504645671590818,0.155864261601668,-0.0699490755140311,-0.166859073289976,0.0921892676081639,0.0572126549802411,0.163052792453102,-0.0920861613116012,0.164013053393392,-0.0439884081263825,-0.184198642281977,-0.0920033786662924,-0.120008064610897,-0.18229825144579,-0.170851869180708,0.0180896553494001,-0.0272138440244111,0.162972937000274,-0.127892709300074,0.18150845891514,0.183566792129841,-0.103503016568039,0.132991893695558,-0.108440287100985,-0.138297794267092,0.0284906289333211,0.089156491054597,-0.126040759672156,-0.181645593846288,0.0484710677821297
"X9",-0.00984676135664835,0.145943022987673,0.137927023496514,-0.117952316054947,-0.173143517903089,0.115942347730902,-0.156153257655259,0.104389426597432,0.0398675366823183,-0.130159823384707,0.0953707231782205,-0.0559918688543492,-0.0375745190774504,-0.0645229231146793,-0.0968302486015141,-0.0210348080222871,0.147514408679653,0.129288715174965,-0.0793461932736886,0.118009305423584,-0.159290874736052,0.140297043141068,-0.0452727864708254,0.00235878930556622,0.0702417922332656,0.153582268277217,-0.139043652445491,0.0804688986791114,0.120626747142225,-0.148141360768533,0.14266684322383,0.121199054847488,0.158298485906109,-0.0415431620979322,0.00594999069413245,-0.143527050863395,0.0883424403856049,0.0594887039019983,0.138472217006026,0.0964128228251629,-0.166198760229448,0.0584418507394532,0.176430793824027,0.0849245917345407,-0.162174340707778,0.0832176082196735,-0.0128143926271844,0.16718673829689,-0.16263997001623,0.0122486658492603,0.0704134292137074,0.184538983734298,0.0173291875298507,-0.138350498280969,0.170462326306955,0.163662663547075,-0.0179978466125039,0.180592192163305,-0.0738866510298917,0.0167862523985141,0.117284740780958,0.188818644512858,-0.0498997508094513,0.15462867748959,-0.0718499010904722,-0.164179795829694,0.0897005775948499,0.0552407533155436,0.16146490096259,-0.0924163901124465,0.162177450600326,-0.0445586552313647,-0.181735466825726,-0.0940985030784374,-0.121966554649235,-0.179516540504978,-0.16928236301855,0.019676776020025,-0.0260658464267026,0.158754198844529,-0.129111830584475,0.178522552728809,0.178313073416082,-0.101720061734688,0.131693384051124,-0.110836668744679,-0.138399792710616,0.0269196702392778,0.0892803087140499,-0.125447196249512,-0.17737023920925,0.0485113554577895
