"","Step0","Step1","Step2","Step3","Step4","Step5","Step6","Step7","Step8","Step9","Step10","Step11","Step12","Step13","Step14","Step15","Step16","Step17","Step18","Step19","Step20","Step21","Step22","Step23","Step24","Step25","Step26","Step27","Step28","Step29","Step30","Step31","Step32","Step33","Step34","Step35","Step36","Step37","Step38","Step39","Step40","Step41","Step42","Step43","Step44","Step45","Step46","Step47","Step48","Step49","Step50","Step51","Step52","Step53","Step54","Step55","Step56","Step57","Step58","Step59","Step60","Step61","Step62","Step63","Step64","Step65","Step66","Step67","Step68","Step69","Step70","Step71","Step72","Step73","Step74","Step75","Step76","Step77","Step78","Step79","Step80","Step81","Step82","Step83","Step84","Step85","Step86","Step87","Step88","Step89","Step90","Step91","Step92","Step93","Step94","Step95","Step96","Step97","Step98","Step99"
"MEbrown4",0.0609431992147639,0.0596254920224731,0.0581101314047713,0.0563311595828871,0.0543243619009761,0.0520499584553106,0.0494772822941376,0.0465933427589722,0.0434509517054442,0.0400683819669637,0.0363527220267397,0.0323413068284678,0.0280784576275368,0.0235534563094218,0.0187972169475707,0.0138515444731485,0.00884685755684885,0.00369073995704559,-0.00163845082605713,-0.00716937268652814,-0.012955554440395,-0.0190108900361194,-0.0255557350135547,-0.0323845972190966,-0.0393995688028721,-0.046377367614428,-0.0532952857231365,-0.0602097625332312,-0.0672551799535436,-0.074496298767244,-0.0818323202957484,-0.0892153652944508,-0.0967518725821482,-0.104026412777819,-0.110795207260145,-0.117087792803826,-0.122802875630507,-0.128204715488952,-0.133137346144222,-0.13740487586416,-0.14068730877118,-0.143114108653281,-0.144932020199867,-0.146103056146063,-0.146590859034847,-0.146287058377633,-0.145105307766736,-0.142795834960333,-0.139572247567401,-0.135632608183124,-0.130944255467746,-0.125660794301327,-0.119834139048994,-0.113544360018973,-0.106560232007546,-0.0992049517491215,-0.0916163266610677,-0.0839765827813745,-0.0763278400083456,-0.0685993781400985,-0.06037427844144,-0.0520852558576468,-0.0437301095675806,-0.0355453938572776,-0.027617007025856,-0.02009187546212,-0.0128042171585467,-0.00557381285671106,0.00172672327346696,0.00914008950246768,0.0168133680532509,0.0248351250595998,0.0329685052492905,0.041433830705395,0.0502988368434869,0.0593138052264856,0.0683317540819822,0.0772644228133646,0.0861062371014806,0.0945440737238189,0.102529651321885,0.110101688003636,0.117019030086137,0.123381032790018,0.129196852711239,0.134526496570288,0.139487789264415,0.144266689348602,0.148828953768027,0.153132239089992,0.157119931118499,0.160826316957362,0.164289275211915,0.167565758173557,0.170707482402162,0.173680419121567,0.176410837422543,0.178907577781373,0.181235137323063,0.183441574696573
"MEorangered4",0.038243815800001,0.0368077572958063,0.0351957035203108,0.033332229764174,0.0312773641328967,0.0289794868564016,0.0263858230632801,0.0234767046548979,0.0202934503514619,0.0168708184369923,0.0131201469880417,0.00910642527579554,0.00486516114593529,0.000421132692865598,-0.00418624949175947,-0.00886580426775256,-0.0135261926715405,-0.0182502206579029,-0.0231059255548572,-0.0280745922539016,-0.0331332962698263,-0.038373779057564,-0.0440379449352476,-0.0499300124455608,-0.0560257662067082,-0.0620664039353273,-0.0680800049910177,-0.0740657592650498,-0.0801955857289049,-0.0865119261077105,-0.0928222315480857,-0.0991498499067602,-0.105683315896071,-0.112059757226739,-0.11793467234626,-0.123363196485854,-0.128310929106911,-0.133016331264423,-0.137253183814357,-0.140711925899596,-0.143164270208236,-0.1447217853226,-0.145549939829735,-0.145567470122346,-0.144732716638906,-0.143044599853993,-0.140418393225113,-0.136549038369631,-0.131742980554843,-0.126119311686141,-0.119724541976663,-0.112798036869665,-0.105320151024591,-0.0973833992863767,-0.0887641489572275,-0.0799597361783525,-0.071123796379322,-0.062438883721304,-0.0539622864165994,-0.0454430388478868,-0.0365622060819291,-0.0277148986874712,-0.0190038647105096,-0.0105948651144625,-0.00259728695800058,0.00479479908227925,0.0116473982695369,0.0181714928396727,0.0246939153289308,0.0312209070305321,0.0379602171781089,0.0450366295077803,0.0522104916379849,0.0598030174937114,0.0678280623516402,0.0759599705576784,0.0841148601075779,0.0922248573152766,0.10030674344046,0.107966204228438,0.115126735568901,0.121846383926474,0.127736453201669,0.13293362706156,0.137576133742164,0.141744973421887,0.14552060620145,0.149149626840016,0.152549375280448,0.155766063448467,0.158739900186073,0.161548704969162,0.164205302216382,0.166774369412349,0.169299336887201,0.171749070146886,0.17408423295077,0.176305125792533,0.178383111894323,0.18038178486041
"MEdarkgrey",-0.00674225274560308,-0.00772777687267378,-0.00881584003923953,-0.0100603244679407,-0.0114292521944466,-0.0129683553380021,-0.0147206534440241,-0.0166873524972707,-0.0188322185813501,-0.0211407774991163,-0.0236820116952141,-0.0264268138350974,-0.0293218908385202,-0.0323491019542424,-0.0354718493028492,-0.0386330727523964,-0.0417248976148252,-0.0448694095587312,-0.048069595466755,-0.0513244075028918,-0.0546544503989336,-0.0581036435156956,-0.0618660610205747,-0.0657884103786015,-0.069814596401939,-0.0737462999888491,-0.0775795096541758,-0.0813664079898878,-0.0852647526185536,-0.0893256477123235,-0.0934417970258914,-0.0976204274292679,-0.101953058901308,-0.106190870993488,-0.110067160842988,-0.113554273472077,-0.116610492310463,-0.119401050266943,-0.121773179635843,-0.123509696380823,-0.124483271249203,-0.124757960016856,-0.124524632055649,-0.12374171129096,-0.122336487831289,-0.12032036257266,-0.11763225188673,-0.114009288313966,-0.109630939338596,-0.104590918605338,-0.0989031577968501,-0.0927404227227257,-0.0861835223388487,-0.0792977727125299,-0.0718387183217044,-0.0641771510926173,-0.0564308885248664,-0.0487919534911054,-0.0413057121757102,-0.0337451753278358,-0.0257627657805376,-0.0176848892475938,-0.00958824363375822,-0.00168144788514889,0.00593328064864666,0.0130895339936851,0.0198377205960726,0.0263598953985559,0.0328661476124755,0.0394477942370911,0.0462110352015634,0.0532675030328286,0.0604095692635169,0.0678369139875696,0.0756430519134236,0.0836426910714501,0.0916948787314813,0.0996876518141633,0.107622998915327,0.115210085479584,0.122382023559532,0.129185875071435,0.135311096696425,0.140874652281623,0.145968435882054,0.150607138248678,0.154906606573551,0.159061751509972,0.162993507553032,0.1666940778075,0.170134839337376,0.173383414586342,0.176451115167227,0.179385013232847,0.182235247291207,0.184962140011145,0.18750271339787,0.189853434325577,0.192032957413803,0.194102493508264
"MElightsteelblue1",-0.00400473632255337,-0.00463967215328263,-0.00534186419871691,-0.0061326551137905,-0.00706069434850567,-0.00809681156658002,-0.00921429924323054,-0.0104032272223781,-0.0116348410524484,-0.0128789491698992,-0.0141768824467883,-0.0155975604294763,-0.0171032939813227,-0.0187270493691055,-0.0204448889924568,-0.0222228705640685,-0.0239631555286051,-0.0257280366028528,-0.0274514886241089,-0.0292667047319841,-0.0313707573148036,-0.0337261977671285,-0.0365992352102043,-0.0397957207991035,-0.0432272642858033,-0.0468180305713676,-0.05041783025002,-0.0540870200485613,-0.0578564284292055,-0.0618315677865456,-0.0660918610782714,-0.0706490005094428,-0.0752647539419408,-0.0796848181323866,-0.083660740008017,-0.0872301068277214,-0.0901574604208542,-0.0926362278719589,-0.0949338763105199,-0.0969733751884093,-0.0987399628759476,-0.10033877629642,-0.101922707028464,-0.103438353553172,-0.104768245756136,-0.105846961532097,-0.106611789840204,-0.107000324600303,-0.10700711293719,-0.106637926291119,-0.106004976828684,-0.104930650820974,-0.103683817193307,-0.102245112544647,-0.100428508471264,-0.0978462231403662,-0.094674554664441,-0.090960356121591,-0.0866568628316067,-0.0817650119881714,-0.075785948181755,-0.0691799335479982,-0.0620279493554645,-0.0546195556094642,-0.0469666833169275,-0.0393411005440306,-0.0314828531631186,-0.0231582929827072,-0.0144497199344008,-0.00530427556107758,0.00405364347204988,0.013738176625618,0.0234552958916855,0.0330791191754429,0.0429562596923916,0.0531853066582373,0.0634927341929431,0.0736434369840631,0.0837329523420288,0.0936537691011192,0.103453855351479,0.113250391407807,0.122955221176439,0.132525141132596,0.141663634935274,0.150331838338813,0.158601940794762,0.166438271282152,0.173957629614486,0.180986319701913,0.187574108584479,0.193626768098371,0.199181222752405,0.204245594798356,0.208814513331824,0.212990612893617,0.216692839686577,0.219963248305532,0.222956362057246,0.225726293547763
"MEsaddlebrown",-0.0395152235382419,-0.0398807272297978,-0.040288027950837,-0.0407894624200266,-0.0414116313295926,-0.0421042544925898,-0.0428372342401143,-0.0435527131675898,-0.0442100136000701,-0.0447831335046193,-0.045264663446501,-0.0457878916127748,-0.0462687790004469,-0.0467903308566839,-0.0472585986740761,-0.047661601345404,-0.0479453199655232,-0.0481646112262925,-0.0482403095653511,-0.0483743870128804,-0.0487939760537886,-0.0494801484365204,-0.0507414949095389,-0.0522659450043245,-0.0538994159133414,-0.055617813143821,-0.0573344117762188,-0.0591432910357831,-0.0610257988860066,-0.063046556146383,-0.0653760339659018,-0.067985703937863,-0.0706175258964788,-0.0730226764324346,-0.0751424560945056,-0.0769995909560833,-0.0783200701737136,-0.07931379099675,-0.0802296471322544,-0.0810453157278952,-0.0817080466471032,-0.0823312632612653,-0.0830355575246409,-0.0838283036134888,-0.0845587475127726,-0.085156506470727,-0.085502778515487,-0.0855947068100096,-0.0855003079014533,-0.0852245764596305,-0.0848735286133203,-0.0841996090165955,-0.0835282018972478,-0.082770949984728,-0.0818309824579633,-0.0802148782127363,-0.0780331856047036,-0.0752540089347897,-0.0718523729076342,-0.0679431252068017,-0.0630685233733232,-0.0576368811996719,-0.0516607545328593,-0.0453898230634447,-0.03876404694011,-0.0320307329884571,-0.0248638951904634,-0.0171241341400279,-0.0089940569915982,-0.000485963629718851,0.00824506617904495,0.0172982335491327,0.0264255291224529,0.0354989230990538,0.0449369679476386,0.0548912734282152,0.0650399835170391,0.0751279385738734,0.0852396562819252,0.0953889156281316,0.105482809819634,0.115635810649207,0.125735982753894,0.135728235975183,0.145319507939761,0.154475613569193,0.163204027635372,0.171437233642977,0.179333603673312,0.186756374580739,0.19374672904837,0.200200674344807,0.206158135156201,0.211616744900825,0.216590116538135,0.221187819811286,0.225325597183025,0.229063583834681,0.232551401121242,0.235848536897442
"MEcyan",-0.0580070838294892,-0.0585685138877587,-0.0591570354587779,-0.0598038728130845,-0.0604964238797883,-0.0612511625288094,-0.0620767124724913,-0.0629653782621291,-0.0639026542058807,-0.0648479776813154,-0.065838340802577,-0.0668813608286067,-0.0679500669709,-0.0690349179327739,-0.0701075219018357,-0.0711138689950184,-0.0719678923028536,-0.072737376476604,-0.0734028699694186,-0.0740253554994282,-0.0746954707998326,-0.0754088199691692,-0.0763498012547255,-0.0773828813913544,-0.0784826476545516,-0.0795895528663977,-0.0806334183361795,-0.0816928316500528,-0.0827896924181064,-0.0840334078737187,-0.0853741935506103,-0.0868198234849943,-0.0883255532323841,-0.089746694921104,-0.0909303403589474,-0.0918728363863782,-0.0924905746319999,-0.0929384209682736,-0.0932265723958277,-0.093249739827352,-0.0929238198902901,-0.0922791513988601,-0.0914352642444016,-0.0903820769729627,-0.0890193941618129,-0.0873427273111181,-0.085287267342924,-0.0827095951360859,-0.0796345182224252,-0.0761092291484862,-0.0721373056005936,-0.0677661958635122,-0.0631658703665356,-0.0583958342316568,-0.0532976084613711,-0.0478674797573776,-0.0422261006224282,-0.0365078841268181,-0.030688503934388,-0.0246836864262883,-0.0181674777667138,-0.0114333082653253,-0.00451618431630263,0.00240527175137535,0.00923221410509313,0.0158550443709783,0.0223516057433233,0.0289035824177803,0.0355397627905204,0.042325221005423,0.0492788837795666,0.0564981037312492,0.0637869530325639,0.0711393660120172,0.0787004330557813,0.0864575403087173,0.0942720736919444,0.101964845765518,0.10955746177373,0.116884936978182,0.123942905182439,0.130800524518114,0.137289182328833,0.143425401984957,0.149163939050053,0.154501459421852,0.159536135606047,0.164366106732616,0.168986067354789,0.173327701819769,0.177396253124779,0.181199595815939,0.18475528006586,0.188080649041937,0.191205617351205,0.194130424943724,0.196787328409087,0.199193105930515,0.201410521469161,0.203494643774737
"MEred",-0.0893086257074667,-0.0896668145786779,-0.0900422191918931,-0.0904405760650543,-0.0908583903806755,-0.0912876206722951,-0.0917224671076735,-0.0921491162195425,-0.0925500743802191,-0.0928819668127563,-0.0931717254103584,-0.0934469877134922,-0.093666879845702,-0.0938470621347099,-0.0939386112160371,-0.0939049766863934,-0.0936705731319664,-0.0932956459812205,-0.09274758417148,-0.0921001580581172,-0.0914352260181619,-0.0907255700747304,-0.0901273382051686,-0.0895278392761234,-0.0888974004000904,-0.0882065480435102,-0.0874020920892382,-0.0865628782339389,-0.085708182956569,-0.0849275789141902,-0.0842180903710206,-0.0835863807125278,-0.0829670828366964,-0.0822641322890772,-0.0814136951410611,-0.0803738493947163,-0.079084717076728,-0.0776845082665684,-0.076206767343472,-0.0746183242697886,-0.0728763075013026,-0.0709873509535836,-0.0690568262994452,-0.0670642551817828,-0.0649118963493259,-0.0625998828738661,-0.0600627516287744,-0.0572150692107311,-0.054058138906228,-0.0506177236718414,-0.0468756408239888,-0.0428502992733546,-0.0387148674980734,-0.0345314402060014,-0.030175741568418,-0.0255891150673697,-0.0208403885295781,-0.01602301609965,-0.0111293329739565,-0.00610567931550745,-0.000661687210995601,0.00498586834247356,0.0108067486600409,0.0166524346567301,0.0224390288469666,0.0280847265874776,0.0336666945227616,0.0393412611293372,0.0450906830776502,0.0509585618116484,0.0569590721065853,0.0631816954997997,0.0694752874476833,0.0758093060057798,0.0823294266163155,0.0890821076786901,0.0959339162294911,0.102710193799379,0.109436379190093,0.116002909933066,0.122382487631969,0.12864340693655,0.134613104732236,0.14028914330188,0.145629398462629,0.150609265163154,0.155307796080339,0.159795504638291,0.164077209156371,0.168092015927737,0.171853573141771,0.175370462731732,0.17866644877151,0.181747057008996,0.184630431159753,0.187320851982875,0.189754000988611,0.19195485424812,0.193992247326117,0.195908126990271
"MEyellow",-0.127583150307695,-0.127634810726615,-0.127659944093941,-0.127660143898681,-0.127632017521296,-0.127548526078729,-0.127379571577524,-0.127092674807141,-0.126675729734515,-0.126079176049004,-0.125294578716028,-0.124382706518381,-0.123305079695624,-0.122092565282815,-0.120693442202776,-0.119068776190284,-0.117194355850057,-0.115067190983582,-0.112635327938697,-0.110013672325669,-0.107295142273678,-0.104435157982308,-0.101561833130947,-0.0985859565425211,-0.0954921565744665,-0.0923132925009251,-0.0889751331169514,-0.085557174239298,-0.0820310354882157,-0.0784708339034645,-0.0749508034699194,-0.0714858922254632,-0.0679636047051468,-0.0643604235840452,-0.0607327852614203,-0.0570289277908814,-0.0532130842759607,-0.0494287344187217,-0.0457636274184009,-0.0422474305520677,-0.0389060994654159,-0.035737415100046,-0.0327986133017835,-0.030100569756317,-0.027525443314312,-0.0250611346955232,-0.0226268608385548,-0.020238538346346,-0.0178649827874736,-0.015491216984319,-0.0130972322281065,-0.0106100203734761,-0.00819006311100691,-0.00583450685906826,-0.00350753317836934,-0.000969289394932993,0.00175821330876745,0.00465514705860044,0.00777203534842153,0.0110561647988276,0.0147288724508142,0.0186277351386366,0.0227452957066984,0.026963975128879,0.0312715170854486,0.0356029222675369,0.0400480270792496,0.04470218995384,0.0494567983797567,0.0543314981491449,0.0593125622237787,0.0644383760180214,0.0696185026755305,0.074728691771142,0.079962749799456,0.0854555388484505,0.0910629574389746,0.0966254970880044,0.102169796675722,0.107698954623023,0.113174932360006,0.118659085608603,0.124052514837794,0.129317397040431,0.134380614586812,0.139200679966519,0.143819511049991,0.148239818647336,0.152490838971207,0.156509651251648,0.160317489663871,0.163887392049565,0.167237466058553,0.170372895846945,0.173300660208071,0.176042143489449,0.178544955363836,0.180835359918723,0.18297285886804,0.184995704884781
"MEblack",-0.113409337212872,-0.113924466840663,-0.114467182655648,-0.115050752325585,-0.115610880809158,-0.116170982982075,-0.116759889279562,-0.117369376898347,-0.117983310657493,-0.118546538032628,-0.119090534903181,-0.119595947678951,-0.120035477738163,-0.120406943064988,-0.120646463931942,-0.120649027616191,-0.120347650530181,-0.1198249190657,-0.119072935042475,-0.118112856756142,-0.116897993460741,-0.11541347067124,-0.113743232000955,-0.111879094368633,-0.109867391410737,-0.107630289881721,-0.105193756056985,-0.102598353323829,-0.0999597422026347,-0.0972774193983783,-0.0943958161618155,-0.0913925278050726,-0.0884420970655695,-0.0854306437132666,-0.082309530392637,-0.0790263950648477,-0.0757018473995039,-0.0724995426006294,-0.0692252645527061,-0.0657431424892695,-0.0620136385263094,-0.0580208434774839,-0.0538435076663329,-0.0494341917237996,-0.0447396779797681,-0.0398510560100677,-0.0346644129119874,-0.0289996295861111,-0.022938980660413,-0.0165681870878224,-0.0098912161098085,-0.00314752925038717,0.00371382618873474,0.0106067780520685,0.017599096824065,0.024360792705869,0.0308668685797436,0.0369796369278867,0.0426606613516603,0.0481375065182583,0.0535099490467295,0.0586848725420903,0.063617906156195,0.0682725277823648,0.0725676760463713,0.0764528496855797,0.0798387839385493,0.0828453334769612,0.0856419519964823,0.0882763401437715,0.0909611058512267,0.093803780230368,0.0967124373706119,0.0998809648249313,0.103205657144169,0.106503105364689,0.109824613576747,0.113133923903422,0.116417805914431,0.119445801207759,0.122191626283158,0.124659259529788,0.126606135019892,0.128088883081419,0.129297396413147,0.13028869031817,0.131106340285649,0.131921151389548,0.132639632746667,0.133343219724716,0.13401011842996,0.134743904718524,0.135533765344494,0.136415608030284,0.137410012494718,0.13844371450527,0.139504132689196,0.140603514511463,0.141692902991912,0.142793333173698
"MEdarkgreen",-0.0891947712992591,-0.0899325500547073,-0.0907113106931486,-0.0915430280147804,-0.0923802164601805,-0.0932538944478066,-0.0941964799561721,-0.095203478156253,-0.09626180916068,-0.0973180615054721,-0.0984231356065414,-0.0995511939064443,-0.100686348493202,-0.101784267603949,-0.102805769336452,-0.103651266827326,-0.104240421187584,-0.104676590602765,-0.104949253425886,-0.105066104459017,-0.104993943892713,-0.104736358089129,-0.104419927850369,-0.104003516882093,-0.10352560337589,-0.102876091603326,-0.102064225998952,-0.101099109354425,-0.100115985142542,-0.0991422526667896,-0.0980121583543439,-0.0968145289137327,-0.0956869435854151,-0.094474434736779,-0.0930156283690585,-0.091273322323832,-0.0893399933855283,-0.0873913775673718,-0.0853119072175729,-0.0829463370555044,-0.0802309009741175,-0.0771723256769037,-0.0738852804072239,-0.0702957982326052,-0.0663254726979541,-0.0620501840163762,-0.057421733485552,-0.0522396201442422,-0.0465607270150577,-0.040478086382745,-0.0340440462632096,-0.027471765014514,-0.0206956788646022,-0.0138319935229222,-0.00679508932333847,0.00013597677494862,0.0069374526676514,0.0134666769960761,0.0196865386663692,0.0258527123555251,0.0321232611447432,0.0383258558273511,0.0443915028201834,0.0502020004951159,0.0557041576910444,0.0607582533234225,0.0653300547380987,0.069588838059353,0.0737213209068191,0.077782896733225,0.081911595714646,0.0862221584812011,0.0905639569569288,0.0951109695851804,0.0998075770350831,0.104491270592218,0.109174724823566,0.11379250267286,0.118386517441025,0.12265900407459,0.126649943135345,0.130395498768856,0.133656428247697,0.136484942142733,0.139000055584057,0.141242558307197,0.143282737428649,0.145275907651858,0.147140119561215,0.148908612531144,0.150567403603926,0.152207020610781,0.153822281098916,0.155451981464292,0.157116233283797,0.158762343489416,0.160358220782609,0.161897445448573,0.163381685091923,0.16484310477415
