"","Step0","Step1","Step2","Step3","Step4","Step5","Step6","Step7","Step8","Step9","Step10","Step11","Step12","Step13","Step14","Step15","Step16","Step17","Step18","Step19","Step20","Step21","Step22","Step23","Step24","Step25","Step26","Step27","Step28","Step29","Step30","Step31","Step32","Step33","Step34","Step35","Step36","Step37","Step38","Step39","Step40","Step41","Step42","Step43","Step44","Step45","Step46","Step47","Step48","Step49","Step50","Step51","Step52","Step53","Step54","Step55","Step56","Step57","Step58","Step59","Step60","Step61","Step62","Step63","Step64","Step65","Step66","Step67","Step68","Step69","Step70","Step71","Step72","Step73","Step74","Step75","Step76","Step77","Step78","Step79","Step80","Step81","Step82","Step83","Step84","Step85","Step86","Step87","Step88","Step89","Step90","Step91","Step92","Step93","Step94","Step95","Step96","Step97","Step98","Step99"
"MEbrown4",0.546954367374219,0.555671327960867,0.565777634485725,0.577751766283379,0.591398621176433,0.60703915105177,0.624946567640499,0.645282508656829,0.667741677419967,0.69224870633192,0.719538603835403,0.749400054042391,0.781542777417085,0.816067702956121,0.852738628727302,0.891204290598389,0.930386949584616,0.970928728525521,0.98709196951297,0.94356229693282,0.898202736017869,0.85108383448328,0.800743049349787,0.749075720502193,0.697133111950975,0.646816256710568,0.598452758798088,0.55179800274269,0.506146747756837,0.461352624974123,0.418288794009455,0.377398937348086,0.338262704301967,0.303017986178018,0.272464366170339,0.245986665820361,0.223527172934956,0.203664040043237,0.186660824424475,0.172803970370794,0.162672441977862,0.155470469883745,0.150233594424842,0.146931017243859,0.145571549687352,0.146417099297619,0.149741402722084,0.15640118907463,0.16606346999578,0.178463700827007,0.19408852228345,0.212854738185963,0.235006744957492,0.260669436227428,0.291327939198441,0.326098855090863,0.364643068711735,0.406156382497458,0.450378515830496,0.497664759090808,0.550709732730586,0.606795034848967,0.665734217704651,0.725516339777945,0.785045435360246,0.842722164747421,0.899385594073916,0.956108363883005,0.98639660686057,0.928085665674117,0.868132126511191,0.806249948228744,0.744705346133505,0.682315923921248,0.619203633801933,0.557742935970345,0.499347524595621,0.44482352129468,0.394313867825197,0.349452297161616,0.310065749498914,0.275495750486842,0.246266048914192,0.221338296758083,0.20015786834641,0.182064211453703,0.166322433947005,0.152134633529125,0.139455474114286,0.128245766393647,0.118486297382296,0.109939045010755,0.102394088882925,0.0956347909064723,0.0894887022308979,0.0839652837714062,0.0791350917278356,0.0749154842756975,0.0711465840287808,0.0677165709747346
"MEorangered4",0.705602789089615,0.716176765806906,0.728110711770463,0.741987053553655,0.757384746213387,0.774716103234587,0.794411599215306,0.816656550292135,0.841164837169585,0.867685623717537,0.896916527140669,0.928349832750118,0.961684190674174,0.996682102620398,0.967027750967103,0.930238238298347,0.893744629378638,0.856977741579482,0.819502639130236,0.781572099674244,0.743473391395267,0.704648565210515,0.663523266042114,0.621779033799877,0.579819096597901,0.539577098825246,0.500933183258178,0.463953487838028,0.427689319346454,0.392081483989926,0.358337621961679,0.326368971144465,0.295339429673077,0.26699503610488,0.242563725968747,0.221405597256799,0.203286595434048,0.187065216363523,0.173283163821502,0.162598163145702,0.15532416220137,0.15083235773962,0.148484048342556,0.148434638416731,0.150801180534196,0.155673378460506,0.163485500028328,0.175520360790757,0.191359007230713,0.211176786844337,0.235438260637837,0.263836496807171,0.29701135843021,0.335104132292201,0.379826042447887,0.42905382515764,0.481939097228995,0.537141510432627,0.593876294219159,0.653468359974281,0.717990250305275,0.784302024219872,0.851138231993369,0.916677711539809,0.979539403733599,0.962237919924325,0.908434419108236,0.857588204048933,0.80733019094439,0.757809167766862,0.707686625246334,0.656370379735044,0.605929255116328,0.554493070952173,0.502522687304008,0.452570934115446,0.405381165721151,0.361452691930087,0.320727784391571,0.284971867456987,0.254040476086188,0.22718179571637,0.205334062307244,0.187341952830572,0.172264141955999,0.159503747236371,0.148566754165768,0.13859535970523,0.129722366065011,0.121733293938339,0.114689450023986,0.108330456807823,0.10257211769816,0.0972342732564245,0.0922035410389241,0.0875216521819942,0.083236467775165,0.079317864679343,0.0757865063838805,0.0725102010399688
"MEdarkgrey",0.946919565829073,0.939174598721323,0.930630408873998,0.920867594741666,0.910142140639552,0.898102693883875,0.884423767601208,0.869111660796035,0.852467514172119,0.834625313874631,0.815081640758023,0.794099285994226,0.772126328165284,0.749341649388746,0.726061714555811,0.702746131793095,0.680205512928353,0.657565923074756,0.634838923320157,0.612066582152683,0.589143918665188,0.565821089954679,0.540889358589398,0.515486878700477,0.490061261219179,0.46588850507042,0.442963386895447,0.420952473816531,0.398968377416966,0.376807159777819,0.355124455982666,0.333923483378764,0.312808942809352,0.293013178917929,0.275647259096049,0.260627542996566,0.24793045388351,0.236715160847864,0.227463217056637,0.220853246902199,0.217207270458602,0.216186332794607,0.217053326490103,0.219980469667207,0.225303970494751,0.233098990704484,0.243782250914194,0.25870963184124,0.27756626323484,0.300387363253025,0.327580040977854,0.358763237215097,0.393888007693112,0.432896894385107,0.477534405217413,0.525847678572939,0.577077401678453,0.629754471419608,0.683245637763285,0.738904746470803,0.799162709505736,0.861363219151799,0.924569703009842,0.986753260671918,0.953280783907626,0.897155732374261,0.844686577578751,0.794609161716766,0.745470881703493,0.696780500392392,0.647998474995233,0.598643724388441,0.550476420066513,0.502466797934396,0.454464447277509,0.408031850777342,0.36423026844378,0.323738718577136,0.286514830850234,0.253694535040071,0.225130056854072,0.20019642394246,0.179504834189493,0.162107792000114,0.147307870940242,0.134736632373758,0.123829812880712,0.11394645179823,0.105168292605564,0.0973977208477494,0.0905849839303284,0.0845045661556197,0.0790655412365255,0.0741295856703409,0.0695748792090929,0.0654316800196461,0.0617540093691655,0.0585029178388097,0.0556149551386681,0.0529820001226777
"MElightsteelblue1",0.968456656936254,0.963458787326142,0.957933167030852,0.951712748206084,0.944416444399395,0.936275873255685,0.927503360867063,0.918179568428878,0.908532710041174,0.898801458111589,0.888665158730382,0.877590845252203,0.865879255946985,0.853282182113916,0.839995254378703,0.826290310314952,0.812926181622335,0.799427753390084,0.786302858041703,0.772543560598748,0.756682812372344,0.739046308633206,0.71771667632288,0.694238469005122,0.669351933885687,0.643688462844696,0.618373714325805,0.593022217343453,0.567478095402667,0.541115449973713,0.513547357504871,0.484876331117468,0.456730431395624,0.430647502201404,0.407930340280294,0.38814811026078,0.372361814676706,0.359305769987129,0.347460059072757,0.337152725624198,0.328382779648454,0.320572485364031,0.312953779391968,0.305774358136484,0.299564113484505,0.294588074640815,0.291093213719708,0.289328373647301,0.289297602218781,0.290974271086446,0.293863768570816,0.298811441479261,0.304621828301119,0.311417509057258,0.320137710980725,0.332801243588616,0.348784629933854,0.368101498363904,0.391285774748793,0.418672999190943,0.453610132529684,0.494024587907546,0.539828857169811,0.589382086335945,0.642634733112343,0.697560702717175,0.755840572113532,0.81910052547104,0.886536637718099,0.958228907748459,0.968071640610819,0.89208934047211,0.816820818927934,0.743878340643962,0.671304818570895,0.599208864217733,0.530280150438012,0.466512501204485,0.407524353246427,0.354029258339687,0.30570148815878,0.261913802114541,0.222948926115346,0.188713153058206,0.15974578817316,0.135459148621628,0.115009078087197,0.0979199019430635,0.0834644204841981,0.0715420278521949,0.061653144865494,0.0535779773363512,0.0469528987079777,0.0415181793817445,0.0370752087769175,0.0333698097612078,0.0303506327048775,0.0278790190524629,0.0257688271400701,0.0239386973111538
"MEsaddlebrown",0.696287583404137,0.693617905625512,0.69064734417889,0.686996674562445,0.682476983506894,0.677458646010597,0.672163219324754,0.667009625723999,0.662288679501673,0.658183093682592,0.654741441068833,0.651009931636199,0.647587958013064,0.643884891222597,0.640567542508335,0.637718198692843,0.635715380808935,0.634169160914695,0.63363577727448,0.632691504331752,0.629740259310417,0.624926493078035,0.616118741468982,0.605546068978473,0.594306991431474,0.582586011088751,0.570984506487662,0.558877812126202,0.546410178126996,0.533179747534628,0.518128592027758,0.50152782046605,0.485071379675431,0.470287887948394,0.457464323717264,0.446390359399839,0.438608726088776,0.432803668320375,0.427492463167361,0.422793890821535,0.418998324989678,0.415447137876207,0.411455104982062,0.406988639613994,0.402898513529878,0.399569474749398,0.39764849175225,0.39713943155046,0.397662178314965,0.399191415460515,0.401143399519699,0.404906473057615,0.40867610371592,0.412952299873085,0.418296428582151,0.427577813018577,0.440292789779773,0.456794884569645,0.477450489777883,0.501796431091772,0.533036803606119,0.568951567292482,0.60973373635577,0.653848062036612,0.701785871903922,0.75172816357318,0.806029903669654,0.865717358518044,0.929231655787941,0.996171335154413,0.935111582155942,0.864365079179985,0.79410907386878,0.725860931009225,0.657082808561483,0.587528685225964,0.520286441138299,0.457551484596295,0.399107691131081,0.34514342207646,0.296261745282542,0.2519326144319,0.212578937150672,0.178154889756193,0.149134681303397,0.124891548259347,0.10471362143128,0.0881069228162554,0.0742138900405614,0.0628164811398234,0.0534271759447041,0.0458139120942757,0.0396071161291095,0.0345527792988078,0.0304311755144393,0.0269985843816875,0.0241963722663497,0.0218821747969184,0.0198965226919918,0.0181638569842466
"MEcyan",0.566468027041504,0.562711419200446,0.558786293687415,0.554487397012808,0.549902415931172,0.5449267655068,0.539509619688626,0.533708149310264,0.527623153340308,0.521521394338177,0.515167488634917,0.508518809390678,0.501752633417966,0.494932541705587,0.488237704155787,0.482000413408447,0.476740873323293,0.472028602446724,0.467973630278212,0.464197976407591,0.460152157701597,0.455866747592271,0.450247819441918,0.444123679791281,0.437655987625581,0.43120053501545,0.425162849649598,0.419085241736741,0.412846147510175,0.405837701597258,0.398361190545367,0.390392267102146,0.382194293823693,0.374552999880624,0.368260228009143,0.363296144742854,0.360065022906922,0.357733677337696,0.356238610119119,0.356118575098081,0.35780953806433,0.361168881153655,0.365595668576972,0.371166936529789,0.378451912956646,0.387533458018351,0.398843419168424,0.413299909436672,0.430939452143363,0.451680672004569,0.475701224956301,0.502913403633851,0.532403582373928,0.563865581665521,0.598436794583628,0.636264607782743,0.676577269307054,0.718391649415228,0.761815077281819,0.80740845528073,0.85761933953076,0.910110384585634,0.964430711749666,0.981051746948791,0.927362793256171,0.87558619308476,0.825299968415119,0.775290542461665,0.725558092505715,0.675860601362879,0.626336823005783,0.576623100239075,0.528372421298717,0.481842940291507,0.436381558191626,0.392380313688477,0.350846679941326,0.312752708604283,0.277890381550496,0.246811499229297,0.2192256077546,0.194582672086603,0.173169356526821,0.154564173488446,0.138557065279034,0.124827681615386,0.112858139536218,0.102231412656892,0.0928162777037868,0.0846060325985868,0.0774475086780097,0.071202961615278,0.0657387913098274,0.060941372772596,0.0566971335999185,0.0529471784952333,0.0497199143643347,0.0469394883095498,0.0444920379265111,0.0422892796243563
"MEred",0.376898463386575,0.374980022978267,0.372975765987875,0.370856127633326,0.368640885339992,0.366373577278003,0.364085356594621,0.361848842316429,0.359754746257751,0.358027043330804,0.356522883226677,0.355097612100007,0.353961588034276,0.353032403582024,0.352560875419902,0.352734066142376,0.353942526816216,0.355880800457272,0.358725966860948,0.362105051806398,0.365595869853008,0.369344215123464,0.372522232178414,0.375723660687865,0.379108298082712,0.382838411305263,0.387209696346009,0.391801644400899,0.396511582439157,0.400842488520617,0.404802999411575,0.408348645678343,0.411842242011548,0.415828817379949,0.420681681047845,0.426659629262313,0.434137961245775,0.442344495188029,0.451099426642452,0.46061693777397,0.47118049947985,0.482782213856955,0.494795315478519,0.507357540466217,0.521110114066208,0.536090448281133,0.552771356657367,0.571787560196525,0.593219923169221,0.616980636491353,0.643280006869173,0.672068974902141,0.702146384609201,0.733047353137634,0.765679157244659,0.80048819298262,0.836942399743761,0.874278864735451,0.91249067600173,0.951924896208603,0.994786913599789,0.960734302207157,0.915017531422711,0.869383116492145,0.8246275905228,0.781495222494825,0.739490226538593,0.697559528193222,0.655984107383892,0.614608429788689,0.573511940629412,0.532300678732505,0.492178071586366,0.453470571120285,0.41545757758319,0.378114752350275,0.342381580797211,0.309210026812048,0.278425044628615,0.25042008537948,0.225128284918177,0.202108332474952,0.181780392889009,0.163877354766895,0.14826018956076,0.134731061791107,0.122847743068574,0.112266526107788,0.102844151115673,0.0945826997424553,0.0873262079781918,0.0809486196993479,0.0753149413977547,0.0703385429865027,0.0659247116332526,0.062011544170557,0.0586375424712177,0.0557163860006762,0.0531196260797106,0.050769375988818
"MEyellow",0.205882928994591,0.20569785332065,0.205607855002162,0.205607139648224,0.205707857054171,0.206007038434239,0.206613418049656,0.207646014582232,0.209153242053282,0.211323286607445,0.214201701625812,0.217581892589413,0.221624985505698,0.226237187069476,0.231642520879506,0.238031737274256,0.245554132274557,0.254287811778826,0.264530415464968,0.275882082523912,0.287993969360615,0.301111713085401,0.31467917030757,0.329141471609498,0.344619168004075,0.360990486292457,0.37868997899399,0.397347224362027,0.417155693212894,0.43772517918146,0.458615714484386,0.479705480797505,0.501667225519928,0.524663929443181,0.548341824509627,0.573041156388694,0.59901785303443,0.62528664028569,0.651182787397298,0.676423023598153,0.700744919066078,0.724093039407558,0.745976108247781,0.766246123106997,0.785740965438035,0.80452175129162,0.82318338913421,0.841589016044547,0.859965705813406,0.878419012997687,0.897095578686448,0.916558952930272,0.935543523107876,0.954057684073061,0.972371231331865,0.992363538665364,0.986148547809969,0.9633369941444,0.938826910806313,0.913063738756654,0.884359684393442,0.854051637335943,0.822273070595799,0.790009615702063,0.757428698599279,0.725089829334942,0.692397175444742,0.658762327142179,0.625090045675077,0.591349835051717,0.557751204916581,0.524160845670448,0.491284021602919,0.459952092922234,0.429036374173694,0.397910235723128,0.367559237848521,0.338897022414143,0.311775951961427,0.286172875639972,0.262233870184176,0.239662059501022,0.218815133327408,0.199734844421525,0.182543004220997,0.167204997105005,0.15342244382635,0.141046196505583,0.129871374357416,0.11994156268199,0.111083194827368,0.103248307465938,0.0962957689223277,0.0901279579182945,0.0846553168947701,0.079774021404165,0.075516856418551,0.0717828100548043,0.0684337794690414,0.0653819584757454
"MEblack",0.261240485359824,0.259066426485911,0.256789328010818,0.254356123558787,0.25203555774927,0.249729675527848,0.247320905894726,0.244844871647658,0.242368144847631,0.240111285219139,0.237945366827233,0.235945277542552,0.234215453148269,0.232760419678457,0.231825568900244,0.23181557705017,0.232992244681354,0.235043025470288,0.238015227171871,0.241847755638947,0.246758352808346,0.252851747312072,0.259829900459398,0.267771838968633,0.276524965895331,0.286481994884535,0.297594711145727,0.309739939227136,0.322413188571829,0.335632878857394,0.350211895701879,0.365820735092903,0.381564133035118,0.398048214980999,0.415570679849239,0.434478044395389,0.454112826537619,0.473482377298126,0.493740947162095,0.515776531362207,0.539922563536699,0.566375817885423,0.594690111456762,0.625248408531264,0.65849403708934,0.693834488307894,0.732058254533174,0.774563684901976,0.820784870047139,0.870038130061655,0.922193570612602,0.975206024774901,0.970746962573468,0.916584360034608,0.862029112979021,0.809879981728183,0.760472319259878,0.71490830907906,0.67343742228468,0.634360190910451,0.596978179100083,0.561934330745268,0.529468108607194,0.499720329177739,0.473065659604026,0.449634837342075,0.429754558947787,0.412531104535502,0.396877958229105,0.382460581068172,0.368097534173342,0.35325546587555,0.338460561335516,0.32279660557374,0.306869566931096,0.291588163877596,0.276713158134532,0.262407923706543,0.248718152573598,0.236538231327576,0.225857865348477,0.21655278133041,0.209405580099326,0.204076238583169,0.199804987718108,0.196349748019469,0.1935323602965,0.190753949035323,0.188328096228293,0.18597432433485,0.183763123473511,0.181352368718882,0.178783306215939,0.175946673103075,0.172787760908051,0.169548482132893,0.16627229882788,0.162925468640167,0.159658663017482,0.156408521426933
"MEdarkgreen",0.377509507588059,0.373560604682018,0.369419772313854,0.365028521116126,0.360640951627894,0.356097051847315,0.351234820000216,0.346086323966379,0.340726676143597,0.335430047950048,0.329944802831091,0.324404808556201,0.318890526514463,0.313614952005581,0.308757647204744,0.304774499109702,0.302018927838898,0.299989441712535,0.298725306460863,0.298184628296963,0.298518444395286,0.299712044119697,0.301182600778838,0.303124999352644,0.305364366794477,0.308425072033983,0.312278833968449,0.316900511486063,0.321653605149971,0.326406224981951,0.331978050111018,0.337948491109524,0.343631409107275,0.349808964600919,0.357332707636315,0.366448966775692,0.376730222062157,0.387268118838059,0.398706692781541,0.411959574923784,0.427485217642675,0.445368049664619,0.465046135968695,0.487067527360285,0.512056768631672,0.539683281976865,0.570397255610738,0.605727962042022,0.645514034438603,0.689262793467918,0.736676485616677,0.786148791259028,0.838059133427934,0.891356913148222,0.946504205691831,0.998928703138733,0.945385127215883,0.894209443204574,0.845855544424848,0.798476367042513,0.751034324448959,0.70500037680598,0.660987479420791,0.619879371851261,0.581999878966188,0.548173798608601,0.51842356481388,0.49146913841437,0.466039993282606,0.441765007871074,0.417836541129766,0.39367521613185,0.370201119910955,0.346557309740487,0.32315405423962,0.300850634889788,0.27958278174136,0.259622190085201,0.240751001577625,0.224074224619381,0.209246714367521,0.195980046126961,0.184933435599741,0.17572505459425,0.167823762030565,0.161003170334238,0.154979033954976,0.149258029008779,0.14405217833966,0.139241435406863,0.134840733254062,0.130595709452276,0.126514317003059,0.122496259391166,0.118495073950949,0.114637517915151,0.110991267370278,0.107560486413474,0.104331122187462,0.101225986194638
