"","x"
"antiquewhite2","ENSMUSG00000031026"
"antiquewhite4","ENSMUSG00000024726"
"bisque4","ENSMUSG00000010406"
"black","ENSMUSG00000011831"
"blue","ENSMUSG00000021313"
"blue2","ENSMUSG00000033931"
"brown","ENSMUSG00000035161"
"brown2","ENSMUSG00000050846"
"brown4","ENSMUSG00000003345"
"coral","ENSMUSG00000034308"
"coral1","ENSMUSG00000040006"
"coral2","ENSMUSG00000035934"
"coral3","ENSMUSG00000033319"
"cyan","ENSMUSG00000034083"
"darkgreen","ENSMUSG00000031381"
"darkgrey","ENSMUSG00000021242"
"darkmagenta","ENSMUSG00000028741"
"darkolivegreen","ENSMUSG00000030401"
"darkolivegreen4","ENSMUSG00000038563"
"darkorange","ENSMUSG00000036278"
"darkorange2","ENSMUSG00000025964"
"darkred","ENSMUSG00000042742"
"darkseagreen3","ENSMUSG00000087497"
"darkseagreen4","ENSMUSG00000021690"
"darkslateblue","ENSMUSG00000028655"
"darkturquoise","ENSMUSG00000097787"
"darkviolet","ENSMUSG00000039275"
"firebrick4","ENSMUSG00000089308"
"floralwhite","ENSMUSG00000067995"
"green","ENSMUSG00000030094"
"greenyellow","ENSMUSG00000073139"
"grey60","ENSMUSG00000018736"
"honeydew","ENSMUSG00000050315"
"honeydew1","ENSMUSG00000020261"
"indianred4","ENSMUSG00000040560"
"ivory","ENSMUSG00000032437"
"lavenderblush2","ENSMUSG00000097815"
"lavenderblush3","ENSMUSG00000031634"
"lightcoral","ENSMUSG00000003934"
"lightcyan","ENSMUSG00000021327"
"lightcyan1","ENSMUSG00000086003"
"lightgreen","ENSMUSG00000028419"
"lightpink3","ENSMUSG00000086794"
"lightpink4","ENSMUSG00000059273"
"lightsteelblue","ENSMUSG00000030232"
"lightsteelblue1","ENSMUSG00000041515"
"lightyellow","ENSMUSG00000046364"
"magenta","ENSMUSG00000088170"
"magenta4","ENSMUSG00000095868"
"maroon","ENSMUSG00000008333"
"mediumorchid","ENSMUSG00000040164"
"mediumpurple2","ENSMUSG00000027999"
"mediumpurple3","ENSMUSG00000037813"
"midnightblue","ENSMUSG00000021576"
"navajowhite1","ENSMUSG00000023832"
"navajowhite2","ENSMUSG00000025332"
"orange","ENSMUSG00000051256"
"orangered3","ENSMUSG00000036792"
"orangered4","ENSMUSG00000023330"
"paleturquoise","ENSMUSG00000029924"
"palevioletred2","ENSMUSG00000028790"
"palevioletred3","ENSMUSG00000103723"
"pink","ENSMUSG00000062248"
"plum","ENSMUSG00000054871"
"plum1","ENSMUSG00000035325"
"plum2","ENSMUSG00000002731"
"plum3","ENSMUSG00000040570"
"purple","ENSMUSG00000025484"
"red","ENSMUSG00000032089"
"royalblue","ENSMUSG00000046756"
"saddlebrown","ENSMUSG00000020937"
"salmon","ENSMUSG00000024773"
"salmon2","ENSMUSG00000067370"
"salmon4","ENSMUSG00000039841"
"sienna3","ENSMUSG00000025583"
"skyblue","ENSMUSG00000024855"
"skyblue1","ENSMUSG00000020623"
"skyblue2","ENSMUSG00000051067"
"skyblue3","ENSMUSG00000028140"
"steelblue","ENSMUSG00000015337"
"tan","ENSMUSG00000032320"
"thistle","ENSMUSG00000051695"
"thistle1","ENSMUSG00000038894"
"thistle2","ENSMUSG00000070271"
"thistle3","ENSMUSG00000044224"
"turquoise","ENSMUSG00000102729"
"violet","ENSMUSG00000073940"
"white","ENSMUSG00000039372"
"yellow","ENSMUSG00000057894"
"yellow4","ENSMUSG00000020393"
"yellowgreen","ENSMUSG00000024420"
