"","x"
"1","tetrahydrofolate interconversion"
"2","regulation of erythrocyte differentiation"
"3","B cell receptor signaling pathway"
"4","response to type I interferon"
"5","positive regulation of interleukin-1 production"
"6","positive regulation of smooth muscle cell migration"
"7","odontogenesis of dentin-containing tooth"
"8","histone H3-K4 methylation"
"9","regulation of calcium ion import"
"10","collagen fibril organization"
"11","tricarboxylic acid cycle"
"12","negative regulation of smooth muscle cell proliferation"
"13","regulation of digestive system process"
"14","cell adhesion mediated by integrin"
"15","positive regulation of regulated secretory pathway"
"16","regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway"
"17","chromosome condensation"
"18","anterograde dendritic transport"
"19","endoplasmic reticulum calcium ion homeostasis"
"20","regulation of bone development"
"21","histone H3-K4 methylation"
"22","tricarboxylic acid cycle"
"23","resolution of meiotic recombination intermediates"
"24","positive regulation of blood vessel endothelial cell migration"
"25","ATP hydrolysis coupled proton transport"
"26","negative regulation of reactive oxygen species biosynthetic process"
"27","Wnt signaling pathway, planar cell polarity pathway"
"28","regulation of fibroblast migration"
"29","long-term synaptic depression"
"30","replication fork processing"
"31","coenzyme A biosynthetic process"
"32","plasma membrane invagination"
"33","axon ensheathment in central nervous system"
"34","intraciliary transport"
"35","regulation of cytoplasmic translation"
"36","retrograde vesicle-mediated transport, Golgi to ER"
"37","cellular response to gonadotropin stimulus"
"38","negative regulation of microtubule depolymerization"
"39","protein glycosylation in Golgi"
"40","negative regulation of endothelial cell proliferation"
"41","viral translational termination-reinitiation"
"42","negative regulation of G1/S transition of mitotic cell cycle"
"43","protein ADP-ribosylation"
"44","response to ethanol"
"45","glutamate secretion"
"46","pre-miRNA processing"
"47","positive regulation of protein autophosphorylation"
"48","pyrimidine deoxyribonucleotide metabolic process"
"49","endosome organization"
"50","positive regulation of growth hormone secretion"
"51","retrograde vesicle-mediated transport, Golgi to ER"
"52","positive regulation of peroxisome proliferator activated receptor signaling pathway"
"53","negative regulation of muscle contraction"
"54","neutral amino acid transport"
"55","drug transmembrane transport"
"56","regulation of presynapse assembly"
"57","protein localization to Golgi apparatus"
"58","regulation of retrograde protein transport, ER to cytosol"
"59","protein destabilization"
"60","fibroblast migration"
"61","endoplasmic reticulum tubular network organization"
"62","positive regulation of translational initiation"
"63","B cell homeostasis"
"64","selective autophagy"
"65","response to glucocorticoid"
"66","pathway-restricted SMAD protein phosphorylation"
"67","DNA alkylation"
"68","canonical Wnt signaling pathway involved in negative regulation of apoptotic process"
"69","regulation of inhibitory synapse assembly"
"70","striatum development"
"71","aorta development"
"72","vitamin transport"
"73","negative regulation of organelle assembly"
"74","regulation of heart morphogenesis"
"75","DNA strand elongation"
"76","positive regulation of stress fiber assembly"
"77","cerebral cortex regionalization"
"78","ganglioside biosynthetic process"
"79","late endosome to vacuole transport"
"80","protein targeting to ER"
"81","positive regulation of cell-matrix adhesion"
"82","cell-cell fusion"
"83","mitochondrial electron transport, NADH to ubiquinone"
"84","peristalsis"
"85","positive regulation of glucose import"
"86","late endosome to vacuole transport via multivesicular body sorting pathway"
"87","relaxation of cardiac muscle"
"88","adenylate cyclase-inhibiting G protein-coupled acetylcholine receptor signaling pathway"
"89","inorganic anion transmembrane transport"
"90","seminiferous tubule development"
"91","zinc ion transmembrane transport"
"92","GPI anchor biosynthetic process"
"93","microtubule nucleation"
"94","positive regulation of centrosome cycle"
"95","cellular response to retinoic acid"
"96","nuclear migration"
"97","peptidyl-lysine hydroxylation"
"98","semaphorin-plexin signaling pathway involved in axon guidance"
"99","positive regulation of histone H3-K9 methylation"
"100","cytokinetic process"
"101","cellular carbohydrate biosynthetic process"
"102","interstrand cross-link repair"
"103","regulation of bone resorption"
"104","pre-mRNA catabolic process"
"105","somatic diversification of immunoglobulins"
"106","pigment granule maturation"
"107","mast cell chemotaxis"
"108","regulation of neuron projection arborization"
"109","regulation of connective tissue replacement"
"110","regulation of response to gamma radiation"
"111","endoplasmic reticulum to cytosol transport"
"112","negative regulation of toll-like receptor signaling pathway"
"113","regulation of calcium ion transmembrane transport via high voltage-gated calcium channel"
"114","G protein-coupled receptor signaling pathway involved in heart process"
"115","endosome organization"
"116","activation of MAPKKK activity"
"117","negative regulation of phosphatidylinositol 3-kinase signaling"
"118","regulation of steroid biosynthetic process"
"119","mammary gland duct morphogenesis"
"120","regulation of transcription regulatory region DNA binding"
"121","mitotic sister chromatid cohesion"
"122","positive regulation of smooth muscle contraction"
"123","female meiotic nuclear division"
"124","regulation of ruffle assembly"
"125","cellular response to hepatocyte growth factor stimulus"
"126","glycerol ether metabolic process"
"127","endosome to lysosome transport"
"128","innervation"
"129","regulation of lipid binding"
"130","endoplasmic reticulum organization"
"131","negative regulation of extrinsic apoptotic signaling pathway via death domain receptors"
"132","nucleotide-excision repair, DNA incision"
"133","cellular response to cAMP"
"134","CXCL12-activated CXCR4 signaling pathway"
"135","rhombomere morphogenesis"
"136","cilium movement involved in cell motility"
"137","inositol trisphosphate biosynthetic process"
