"","MEantiquewhite1","MEantiquewhite2","MEantiquewhite4","MEbisque4","MEblack","MEblue","MEblue2","MEblue3","MEblue4","MEblueviolet","MEbrown","MEbrown1","MEbrown2","MEbrown4","MEchocolate4","MEcoral","MEcoral1","MEcoral2","MEcoral3","MEcoral4","MEcyan","MEdarkgreen","MEdarkgrey","MEdarkmagenta","MEdarkolivegreen","MEdarkolivegreen1","MEdarkolivegreen2","MEdarkolivegreen4","MEdarkorange","MEdarkorange2","MEdarkred","MEdarkseagreen2","MEdarkseagreen3","MEdarkseagreen4","MEdarkslateblue","MEdarkturquoise","MEdarkviolet","MEdeeppink","MEdeeppink1","MEfirebrick2","MEfirebrick3","MEfirebrick4","MEfloralwhite","MEgreen","MEgreen4","MEgreenyellow","MEgrey","MEgrey60","MEhoneydew","MEhoneydew1","MEindianred2","MEindianred3","MEindianred4","MEivory","MElavenderblush1","MElavenderblush2","MElavenderblush3","MElightblue3","MElightblue4","MElightcoral","MElightcyan","MElightcyan1","MElightgreen","MElightpink2","MElightpink3","MElightpink4","MElightskyblue4","MElightslateblue","MElightsteelblue","MElightsteelblue1","MElightyellow","MEmagenta","MEmagenta3","MEmagenta4","MEmaroon","MEmediumorchid","MEmediumpurple","MEmediumpurple1","MEmediumpurple2","MEmediumpurple3","MEmediumpurple4","MEmidnightblue","MEmistyrose","MEnavajowhite","MEnavajowhite1","MEnavajowhite2","MEorange","MEorangered","MEorangered1","MEorangered3","MEorangered4","MEpaleturquoise","MEpalevioletred1","MEpalevioletred2","MEpalevioletred3","MEpink","MEpink3","MEpink4","MEplum","MEplum1","MEplum2","MEplum3","MEplum4","MEpowderblue","MEpurple","MEred","MEroyalblue","MEsaddlebrown","MEsalmon","MEsalmon1","MEsalmon2","MEsalmon4","MEsienna2","MEsienna3","MEsienna4","MEskyblue","MEskyblue1","MEskyblue2","MEskyblue3","MEskyblue4","MEslateblue","MEsteelblue","MEtan","MEtan4","MEthistle","MEthistle1","MEthistle2","MEthistle3","MEthistle4","MEturquoise","MEviolet","MEwhite","MEyellow","MEyellow2","MEyellow3","MEyellow4","MEyellowgreen"
"X0",0.0533842612732887,-0.126386541520638,0.194677515022364,0.187412452982728,-0.177500992577567,-0.0793481362679012,0.0508568147202724,-0.0478908094624587,-0.188701355608481,-0.200667881227132,-0.177026338252591,-0.134341819942964,-0.222005711606708,0.158264117417656,-0.244506150132876,0.117908805403655,0.220661124441654,0.21258198141662,-0.0339355826090681,-0.128763846024339,0.0949154674034161,0.156283392744467,0.12085588752565,0.170965799798111,0.180970691254732,-0.232359987153131,0.0682241337799308,-0.00486112074979939,-0.198675607398055,0.0466293188444779,0.159660669639002,0.126685571535846,-0.078227311353253,0.125494800994601,0.223409247670403,-0.133851214567522,-0.021154639316197,-0.0716769971266839,0.204467096722978,-0.200293405645296,0.139759462825635,0.0466899870285838,0.00735664744119113,-0.102921004392221,-0.113618716975957,-0.068611549471647,0.152413319719572,0.191344591213641,-0.162307233866269,0.216894046369105,-0.043431043564438,-0.0594469274868467,-0.0782695650832458,-0.157653938875072,-0.185359578113242,0.0290927667555833,0.0866737477176355,-0.201665336792599,0.112699194314621,0.180403309850473,-0.186342098944145,-0.208527548745175,0.12957001649127,-0.109912813156686,0.125887249945043,-0.0764943683517356,0.0531533965825855,0.187405991352514,-0.159721197926562,0.189899004482092,-0.116268487081889,-0.067895381442583,0.00909669029056151,0.188737439849951,-0.186095917487186,-0.0133556187090892,-0.0981580774802289,0.0645655460762389,-0.174819622731308,0.156469183709178,-0.135924022029957,0.190053068786458,0.124826901833664,-0.170578723853543,0.127257755272868,0.211495304998148,0.0263923376466465,0.180062755525301,0.117393994462291,-0.0750953575352508,0.109532057256429,0.0573940938807586,-0.145166225389766,0.242517112555781,0.0280880171823215,-0.0249050482395542,0.256671268284669,-0.0918920175907173,0.230945617131047,0.0564161299706831,0.224675929609458,-0.0264787412711078,0.273982921471068,-0.15892714141335,0.143256723511344,-0.136499569412562,-0.150010012915515,0.103525352494364,-0.117977143544718,0.150109549039406,-0.015042101037386,0.158974837333026,0.214685118356915,0.0335505211579699,-0.157771234115234,0.0733998003935848,-0.216912636032143,0.022866483244151,-0.210676851477759,0.165610288709052,0.168397122880956,0.134551353667198,-0.0371317589743604,-0.173336278169393,0.0981354661749598,0.182388760087716,0.15097799308472,0.217100832337211,0.0918921791752197,-0.149180666755529,0.0731211437137489,0.190895185265763,-0.0985989563336771,-0.206979104261693,0.0122021506324856,0.207093512446466,-0.153885121103241
"X1",0.0536207607002494,-0.125396845332144,0.191426919164384,0.185342560601682,-0.176424477286885,-0.0807375624468325,0.0490727498330481,-0.0514554271003935,-0.186159213177655,-0.198608617952581,-0.175155761644746,-0.135392799960619,-0.218271186212493,0.155689332966268,-0.239190304138335,0.11579871643285,0.217055301527267,0.209116076912312,-0.0330874540954447,-0.129664608505056,0.0946824142324525,0.155440545615937,0.119381481746215,0.170139149767019,0.178360525299065,-0.22441220556557,0.069175494443914,-0.00540595544319625,-0.196304797002717,0.0472865440284594,0.157753099762948,0.125061214809924,-0.0762693530552109,0.122224868266196,0.219734328526419,-0.133253654508685,-0.0202895215423106,-0.0712784825840677,0.199534374802428,-0.196766426626054,0.139751426567139,0.0424164080673186,0.00447422398010273,-0.10383272988588,-0.110520940831166,-0.069065143397427,0.144541561153832,0.188947645378117,-0.160663182953297,0.213410400139282,-0.0470542155993678,-0.0571246849509487,-0.0818329690902628,-0.156956988052141,-0.184083861809933,0.03077986436517,0.0856424979902621,-0.199112614154821,0.110115019784083,0.17286110596663,-0.184342146889285,-0.206055019362571,0.128833238959638,-0.108210413139925,0.12316303085288,-0.0772879284729603,0.0551986264783889,0.183620922003595,-0.159817678990566,0.188022159544187,-0.117015821005208,-0.0689983080526747,0.00778058058904502,0.181883581940428,-0.184724229827269,-0.0117980042211315,-0.0996532838317916,0.0673049559445824,-0.174481021148871,0.155535719532518,-0.133341497626271,0.188036174487648,0.125035218581164,-0.167993061393024,0.126475298578391,0.20770144709007,0.0239362080190042,0.177440270160046,0.111307050990443,-0.0718568671588527,0.105997423477998,0.0560819899439647,-0.142876934410489,0.236440125349202,0.0289102700672382,-0.0271136114711068,0.24951803106129,-0.0905667904863259,0.226810563868431,0.0536331972772367,0.220646458924041,-0.02722174043124,0.266530056920826,-0.157425165532525,0.142527419400723,-0.136597637512119,-0.149741888011552,0.10350758859367,-0.117712904651196,0.146543481124598,-0.0158841339445575,0.155639616116235,0.210145188066994,0.0330598160100287,-0.154724190473642,0.0720475089127663,-0.213757975694357,0.0218852068434882,-0.207845328989538,0.163329942902288,0.167542675864794,0.132987525172057,-0.0378706377110597,-0.172692780325635,0.0956239428685019,0.17999526396751,0.148944746634093,0.211130173429304,0.0880971598928403,-0.148217688596684,0.0733548040732371,0.188336104469923,-0.0984957697821757,-0.201885063614215,0.0113782829165958,0.204150525378219,-0.153778455343992
"X2",0.0539796814057668,-0.12441987899183,0.188148652245761,0.183273319481663,-0.175306067545128,-0.0820954019379779,0.0473262325004504,-0.0549971136099946,-0.18362973591433,-0.196523011540396,-0.173243498995181,-0.136312642310409,-0.214528001668996,0.153143753524071,-0.233911120941181,0.113701579263562,0.213336776714978,0.205591384245026,-0.0324070176956635,-0.130576366213251,0.094427487905633,0.154577308015404,0.117841921490311,0.169336573416008,0.175679925337802,-0.216477056995155,0.0703565101509643,-0.00586418499341856,-0.1939484520186,0.0479003136305931,0.155791841594986,0.123480001758951,-0.0742585843484457,0.118940022917293,0.215934065533941,-0.132608554003072,-0.0194183032369383,-0.0709020729860862,0.194458753634677,-0.193208372249558,0.139799634716581,0.03797396297377,0.0015652412357082,-0.104717012961847,-0.107539870331256,-0.0694767672776077,0.136444383303158,0.186478733304262,-0.158971653303071,0.209842239759264,-0.0508501687601757,-0.054649949760876,-0.0853874907321641,-0.156247408978965,-0.182818375474997,0.0325292112427963,0.0845697639804131,-0.19657690459736,0.107547171918383,0.165229530906543,-0.18231427613218,-0.203574307371573,0.128059741414891,-0.106462969387159,0.120371525082966,-0.0780724810427906,0.057194910591288,0.179766421539391,-0.159888866871874,0.18613954635427,-0.117733359741065,-0.0700569346075147,0.00647201469658549,0.174753465933836,-0.183281027901891,-0.0102216277234268,-0.101079442870764,0.070078929598313,-0.174075872275016,0.154525893579003,-0.130709622761619,0.185967706029571,0.125310305948107,-0.165406497147134,0.125736692706885,0.20381980278282,0.0214708937646339,0.174813260351938,0.104871910625101,-0.0685703613282248,0.102383189734624,0.0547830011384931,-0.140507804665334,0.230295830729078,0.0296989396174652,-0.0293575023938414,0.241993103406149,-0.0891836167589907,0.222515266594749,0.0508388373033979,0.216506361291957,-0.0278772371509912,0.258696165494108,-0.155951187014376,0.141766952648544,-0.136654215446792,-0.149465567844408,0.1034559543459,-0.117404280814246,0.142892949390987,-0.0167042154877375,0.152229819814747,0.205469915536386,0.0325520552360453,-0.151744459396435,0.070678871488144,-0.210574815565505,0.0210181879018836,-0.205022474840337,0.161099896028352,0.166718852946418,0.131378038724715,-0.0385559595488169,-0.171954424550908,0.0930456812883455,0.177586629536403,0.146863922943526,0.204848099735275,0.0843053092249179,-0.147222909502322,0.0735391102839086,0.185717595064693,-0.0983596103156534,-0.19671667459295,0.0105310170429067,0.201146403595786,-0.153631774206313
"X3",0.0542306622047991,-0.123415336077975,0.184673136343306,0.181102005943539,-0.1741872653434,-0.0835019012884776,0.0454308213578576,-0.0586964637990778,-0.181097978781693,-0.194383972557667,-0.171352720291023,-0.137199739048978,-0.210765390843503,0.150413335185437,-0.228702341756994,0.111420566013829,0.209392721950242,0.201832889288847,-0.0317870796433507,-0.131515323680051,0.0942024223149305,0.153648754794978,0.116259617155323,0.168447054981255,0.172901416613025,-0.208689125693954,0.0715047000114451,-0.00636329557343087,-0.191634086038461,0.0485621621115694,0.15376380256258,0.121717357461226,-0.0721412808775118,0.115447953715881,0.211902716175803,-0.131984025156821,-0.0184347562554387,-0.0704632369048961,0.189114533414553,-0.189707979287231,0.13968407777959,0.0331774295421873,-0.00151647892870663,-0.105631054576084,-0.104548297514752,-0.0699484309167994,0.12803778374806,0.183880157795538,-0.157176510285173,0.206076808417463,-0.0549113415215048,-0.0522065233562296,-0.0889916713157246,-0.155516769301627,-0.181556485739046,0.0343368278205344,0.0835155019912396,-0.193980378693011,0.104845553253258,0.15732314968241,-0.180308485936976,-0.201095192200276,0.127297306244823,-0.104797190165158,0.117432337647334,-0.0788296887215423,0.0589806610690117,0.175663837882989,-0.159965997033163,0.184139245137481,-0.118487268982252,-0.0711663151524109,0.00504013321227039,0.167166165522497,-0.181743626869244,-0.00858070660488642,-0.102456656191222,0.0728113809632089,-0.173608817702173,0.153433521937829,-0.127950905175846,0.183776961483386,0.125571378085911,-0.162812880940333,0.124916934754857,0.1996841126265,0.0188403054288337,0.172037943721129,0.0979364460056033,-0.0652293989407687,0.0985194743680855,0.0533612330430422,-0.138197682563018,0.223900963112517,0.0305265183289436,-0.0317296186124782,0.233833609734929,-0.0878575839703348,0.217916578803404,0.047860292149787,0.212116725403939,-0.0284600657812916,0.250300942076928,-0.154511476327581,0.140983638951364,-0.136709589772372,-0.149215348920431,0.103430823271719,-0.117127086237591,0.138940014586401,-0.0176238639954845,0.14854587309464,0.200484234023954,0.032052787587139,-0.148745651974956,0.069301723676257,-0.207388725485178,0.020075670179053,-0.202254901526431,0.158741265458009,0.165811154410852,0.129735758909568,-0.0393091929461309,-0.171194417576477,0.0902485057755743,0.175056928700676,0.144712237162936,0.198048487338627,0.0802715630710659,-0.146255115189834,0.0737413715953358,0.182980438135067,-0.0982705520342881,-0.191494103738765,0.00968183882762832,0.197983724253269,-0.153493582811102
"X4",0.0544029758005249,-0.122167437808525,0.181051943711255,0.178816517114626,-0.172970580100035,-0.0849097660513848,0.0434234470883133,-0.062234684238757,-0.178391622169364,-0.192054105565788,-0.169416629780694,-0.137938708199636,-0.206821213966208,0.147543918468417,-0.223375306527537,0.108981373680304,0.205356698247359,0.197938773519459,-0.0310293524381881,-0.132267618210269,0.0940430887831992,0.152698947557465,0.114738340535805,0.167481839952566,0.170122662393977,-0.20085838565589,0.0726534817683702,-0.006927441326702,-0.189237583320796,0.0493470229710158,0.151751243404088,0.119780114871031,-0.0697750890751833,0.11181983247375,0.207753831577337,-0.131340444142684,-0.0172739306796913,-0.0697681367439175,0.183780335390174,-0.186057710113813,0.139477310157877,0.0282738072649648,-0.00466156336733643,-0.106538510042843,-0.101336455485224,-0.0704753037602562,0.119636047169815,0.181231354957235,-0.155122083581066,0.202184698126998,-0.0589258659867747,-0.0497603832683989,-0.0925159637054852,-0.154573181486501,-0.180141841108569,0.0362376954836482,0.0825554523554704,-0.191207799861745,0.10200474345602,0.149561306699497,-0.178238148380618,-0.198468771209266,0.126558498867055,-0.103149936572954,0.114568129975216,-0.0793481168450502,0.0606551095799624,0.171404946924475,-0.159907984818838,0.182046424982179,-0.119205125842686,-0.0723049325510061,0.0035060391037548,0.159465746387047,-0.179991137776066,-0.00678855500259538,-0.103591245541883,0.0755653593412134,-0.172961866034906,0.152301677406751,-0.12492334576241,0.181518360544178,0.125865957993571,-0.160003982320328,0.123980799376304,0.195387526726536,0.0161005632905574,0.169126415260107,0.090857841512793,-0.0617152119389079,0.0945030432012056,0.051802360044733,-0.135837108752213,0.217454371386842,0.0314908774397404,-0.0341443466105288,0.225536338575187,-0.0865481779885609,0.213215679600192,0.0447660758533783,0.207607668609527,-0.0287786081026608,0.241777178610194,-0.153009061774149,0.140202962702448,-0.136720020271755,-0.148907221878016,0.103460806785115,-0.11685033271708,0.134821959838307,-0.0186383612032535,0.144711138306474,0.195336609252789,0.0317092404872342,-0.145547363177587,0.0680651286542856,-0.204071371683053,0.019013529021377,-0.199380876788069,0.156239557678183,0.164802620293514,0.128150749157226,-0.0401387160282037,-0.170300045543332,0.0873026135019905,0.172401988944819,0.142576735075177,0.191100888351394,0.0761054059316858,-0.145261811972964,0.0740375147124404,0.180207121893148,-0.0982084323067081,-0.186014158797153,0.00899818037667882,0.194733866136772,-0.153274123395423
"X5",0.0546138318256672,-0.120612871182718,0.177246263615974,0.176456988458581,-0.171618093935835,-0.0863692693716443,0.0412783571817867,-0.065789293775359,-0.175358410747512,-0.189442829317365,-0.167334788420962,-0.138577838707648,-0.202455579326688,0.144517913861879,-0.217605952532973,0.106401066359491,0.201193072006764,0.193885935646843,-0.0300197266618915,-0.132854207206896,0.0940559114987425,0.151804437487706,0.113312961635081,0.166503784601818,0.167346086611715,-0.192451880788164,0.0740013424862764,-0.00745270975286412,-0.186643000416142,0.0503769836340867,0.149772618540127,0.117674401941243,-0.0669941481876979,0.107992632912134,0.203445324146754,-0.130622502268728,-0.015784002330237,-0.0687650642441047,0.178374201042719,-0.181920148506313,0.139263738592049,0.0231006720477897,-0.00794695724905703,-0.107461339441327,-0.0977385132719392,-0.0710397974363999,0.110795828963122,0.178535025274231,-0.152751701853606,0.19815644100491,-0.0630545584203785,-0.0470477015401736,-0.0960249038214991,-0.153379603935645,-0.178532057459537,0.0385727865426235,0.0817481887809958,-0.188058366031661,0.0990312920164828,0.141858495012031,-0.176021472278476,-0.195570764743711,0.125942073846061,-0.101411731893121,0.111784707109097,-0.0795818823497296,0.062645115963738,0.166924185420679,-0.159708303791941,0.179876502746209,-0.119915301884684,-0.073509799545328,0.00186139267311784,0.151441451038997,-0.177938697535214,-0.00467952023025648,-0.104433740225595,0.0786320849574585,-0.172060119242922,0.151256961623988,-0.121439175849185,0.179218328228309,0.126432359185542,-0.156793752272713,0.12303469145671,0.190870706542841,0.0131943006349167,0.166089637424575,0.0834330311370605,-0.0576702327851817,0.0902503597587126,0.0501507683182241,-0.133211926773888,0.210907947746607,0.0327123040880762,-0.0366825010847927,0.216930953852544,-0.0850861577812841,0.208333248646425,0.0415058092676041,0.202912015689497,-0.0287929990651188,0.232902660915677,-0.151270642037903,0.139519319906569,-0.13668635235292,-0.148532898001144,0.103680075406815,-0.116529992971623,0.130436722282518,-0.0197112395101387,0.140644270394243,0.189940359744902,0.0316132181477528,-0.141949941089817,0.0670187358454754,-0.200468196593234,0.0178499417896153,-0.196295920265528,0.153606888823484,0.163770904453427,0.126651662711547,-0.0410421368165692,-0.169243864957008,0.0841802249129457,0.16965461946834,0.140474906342118,0.183803404975091,0.0717391562107424,-0.144184515991337,0.0745287179530889,0.177393043800845,-0.0981364266879506,-0.179887439594024,0.00853058435445545,0.19141990220719,-0.152965982310283
"X6",0.0548656981643124,-0.118829813058257,0.173192047767599,0.174009401313015,-0.17015694178976,-0.0878986100216489,0.0389703623894286,-0.0695002133176048,-0.172007309572957,-0.186599024722665,-0.165106674831178,-0.139185639421186,-0.197699376748895,0.141313469050645,-0.211392429276441,0.1036633402749,0.19681530196987,0.189593058609982,-0.0288340530577585,-0.1334130065805,0.0941958047021323,0.150934493477078,0.111919776212968,0.16550684929081,0.164494925963292,-0.183531801962198,0.0755528540423343,-0.00796121197572776,-0.18386169388281,0.0515789499124435,0.147763018069662,0.11543690226916,-0.0638946052799858,0.103903844351361,0.198909957382978,-0.12984440747514,-0.0140392931793054,-0.0675523104770233,0.172746177123577,-0.177387143405248,0.139069333058931,0.0176141919684139,-0.0114124185138277,-0.108420226482765,-0.0938257544822174,-0.071634855818881,0.101441081812633,0.175748508429104,-0.150146020563215,0.193924269477503,-0.0673699592632549,-0.044090459157227,-0.0996397425430326,-0.152003861454887,-0.176755290120755,0.0413079311300182,0.0810247571397929,-0.184582715639877,0.0958736576348567,0.134011837081586,-0.17366982857406,-0.192433764170849,0.125407072863049,-0.0995642328718876,0.108963162475719,-0.0796633147153631,0.0648821521650499,0.162177594002079,-0.159408767618784,0.177599010879975,-0.120636802110088,-0.0747934636712661,0.000104122717160682,0.143027155946155,-0.175658070095046,-0.00228969101357064,-0.105099840787334,0.0819902004790867,-0.170971745603697,0.150264690982021,-0.11755797525025,0.176829886656912,0.127225010853151,-0.153238226746421,0.12208964461748,0.1861082425248,0.0100900748537636,0.162888041365962,0.0756457861496344,-0.0531757977115447,0.0857071469035816,0.0484025611692131,-0.130340615553449,0.204124546714651,0.0341315153194598,-0.0393760037061944,0.207936934378639,-0.0834906267195627,0.203210512339063,0.0380482191631943,0.197962370823464,-0.0286352828250745,0.223588713534808,-0.149327452783317,0.138898998196574,-0.136633386868149,-0.148113190774583,0.104028258093255,-0.116165155091681,0.125749190640508,-0.0208448322906077,0.13632680638831,0.184214172404791,0.0316894557234793,-0.138025088362062,0.0660565189656347,-0.19659732735476,0.0165855465678022,-0.193007598768221,0.150836304556357,0.162735059167792,0.125183084254915,-0.0420130782342483,-0.168059992700422,0.0808766937292835,0.166789283758369,0.138345879354394,0.176103649497586,0.0671278721379033,-0.143025274136675,0.0751563742751793,0.174461870244958,-0.0980525653672853,-0.173173931063665,0.00818203587540568,0.187954381598911,-0.15261257605398
"X7",0.0550814005844087,-0.116818036597792,0.168860510914342,0.17139962272043,-0.168535772399675,-0.0894809997238489,0.0365252574608792,-0.0734346861153265,-0.168290189205205,-0.18346343955124,-0.162690484951767,-0.139737969496781,-0.192518432829123,0.137894738979262,-0.204641557485326,0.100770386825059,0.192215919241409,0.185037304951214,-0.0274143110334284,-0.133940991416648,0.0944249397308004,0.150034789414015,0.110522264920115,0.164412071633704,0.16154756013871,-0.173922839130987,0.0770857471000805,-0.00849506971507467,-0.180828290768708,0.0529351992294166,0.145688338765894,0.113042515328856,-0.0605007279588032,0.0995418219782668,0.194150018777964,-0.128975567668379,-0.0120670086343653,-0.0661482581920067,0.166961990578644,-0.172464230730485,0.138810717800713,0.01188021937388,-0.015024899067293,-0.109375664271292,-0.0895366529641455,-0.0722453651997598,0.091610480303699,0.172843991045876,-0.147309174288024,0.189477398169248,-0.0718023107482957,-0.0409599483883347,-0.10330950424529,-0.150437755998403,-0.17477049280923,0.0443940047565963,0.0803767159293775,-0.180743413755058,0.0925120716533894,0.126025827814115,-0.171123773011001,-0.188993607700678,0.124896947544818,-0.0976294686904358,0.106104510403638,-0.079628314636152,0.0673430072973374,0.157157840750824,-0.158982875272532,0.175147666988427,-0.121332463323665,-0.0761452461790277,-0.00177927697897891,0.134253323387094,-0.173127863186149,0.00034357542613333,-0.105591182812698,0.0855565354222072,-0.169656720110768,0.149270357589536,-0.11328400455446,0.174316588934853,0.128119738803814,-0.14934862716939,0.12104472827136,0.181087011637363,0.00680318367206856,0.159483165965853,0.0675393808698586,-0.0482142082784426,0.080912423124295,0.0465609840027091,-0.12723134055384,0.197112078838659,0.0357280554228709,-0.0422042127350679,0.198665405129058,-0.0817503536523502,0.197884065865503,0.0343918282853617,0.192771804335199,-0.0283395515972654,0.213930152365914,-0.147119394290386,0.138280539179197,-0.136524362824969,-0.147605441932925,0.104446001919363,-0.115746574707223,0.12078018926787,-0.0220457896606492,0.131741085087377,0.178134062674697,0.0319061791744378,-0.133729332701194,0.0651668603298437,-0.192390818694565,0.0151922096470606,-0.189429036996119,0.147874307998261,0.161609168599754,0.123701978816866,-0.0430492528825351,-0.166719260500415,0.077401492214551,0.163764708556956,0.136175447907199,0.168060100990499,0.0622855528357391,-0.14174859074507,0.0758870485608928,0.171382162438311,-0.0979565592038373,-0.165840277101015,0.00793035873779766,0.184321140661694,-0.152171134946877
"X8",0.0551998015140144,-0.114559678864425,0.164232302119586,0.168580961104449,-0.166722227455798,-0.0910748349200143,0.0339525502773318,-0.077463029645451,-0.164241585654507,-0.180017870782116,-0.160074142321518,-0.140182011788988,-0.186952753701341,0.1342493921044,-0.197421745621169,0.0976934446553629,0.187384249791619,0.180203234621044,-0.0257924745020914,-0.134341005953902,0.0946628202990974,0.149042936121198,0.109069056898931,0.163171582930177,0.158452569804952,-0.163772518192994,0.0784823001739923,-0.00908118965071936,-0.177539769444735,0.0543829046888762,0.143501327277324,0.11047218703167,-0.0568580994786521,0.0949344392004768,0.189139399376996,-0.128008602125249,-0.00992381396923463,-0.0645662590038711,0.160974026639901,-0.167265539464518,0.138433242779924,0.00595241812058872,-0.0187444349110845,-0.110307425848678,-0.0849220009559093,-0.0728678382749872,0.0814044855403041,0.169768201580514,-0.144199656022312,0.184762855446338,-0.0763239538406565,-0.037762701521075,-0.106999514500135,-0.14865172531773,-0.172561683717607,0.0476499160080797,0.0797645132473928,-0.176586830795234,0.0889343534905638,0.117791998639298,-0.168368528191686,-0.185245907994003,0.124331114893087,-0.0956050549448706,0.103156291822418,-0.0794351510131683,0.0698432893477946,0.151860193212928,-0.158410140289516,0.172487237537003,-0.121962564428559,-0.0775236233755689,-0.00378967162396593,0.12511452944107,-0.170319139705323,0.00318276154955326,-0.105915518169247,0.0891940677857569,-0.168093682158296,0.148177061917174,-0.108675459085549,0.171625934916192,0.128938892178872,-0.145144574465435,0.119823012077721,0.175777874520734,0.00335627701082517,0.15585334641531,0.0591284431445976,-0.0429128247176249,0.0758830980769635,0.0445951252175846,-0.123943676304554,0.189836073476529,0.0374396109624641,-0.0451339880499774,0.189105876284209,-0.0799018736612345,0.192336252680569,0.0305578713596764,0.187320573360647,-0.0278866208133063,0.203921098669993,-0.144711812830047,0.137589602964608,-0.13632884526987,-0.146975694210403,0.104859921114809,-0.11525701623263,0.115555681229906,-0.0233383989695325,0.126896016526033,0.171741438814991,0.0322107161141522,-0.129099461511228,0.0642933085503441,-0.187861097099292,0.0136861826203476,-0.185536805265964,0.144702572782447,0.160334950691097,0.122144533589508,-0.0441299210461304,-0.165189238895059,0.0737225483315502,0.160532444711113,0.133913474163512,0.159652671796783,0.057219266948103,-0.140342880416311,0.0766613984283067,0.168117147474097,-0.097838567239158,-0.157955467270123,0.00775343199724722,0.180465102606591,-0.151610281467
"X9",0.0551015347138456,-0.111949915640538,0.159321245611479,0.165483966154026,-0.164675838312716,-0.092650971741776,0.031271604595722,-0.0814034645922492,-0.159893491251234,-0.176221373834138,-0.157269555648755,-0.140414239453366,-0.181025190418813,0.130337926968215,-0.18984030930094,0.0944359479753655,0.182419610619097,0.175148398746199,-0.0238836338820747,-0.134413700356081,0.0949221234363657,0.147905206169992,0.10761084330646,0.161690133972848,0.155252956735086,-0.153189123723478,0.0794007092948403,-0.00978623128203133,-0.174020396238681,0.0559395936375791,0.14123335572114,0.107634842020985,-0.0529447795514321,0.0900929923088496,0.183930786528121,-0.126937339183268,-0.00756557115201678,-0.0627098961323083,0.154960035047138,-0.161943606242555,0.137740963458862,-6.45917343450686e-05,-0.0225132648672265,-0.111167426590827,-0.0799701744135356,-0.0735065227774993,0.0708713156245702,0.16654561239706,-0.140743018990479,0.179852985210205,-0.0808038586066708,-0.0347209478359051,-0.110487073480618,-0.146585732846499,-0.170073851551525,0.0509770185728241,0.079266723613453,-0.172073932196162,0.0851668253720953,0.109613343471444,-0.165419061958876,-0.18117313273812,0.123692107761119,-0.0935905496341883,0.10027685332612,-0.0788979960805222,0.0722823207101587,0.146329899223809,-0.157612020597771,0.169538729093096,-0.122468073631167,-0.0789065822422733,-0.00593395018095236,0.115742824362079,-0.167147619559268,0.00623665835537242,-0.105882347326463,0.0927292890573415,-0.166166430239887,0.146940367835283,-0.103718044923948,0.168731906955878,0.129495635494634,-0.140680730037178,0.118313367406989,0.170216992843317,-0.000188633002119241,0.152017263588835,0.0505328645699494,-0.0373392859536133,0.0706661607672182,0.0425126875490566,-0.120565899947215,0.182439404391414,0.0393167895166174,-0.048138962783544,0.179508448170024,-0.0779569592334848,0.186648478537484,0.0265585630376227,0.181679374800102,-0.0271637164262559,0.193659182170701,-0.142065833452276,0.136782218241741,-0.135976883748244,-0.146166705847279,0.105228013873407,-0.114692816721689,0.110112531802365,-0.0247624674871265,0.12176971997986,0.165119425241328,0.0326735260896558,-0.124088393062114,0.0635650213392513,-0.18305941363609,0.0119948331479396,-0.181317890263807,0.141268812844596,0.158811048412252,0.120552525262648,-0.0452680666158328,-0.163411570785433,0.069825669566586,0.15710009258371,0.131600889302357,0.150930748647124,0.0519770110566681,-0.138815723225866,0.0774896651022048,0.164711666730079,-0.0977018488391315,-0.149582349102718,0.00773493306236125,0.17643208431172,-0.15086439558476
