"","Step0","Step1","Step2","Step3","Step4","Step5","Step6","Step7","Step8","Step9","Step10","Step11","Step12","Step13","Step14","Step15","Step16","Step17","Step18","Step19","Step20","Step21","Step22","Step23","Step24","Step25","Step26","Step27","Step28","Step29","Step30","Step31","Step32","Step33","Step34","Step35","Step36","Step37","Step38","Step39","Step40","Step41","Step42","Step43","Step44","Step45","Step46","Step47","Step48","Step49","Step50","Step51","Step52","Step53","Step54","Step55","Step56","Step57","Step58","Step59","Step60","Step61","Step62","Step63","Step64","Step65","Step66","Step67","Step68","Step69","Step70","Step71","Step72","Step73","Step74","Step75","Step76","Step77","Step78","Step79","Step80","Step81","Step82","Step83","Step84","Step85","Step86","Step87","Step88","Step89","Step90","Step91","Step92","Step93","Step94","Step95","Step96","Step97","Step98","Step99"
"MElightpink2",-0.11046653360399,-0.108755557210447,-0.106999310158879,-0.105325139048894,-0.103669586897408,-0.101922625463515,-0.100065819083521,-0.0981213079175532,-0.0960866955495296,-0.0940620415332535,-0.0920387526538453,-0.0899912597824899,-0.0880298087495036,-0.0860860418501864,-0.0842013318749649,-0.0822790518700866,-0.0803013691396516,-0.0782848381751884,-0.0761875108462144,-0.0740287827836614,-0.0719120083261872,-0.0698066379097576,-0.0677683140548558,-0.0658039697751663,-0.0639100977189609,-0.0621115660867993,-0.0604031371353008,-0.0589243384528447,-0.0576708696190374,-0.0566782591974396,-0.0558414046587753,-0.0553202170325041,-0.055069875925507,-0.0549206439107757,-0.0548113715788663,-0.0548926430378974,-0.0552286107489875,-0.0556915969259171,-0.0562484225645186,-0.0568115205232971,-0.0572085180151799,-0.0575991933567569,-0.0578207335974014,-0.0579843859919414,-0.0580754634940505,-0.057937383758523,-0.0577153750279653,-0.0575331866750502,-0.0571098002917804,-0.0563282665559213,-0.0553110351425365,-0.0541544845039303,-0.0526259713082134,-0.051155219860468,-0.0493876566641771,-0.0473056106469795,-0.0449422315406698,-0.0422046542432755,-0.0390985800780163,-0.0356617345431164,-0.0320224396909879,-0.0280788302997214,-0.0237597013111523,-0.0190947391572415,-0.0140978318169861,-0.00879696394387763,-0.00319835827023903,0.00282083089342516,0.00939851829969429,0.0165092697750031,0.0239211073939834,0.0317208903034973,0.0397474102804734,0.048193555985165,0.0569871075847356,0.0660709317687036,0.0754585785154635,0.0850335058576421,0.0945983729677802,0.103989516681983,0.113253090494508,0.12238932832814,0.131213860546418,0.139721836148612,0.147903930852068,0.155700538363977,0.163023925496561,0.169888891720591,0.176152609214626,0.181965875283161,0.187316743584493,0.192347433074729,0.197056943249418,0.201472906268358,0.205683784907548,0.209588275432609,0.213292161966086,0.216834152524459,0.220219502501477,0.223461832896948
"MEpink4",-0.0923549525991356,-0.0910230492454158,-0.0896329073443709,-0.0883001942474981,-0.0869841917202887,-0.0855148061253024,-0.0839112370728517,-0.0821621968314259,-0.0803044045396047,-0.078349691992273,-0.0762993556148385,-0.0742193582251658,-0.0723091107049012,-0.0703881483849695,-0.0685344704915094,-0.0665176391494676,-0.0643626602709197,-0.0620354969949385,-0.0595702868339892,-0.0570320212219546,-0.0545206987115974,-0.0520249655424728,-0.0496181221310957,-0.0473038543646027,-0.0451284238994533,-0.0433266755796742,-0.041845994484172,-0.0408456400194724,-0.0402576464332057,-0.0400875285673509,-0.0401423021776413,-0.0406141402355334,-0.0414608215524876,-0.0425310777319031,-0.0436618182666888,-0.0449585397908723,-0.0464687282284435,-0.0482550686689187,-0.0503258860573957,-0.0525185546439062,-0.0545807871462666,-0.0568454772392319,-0.0589570304478097,-0.0609660044301799,-0.0630366990982705,-0.0648523945380172,-0.0667104786198503,-0.0685385044832966,-0.0698993021011722,-0.0707894314759362,-0.0714583907871692,-0.0719204455893573,-0.071933069333298,-0.0718869748420305,-0.0713262281660908,-0.0702884655422322,-0.0688122464953666,-0.0669274077913522,-0.0645416340794594,-0.0616330071229557,-0.0585441566810919,-0.055084178749309,-0.0511815456208539,-0.04679880711414,-0.0418793512076425,-0.03644489604149,-0.0306064303262565,-0.0240366119689854,-0.0167702421597294,-0.00880550559298174,-0.000460370405158803,0.00840631486451886,0.0175660527174763,0.027104737321544,0.0370653059672377,0.0474018054615529,0.0581718728804673,0.0694130897096031,0.0808413178883928,0.0922191078339293,0.103489731561424,0.114651265995566,0.125527378107355,0.136102187414083,0.146297986540489,0.156131790734904,0.165509468689747,0.174362282313215,0.182393897364337,0.189833380064595,0.19669699952946,0.203104941908347,0.208939938035322,0.214305270646166,0.219334101597633,0.223802016155225,0.227890167553181,0.231694577375963,0.235281601463765,0.238680154199191
"MEpalevioletred1",-0.145897546015157,-0.143596722010852,-0.141215657027715,-0.138893896957022,-0.136521431011453,-0.133883023851299,-0.130997247495379,-0.127872308542732,-0.124568081648324,-0.12117328867771,-0.117700794682863,-0.114133353016995,-0.110660871115764,-0.10708181945895,-0.103486643131883,-0.0997554279135029,-0.0959033242185831,-0.0919053036703678,-0.0876382634250694,-0.0831014686266089,-0.0785442978389308,-0.0739717810531564,-0.0693333460200332,-0.0646726248984827,-0.060069306342478,-0.055617341483159,-0.0513246928313941,-0.0474695191133104,-0.0440500125313064,-0.0410130782416206,-0.0381497105526427,-0.0357553864030933,-0.0337903783340484,-0.0321485417859402,-0.0308189979675502,-0.0297497534685197,-0.0291358250861517,-0.0288584536052786,-0.0287637729125476,-0.0288256696840078,-0.0288910745116666,-0.0292861503361908,-0.0296479632420335,-0.0299468757061174,-0.0303900582267677,-0.0309123155017009,-0.0316132306562746,-0.0324225408617918,-0.0328340062150014,-0.0329452656415807,-0.0329157662228388,-0.0328803979677393,-0.0325430290451188,-0.0324257301998664,-0.0320279674027192,-0.0314790893353769,-0.0306995930891271,-0.0297325010640596,-0.0283976157254392,-0.0267025969292301,-0.0248479209849693,-0.0226876208175006,-0.0200669496608697,-0.017089416233151,-0.0137479086363925,-0.00992182566011405,-0.0055952230638341,-0.000647746738443558,0.0048306781876908,0.0109230126747822,0.0174085326832066,0.0242482389639547,0.0312695859690345,0.0386839110723569,0.0464545141469375,0.0545175481362454,0.063106787306353,0.0722214908553293,0.0816350692551609,0.091096513153458,0.100563830028814,0.110043219950172,0.119381707955627,0.128611566197154,0.137663562073815,0.146432787598753,0.154783675923874,0.162673715674672,0.169861910021907,0.176501743980127,0.182657968867857,0.188507587088388,0.19394365401112,0.199018293438068,0.203856999976193,0.208290612857562,0.212422854378544,0.216304419921109,0.219984980362894,0.223446369616636
"MEpowderblue",-0.159727786991465,-0.158218244433629,-0.156736840284009,-0.155289876600748,-0.153779893160353,-0.152032715586632,-0.150079736903568,-0.147860554619868,-0.145440844208911,-0.142781534875855,-0.139952965576254,-0.136962605027937,-0.133876890007238,-0.130623750376243,-0.127321163072963,-0.123796309837838,-0.120032891989468,-0.115926972115126,-0.11153181216421,-0.106739411740445,-0.10168870135308,-0.0964006872040563,-0.0908399006511659,-0.0851337889066709,-0.0793300380203021,-0.0736486509193286,-0.0680286044254512,-0.0625947125382513,-0.0573454439770976,-0.0523424356819469,-0.0474773132328976,-0.0429340855804154,-0.0387505425247252,-0.0348252360290834,-0.0310258207205916,-0.0274335046541784,-0.0241907485506002,-0.0212769982470481,-0.0186913561187824,-0.01632254730103,-0.0140277726197549,-0.0121279408418782,-0.0104285211220071,-0.00902108554515371,-0.00799050249751138,-0.00711316195624741,-0.00651656336219368,-0.0061461626422374,-0.00564929797943263,-0.00507718576853476,-0.00452777712016168,-0.00397515662884776,-0.00328218878335402,-0.00270212052892718,-0.00187332994198071,-0.000878450360111019,0.00028974883984738,0.00148551498968068,0.0028682086830987,0.00458925711262732,0.00633407534099399,0.00820538922982266,0.0103189714910881,0.0126632817796446,0.0152577259262775,0.0181729285591386,0.0213791753416265,0.025054018550511,0.0291025137953803,0.033627164433726,0.0384241850487628,0.0434592659320845,0.0487201002108537,0.0541163887183364,0.0597636749764167,0.0656619266497343,0.0718857873778537,0.0785954558111313,0.0856836120890516,0.0928207861305361,0.0999317559086244,0.107126609839648,0.114251887474152,0.121270081861086,0.12810318275589,0.134733792354065,0.141197976346342,0.147401519673655,0.153038864391961,0.158302132560095,0.163228212725338,0.167893254834336,0.172137176945172,0.176116936905063,0.179942106063317,0.183416258889207,0.186623506246022,0.189627118042498,0.192434853056683,0.195074750016418
"MEpink",-0.0250305152716069,-0.0272502048367083,-0.0295054000673734,-0.0318894665692931,-0.0343163595208991,-0.0368673007485038,-0.0395743727385123,-0.0424168297619877,-0.0453613647436846,-0.0483814779848176,-0.0513880862402184,-0.0544436448747806,-0.0574690753609285,-0.0605722359453208,-0.0637961695509713,-0.0670145935238738,-0.0702338199676774,-0.0734312267382862,-0.0767172008277758,-0.0801174083531507,-0.0835619912843108,-0.087040335866804,-0.0904596418622398,-0.0938423079857085,-0.0972685934924842,-0.10066580288886,-0.104051657316153,-0.107218268495547,-0.110213030732234,-0.112843496429119,-0.11504988748789,-0.116646450093461,-0.117631772370812,-0.118200050587493,-0.118322711462288,-0.118035260303469,-0.11733549882255,-0.116392738575951,-0.115016217651379,-0.113257600836364,-0.111035674884992,-0.108307945103218,-0.105110578647612,-0.101483374944703,-0.0974578434042625,-0.0930639287155598,-0.0883614905563403,-0.0831226542475063,-0.0776684568425957,-0.072020257925209,-0.0660916057552166,-0.0599038862857561,-0.0534988038163405,-0.0468146705672297,-0.0400426634057189,-0.0330402114277717,-0.0260500328536827,-0.0190061321266626,-0.0118884985693668,-0.00462883549989599,0.00260783819804111,0.00980619147572554,0.0169078934290184,0.0240053370312159,0.031163780381568,0.0383793279528913,0.0454098058052697,0.0524028641953905,0.0591855773452593,0.0657067615871419,0.0719716696628325,0.0782034850528139,0.0843211666776652,0.090229467621079,0.0959554388732777,0.10157397197978,0.107145738475467,0.11262658242733,0.117832927528433,0.122853318148324,0.127686479069058,0.132282735408708,0.136643764502185,0.140637315842262,0.144267804973791,0.147621005972889,0.150807986218531,0.153792157151826,0.156518928062227,0.159010332609005,0.161283137531711,0.163312263735797,0.165151121991345,0.166841121312045,0.168450575920222,0.169953803658591,0.171464911754078,0.172992391195045,0.174471521954318,0.175949111038963
"MEmagenta",-0.0682374258312445,-0.0693459087818423,-0.070409868501694,-0.0715248379008276,-0.0726691914435279,-0.0738801283351791,-0.0751702593238386,-0.0765288518621449,-0.0779141730683597,-0.0793040990263457,-0.0806240551717431,-0.0819466212385285,-0.0832522650696363,-0.0845805595966725,-0.0859556896089329,-0.0872761493825054,-0.0885296990301105,-0.0896980560764718,-0.0909167905158769,-0.0922236061012507,-0.0935393955038354,-0.0948565819997478,-0.0961258591067972,-0.0973705200742717,-0.0986465453848168,-0.0999413704899561,-0.101241889863752,-0.102452473943654,-0.103539486318119,-0.104371482011252,-0.104958193194619,-0.105096101026415,-0.104796008298123,-0.104176460680008,-0.103237816956396,-0.102024570264203,-0.100487143527852,-0.0987747486936084,-0.0967568848712766,-0.0944661082901098,-0.0918138250270111,-0.088754435733754,-0.0853457908365437,-0.0816994980443984,-0.0777989712736195,-0.073551979036813,-0.069057841745374,-0.0641987258349699,-0.0592298397258916,-0.0540931974112684,-0.0487176850959862,-0.043108098738706,-0.0373104975293731,-0.0312772230660837,-0.025154272233614,-0.0187707167694772,-0.0123456732717648,-0.0058358206872544,0.000744536189641554,0.00747131925034242,0.0141827149925499,0.0208379777091314,0.0274002340730918,0.0339855239195279,0.0406405717511683,0.0473112174192385,0.0538098224253111,0.0602643427761995,0.0665586009736118,0.0726094197218047,0.0784104681532242,0.0841957813006737,0.0898780484335685,0.0953761276876009,0.100706464718405,0.105937438798337,0.111099818515244,0.116131887015363,0.120876436125934,0.125390159275108,0.129710270974056,0.13379084898329,0.137635561240019,0.141110615340598,0.144248044466172,0.147139469300291,0.149873996677218,0.152438074429628,0.154775143300567,0.156897774189009,0.158816616399916,0.160527464761826,0.162086182918746,0.163520418490883,0.164885619479883,0.166147624975735,0.167426165985158,0.168742370601903,0.170019853386848,0.171300941300628
"MEgreenyellow",-0.0689572017825334,-0.0694130808307142,-0.0698267783959595,-0.0703008181894299,-0.0708303453209372,-0.0713976828119364,-0.0719957389886168,-0.0726093240029705,-0.0732349329825547,-0.0738768350595994,-0.0744569123422578,-0.075023415603808,-0.0756192389745328,-0.0762380669847946,-0.0769165534972718,-0.0775361345582806,-0.0781066359278333,-0.0786287087766135,-0.0791825545991478,-0.0797881533282935,-0.0804250706310769,-0.0811011888725072,-0.0817724334237432,-0.0824545209884196,-0.0832012076831543,-0.0840387948051725,-0.0849635659699697,-0.0859561754743905,-0.0870021644803378,-0.0879675970671234,-0.0887769736363063,-0.0893687213281556,-0.0897388696198638,-0.0899436844339496,-0.0899716203997496,-0.089819043855899,-0.0894880260675886,-0.0890922504981123,-0.0885123770642402,-0.087746228447355,-0.0866446702439801,-0.0853134121726161,-0.0836631351345021,-0.081744896472573,-0.0796084802299808,-0.0771761741667614,-0.0745759563161218,-0.0716754220748681,-0.0685256974712954,-0.0651013712737157,-0.0614339032939819,-0.0575350183518512,-0.0533584884552287,-0.0490119701697306,-0.0444426115262698,-0.0395867923192628,-0.0345963330049729,-0.0294470165208595,-0.0240893972187995,-0.0184720857226068,-0.012780779040078,-0.00698472470704116,-0.0010762892177213,0.00501439164577209,0.0113397545466999,0.0179022050819179,0.0245157390374353,0.0313558445737117,0.0383080672732054,0.0453156277757754,0.052286022465804,0.0594111635935597,0.0665487550886383,0.0736989674163163,0.0808696627375654,0.0881071636552568,0.0954845568904012,0.1029425106282,0.110284020287231,0.117475337765475,0.124503246786688,0.131313421379309,0.137838410718431,0.143980655826419,0.149759324490634,0.15521723360259,0.16038181306165,0.16520809159737,0.169577166479876,0.17355498659277,0.177159356157048,0.180446298816119,0.183417062807939,0.186121699264765,0.188634193403172,0.190853748236708,0.192933447252861,0.19492226472504,0.196803961675134,0.198638079472528
"MEyellow",-0.0990956796604372,-0.0989919732741521,-0.0988551278613917,-0.0987656209208576,-0.0987031882455661,-0.0986308198758037,-0.0985465360772975,-0.0984500462525343,-0.0983314598661348,-0.0981940527040664,-0.0979819822871555,-0.097722732549271,-0.0974552504584297,-0.097158529793923,-0.0968605164872078,-0.0964469659076178,-0.0959262150274653,-0.0952868004852257,-0.0945906797512191,-0.0938614729332042,-0.0930850286493738,-0.0922729414287167,-0.0914123503192572,-0.0905200114108535,-0.0896378374904063,-0.0887997248300607,-0.0880016400651078,-0.0872530142039792,-0.0865187075556214,-0.0857161248230009,-0.0848258929502369,-0.0837893593822339,-0.0826211956971796,-0.0813570741681952,-0.0799749498937103,-0.0785284706949914,-0.0770126177954043,-0.0755061237443278,-0.0739000103678801,-0.0721835924786978,-0.070217155133704,-0.0680705999886304,-0.065704933047065,-0.0632079301046319,-0.0605984061059063,-0.0577401283600992,-0.0547611085524889,-0.0516171360008132,-0.0483426267392394,-0.0448860490898517,-0.0412575882044437,-0.0374814050799203,-0.0335027305401689,-0.0294430594359847,-0.0252335686458762,-0.0207855556151838,-0.016197919192026,-0.0114443698358418,-0.00653996682632996,-0.0014548358229172,0.00364838414030902,0.00883396837838658,0.0141076480903836,0.0194945481092225,0.0250290177632045,0.0307102391229483,0.036387867235878,0.042225513509361,0.0481472887021204,0.0541403612818886,0.0601091881226319,0.0662600371324149,0.0724665516041345,0.0786918830022656,0.0849544696918503,0.0913127816710476,0.0978227999264722,0.10441343484563,0.110927026414245,0.117288013712801,0.123498725045248,0.129527288426795,0.135299065314531,0.140724874824718,0.145817314536166,0.15060323751361,0.1551153806131,0.159330707048946,0.16313560783934,0.166607530349437,0.169759494460764,0.17264011111656,0.175274843448698,0.177707931724997,0.179998285602244,0.182075973624472,0.184044915206915,0.185939394873633,0.187730367778541,0.189457318883409
"MElightyellow",-0.116854226240276,-0.117605325093837,-0.118326478657287,-0.119084185953953,-0.119805659244632,-0.120519413022332,-0.121244548032581,-0.121943713858835,-0.12257698929669,-0.123085045161272,-0.123421728111224,-0.12364742266418,-0.123717879843928,-0.123660899615713,-0.123518121176818,-0.123199855849348,-0.122691665479775,-0.121954116168194,-0.121117050963815,-0.120175806089385,-0.119081620712769,-0.117821787556612,-0.116350316907207,-0.114732183233829,-0.113016912074252,-0.11121055747264,-0.109314967053671,-0.107234138167973,-0.104957714206829,-0.102364897153199,-0.0995195134945302,-0.0962559224513105,-0.0926141231283574,-0.0887126387962174,-0.0845734630188654,-0.0802139124799501,-0.0756584752670329,-0.071032614930972,-0.0661983719919428,-0.0612089449104992,-0.0560281674297204,-0.0505872528117525,-0.0449677603382896,-0.0393222776091219,-0.0336576573634024,-0.0279115100493356,-0.0221258529437825,-0.0161971664192352,-0.010340716998641,-0.00455610540675598,0.00124783022261121,0.00706768418958796,0.0129061852399906,0.0187867883401485,0.024571654947137,0.0303844002102619,0.03603193462019,0.041549916587489,0.0469618244946605,0.0523486745998177,0.0575437176597019,0.0625562239827591,0.0673481625831847,0.0719773447130802,0.0765342555089147,0.0809714208067051,0.0851060370728524,0.0890650009302062,0.0926996719958587,0.0960454447734324,0.0990928969082619,0.10197380848583,0.104666710881676,0.107008024012269,0.109107482749337,0.111077265604812,0.112964582535488,0.114764399280467,0.116396383287054,0.117893910458348,0.119270991916124,0.120492661339054,0.121643002713822,0.122589001057203,0.123319304517266,0.123926711462573,0.124551471537205,0.125164022115366,0.125713978922354,0.126210187798108,0.126655613267447,0.127029411403185,0.127388294953213,0.127752216005366,0.128169835203298,0.128649198226416,0.129218429926586,0.129868568560163,0.1305084283738,0.131146705922093
"MEred",-0.137187229026225,-0.137285791174749,-0.137342654138605,-0.137398307429808,-0.13740879047612,-0.13737495294453,-0.137321720629432,-0.137212147343263,-0.137015644806841,-0.136661910168092,-0.136106587355328,-0.135416736284602,-0.134571926802525,-0.133559189115656,-0.132423771400564,-0.13107346585459,-0.129485327489621,-0.127634799688683,-0.125640877225021,-0.123504787405092,-0.121187966269972,-0.118679140065179,-0.115956688782602,-0.1130887995995,-0.110112268874765,-0.107065671971101,-0.10395553542937,-0.100723460974213,-0.0973364644915999,-0.0937154087394024,-0.0899153512990514,-0.085788835717887,-0.0813720467064124,-0.0767712391300353,-0.072008256299711,-0.067103494686826,-0.0620924174315889,-0.0570710372019977,-0.0519094012125503,-0.0466655734286105,-0.0413196813333457,-0.0358012496499664,-0.0301910083522781,-0.0246275899144348,-0.0191267102606288,-0.0135901430719154,-0.008074569514768,-0.00251436315617235,0.00294239845142591,0.00831470127524041,0.0136609342470453,0.018991688030298,0.0243047308718806,0.0296005049678124,0.0347926023571076,0.0399943085712257,0.0450455179552061,0.0499564527758699,0.0547477558822645,0.0594744768303294,0.0639834047605193,0.0682950447040878,0.0723932800465444,0.0763310666259215,0.0802063081666274,0.0839452169752839,0.0873840323758106,0.0906628249365255,0.0936329683427602,0.0963267843999872,0.0987337098969123,0.100991682734995,0.103070645614056,0.104809513456492,0.106320505815486,0.107723169200996,0.109071612813012,0.110353449050264,0.111520583043748,0.112578139635977,0.113540133215941,0.114372920095774,0.115169503525828,0.115811803862875,0.116294566013325,0.116696595473177,0.117134135170469,0.117587104572696,0.118006223615038,0.118389343926701,0.118736510046198,0.119042162383447,0.11936269568397,0.119706516329878,0.120113313684427,0.120604597120274,0.121186957216674,0.121842943162485,0.122494114572355,0.123138835841987
