"","Step0","Step1","Step2","Step3","Step4","Step5","Step6","Step7","Step8","Step9","Step10","Step11","Step12","Step13","Step14","Step15","Step16","Step17","Step18","Step19","Step20","Step21","Step22","Step23","Step24","Step25","Step26","Step27","Step28","Step29","Step30","Step31","Step32","Step33","Step34","Step35","Step36","Step37","Step38","Step39","Step40","Step41","Step42","Step43","Step44","Step45","Step46","Step47","Step48","Step49","Step50","Step51","Step52","Step53","Step54","Step55","Step56","Step57","Step58","Step59","Step60","Step61","Step62","Step63","Step64","Step65","Step66","Step67","Step68","Step69","Step70","Step71","Step72","Step73","Step74","Step75","Step76","Step77","Step78","Step79","Step80","Step81","Step82","Step83","Step84","Step85","Step86","Step87","Step88","Step89","Step90","Step91","Step92","Step93","Step94","Step95","Step96","Step97","Step98","Step99"
"MElightpink2",0.273898191154294,0.281444171356837,0.289332972281373,0.296988352574217,0.304688566431749,0.312954168671608,0.321897364651123,0.331437273435516,0.341609861394958,0.35192576283401,0.362426558783735,0.3732474505814,0.383796223305763,0.394425193674288,0.404896826437846,0.415743973073993,0.427078119352739,0.43881534767488,0.451214146090284,0.464177234713544,0.477084088277881,0.490110855722672,0.502900023634098,0.515387339016793,0.527574968245066,0.539281500603291,0.550518940214091,0.560336692753424,0.568723339326859,0.575406265608153,0.581068764991708,0.584608256507123,0.586311876673325,0.587328506791508,0.5880734241601,0.587519349777907,0.585231392165412,0.582085128262612,0.578311508922974,0.574506940248513,0.57183165836232,0.569204686776661,0.567717535594012,0.566620150236751,0.566009856260066,0.566935225257642,0.568424556246734,0.569648129057886,0.572496351177918,0.577771334308324,0.58467070099861,0.592560505361078,0.603060868921138,0.613241506588488,0.625574446884304,0.640234884516499,0.657045174180362,0.676732370582354,0.69933531468161,0.724653887223648,0.751790362023877,0.7815399503871,0.814485875457721,0.850434639726657,0.889282014628623,0.93077857217643,0.974805760265232,0.977778826670054,0.926058007051133,0.870496256479029,0.81324846580384,0.754053011099529,0.694591235125294,0.633965189005609,0.573322977106418,0.513681008104748,0.455568652683026,0.400253155119941,0.349174352497148,0.30319044710291,0.261902358559094,0.225102166695914,0.193164062090306,0.165605538150658,0.141959252261951,0.121892164188244,0.105102502207762,0.0910590853222503,0.0795821576970988,0.069995417936146,0.0620173721842108,0.0552080841812029,0.0494016998500169,0.0444247446428947,0.0400741079973815,0.0363637431698758,0.033114778360215,0.0302401273297665,0.0276927895372753,0.0254262367680597
"MEpink4",0.360772876734571,0.367770099284746,0.375161373271684,0.382331494846818,0.389492279580338,0.397581865898708,0.406523029669647,0.416408770714609,0.427060588686418,0.438435048575145,0.450548064471973,0.463024684713619,0.474648150122836,0.486494097546973,0.49807261192583,0.510832293915236,0.524649491083236,0.539779438952138,0.556037976319185,0.573020312745356,0.590057052334239,0.607212027700292,0.623960444719544,0.640247310738662,0.655714461282956,0.668636117420564,0.679328212251928,0.686588121697481,0.690868764187308,0.692109061126772,0.691709628227419,0.688272287585311,0.682120120729385,0.674373124280718,0.666225091958935,0.656928576586399,0.646167278298253,0.633531803890535,0.619014937040336,0.603801874816413,0.589646744280445,0.574277885224654,0.560118750719897,0.546804093977015,0.533243894977485,0.521492969089484,0.509605047013535,0.498047258886829,0.48953357005821,0.484006588665386,0.479874930220174,0.47703226176232,0.476954725144769,0.477237876171028,0.480689695074055,0.487113073634065,0.496328411761177,0.508226309743639,0.523494821279682,0.542417850661045,0.562874150737494,0.586214482137204,0.61305862282473,0.64382478051086,0.679086630540596,0.718857180634599,0.762433178283039,0.812363238681216,0.868467326985236,0.930711526294112,0.99637296998906,0.933845399622499,0.86228561673086,0.788938860695241,0.714276368161951,0.639554429279405,0.565364172986676,0.49256662098119,0.423966197503148,0.361482754180389,0.30553288678669,0.256020077469914,0.213344752145839,0.176951046810867,0.146386619608495,0.120849488261049,0.0998344135757609,0.0827375752431424,0.0693281548525561,0.0585300493062711,0.0498269033161936,0.0426941160739713,0.036959095903147,0.0322699507821851,0.0283407575169323,0.0251978633997267,0.0225873104519819,0.0203693879997409,0.018452178128954,0.0167812396612812
"MEpalevioletred1",0.147506611041659,0.154067082866316,0.161083750033479,0.168151860222031,0.175608504486264,0.184183038673715,0.193906563683064,0.204848538518284,0.216891691356937,0.229778614239717,0.24350570512417,0.258188367847567,0.273049789677466,0.288959102070051,0.305547398568892,0.323408210437091,0.342536239056785,0.363125878945538,0.385923282051038,0.411082662687584,0.437295011315089,0.464522271383672,0.493065016740854,0.522650533514143,0.552727940478807,0.582589213604542,0.612064601515893,0.639075620796867,0.663436652085167,0.685370958537076,0.706294018938436,0.723959880427698,0.738567592013247,0.750844787430886,0.760832627435306,0.768893698771485,0.773533329801656,0.775632131428485,0.776348927284783,0.775880306264691,0.775385213007904,0.772396535462728,0.769662397957848,0.76740570803751,0.764063403104623,0.76013030083064,0.754861330698401,0.748791480966732,0.74571131919759,0.744879134039387,0.745099751800675,0.745364288057879,0.7478891151485,0.748767590853975,0.751748904862826,0.75586884727702,0.761731575690196,0.769023969717318,0.779122741192636,0.791998911321443,0.80615207841194,0.822716344152378,0.842914778748668,0.865987068744666,0.892013358563497,0.921953545739012,0.955939935237095,0.994896741779077,0.96195555940299,0.914106717676628,0.863508556714795,0.810741942484077,0.757443215014028,0.702373346305748,0.646268230362402,0.590078569305207,0.532787860230519,0.475185056107398,0.419415308563817,0.367381998167393,0.319482763124405,0.275752346966213,0.236791662065091,0.202220959697915,0.171989035200685,0.14601103961317,0.124131938497735,0.105861913578361,0.0911112159987502,0.0789781862560853,0.0689190537744118,0.060346673193503,0.053180380907508,0.047137087891352,0.0419157244759615,0.0375635253263663,0.0338544757622732,0.0306561346598959,0.0278631844063062,0.0254366594097109
"MEpowderblue",0.112420755379208,0.115901664228098,0.119398208798841,0.122891479886227,0.12662015730119,0.131042081697285,0.136123362453238,0.142077488555883,0.148791817311373,0.156443103885355,0.164899827711164,0.174203828387243,0.184203322318135,0.195191670486402,0.206823343318283,0.219775439385332,0.234225603739441,0.250732452449718,0.269269353100026,0.290512732837447,0.31407189433039,0.340027269778113,0.368738745706792,0.399695694803106,0.432709122685582,0.466480861011876,0.501257255852844,0.536124186298386,0.570910297734105,0.605017689171566,0.639020517471663,0.671464704295551,0.701884860213775,0.730862580095492,0.759276300058463,0.78643951314301,0.811182303693386,0.833575023464538,0.853558706337177,0.871948446145169,0.889828762855437,0.904674049080236,0.917981324778843,0.929019538248657,0.937110835278832,0.944004072114938,0.94869391904664,0.951606521097488,0.955514550290836,0.96001572883665,0.964339467093357,0.968689523443504,0.974145631793995,0.978713747574436,0.985241741464481,0.993079187433972,0.997717207974152,0.988296737963547,0.977405704251921,0.963855577998571,0.95012880995545,0.935423164696107,0.918839967817114,0.900487348431492,0.880237822901678,0.857577070601245,0.832787408503498,0.804576151052031,0.773785302336674,0.739785184012433,0.704278594409766,0.667681854839387,0.630259456364727,0.592821204639255,0.55475408796122,0.51629641013464,0.477245171768546,0.436995597525349,0.396647479869674,0.358345139117193,0.322549367014517,0.288756279967968,0.257691009640145,0.229403909337591,0.204025319777709,0.18138543368741,0.161136726820557,0.143333307939822,0.128481448129363,0.115706060280405,0.104661486192922,0.0949789831785309,0.0867975518793206,0.0796440751511623,0.0732209661879133,0.0677551519615093,0.0630071809344341,0.0588096993677643,0.0550954144974495,0.0517809388907263
"MEpink",0.80475582977413,0.787832725388537,0.770739380801333,0.752787856425245,0.734648123902972,0.715737252789022,0.695855298986481,0.675198501618473,0.654051152343413,0.632641580833903,0.611624618965599,0.590583396408566,0.570078993301414,0.549401627184709,0.528312716594747,0.507672726388424,0.48745257048305,0.467801270441476,0.448064480844145,0.428141338069685,0.40848590224343,0.389185150938765,0.370754864383741,0.353056900788259,0.33567693621956,0.318989791590661,0.302900024347119,0.288341521057995,0.275007548727178,0.263642842695359,0.254359717789164,0.247783649614658,0.243784186355103,0.241497932491542,0.241006408872638,0.242159369052462,0.244982049592588,0.248820753951371,0.254499675309288,0.261883236424929,0.271418545397856,0.283440995814639,0.297979012211388,0.315055103616538,0.33473303759975,0.357082005862662,0.381999911187829,0.410962991469984,0.442439075298651,0.476419387427323,0.513548987842066,0.55382412965879,0.597054698592452,0.643712288504954,0.692436300165099,0.744169201479638,0.796971239475787,0.851120675180275,0.906547489033801,0.96354407626361,0.979456302488784,0.922860328057487,0.867397499958003,0.812602906561658,0.758238695877172,0.704607833957002,0.653705472029307,0.604600407008997,0.558596267948258,0.516009379694313,0.476717679234208,0.439292661526931,0.404226180074563,0.37197850726534,0.342272799176738,0.314621032818569,0.288669689490638,0.264567748239278,0.242973208738779,0.223335595124,0.205512868340945,0.189530294866554,0.175218169922409,0.162823366386742,0.152131430850316,0.142731799315632,0.134211366094435,0.12658952782911,0.11991933863821,0.1140649019425,0.108919667825601,0.104480457171837,0.100580872669093,0.0970985525272169,0.0938711152575096,0.0909337673024741,0.08805484979975,0.0852187657608786,0.0825422251330007,0.0799358929196481
"MEmagenta",0.499941349797323,0.492986482193473,0.486359283034272,0.479465572984205,0.472445140044893,0.465077348112762,0.457297423185955,0.449183038170947,0.440992484763076,0.432860074009702,0.425216788894782,0.417636816799524,0.410231302403018,0.402776750746855,0.395144207670113,0.387896751774368,0.381090876508755,0.374812977401792,0.368331896160429,0.361459234007806,0.354619931966227,0.347854535259246,0.341412214930889,0.335168360033526,0.328842855291998,0.322502579280726,0.316214004944672,0.310432018784748,0.305299163270441,0.301408161661721,0.298683918755777,0.298045935890935,0.299435358846292,0.302317289142337,0.306718051412256,0.312467868474485,0.31985381493123,0.328211566617595,0.338237561542037,0.349851625075267,0.363605739610534,0.379878393811131,0.398518718347118,0.419047158202154,0.441670372903891,0.467067694355776,0.494788955571459,0.525708258457388,0.558301639705021,0.592979934073834,0.630276432751664,0.670210381845471,0.712468770601884,0.757385806606669,0.803809842290371,0.852943904370517,0.902970924016935,0.954047349941307,0.994134200895564,0.941189513851406,0.888619648242164,0.836961001555333,0.786692343952478,0.737112633601807,0.688079920570351,0.640195215593573,0.594920998469229,0.551436840061311,0.5105714822203,0.472810445192996,0.438078829998263,0.404927905669247,0.373851456265512,0.3452083936438,0.318793355255643,0.294173203463509,0.271140035531083,0.249890156804357,0.230930459603888,0.213849568184506,0.198360602640172,0.184488017904606,0.172077108896051,0.161398677595267,0.152188165768809,0.144053969994356,0.136667260233027,0.130005802285263,0.124152930051843,0.119014463586388,0.114512009796333,0.110609928027116,0.107145563643011,0.104033187506103,0.101136750536922,0.0985158717668022,0.0959154051557008,0.0932951561083088,0.0908063928878468,0.0883636970510181
"MEgreenyellow",0.495419489523167,0.492566676459183,0.489985352497309,0.487036347705963,0.483753350455127,0.480249094642543,0.476569900864478,0.472811030317851,0.468995104727838,0.465097299946977,0.461590222166671,0.458179294723098,0.454606901237158,0.450912995556441,0.446882274374293,0.443219194243266,0.439861275852226,0.436801039249999,0.433567798339257,0.430048080355772,0.4263640275598,0.422473133138958,0.418630626576787,0.414746875163442,0.410519444481699,0.405807498770116,0.400642213994793,0.395141526222002,0.389393946335464,0.384133713517838,0.379756927961444,0.376576179047233,0.374594819170099,0.373501202283121,0.373352188031033,0.374166493664838,0.375936860799567,0.378060239610723,0.38118442768683,0.385336058545617,0.39135267540186,0.398698342703471,0.407916870767568,0.418787861027439,0.431090625838465,0.44534528781225,0.46087229935732,0.478538571759836,0.498127751388285,0.519891917504195,0.543725357241283,0.569635821403395,0.598018433346222,0.62820925407537,0.660621233609663,0.695764544411546,0.732564602622451,0.771180560703349,0.811958771018563,0.855257834510956,0.899568807063321,0.945013558279831,0.991520579657517,0.960509850012599,0.910842877322923,0.859676917094641,0.808693740944261,0.756794881804362,0.705130981055107,0.654377603045365,0.605407358850146,0.557095452081417,0.510634166577292,0.466175581157241,0.423803197343577,0.383376832438758,0.344657741881294,0.308111170765336,0.274696586305616,0.244416161178833,0.217132912316849,0.192823480263568,0.171439818125821,0.15295743228805,0.136971124991126,0.123068905347907,0.110938048198824,0.100461909417619,0.091662803426053,0.0841927008034315,0.0778505495584216,0.0724063800969815,0.0677539265253738,0.063731655773038,0.060171231429088,0.0571625859118945,0.0544564126583528,0.0519678123471674,0.0497002339885308,0.0475692425324763
"MEyellow",0.326634659905067,0.327143694385074,0.327816164850092,0.328256487271772,0.328563843461162,0.328920342934565,0.329335850987534,0.329811944055751,0.330397665158563,0.331077174210267,0.332127655099814,0.333414713618852,0.334745958728554,0.336226662635597,0.337717987030477,0.339794406131988,0.342420510170391,0.345662451627251,0.349213723800818,0.352958154004408,0.356972521410542,0.361201335480922,0.365716331529665,0.370434338009301,0.37513500144168,0.379634336448657,0.383949012576526,0.388023040623776,0.392044231993941,0.39646766319907,0.401408709374819,0.407207390651321,0.413801041618097,0.421005936420048,0.428965731206497,0.43738766685724,0.446313215787083,0.455283918320729,0.464956905644631,0.475417386673697,0.48755612920516,0.500992472166929,0.516021084298259,0.532130108880436,0.549228807421865,0.568258408951529,0.588416215167254,0.610036047474055,0.63291513056008,0.657446919601719,0.683594979857815,0.711209747787845,0.740713905036133,0.771210465368041,0.803203855986812,0.837365510891355,0.87291794847508,0.910023781337087,0.948509910953624,0.988538419640527,0.971262214499333,0.930488117129677,0.889205411690648,0.847340532514791,0.804767278325071,0.761651413379267,0.719278756739465,0.676581515158005,0.634291244750698,0.592657148170743,0.552463812727697,0.512474064475411,0.473684228195303,0.436431551368674,0.400692830849914,0.366240936480469,0.33291754901162,0.301212825388978,0.27189073408408,0.245174414031271,0.220894578535833,0.198999811647907,0.179543880876198,0.162559101640113,0.147731783752226,0.134746849209547,0.123318005790602,0.11332843083736,0.104861222362998,0.0975741454000811,0.0913093056564366,0.0858663081841071,0.0811169518180964,0.0769197906417316,0.0731298373546376,0.0698232868634359,0.0668023404756443,0.0639965262831587,0.0614328561044875,0.0590407319413761
"MElightyellow",0.246936538432719,0.243890950346761,0.240991324049036,0.237970566506627,0.235118825208363,0.232321121629923,0.229502714070068,0.226808006125298,0.224386495871098,0.222456995202558,0.221184797947136,0.220334863568706,0.220070004661027,0.220284184320016,0.220821512395405,0.222022590853125,0.223949951534045,0.226768082258665,0.229996517939636,0.233665041631795,0.237980748757957,0.243018071775389,0.248994453508073,0.255682438384157,0.262904992625387,0.270659663903387,0.278961854546319,0.288269750369081,0.298686136190208,0.310847982166701,0.324559575259253,0.340756342342766,0.359420932536392,0.380103716604858,0.402816363975852,0.42758339434603,0.454372194782804,0.482502433574341,0.512867475260031,0.545204504864955,0.579802828441223,0.617192903557918,0.656862656926916,0.697698378959386,0.739557654827411,0.782809499620268,0.827036833349572,0.872923804989537,0.918669520467426,0.964116502713789,0.990169176364265,0.944361506478399,0.89858858325449,0.852819409620766,0.80826576509419,0.76410604647874,0.721911826277187,0.681473936728095,0.642669163852816,0.604974601156012,0.569577369524227,0.536375368936056,0.505557619753984,0.47668283391866,0.449150925550029,0.423218323895581,0.399849917575707,0.37820670363284,0.358975361998878,0.34181811935667,0.326648312202381,0.312709952556241,0.300035312485748,0.28929347249443,0.27988082613414,0.271237937659956,0.263127496678196,0.255548097023125,0.248805834227939,0.242727719088017,0.237229888740553,0.232425558869646,0.227964264082597,0.22434074196349,0.221571273279964,0.219286297327765,0.216953471912142,0.214683357178777,0.212659623754911,0.210845345670632,0.209226158487115,0.207874206812928,0.20658207855264,0.205277686544159,0.203788101388923,0.202087852334905,0.200082100547256,0.197808818836937,0.19558970327713,0.193394032999767
"MEred",0.173491818990031,0.173180075123649,0.173000409941388,0.172824699751411,0.17279161708253,0.172898419206296,0.173066535846902,0.173412965458599,0.17403551032018,0.175160326118631,0.176936917910568,0.179162257961851,0.181915294356045,0.185256136000144,0.189054555380521,0.193645069142624,0.199146601583657,0.205697892851802,0.212927839214324,0.220871739507792,0.229721766921917,0.239582074834762,0.250610182289771,0.262599537017763,0.275449331776062,0.289032245126984,0.303349340191915,0.318711269861182,0.335338230486095,0.353711179148359,0.373652372108036,0.39606569979405,0.42092017807201,0.447743848768102,0.476493058132309,0.507108572038926,0.539406823859975,0.572757452158545,0.608011670503074,0.644769893283618,0.683144245192224,0.723620092428565,0.765564026174162,0.807837699887612,0.850187132413445,0.89324522066587,0.936450558869543,0.980192516608541,0.976821434677433,0.934564762383969,0.892692438806062,0.851232518397563,0.810309286995012,0.770020869480803,0.731105150273001,0.692789055596159,0.656306855761314,0.621594255879026,0.588507294903369,0.556674579589265,0.52710053796273,0.499578577512586,0.474132696774262,0.450359312167094,0.427627343948688,0.406332348121469,0.387308172623171,0.369676757984733,0.354136636692874,0.340399340234988,0.328413562360655,0.317417666183092,0.307506183461166,0.299372738972955,0.292420977198353,0.286063917868999,0.280039903293451,0.274392689532231,0.269317868408077,0.26477460522795,0.260687299655919,0.257183844977975,0.253862928738966,0.251206703163835,0.249222857752988,0.247579021908162,0.245798500123148,0.243964522874875,0.242276046648345,0.24073969185506,0.239353364259393,0.238137409476458,0.236866874702609,0.23550928571161,0.233910044715973,0.231988785620939,0.229725674738948,0.227195017666913,0.224702352320612,0.222253395138657
"MEblue",0.430281653585652,0.42222571653768,0.414437677450507,0.40645943674562,0.398564565210787,0.390476880958398,0.382108426395631,0.373564667981786,0.365077838571188,0.356802878909869,0.349194796102402,0.341922397718026,0.335244291153974,0.328888509858932,0.322682926030234,0.317085544771678,0.312093690149357,0.307726171194774,0.303483545966841,0.299233783136165,0.2953109993893,0.291755632009246,0.288711827644908,0.286032271667366,0.283554204879177,0.281407270729116,0.279487952724402,0.278343870441369,0.278004764821175,0.279076929415387,0.281605300326167,0.286421828779613,0.293496081933768,0.302256223446585,0.312684098777557,0.324800877510022,0.338680364100299,0.353879065261233,0.37120756116618,0.390445683323008,0.411986738460811,0.436566804322765,0.463967319736788,0.493634657924683,0.525592365329239,0.5601685107934,0.596994862499099,0.637032353248183,0.67841924260677,0.721139459758388,0.765754138098503,0.812088507636022,0.860105304676947,0.909770676108048,0.959617239214304,0.989310475162231,0.939154893131904,0.889419167054093,0.840283526056436,0.791533281768577,0.744402516730971,0.698921270687273,0.655643988186962,0.614074527978549,0.573743150722899,0.534980200013527,0.499141809355448,0.465295850829097,0.434159207896081,0.405617109212337,0.379674041477027,0.355241115137284,0.332555471578651,0.312000461538733,0.29317033998467,0.275500420894388,0.258819540094116,0.243277140475406,0.229314488861927,0.216632167294428,0.205064571973113,0.194745956973346,0.185459081946259,0.177474737414361,0.170686216196611,0.164774059143538,0.159332753686538,0.154419129880288,0.150134401023166,0.146378068123653,0.143136733362552,0.14038508305888,0.137913548204874,0.135673016175305,0.133528303045291,0.131459301043177,0.129300613032118,0.127067437140492,0.124925373439281,0.12280595739749
