"","x"
"1","navajowhite2"
"2","darkgreen"
"3","orangered4"
"4","thistle4"
"5","darkolivegreen2"
"6","tan"
"7","lightyellow"
"8","plum3"
"9","mediumorchid"
"10","skyblue3"
"11","blue"
"12","brown2"
"13","grey"
"14","lightgreen"
"15","darkred"
"16","darkgrey"
"17","lavenderblush3"
"18","deeppink"
"19","lightyellow"
"20","maroon"
"21","blue"
"22","violet"
"23","lightslateblue"
"24","green"
"25","darkolivegreen"
"26","thistle4"
"27","skyblue1"
"28","darkturquoise"
"29","lavenderblush1"
"30","pink"
"31","midnightblue"
"32","thistle2"
"33","lavenderblush2"
"34","firebrick4"
"35","darkorange2"
"36","blue"
"37","blue2"
"38","plum4"
"39","mediumorchid"
"40","lightgreen"
"41","sienna4"
"42","cyan"
"43","lightpink4"
"44","royalblue"
"45","thistle4"
"46","mediumpurple4"
"47","turquoise"
"48","yellow"
"49","salmon"
"50","royalblue"
"51","cyan"
"52","darkorange2"
"53","darkmagenta"
"54","indianred4"
"55","mediumpurple1"
"56","darkolivegreen"
"57","blue"
"58","magenta"
"59","navajowhite2"
"60","pink"
"61","orangered4"
"62","darkred"
"63","darkseagreen3"
"64","salmon2"
"65","sienna4"
"66","darkviolet"
"67","red"
"68","lightyellow"
"69","lightsteelblue1"
"70","darkgreen"
"71","darkseagreen3"
"72","maroon"
"73","honeydew"
"74","magenta"
"75","skyblue"
"76","lightcoral"
"77","yellow"
"78","lightyellow"
"79","mediumpurple1"
"80","greenyellow"
"81","darkseagreen4"
"82","cyan"
"83","red"
"84","white"
"85","violet"
"86","darkorange"
"87","steelblue"
"88","navajowhite1"
"89","sienna2"
"90","violet"
"91","orangered4"
"92","green"
"93","blue"
"94","darkturquoise"
"95","tan"
"96","mediumorchid"
"97","mediumpurple4"
"98","honeydew1"
"99","red"
"100","yellow"
"101","coral"
"102","black"
"103","slateblue"
"104","orange"
"105","greenyellow"
"106","magenta"
"107","sienna2"
"108","salmon"
"109","royalblue"
"110","mediumpurple"
"111","royalblue"
"112","lightpink2"
"113","yellow3"
"114","coral3"
"115","honeydew1"
"116","darkorange"
"117","darkorange"
"118","orangered3"
"119","steelblue"
"120","royalblue"
"121","lightpink2"
"122","honeydew1"
"123","orange"
"124","sienna4"
"125","plum3"
"126","yellow"
"127","orange"
"128","brown"
"129","red"
"130","skyblue3"
"131","sienna3"
"132","blueviolet"
"133","lightgreen"
"134","salmon"
"135","darkgreen"
"136","skyblue2"
"137","honeydew"
"138","salmon4"
"139","darkorange2"
"140","orangered3"
"141","blue4"
"142","brown"
"143","yellow"
"144","skyblue3"
"145","thistle"
"146","navajowhite"
"147","lightyellow"
"148","blueviolet"
"149","yellow"
"150","coral"
"151","yellow"
"152","lightcyan"
"153","darkturquoise"
"154","firebrick4"
"155","lavenderblush3"
"156","saddlebrown"
"157","lightpink3"
"158","steelblue"
