"","x"
"antiquewhite1","ENSMUSG00000034059"
"antiquewhite2","ENSMUSG00000039671"
"antiquewhite4","ENSMUSG00000023150"
"bisque4","ENSMUSG00000055900"
"black","ENSMUSG00000028245"
"blue","ENSMUSG00000045136"
"blue2","ENSMUSG00000014767"
"blue3","ENSMUSG00000050332"
"blue4","ENSMUSG00000066440"
"blueviolet","ENSMUSG00000083985"
"brown","ENSMUSG00000005682"
"brown1","ENSMUSG00000030102"
"brown2","ENSMUSG00000092593"
"brown4","ENSMUSG00000037235"
"chocolate4","ENSMUSG00000040463"
"coral","ENSMUSG00000030660"
"coral1","ENSMUSG00000025823"
"coral2","ENSMUSG00000029911"
"coral3","ENSMUSG00000055745"
"coral4","ENSMUSG00000055761"
"cyan","ENSMUSG00000049680"
"darkgreen","ENSMUSG00000035367"
"darkgrey","ENSMUSG00000080921"
"darkmagenta","ENSMUSG00000060288"
"darkolivegreen","ENSMUSG00000041028"
"darkolivegreen1","ENSMUSG00000022469"
"darkolivegreen2","ENSMUSG00000037872"
"darkolivegreen4","ENSMUSG00000092607"
"darkorange","ENSMUSG00000091811"
"darkorange2","ENSMUSG00000064841"
"darkred","ENSMUSG00000030327"
"darkseagreen2","ENSMUSG00000025198"
"darkseagreen3","ENSMUSG00000020329"
"darkseagreen4","ENSMUSG00000021238"
"darkslateblue","ENSMUSG00000042515"
"darkturquoise","ENSMUSG00000065265"
"darkviolet","ENSMUSG00000002032"
"deeppink","ENSMUSG00000038894"
"deeppink1","ENSMUSG00000026887"
"firebrick2","ENSMUSG00000050705"
"firebrick3","ENSMUSG00000024096"
"firebrick4","ENSMUSG00000040848"
"floralwhite","ENSMUSG00000028223"
"green","ENSMUSG00000085622"
"green4","ENSMUSG00000045248"
"greenyellow","ENSMUSG00000045930"
"grey60","ENSMUSG00000018965"
"honeydew","ENSMUSG00000079662"
"honeydew1","ENSMUSG00000030760"
"indianred2","ENSMUSG00000054091"
"indianred3","ENSMUSG00000030122"
"indianred4","ENSMUSG00000022305"
"ivory","ENSMUSG00000030525"
"lavenderblush1","ENSMUSG00000001988"
"lavenderblush2","ENSMUSG00000020549"
"lavenderblush3","ENSMUSG00000066235"
"lightblue3","ENSMUSG00000033128"
"lightblue4","ENSMUSG00000054855"
"lightcoral","ENSMUSG00000094500"
"lightcyan","ENSMUSG00000035279"
"lightcyan1","ENSMUSG00000040356"
"lightgreen","ENSMUSG00000030337"
"lightpink2","ENSMUSG00000028645"
"lightpink3","ENSMUSG00000062252"
"lightpink4","ENSMUSG00000056771"
"lightskyblue4","ENSMUSG00000034839"
"lightslateblue","ENSMUSG00000001467"
"lightsteelblue","ENSMUSG00000052560"
"lightsteelblue1","ENSMUSG00000020184"
"lightyellow","ENSMUSG00000093232"
"magenta","ENSMUSG00000040322"
"magenta3","ENSMUSG00000059474"
"magenta4","ENSMUSG00000032373"
"maroon","ENSMUSG00000080406"
"mediumorchid","ENSMUSG00000025227"
"mediumpurple","ENSMUSG00000028341"
"mediumpurple1","ENSMUSG00000065563"
"mediumpurple2","ENSMUSG00000035671"
"mediumpurple3","ENSMUSG00000070319"
"mediumpurple4","ENSMUSG00000029033"
"midnightblue","ENSMUSG00000051341"
"mistyrose","ENSMUSG00000029769"
"navajowhite","ENSMUSG00000022840"
"navajowhite1","ENSMUSG00000050052"
"navajowhite2","ENSMUSG00000026761"
"orange","ENSMUSG00000034663"
"orangered","ENSMUSG00000063296"
"orangered1","ENSMUSG00000032018"
"orangered3","ENSMUSG00000029598"
"orangered4","ENSMUSG00000027366"
"paleturquoise","ENSMUSG00000090129"
"palevioletred1","ENSMUSG00000042423"
"palevioletred2","ENSMUSG00000025544"
"palevioletred3","ENSMUSG00000008153"
"pink","ENSMUSG00000018425"
"pink3","ENSMUSG00000034006"
"pink4","ENSMUSG00000004897"
"plum","ENSMUSG00000031703"
"plum1","ENSMUSG00000046523"
"plum2","ENSMUSG00000027808"
"plum3","ENSMUSG00000027175"
"plum4","ENSMUSG00000032575"
"powderblue","ENSMUSG00000078676"
"purple","ENSMUSG00000054792"
"red","ENSMUSG00000063410"
"royalblue","ENSMUSG00000038094"
"saddlebrown","ENSMUSG00000020537"
"salmon","ENSMUSG00000074269"
"salmon1","ENSMUSG00000074166"
"salmon2","ENSMUSG00000005718"
"salmon4","ENSMUSG00000030861"
"sienna2","ENSMUSG00000040550"
"sienna3","ENSMUSG00000046032"
"sienna4","ENSMUSG00000038181"
"skyblue","ENSMUSG00000027859"
"skyblue1","ENSMUSG00000001844"
"skyblue2","ENSMUSG00000031843"
"skyblue3","ENSMUSG00000097767"
"skyblue4","ENSMUSG00000066456"
"slateblue","ENSMUSG00000022913"
"steelblue","ENSMUSG00000044715"
"tan","ENSMUSG00000032399"
"tan4","ENSMUSG00000030655"
"thistle","ENSMUSG00000096956"
"thistle1","ENSMUSG00000080059"
"thistle2","ENSMUSG00000025731"
"thistle3","ENSMUSG00000086158"
"thistle4","ENSMUSG00000029772"
"turquoise","ENSMUSG00000038437"
"violet","ENSMUSG00000038486"
"white","ENSMUSG00000038412"
"yellow","ENSMUSG00000054716"
"yellow2","ENSMUSG00000034247"
"yellow3","ENSMUSG00000036667"
"yellow4","ENSMUSG00000021040"
"yellowgreen","ENSMUSG00000028199"
