"","x"
"1","sister chromatid biorientation"
"2","regulation of blood coagulation"
"3","positive regulation of T cell proliferation"
"4","transcription preinitiation complex assembly"
"5","mitochondrial respiratory chain complex I assembly"
"6","type B pancreatic cell proliferation"
"7","peptidyl-cysteine modification"
"8","copper ion homeostasis"
"9","phospholipid catabolic process"
"10","endoplasmic reticulum to cytosol transport"
"11","establishment of spindle localization"
"12","astrocyte development"
"13","glial cell proliferation"
"14","regulation of ubiquitin-protein transferase activity"
"15","regulation of lamellipodium organization"
"16","neuron projection regeneration"
"17","positive regulation of filopodium assembly"
"18","inorganic anion transmembrane transport"
"19","negative regulation of ubiquitin-dependent protein catabolic process"
"20","negative regulation of blood coagulation"
"21","centromere complex assembly"
"22","glycoside catabolic process"
"23","glucose 6-phosphate metabolic process"
"24","proton-transporting ATP synthase complex assembly"
"25","regulation of autophagosome assembly"
"26","sister chromatid cohesion"
"27","heparan sulfate proteoglycan biosynthetic process"
"28","protein K48-linked ubiquitination"
"29","maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
"30","release of cytochrome c from mitochondria"
"31","negative regulation of anoikis"
"32","tricarboxylic acid metabolic process"
"33","negative regulation of mitochondrion organization"
"34","regulation of vesicle fusion"
"35","positive regulation of epithelial cell differentiation"
"36","inner mitochondrial membrane organization"
"37","ventricular septum morphogenesis"
"38","cochlea development"
"39","regulation of myelination"
"40","positive regulation of inositol phosphate biosynthetic process"
"41","interleukin-12 production"
"42","positive regulation of cilium assembly"
"43","glycosyl compound biosynthetic process"
"44","negative regulation of cation channel activity"
"45","Schwann cell development"
"46","negative regulation of DNA repair"
"47","regulation of interleukin-12 production"
"48","regulation of axon extension involved in axon guidance"
"49","NADP metabolic process"
"50","regulation of mitochondrial translation"
"51","chaperone-mediated protein folding"
"52","regulation of circadian sleep/wake cycle, sleep"
"53","endosome transport via multivesicular body sorting pathway"
"54","miRNA loading onto RISC involved in gene silencing by miRNA"
"55","response to interleukin-7"
"56","embryo implantation"
"57","adhesion of symbiont to host"
"58","activation of JNKK activity"
"59","ribosomal protein import into nucleus"
"60","histone monoubiquitination"
"61","protein K48-linked ubiquitination"
"62","seminiferous tubule development"
"63","protein O-linked glycosylation via serine"
"64","positive regulation of lipid transport"
"65","negative regulation of smooth muscle cell proliferation"
"66","branching involved in ureteric bud morphogenesis"
"67","spliceosomal snRNP assembly"
"68","regulation of cardiocyte differentiation"
"69","response to anesthetic"
"70","maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
"71","spleen development"
"72","intracellular estrogen receptor signaling pathway"
"73","mRNA splice site selection"
"74","mitotic spindle assembly"
"75","regulation of antigen receptor-mediated signaling pathway"
"76","monoubiquitinated protein deubiquitination"
"77","negative regulation of fat cell differentiation"
"78","chemokine secretion"
"79","sister chromatid cohesion"
"80","neuron projection arborization"
"81","negative regulation of lipid storage"
"82","regulation of interleukin-2 biosynthetic process"
"83","neuroepithelial cell differentiation"
"84","lymphocyte homeostasis"
"85","regulation of dendritic spine morphogenesis"
"86","dendritic transport of ribonucleoprotein complex"
"87","positive regulation of cardiac muscle tissue development"
"88","mesenchyme morphogenesis"
"89","positive regulation of gene silencing by miRNA"
"90","regulation of T cell differentiation in thymus"
"91","secondary palate development"
"92","bone resorption"
"93","negative regulation of RNA catabolic process"
"94","SREBP signaling pathway"
"95","regulation of RNA export from nucleus"
"96","positive regulation of phospholipid biosynthetic process"
"97","positive regulation of chromosome segregation"
"98","RNA stabilization"
"99","deoxyribonucleoside metabolic process"
"100","regulation of skeletal muscle cell differentiation"
"101","regulation of interleukin-17 production"
"102","acrosome reaction"
"103","regulation of ventricular cardiac muscle cell membrane repolarization"
"104","pentose metabolic process"
"105","regulation of mast cell cytokine production"
"106","modulation by host of viral genome replication"
"107","mitochondrial RNA metabolic process"
"108","protein hexamerization"
"109","regulation of tyrosine phosphorylation of STAT protein"
"110","mRNA modification"
"111","macrophage activation"
"112","sperm axoneme assembly"
"113","odontogenesis of dentin-containing tooth"
"114","polysaccharide biosynthetic process"
"115","positive regulation of chromatin silencing"
"116","regulation of mRNA polyadenylation"
"117","apoptotic process involved in blood vessel morphogenesis"
"118","platelet formation"
"119","deoxyribonucleotide biosynthetic process"
"120","regulation of synaptic vesicle clustering"
"121","negative regulation of neurotransmitter transport"
"122","positive regulation of bone mineralization involved in bone maturation"
"123","toxin transport"
"124","peptidyl-L-cysteine S-palmitoylation"
"125","regulation of sodium:proton antiporter activity"
"126","regulation of brain-derived neurotrophic factor receptor signaling pathway"
"127","osteoclast fusion"
"128","vitamin transmembrane transport"
"129","methylation-dependent chromatin silencing"
"130","'de novo' posttranslational protein folding"
"131","sensory perception of chemical stimulus"
"132","negative regulation of cyclin-dependent protein kinase activity"
"133","regulation of defense response to fungus"
