"","MEantiquewhite1","MEantiquewhite2","MEantiquewhite4","MEbisque4","MEblack","MEblue","MEblue2","MEblue4","MEblueviolet","MEbrown","MEbrown2","MEbrown4","MEchocolate4","MEcoral","MEcoral1","MEcoral2","MEcoral3","MEcoral4","MEcyan","MEdarkgreen","MEdarkgrey","MEdarkmagenta","MEdarkolivegreen","MEdarkolivegreen1","MEdarkolivegreen2","MEdarkolivegreen4","MEdarkorange","MEdarkorange2","MEdarkred","MEdarkseagreen2","MEdarkseagreen3","MEdarkseagreen4","MEdarkslateblue","MEdarkturquoise","MEdarkviolet","MEdeeppink","MEfirebrick2","MEfirebrick3","MEfirebrick4","MEfloralwhite","MEgreen","MEgreen4","MEgreenyellow","MEgrey","MEgrey60","MEhoneydew","MEhoneydew1","MEindianred2","MEindianred3","MEindianred4","MEivory","MElavenderblush1","MElavenderblush2","MElavenderblush3","MElightblue3","MElightblue4","MElightcoral","MElightcyan","MElightcyan1","MElightgreen","MElightpink2","MElightpink3","MElightpink4","MElightskyblue4","MElightslateblue","MElightsteelblue","MElightsteelblue1","MElightyellow","MEmagenta","MEmagenta3","MEmagenta4","MEmaroon","MEmediumorchid","MEmediumpurple","MEmediumpurple1","MEmediumpurple2","MEmediumpurple3","MEmediumpurple4","MEmidnightblue","MEmistyrose","MEnavajowhite","MEnavajowhite1","MEnavajowhite2","MEorange","MEorangered","MEorangered1","MEorangered3","MEorangered4","MEpaleturquoise","MEpalevioletred1","MEpalevioletred2","MEpalevioletred3","MEpink","MEpink3","MEpink4","MEplum","MEplum1","MEplum2","MEplum3","MEplum4","MEpurple","MEred","MEroyalblue","MEsaddlebrown","MEsalmon","MEsalmon1","MEsalmon2","MEsalmon4","MEsienna2","MEsienna3","MEsienna4","MEskyblue","MEskyblue1","MEskyblue2","MEskyblue3","MEskyblue4","MEslateblue","MEsteelblue","MEtan","MEtan4","MEthistle","MEthistle1","MEthistle2","MEthistle3","MEthistle4","MEturquoise","MEviolet","MEwhite","MEyellow","MEyellow2","MEyellow3","MEyellow4","MEyellowgreen"
"X0",-0.0545588813655125,0.0961074321034616,0.151212696505062,-0.054374974530272,0.211119840165832,-0.139853072076663,0.111996243549219,0.0425540408159622,0.189205887854817,0.21069333759337,0.0333563883993617,-0.0885103296962542,-0.0079719164843592,-0.167026885112628,-0.0357152328774439,0.0303985933548773,0.216888410503584,0.0997464141583843,-0.101768024123951,0.19090178550099,0.154514796385799,-0.13166996925977,0.168363832976212,0.12076125504425,0.0655207846628979,0.15154508687004,0.0492993733934999,0.196127630682357,0.119391995959271,0.00567964693331981,0.0101339809047921,-0.0925783799015054,0.0728693492270517,0.158072489380891,0.115926354187357,0.0932864355727693,0.0962474062481047,-0.117488312212813,-0.0759944898937968,-0.160307878304066,0.190200402966925,-0.0493763444241664,-0.0416036987976776,0.316635727982997,-0.109095020903311,0.182032005923718,0.0561989204645144,0.230389694440716,-0.169983791342446,-0.0486291968362552,0.170021700257087,0.151650183782054,-0.150669948976056,-0.191101338355944,-0.113587578169815,0.121984765238639,0.0139014496972159,-0.158086152227297,0.20031651412631,0.182092922029756,-0.133998207106027,-0.097692833650612,-0.180722136626813,-0.190355980824134,0.0985997346433412,-0.174832772130684,0.104925750709282,-0.0928414890908359,0.188335499375643,-0.0609592542988988,-0.154709851843428,0.0728429347460517,-0.112409528577326,0.00165199919639426,0.210615931960375,0.180784752962769,-0.141660661606277,-0.0304169437462316,-0.0630824159803471,-0.173750624413411,0.0614315036332217,0.097367361885171,0.0440468708449693,0.078140606924627,-0.0679678106754329,-0.0785728991865381,0.0665356413822842,0.00753578243003458,0.216302522538644,-0.0901432393299714,0.165982270575723,-0.191122463008318,-0.0758106694603544,-0.150461679773962,-0.0181553485402727,-0.16710048427583,-0.0159976928627155,0.139471720449593,-0.129112299831387,0.00420550410427595,-0.0366812220605835,0.135014033038223,0.199040389781184,0.204070862475395,0.140267624203018,0.0688893801339786,0.162787577499105,0.175141851538069,-0.0442706445357091,0.205248830276137,0.24994873899525,0.190489222132881,0.179365504751357,0.220412724891269,0.00990133385945048,0.209285612326026,0.24848028523219,-0.138643478122152,-0.122512608292147,0.0314432123081649,0.143121049024498,-0.0127991499359114,0.130336563984108,-0.176928329336225,0.0556205585791277,-0.164680503189007,0.198825609158973,0.177656222070581,0.219046121824109,0.102243740981121,-0.120884064541438,-0.148245003967701,-0.159563053433188
"X1",-0.0559738569283729,0.092989424594691,0.1493476643025,-0.0563980128422752,0.208678256740977,-0.141112830389519,0.110401609198277,0.0362302902466209,0.185252426729021,0.207762264291418,0.0322309055323255,-0.090248182813809,-0.00924994343027934,-0.16968558144499,-0.036843797945527,0.0276795202881375,0.213516627600385,0.0958140991981073,-0.103778347906065,0.187881555576536,0.151540872644312,-0.132752619891691,0.16532175131685,0.117097834559442,0.0619454312104806,0.150016715702397,0.0463813524814954,0.192899218567614,0.116550700222859,0.00166860884680015,0.0090251236722968,-0.0935768596348566,0.070248018516559,0.154890648619467,0.113481140496382,0.0912453621787914,0.0932745422953596,-0.11864978356109,-0.0768244397368564,-0.161363251701433,0.187867972940988,-0.0550505952871385,-0.0436007334629827,0.291326571156482,-0.110263802716228,0.175443707505042,0.0529621861377422,0.226761642042705,-0.173065778784663,-0.049720117404883,0.168133710261679,0.148056879752645,-0.151915734088486,-0.192460324271774,-0.115136012504252,0.120078579523707,0.0126331427418611,-0.159190944425497,0.197441256077725,0.180042227530436,-0.135424416504011,-0.0990624161116401,-0.18159204464559,-0.192145018920868,0.0970577762772214,-0.176064515712473,0.101910650048298,-0.0942715948356183,0.185380758665402,-0.064433249467796,-0.15609325423425,0.0696196967595285,-0.114050419949763,-0.000704609422423068,0.206149036376961,0.177944452181101,-0.143180892605662,-0.0318927796101787,-0.0654123571576818,-0.17427016199643,0.0573993082887803,0.0945851286367157,0.0424464936481684,0.0768361545906676,-0.0718607330067944,-0.0811328645487634,0.0651729383024332,0.00516681643672789,0.213780366994729,-0.0928464412581889,0.163882527928003,-0.192308200192386,-0.0773978433828281,-0.157088296318388,-0.0193755436068011,-0.168072530789316,-0.0182459163758533,0.13610084575213,-0.130216666128649,0.000728890411631352,-0.0386351862639696,0.131774073220934,0.196353636512086,0.200964050484695,0.138650612914273,0.0628216743393243,0.158969717331692,0.172093792871718,-0.0469525249275415,0.202948611792516,0.245742846690975,0.18832495960456,0.176435297655752,0.217718113648839,0.00795982612209367,0.202927427642287,0.244117578435318,-0.140170572701423,-0.12425049482994,0.0256894367839056,0.139075635995879,-0.0149006851525559,0.128717265757628,-0.177843492727692,0.0540097160770003,-0.166000170359433,0.196327638119353,0.175662382959102,0.216271151307489,0.0974831104931433,-0.121890864535091,-0.14904599904282,-0.160610553135192
"X2",-0.0571319542599915,0.0897474703358022,0.147417198155625,-0.0584145508059998,0.206083332111875,-0.142243705121518,0.108846415985695,0.0300536638342924,0.18132704145071,0.204588098029381,0.0312816441841062,-0.09198092585129,-0.0102426677672547,-0.172016836951763,-0.0376878463850455,0.0248216809386053,0.210073948341314,0.09208256710347,-0.105710541846705,0.184596489719716,0.148298914208348,-0.133688851098141,0.162009972809194,0.113419261656711,0.0583541632248592,0.148486956599738,0.0433199754018572,0.189401811053163,0.113456566143715,-0.00241693174884773,0.00811723230604955,-0.0942416121369487,0.0674694044338181,0.151463588938163,0.111016356747519,0.0892876469463748,0.0903310825356491,-0.119486444100723,-0.0773771589202235,-0.162241519497568,0.185364724860919,-0.0607011993754678,-0.0456347229090291,0.266348424883899,-0.111328395106753,0.168910329536967,0.049533816554206,0.222970141289076,-0.175924253136382,-0.0505488362981659,0.166199668435624,0.144347923284698,-0.152836271897496,-0.193528865603999,-0.116441298101365,0.11819944873653,0.0115347713588923,-0.16005103530841,0.194310031714086,0.177855789582854,-0.136498718044905,-0.100111865095601,-0.182162709352612,-0.19367306017571,0.0955998672352682,-0.177046197018141,0.0987059615657832,-0.0956424413717901,0.182174841322291,-0.0676774538084174,-0.15713314410125,0.0662282258516796,-0.115549908660041,-0.00277669549746542,0.201462121382418,0.174850751455987,-0.144489422530333,-0.0331329356194786,-0.0677712934504324,-0.174436991659794,0.053214178044218,0.0915852060817438,0.0410081696929427,0.0756305972094942,-0.075740415616711,-0.0833721392112449,0.0639249292303395,0.00268081836753059,0.211064919530493,-0.0951571269025194,0.161730377360289,-0.193188777131244,-0.0789512025748551,-0.163368917980739,-0.0203684422771702,-0.168699534025881,-0.0205678259171664,0.132498162575479,-0.131001754570512,-0.00271739269117592,-0.0406178731239161,0.12832140039992,0.193454650682701,0.197642290829208,0.137001975592979,0.0567908636022361,0.154992210524483,0.16878283039562,-0.0492489708352919,0.200521415207497,0.241359252242098,0.186051995808483,0.173239265211457,0.214828536111988,0.00593921424250626,0.196617882097321,0.239701701822468,-0.14151989940934,-0.125885247972053,0.0201332579059493,0.134811780567548,-0.0170758379423267,0.127104171169376,-0.17840420646358,0.0525338881195988,-0.167118965619918,0.193597954201184,0.173594911345946,0.213273808969841,0.0924953806828335,-0.122567702050888,-0.149503995297548,-0.161354777781848
"X3",-0.0580324501935741,0.0861008412951495,0.145461373991301,-0.0605892199480859,0.203211203845345,-0.14328642004234,0.107296556052287,0.0234780185344793,0.17718775957161,0.200994402046691,0.0305859298948104,-0.0937471983562779,-0.0109835025950595,-0.173746656919165,-0.0382523625270589,0.0217125137913002,0.206348692671071,0.0882459478299266,-0.107625327676151,0.18094978666929,0.144662011452924,-0.13456876163671,0.158323540461485,0.109877086230805,0.0543424864175351,0.146885179477184,0.0399078719505747,0.185424801944282,0.109982964273883,-0.00660433813628138,0.00740552959592675,-0.0945454281052203,0.0642998175281018,0.14757036408871,0.108574168084235,0.0873312467873813,0.0875886810492607,-0.120029927986808,-0.0775463622770335,-0.162926811347312,0.182670053565571,-0.0660781427143789,-0.0478057844006411,0.24102565941326,-0.112400935150193,0.161983203409382,0.0457991374112956,0.218615902741437,-0.178401023481789,-0.0509930610673612,0.16412695324358,0.140689295107386,-0.153472352575536,-0.194178167346725,-0.117725895762398,0.116381475426017,0.0106949483441388,-0.160726603585383,0.19084338005447,0.17553468153067,-0.137248252780791,-0.100857668690356,-0.182451449955657,-0.194833100029668,0.0941644921936394,-0.177770111207421,0.0950756050832216,-0.0970735224310827,0.178662218847846,-0.0710244571817978,-0.157802056399506,0.0625160828556821,-0.117074834234305,-0.00473518886226768,0.196166279380837,0.17128266089785,-0.145690168960553,-0.0339144985297652,-0.0702309902842721,-0.174118078364206,0.0488659973952177,0.0882420557711332,0.0396932187869043,0.0745859977560852,-0.0794944022877432,-0.0856106822701159,0.0628455145063058,-3.68425325201593e-05,0.208011153221714,-0.0969405755216949,0.159501957781098,-0.193674782268518,-0.0806080092279944,-0.169108792723389,-0.021052451542457,-0.169007559422104,-0.0230580579462555,0.128562651164018,-0.131365773874657,-0.00651166168429299,-0.0427929458284538,0.12439612810544,0.190298849296986,0.193893780924749,0.135353550697048,0.0511140071119186,0.150950577668153,0.164983556707458,-0.0513995954472484,0.197842657744567,0.236518114925993,0.183602601715016,0.169661423742631,0.211595079919489,0.00362244990635239,0.189712600820516,0.234896433774103,-0.142780263540355,-0.127434902791377,0.0150642333212225,0.130370804841519,-0.0195229962995788,0.125465976146808,-0.178551683605919,0.0511734106091617,-0.168031774027311,0.190576844979045,0.171389442107427,0.20988086253111,0.087316353107033,-0.122780222813246,-0.149534092671189,-0.161876818292515
"X4",-0.0587615666109444,0.0820988437013314,0.143520511985971,-0.0629098306561152,0.200115347838464,-0.14425359001041,0.105768468665572,0.0164687744947923,0.172843454841066,0.197046811200801,0.030106712560783,-0.0955534968230364,-0.0115167000449203,-0.174949146540351,-0.0386089454149667,0.0183772372959583,0.202373401074309,0.0842531962085126,-0.109529017028444,0.176971271550093,0.140682409644627,-0.135397277378418,0.154338398013859,0.106574713407647,0.0499727936506683,0.145237333890601,0.0361745946346342,0.181014979803671,0.106164617471313,-0.0108981803591817,0.00686828814683975,-0.0945782113547271,0.0607928360761355,0.143252130915207,0.106201095210168,0.0853724975969699,0.085010747316256,-0.120363951619503,-0.0773875231688079,-0.163445653938367,0.179829903273115,-0.0711747769744812,-0.0501042922005237,0.215418382818916,-0.113482930271364,0.154740516119421,0.0417782357842605,0.213749589388212,-0.18047745847768,-0.0510781750693682,0.161950785968269,0.137147799564528,-0.153874090076692,-0.194423834835184,-0.118927978235361,0.114639792940689,0.0100886320733804,-0.161266886280625,0.187104062194563,0.173114472906322,-0.137753555802246,-0.101385189472419,-0.182497722782922,-0.19565021039485,0.0927541506531723,-0.178272433128618,0.0910682571317596,-0.0985624757214614,0.1748903512564,-0.074473654626011,-0.158150287372807,0.058518949823085,-0.118645008249002,-0.0066456764279649,0.190316342320698,0.167315803105821,-0.146824888016708,-0.0342632120113991,-0.0727647883086045,-0.173382804204432,0.0443524880388691,0.0845965398945942,0.0384718074832311,0.0737040851717596,-0.083134190951379,-0.0878869074289214,0.06196005752328,-0.00295777560025718,0.204678487968769,-0.0982512371183052,0.157229392042656,-0.193804994373358,-0.0823638890209262,-0.17426057688476,-0.0214754040911304,-0.169070214177229,-0.0257182565649785,0.12433927199444,-0.131375149988144,-0.0105951183784737,-0.0451478554851088,0.120054956612903,0.186926311743435,0.189771432051651,0.133731971095572,0.0457828668191198,0.146881931795185,0.160785158214506,-0.0534472085854108,0.194961050587375,0.231304584855389,0.181012792371149,0.165743570849959,0.208068170332802,0.00103253401078804,0.182261538178484,0.229695814596544,-0.14396480594895,-0.128926828607694,0.0104800123942907,0.125806248557272,-0.0222023724156179,0.123830374132826,-0.178363713298462,0.0498953029442971,-0.16877209452779,0.187317068204804,0.169071290301601,0.206144544862313,0.0819769013769879,-0.122573827227381,-0.149192111635597,-0.162243989776837
"X5",-0.0593739566662901,0.0778040157045779,0.141560213090024,-0.0653035633004805,0.19675462037999,-0.145063849400669,0.104141792671407,0.00896576581706714,0.168111409457521,0.192777323102239,0.0297687468362167,-0.0972522814528021,-0.0119612423574663,-0.175610319034989,-0.0388590357261849,0.0149613790166933,0.19802447874924,0.0799473267901922,-0.111309820560402,0.172746869173066,0.136492580612272,-0.136163242337555,0.150156426560945,0.103586092484405,0.045206971767397,0.143433271581218,0.032213837764403,0.176244434499405,0.102142362089639,-0.0150657856045754,0.00639056597629997,-0.0944183133905335,0.0570187476968967,0.13858834344431,0.103859459220138,0.0832797173636562,0.0826845052595508,-0.120571693852578,-0.0769765152149741,-0.163727248262843,0.176851611317938,-0.0757672641753998,-0.0523954062621361,0.189800872210139,-0.114546644880916,0.146838151591442,0.0376231795002121,0.208315986427311,-0.182058452346595,-0.0509159759138693,0.159567215824735,0.133744443027464,-0.154108293672167,-0.194257456109188,-0.120157216302233,0.112898233159536,0.00962684697477895,-0.161664306370539,0.183157098959765,0.170573906538115,-0.138075796713367,-0.101801282308132,-0.182296549990796,-0.196047074267379,0.0912464575987777,-0.178518181518308,0.0867794767026551,-0.10005657663066,0.170945669886712,-0.078123118296857,-0.15822528949137,0.0543595692475184,-0.120220582392344,-0.00870089162410688,0.183898326307336,0.162997136648801,-0.147896545612813,-0.0342396501868437,-0.0752487102314492,-0.172246797091492,0.0399200769765997,0.0807766660380593,0.0372442428166903,0.0729017233410724,-0.0864565682493208,-0.090341140056656,0.0611396603298465,-0.0059325437486918,0.201059587243291,-0.0991482766478242,0.154902085674023,-0.193570009866427,-0.0841559099994673,-0.178680806432061,-0.0217036448899296,-0.168922559932657,-0.0283931056337624,0.119927887121278,-0.131082244765511,-0.0149894262083238,-0.047598912206068,0.11536997815259,0.183380951283163,0.185310028527343,0.132084745120344,0.0409896719987166,0.142889210750406,0.156228996309023,-0.0556446731107048,0.191822113880211,0.225598464029304,0.178234348582695,0.161594445296579,0.204228106084042,-0.00174219190208209,0.174053659582978,0.223978034519846,-0.145052937373853,-0.130259941208719,0.00647905656433664,0.121258775547547,-0.0250289403642982,0.12210044111395,-0.177844633352407,0.0486053239955404,-0.169288463809136,0.183869147830465,0.166578485185287,0.202062715345863,0.0767114387498171,-0.122007418856948,-0.148518067385235,-0.162473311540082
"X6",-0.0599484404985008,0.0732951542657285,0.139573399829155,-0.0677767358989986,0.193200894756837,-0.145737170765726,0.102440838372006,0.00108632061745466,0.163044113947526,0.188270119887012,0.0295196399434983,-0.0988794656243951,-0.0123798962224181,-0.175850009819662,-0.0390696047262374,0.0114603024120677,0.19340871308722,0.075398328318739,-0.113005942355165,0.168335155509121,0.13213998937726,-0.136860175760554,0.145812192419595,0.100781282055526,0.040169550032935,0.141486243420671,0.0280422626968137,0.171211220560519,0.0979425483682701,-0.0191978416904928,0.00595182405851979,-0.0941434836503821,0.0530366924377388,0.133657168780799,0.101557860792324,0.0811055726158397,0.0804918137902982,-0.120686095832046,-0.0763868549756446,-0.163824843230777,0.173758905796474,-0.0799987044560902,-0.0546982983231387,0.163665061517417,-0.115574796817695,0.138547759237334,0.0333334001712528,0.202413647015909,-0.18323507631796,-0.0505555673721312,0.157028006819229,0.13041257016289,-0.154202895056566,-0.193732510686126,-0.121345307118309,0.111171834809736,0.00925309758831433,-0.161936613319787,0.179048993464004,0.167933528210919,-0.13827483170359,-0.10214846334334,-0.181892197544372,-0.196087577726465,0.089658034414172,-0.178543054039607,0.0822665787991304,-0.101550062201593,0.166864045984268,-0.0818878691944542,-0.158066500002685,0.050041328938993,-0.121806051603407,-0.0108512771184977,0.177072017788496,0.158423369905616,-0.148897907808139,-0.033911982792298,-0.0776995594892175,-0.17082141573915,0.0354704297498751,0.0768089639512006,0.0359693938723806,0.0721429067034497,-0.0895779370376669,-0.0929209523669839,0.0603566432687021,-0.00896915379538523,0.197220781250541,-0.0997433273407386,0.152491411476868,-0.193018684469728,-0.0859692233116279,-0.182620226022042,-0.0218011699184551,-0.168609326164604,-0.031099358981373,0.115340207224271,-0.130545058772161,-0.0196235736692646,-0.0501372717815848,0.110404628368689,0.179695859895262,0.180603977074731,0.13040531455875,0.0364975706852806,0.138918643488759,0.151415213119582,-0.0579522483913163,0.188494698923385,0.219524513416705,0.175307888321767,0.15726878627905,0.20014672781686,-0.00468596060942891,0.165279005721267,0.217875611467243,-0.146046979041577,-0.131465810338202,0.00287722637073288,0.116710339205549,-0.0279853744886867,0.120283543020966,-0.177076416984984,0.0472875771719442,-0.16961588551783,0.180271087078637,0.163946614468201,0.197730532221108,0.0714622918807936,-0.121148585188937,-0.147602961928745,-0.162590076952395
"X7",-0.0605545894436071,0.0685724155587811,0.137639302690294,-0.070302864043373,0.189473455776834,-0.146205660672756,0.100645652523794,-0.00731706641398964,0.157512952255571,0.18356422588262,0.0294032345225267,-0.1003313727483,-0.0128325478253769,-0.175419796743902,-0.0392899798804502,0.00795773530709843,0.188493299627242,0.0704980838100523,-0.114530618199278,0.163827313427597,0.127733325416713,-0.137466111473515,0.141423113700585,0.0984061053900899,0.0348227149796632,0.13936677439029,0.0236886168555577,0.165961161206247,0.0936809842635872,-0.0230931694067242,0.00549380095309817,-0.0937548750792029,0.0488560732309588,0.128488860349458,0.0993905706596085,0.0788230007770395,0.0785681990654675,-0.120732830621292,-0.0755892497586999,-0.163660043426181,0.170637305862802,-0.0834258781699171,-0.0569302747196869,0.137129088870294,-0.116550759862982,0.129748603856342,0.029024165042575,0.195946328176593,-0.183764380166356,-0.0499680936594322,0.154318385542577,0.127375346566,-0.154151790797485,-0.192717018772935,-0.122514244776758,0.109551835858868,0.00900120107393898,-0.162076248348359,0.174875061597887,0.165261357224903,-0.13838363124612,-0.102473877886138,-0.181226694182421,-0.195591054111405,0.087951880292455,-0.178279284533467,0.0775743047041735,-0.103016792939309,0.162770835352059,-0.0858064164449156,-0.157627358075042,0.0456731728184834,-0.123392222536558,-0.0131758427259992,0.1698027169763,0.153619330243359,-0.149804886881258,-0.0331171955641471,-0.0800268369135089,-0.169005612921447,0.0312098459029856,0.0727810747051504,0.0345928763035484,0.0714836517970083,-0.0922450406092458,-0.0957398552581351,0.0596168868584228,-0.0119798853584701,0.193172862830959,-0.0998626747783547,0.15006685940786,-0.192039170323298,-0.0877805727244376,-0.185633136707412,-0.0217678259345169,-0.168109088383351,-0.0337567450326276,0.110680935765008,-0.129696906341527,-0.0245619822875212,-0.0527477014738396,0.105171357689178,0.175959312223303,0.175679184473722,0.128759286894174,0.0327906235262785,0.135194077975881,0.146373052883186,-0.0604470063656214,0.184980939508445,0.213034785478755,0.17226060512709,0.15288570294281,0.19584448354299,-0.00780057305774558,0.15580359998349,0.211346937938627,-0.146914989551768,-0.13245379457119,3.35838345836951e-05,0.112434356812306,-0.0310500624939468,0.118355705583906,-0.176010655658136,0.0459364549444678,-0.169679665468308,0.17660867680413,0.161189359796758,0.193163978859181,0.0664860195352132,-0.119882547448082,-0.14642514087946,-0.16259299589851
"X8",-0.0611738330076177,0.0635675340937297,0.135802053832089,-0.0728427528641566,0.185500916179369,-0.146342988920415,0.0987074079216008,-0.0163322232800668,0.151395790031736,0.178599559027379,0.0295112291092915,-0.101487168405373,-0.0133318535372648,-0.174014772158032,-0.0395022843640663,0.00450845269045165,0.18316740340292,0.0651447576416241,-0.115748755250217,0.159228215922683,0.123291811801135,-0.13793127404474,0.137004620518185,0.0966652740554672,0.0290687441358413,0.13702235623578,0.0191447650140592,0.160432938889654,0.0893961160558421,-0.0265214144839657,0.00500106838671001,-0.0931671963994201,0.0444210386434956,0.123030844044893,0.0974065015634805,0.0763674014318169,0.0770681399082126,-0.120648693579913,-0.0744935296159584,-0.163082115721166,0.167515376360612,-0.0855858783641454,-0.0590177208007913,0.11033796857661,-0.117450719488394,0.120224519693968,0.0247602664985936,0.188769180162218,-0.18336238178606,-0.0490865191209356,0.151381662108649,0.124788213782364,-0.153886179685547,-0.191007425995092,-0.123696771270474,0.108083761943953,0.00893389613257217,-0.162009584213043,0.170634231638657,0.16257103976862,-0.138320775421845,-0.102732233512266,-0.180139259197606,-0.194260088840465,0.0860646320426,-0.177589342509607,0.0726618537400795,-0.104415297345167,0.158700203468986,-0.0898921012156745,-0.156809463893749,0.0413282880993218,-0.124912084359157,-0.0157114741898089,0.161992762650426,0.148518791216018,-0.150554888203372,-0.0316986272757559,-0.0821298437818454,-0.16658775755404,0.027330687617324,0.068721875643518,0.0331123173760392,0.070978527696902,-0.0941998208172132,-0.0988492573409887,0.0589340558670657,-0.0148896261362207,0.188856549150188,-0.0991453472452293,0.147669507410376,-0.190451271575761,-0.0895677760709402,-0.187095326259425,-0.0215323675012896,-0.167323863708453,-0.036302634654549,0.106001741716054,-0.128403182463817,-0.0298654069009919,-0.0554279682947751,0.0996070863813236,0.172184787609749,0.170457450327594,0.127179972097873,0.0303183337614121,0.131864888549685,0.141040536686092,-0.0631132340877142,0.181221235223306,0.205972031605776,0.169058547941759,0.148449239316043,0.191253028778567,-0.0110997394409867,0.14539985531701,0.20422059148818,-0.147597023413034,-0.133096441024765,-0.00165092370084654,0.108594371998853,-0.0342123511242941,0.116282114457428,-0.174506806866949,0.0445642484257343,-0.169347870315872,0.172873481986186,0.158284931140277,0.188283229043168,0.0619674846557297,-0.118014630223534,-0.144885824615965,-0.162384679177944
"X9",-0.0616944253441518,0.0581458742543799,0.134019124691708,-0.075405077736302,0.181166098705614,-0.146097184195097,0.0966217451162675,-0.0259323409012852,0.144695036187201,0.173219347178173,0.0298884878467954,-0.102341709755858,-0.013798695137617,-0.171484290414738,-0.0395896289838815,0.00104750531520126,0.177291243534939,0.0593542676147506,-0.116620892082452,0.154425974223636,0.118713054181029,-0.138233150451327,0.132435175112701,0.0954833936352918,0.0227723889824333,0.134404295358556,0.0143369069068265,0.154466685006468,0.0849870137644548,-0.0294645004290749,0.00455190940266984,-0.092279134973317,0.0396350513462556,0.117147328273316,0.0955945887728998,0.0736901741445776,0.0760302629736506,-0.120351561383881,-0.0730041918186306,-0.162043429882665,0.164312424074933,-0.0863352750853748,-0.0609794743518826,0.0834453978864248,-0.11828515716946,0.10994713925057,0.0205131946088374,0.180755775415888,-0.181940804565451,-0.0478456466064822,0.148155607942929,0.12259981131797,-0.153296713872026,-0.18848362950127,-0.124971926541884,0.106744501449375,0.0091221142415174,-0.161666062534202,0.16624169965236,0.159776637793628,-0.137940499619553,-0.102798360534585,-0.178526522247587,-0.192024143079713,0.0840010938421515,-0.176380311561018,0.0674253981464861,-0.105772418881923,0.154557502889423,-0.0941249991663744,-0.155503855025193,0.0369810324244063,-0.126317621337201,-0.0183385942461083,0.153477564331314,0.142992560594012,-0.151083374429924,-0.0296054980495262,-0.083981115898376,-0.163448975100564,0.0238064554058986,0.0645410627936572,0.0315908464841264,0.0706420794837731,-0.0953995944162292,-0.102183394623885,0.0583135289873167,-0.0177430829987156,0.184125445386998,-0.0974073850155691,0.145246954970447,-0.188164634286457,-0.0913551824733317,-0.186803118498528,-0.0209861099346344,-0.166149304375067,-0.0387713399559188,0.101238606741345,-0.126543321435802,-0.0355869477711012,-0.0582125699970137,0.0935882320002801,0.168291718695886,0.164765117595347,0.125623159997291,0.029125660396845,0.12891089007608,0.135265741279384,-0.0659570589879498,0.177112275798658,0.198186306837863,0.165597335735099,0.143837735544666,0.186237444237126,-0.0146499926209305,0.133850866754598,0.196194118580559,-0.148034630577739,-0.13334077877873,-0.00205107215532931,0.105141039536693,-0.037511972738399,0.114032143003832,-0.172431223058818,0.0432401718865364,-0.168549294243655,0.168949303606727,0.155156126511271,0.182947822615009,0.0579006163082203,-0.11544554586409,-0.142873713282335,-0.161869068206838
