"","Step0","Step1","Step2","Step3","Step4","Step5","Step6","Step7","Step8","Step9","Step10","Step11","Step12","Step13","Step14","Step15","Step16","Step17","Step18","Step19","Step20","Step21","Step22","Step23","Step24","Step25","Step26","Step27","Step28","Step29","Step30","Step31","Step32","Step33","Step34","Step35","Step36","Step37","Step38","Step39","Step40","Step41","Step42","Step43","Step44","Step45","Step46","Step47","Step48","Step49","Step50","Step51","Step52","Step53","Step54","Step55","Step56","Step57","Step58","Step59","Step60","Step61","Step62","Step63","Step64","Step65","Step66","Step67","Step68","Step69","Step70","Step71","Step72","Step73","Step74","Step75","Step76","Step77","Step78","Step79","Step80","Step81","Step82","Step83","Step84","Step85","Step86","Step87","Step88","Step89","Step90","Step91","Step92","Step93","Step94","Step95","Step96","Step97","Step98","Step99"
"MElightblue3",-0.114159811404376,-0.115716046464931,-0.117027907849742,-0.118318977076474,-0.119527115418862,-0.120762546160024,-0.121956622358144,-0.123131448908565,-0.124319932752296,-0.12560151202039,-0.126895784039191,-0.128267366381775,-0.129500701858705,-0.13070485040596,-0.131883550499062,-0.132908740701029,-0.133790781914053,-0.134529703515222,-0.135016922465281,-0.134968801988461,-0.134433717670282,-0.13347557602162,-0.131959947999675,-0.129896814311762,-0.127388147834313,-0.124391364907107,-0.121137519351495,-0.117565023520721,-0.113249698897574,-0.108478941514582,-0.103379152687214,-0.0977475737546615,-0.091488542591205,-0.0845399296029428,-0.0772200507217805,-0.0696527341906286,-0.061672971567138,-0.0532130840367323,-0.044188227774344,-0.0345979168747082,-0.0247034595463504,-0.0147025437293119,-0.00447707333910161,0.0060265215652702,0.016733881094568,0.0275650602460242,0.0383133441469328,0.0489496531373794,0.0593364310506817,0.0691273174835307,0.0781548554065284,0.0871533622316251,0.0959385394612175,0.104367974489256,0.112113877027699,0.119355582609422,0.125829021676002,0.131793648806749,0.137225331044203,0.141765398855542,0.145651123914035,0.148648182915382,0.150358985357643,0.150805686268214,0.149949553859651,0.148005023957606,0.145124525161945,0.141453682914678,0.136806082218852,0.131455981788489,0.12565071163299,0.119384800658949,0.112707312120217,0.10603980143946,0.099372891075859,0.0926569868742964,0.0860171146277203,0.0794381970159274,0.0732688201137713,0.0672949376474223,0.0616848773660381,0.0564061370174458,0.0516020931109958,0.0471771153389165,0.0431319066948824,0.0394447293411597,0.0365781192511278,0.0342793176610166,0.0324224044770293,0.0309972762823122,0.0299038006057156,0.0289671491880444,0.0283144812741077,0.0278010398213461,0.0275210085611503,0.0273986330998143,0.0273960386559169,0.0273015814919641,0.0272394152634068,0.0271418102296642
"MEorangered1",-0.0789687349370205,-0.0815415969318107,-0.0837921526463565,-0.0860419730716079,-0.0883296654322517,-0.090796262030568,-0.0933890709587188,-0.0962221749618692,-0.0993472416379828,-0.10269817568856,-0.106258978745425,-0.109938460582671,-0.11354441898678,-0.117223836082975,-0.120886337116348,-0.124200384456594,-0.12704165401936,-0.12945805230579,-0.131328142241832,-0.132292152247821,-0.13237756339077,-0.131706153032385,-0.13023006615065,-0.127963361816013,-0.125031438475873,-0.121496668972963,-0.117597570443542,-0.113195341390201,-0.107576256920815,-0.101429570895553,-0.0949381319315178,-0.0876987221033982,-0.0796744961946496,-0.0709080174726961,-0.0616315192520077,-0.0519691819353066,-0.0419104004195473,-0.0316426127812729,-0.0208861229979881,-0.00963438054669199,0.00172069253029237,0.0130726888900783,0.0245664546664781,0.0363093898735294,0.048213654300527,0.0602901038116466,0.0722009297861474,0.0836484735116095,0.0947417820819192,0.104978011732915,0.114091535255153,0.123131466026859,0.131637178432083,0.139555821686405,0.146559971640912,0.152837880789787,0.158276227000632,0.163226951909601,0.167647650895362,0.170905476854672,0.173405777627357,0.174763409785426,0.174546368586848,0.172755939786666,0.169112904459609,0.16387195091394,0.157210420006916,0.149357552184414,0.140253894908302,0.130233213010396,0.119959933837703,0.109262898395785,0.0982440153769114,0.0873486630284898,0.076350666125078,0.0652593619608176,0.0544397429187856,0.0440268287161355,0.0345162575746325,0.0255322940443191,0.0171822333006462,0.00948486997133781,0.00259184537955486,-0.00367852019606517,-0.0094873795706818,-0.0148804894899305,-0.0192426921799681,-0.0228601568411279,-0.0259488632676095,-0.0284875549907483,-0.0306510917545006,-0.0326694803573626,-0.034321104214409,-0.0356432319160706,-0.036532314990098,-0.0371657445241726,-0.0375958501118978,-0.0380522459022976,-0.0384583208160495,-0.0388513002475046
"MElightpink4",-0.181632581364389,-0.182506871819058,-0.183080411429448,-0.183370606654309,-0.183417112595529,-0.183214926332042,-0.182808536832692,-0.18213968078775,-0.181046767506374,-0.17942590588554,-0.17719802224066,-0.174493815136654,-0.171192270240618,-0.167420169896119,-0.163140809326823,-0.158354256140561,-0.153041948788671,-0.147171876761307,-0.140901128011212,-0.134089918677788,-0.126758185101597,-0.119082492100452,-0.111095171000637,-0.102791165989608,-0.0943292596385844,-0.0858525750943297,-0.077217976425209,-0.0686147107237998,-0.0599694120012992,-0.0512924405968148,-0.0425289613676082,-0.0337765129447099,-0.0249529519581841,-0.0161570411757973,-0.00767443351843635,0.000492142953732926,0.00844250058339286,0.0162519587102528,0.0239385156991248,0.0314842606461064,0.0386275871176708,0.0452638471423317,0.0515311363107482,0.0573697804359657,0.062843339932129,0.0679559963208612,0.0726389694835881,0.0768780412884877,0.0807577586724047,0.0842715339776514,0.0873734461979912,0.0900353640570163,0.0923022939263326,0.0942094610085856,0.095695046123376,0.096807015684564,0.0975823458469068,0.0980549217698333,0.0982853624740603,0.0981807930472383,0.0977990810248611,0.0970225116817501,0.0959382117351947,0.0945440303722712,0.0928837708835351,0.090933197572039,0.0887810161265573,0.0865199551622454,0.0840640665623901,0.081560810568131,0.0790084130073234,0.0764685053968938,0.0737922952354946,0.0712436650674104,0.0688581267164033,0.0664797314002085,0.0641948312404503,0.062015490579459,0.0601454975213045,0.0585753060371124,0.0573611717739447,0.0563551456137086,0.0556714028508855,0.0551337784428121,0.0548549699771531,0.0547695127919237,0.0549755221218921,0.05538920601671,0.0559733169079398,0.0567333657098036,0.0575703385074734,0.0583887639200604,0.0592962551732962,0.060236350388123,0.061222203838692,0.0621744399457067,0.0631226263248349,0.0639765182329117,0.0648175159383393,0.0656165682870133
"MElightsteelblue",-0.175713547337934,-0.176951496216335,-0.177938123051065,-0.178665684186294,-0.17917053671253,-0.179417523137208,-0.179442520961674,-0.179177422633492,-0.178484004809175,-0.177268882986024,-0.175464762235911,-0.173171308219007,-0.170280848036275,-0.166921697092798,-0.163075479776203,-0.158728253196186,-0.153854803046113,-0.148414495719744,-0.14252924191125,-0.136059945917219,-0.129058557491523,-0.121726708503209,-0.114122775466178,-0.10620763594283,-0.0981326887062054,-0.0900912622405735,-0.0818728198195349,-0.0736919846749646,-0.0654960847347405,-0.057277728253397,-0.0489489635451346,-0.0406210943374595,-0.0322640400344841,-0.0239863619916384,-0.0160310889424104,-0.00837639888065455,-0.000939362752661789,0.00639817083404643,0.0136334844593446,0.0206352240733026,0.0272264640769628,0.0333131705204499,0.0390556704478054,0.0444221454549154,0.0495055646396946,0.0542873278122745,0.0586445102421359,0.0626093905227112,0.0662712015478874,0.0696539895281464,0.0727847476432751,0.0755035144402362,0.0778869754698377,0.0800472534934979,0.0818461184748391,0.0833628462165165,0.0846845551000896,0.0857282897686698,0.0865489457257961,0.0871510698481644,0.0874806163458466,0.0874740636665448,0.0871953789527715,0.0866700200948565,0.0859909162067338,0.0851083872692825,0.0840981961295097,0.082991177297037,0.0816912192452381,0.0803748378803381,0.0789891670959549,0.0776327341252351,0.076175831494436,0.0748704335254715,0.0737939451404441,0.0727631306228677,0.0718211828978494,0.0709704025242767,0.0703510140156448,0.0699771825925293,0.069890873745125,0.0698907155018725,0.070103432312377,0.0703852923895693,0.0708210680835653,0.0713950286228594,0.0721700791183128,0.0730715171941635,0.0740927981008695,0.0752551164564187,0.0764650844109119,0.0776159575263879,0.078808100407896,0.0799838724813416,0.0811387715405132,0.0822146021119105,0.0832763047071857,0.0842332559930978,0.085146517133609,0.0859972781985834
"MElightcyan",-0.158882561057258,-0.159992918994452,-0.160857342856339,-0.161536314521486,-0.162079319061135,-0.162478741280042,-0.162752420061394,-0.162892758545445,-0.16282575856853,-0.162480506290933,-0.161815059085725,-0.160882650133267,-0.159569303951158,-0.15795901374898,-0.156015716865651,-0.153677500335601,-0.150882243332329,-0.147622793602239,-0.143941712606725,-0.139661394875258,-0.134799565226654,-0.129508342412826,-0.123810356851611,-0.117670299373539,-0.111200541854166,-0.104540249442676,-0.0976174661301727,-0.090554205386386,-0.0831427389489243,-0.0755198813642434,-0.0676735128844925,-0.0595893513692084,-0.0512723135844307,-0.0428196627751363,-0.0344307270890415,-0.0261209738168344,-0.0178389710681762,-0.00956194093895431,-0.0012286602973746,0.00706977841832914,0.0151395691674451,0.0228783699353398,0.0304189602348721,0.0377877307048663,0.045005531573806,0.0520571342320208,0.0587846571815791,0.0651643314536783,0.0712322387566896,0.0769067858812744,0.0821279438246262,0.0870190829586091,0.0915475057804962,0.0957663060803874,0.0995271340519468,0.102915178215853,0.105927168427996,0.108590976253453,0.110908474512326,0.112735963858743,0.114126498105917,0.11495170564027,0.115144248551218,0.11472988259514,0.113703219518601,0.112073856659997,0.10992070608319,0.107362834919354,0.104314141538839,0.10100051700318,0.0975654100636975,0.0940062329244199,0.0902757784116354,0.0866518872547474,0.08310880445674,0.0795379934669028,0.0760423596634689,0.0726677330518897,0.0696104407329827,0.0668285805388585,0.0643906578883882,0.0621605104182383,0.0602364554269175,0.058525833846583,0.0570365702712356,0.0557343554775247,0.0548331086081057,0.0542221772322001,0.0538465957759934,0.053715341053027,0.0537337255796989,0.053770201245365,0.0539524786152022,0.0542247112171168,0.0546146298967415,0.055033747613127,0.055511982904643,0.0559264347489578,0.0563505412187616,0.0567520788655786
"MEmediumpurple3",-0.142374321848947,-0.143902211491259,-0.145217333547951,-0.14642412911686,-0.14756456467799,-0.148641621087086,-0.14964802796016,-0.150559576226293,-0.151313355916512,-0.15184450455904,-0.152113534052412,-0.152165001017471,-0.151915857929349,-0.151439710278547,-0.150703942022208,-0.149601721500168,-0.148070138404949,-0.14612503066634,-0.143764018835805,-0.140821230211507,-0.137346572845734,-0.13345834933779,-0.129167864877533,-0.124456817080864,-0.119397959496182,-0.114121412255116,-0.108582004214828,-0.102908480387706,-0.096840865796534,-0.0905471441122456,-0.0840133106884205,-0.0771556640298795,-0.0699648701409394,-0.0625300533019288,-0.0550493669519637,-0.0475496884829784,-0.0399866636966619,-0.0322950711786266,-0.0243948351908946,-0.0164227215061637,-0.00859283724536709,-0.000972934705539106,0.00656659561352823,0.0140175392465284,0.0214611632170329,0.0288363835279622,0.0359668829119094,0.0428318390937597,0.0495028427583214,0.0558530784507262,0.0618046640660022,0.0675652133716284,0.0730235660771387,0.0782674201547619,0.0831253766443253,0.0876706433162695,0.0918772893920358,0.0957824679474122,0.0994015866197597,0.102577062119603,0.105365242644813,0.107641384543382,0.10928096302259,0.110294427818968,0.110661045834627,0.110418668729323,0.109628304605776,0.108365525686909,0.106582861512477,0.104532242180388,0.102331113527317,0.0999585000585671,0.0974342292629497,0.0949923407204585,0.0925787957356426,0.0901476330083287,0.0877616247804153,0.0854822420725618,0.0834738755102647,0.0816832688037975,0.0801488601124127,0.078764176617026,0.0776508097274584,0.076685934701679,0.0758541986532314,0.0751618586988355,0.0748178432345784,0.0747269084279208,0.0748267124485977,0.0751367358504196,0.0755616823583331,0.0759890780886536,0.0765210843043218,0.0771002474083393,0.077757880192399,0.0784198451214243,0.0791122518933928,0.0797304134343866,0.0803410198879398,0.0809118731251417
"MElavenderblush3",-0.192064071594369,-0.193429903830183,-0.194503828276237,-0.19515640108119,-0.195403306197071,-0.19523608928579,-0.194708499284666,-0.193687891510819,-0.191969686120393,-0.189433175206083,-0.186000215135988,-0.181793241735388,-0.176712516172061,-0.170913635014008,-0.164325420290874,-0.156994377996711,-0.149002907620612,-0.140278259596848,-0.130983677481069,-0.120988906556816,-0.110321568083143,-0.0992411348978332,-0.0879262872591726,-0.076359926999248,-0.0647415513625331,-0.0533807964418294,-0.0419329922030437,-0.0306632915123273,-0.0196356723893524,-0.00885982160444603,0.00187416871229496,0.012340104019366,0.0225625074761382,0.0324696881074946,0.0417226320622616,0.0503888414962307,0.0585935996208389,0.0664733489473173,0.0739756257812355,0.0809755574703203,0.0872308396995656,0.0926698396394591,0.0974385006353135,0.101474827348786,0.104987292485612,0.107997478690246,0.110355141341307,0.112078875382668,0.113314855989133,0.114186900510881,0.114715773116847,0.114522590849172,0.113749314295103,0.112591174910806,0.110963270597026,0.108950759175062,0.106704149520096,0.104080259636091,0.101220899387123,0.0981648007207953,0.0947945575490039,0.0910753609446389,0.0871518298013259,0.0830570658369637,0.0789559320914863,0.0747509239766927,0.0705235243043779,0.066289724375203,0.0618969887347216,0.057555393401821,0.0531684716929956,0.048915895102628,0.0445550822180446,0.0403364289432278,0.0365089302129914,0.0328931982843692,0.0295608770542297,0.0264905726945952,0.0238113924755221,0.0215878239507613,0.0198874987741233,0.0184556003463006,0.0174569903046098,0.0166589171426142,0.0162208764387249,0.0160704722092725,0.0162537530399995,0.0166652601423778,0.0172959975760269,0.0181775931216858,0.0191903598815957,0.0201782768779769,0.021275989206394,0.0224143970641712,0.0235809893325839,0.0246909745776769,0.0258410347611576,0.0268880903662803,0.0279122117708025,0.02888017853554
"MEpalevioletred3",-0.192085302668839,-0.193277013377787,-0.194162026500585,-0.194650480041955,-0.194781348131323,-0.194545179815858,-0.193991076943662,-0.193006628185919,-0.191410729897841,-0.189112572952309,-0.186011247091366,-0.182234384919802,-0.177675037579352,-0.172468568068866,-0.166579471016771,-0.160046537660459,-0.152910897981794,-0.145095499846603,-0.136784041645707,-0.12783900241887,-0.118281224180753,-0.108344526097744,-0.0981699257797879,-0.0877186201061522,-0.0771791159119309,-0.066826475315822,-0.0563693806388276,-0.0460358338066612,-0.0358602234055963,-0.0258551918956612,-0.0158538141313031,-0.00605029121027566,0.00358548338041984,0.012996344860346,0.0218719469805454,0.0302472068813247,0.0382469225089858,0.0459838449268605,0.0534232840176167,0.0604720952608433,0.0669135310889898,0.0726566074857259,0.0778301762549061,0.0824067172709806,0.0865099375547704,0.0901577055750819,0.0932368598618704,0.0957739184398047,0.0978824201090585,0.0996453137628183,0.101070032225861,0.101883350067913,0.102221281668843,0.10218868967626,0.101700422740896,0.100846905066902,0.0997447104599233,0.0983102633238173,0.0966640603273404,0.0947997105947612,0.0926500118038757,0.0901737330301019,0.0874846305559921,0.0845946731217836,0.0816629033223748,0.0786048812299958,0.0755087496496158,0.0724142759989302,0.0691934479357805,0.0660020080912481,0.0627845227747437,0.0596682002192257,0.056432635413143,0.0533368126784944,0.0505815134084885,0.0479625679475348,0.0455365710267833,0.0432944846942403,0.0414030079842443,0.0399003922027967,0.0388326718273238,0.0379780370409797,0.037483989374864,0.0371629689229191,0.0371449963947716,0.0373503803756296,0.0378363608277812,0.0385206522499849,0.0393837433057838,0.0404468133880573,0.0416030489394204,0.0427438120154237,0.0439725790496444,0.0452343621264961,0.046519848187849,0.0477577389318619,0.0490041988295019,0.0501513329924305,0.0512772172147176,0.0523471517678822
"MEyellowgreen",-0.16036690261858,-0.161419679430567,-0.162167653343504,-0.162692323797822,-0.16306134502425,-0.163291822068173,-0.163409175723063,-0.163412109374288,-0.163202743192569,-0.162684534668644,-0.161807861917691,-0.160645166799556,-0.159037009699113,-0.157110039549788,-0.154797552809875,-0.15204113333674,-0.148774207699103,-0.144993647096282,-0.1407721287658,-0.135932868630358,-0.130493998607439,-0.124580736908914,-0.118171443463924,-0.111280762326343,-0.104048003122875,-0.0965579748414154,-0.0887806758628503,-0.0808278481235851,-0.0725076155626034,-0.0639790061612272,-0.055257298342637,-0.0463129448296009,-0.0370694317532013,-0.0276543044405297,-0.0183325221213378,-0.00914344772684629,6.55776262627232e-06,0.00910338972226833,0.0182089992084284,0.0272977582667322,0.0360665722961399,0.0444630472882311,0.0526002894329356,0.0604719024738146,0.0681078202687687,0.0754933544622201,0.0825132841228531,0.089061532956595,0.0952071094222146,0.100862589770517,0.105858544780345,0.110439192886664,0.114528843028632,0.118153428965074,0.121213130457745,0.12381860105362,0.125904890114647,0.127541259639778,0.128731431026965,0.129266205150627,0.129264304063098,0.128611726281606,0.12726642166703,0.125238500762399,0.122511123189513,0.119068001761611,0.114994391580047,0.110483902729597,0.105430211751577,0.100058419587468,0.0945228983921291,0.0888427363012939,0.0829492973837887,0.0771355950753618,0.0713709520971325,0.0655905378484425,0.0599444296440626,0.0544736053885836,0.0494450576843975,0.0448010352205716,0.0406176362916825,0.0368218619927252,0.033482646610232,0.0304676711669412,0.027836175450665,0.0255212871059344,0.0237555500899971,0.0224147651582168,0.0213990220665932,0.0207286565488389,0.0202958970099562,0.0199506327413114,0.0198387666255098,0.0198830865066431,0.0201272495619902,0.0204684636612809,0.0209145749470347,0.0213083788912443,0.021726540130797,0.0221361742153483
"MEthistle3",-0.177819661573541,-0.178739435389107,-0.17930297389721,-0.179451194002147,-0.179262276735007,-0.178740581760079,-0.177968495260518,-0.176897364824994,-0.175385939921419,-0.173299899705508,-0.170553840697769,-0.167227581660117,-0.163159075731723,-0.158513070767401,-0.153224954769673,-0.147318803007378,-0.140780498288177,-0.133543420132204,-0.125781759098806,-0.117317438387994,-0.108159711692971,-0.0985241559333484,-0.0885102761737405,-0.0781209663786734,-0.0675161644771591,-0.0569194434564318,-0.0461259996735766,-0.035317420644608,-0.0244784382378681,-0.0136714925921492,-0.00279099499651924,0.00801073099245838,0.0187614370847485,0.0293491628900046,0.0394475017792823,0.0490811994179165,0.0583259607065398,0.0671706244934407,0.0755926894273458,0.0835831024769611,0.0909134305689751,0.0975177372286252,0.10353103079975,0.108916617238416,0.113743209469287,0.11807959760456,0.12181759335937,0.124893132902344,0.127417944353518,0.129473393699688,0.130953475990494,0.131736758777607,0.131900030593677,0.131512901145873,0.130520180545747,0.129051940957482,0.127177452579496,0.124865590162688,0.122217784883258,0.119140781437934,0.115630677645537,0.111584449843853,0.107133996958565,0.102297801465869,0.0971336862329223,0.0915443851863894,0.085646317389638,0.0795818855790825,0.0732682306262109,0.0668420417769284,0.0603521586849317,0.0539150901643032,0.0473377056692168,0.040877761851458,0.0346601619186386,0.0284963847626231,0.0225026386755445,0.016746382422098,0.0114635179521012,0.006666756117134,0.0024532846459296,-0.00131980655852433,-0.00454244756007781,-0.00739702815062875,-0.00975636822005343,-0.011725790253828,-0.0131775538693931,-0.0142305579714065,-0.0149357024518366,-0.0152817684300699,-0.0153714872380223,-0.0153671704714749,-0.0151217788689406,-0.0147016931260702,-0.0140976155908975,-0.0134072643834527,-0.0126136483882604,-0.0118800908658495,-0.011122272788795,-0.0103649340810653
