"","Step0","Step1","Step2","Step3","Step4","Step5","Step6","Step7","Step8","Step9","Step10","Step11","Step12","Step13","Step14","Step15","Step16","Step17","Step18","Step19","Step20","Step21","Step22","Step23","Step24","Step25","Step26","Step27","Step28","Step29","Step30","Step31","Step32","Step33","Step34","Step35","Step36","Step37","Step38","Step39","Step40","Step41","Step42","Step43","Step44","Step45","Step46","Step47","Step48","Step49","Step50","Step51","Step52","Step53","Step54","Step55","Step56","Step57","Step58","Step59","Step60","Step61","Step62","Step63","Step64","Step65","Step66","Step67","Step68","Step69","Step70","Step71","Step72","Step73","Step74","Step75","Step76","Step77","Step78","Step79","Step80","Step81","Step82","Step83","Step84","Step85","Step86","Step87","Step88","Step89","Step90","Step91","Step92","Step93","Step94","Step95","Step96","Step97","Step98","Step99"
"MElightblue3",0.258077294445594,0.251601490960091,0.246229966233097,0.241021362965924,0.236216979122583,0.231373445143714,0.226758464286785,0.222281347217766,0.217815968177376,0.213072372596469,0.208356791535292,0.203441340825306,0.199092809124534,0.194912104985203,0.190881523975639,0.187425283283147,0.184488239950681,0.18205369639481,0.18046133122558,0.180618147300952,0.182368610669689,0.185533944422432,0.19062238196444,0.197710477928987,0.206582607062098,0.217549620513003,0.229917192543544,0.244053704384202,0.261916738265964,0.282677058185171,0.306052750564821,0.333291251101296,0.365315203537391,0.403003579221906,0.445085826551257,0.491070451692827,0.542155591925432,0.599017854679353,0.662444942155392,0.732552821200033,0.807257167048175,0.884564970818368,0.964738549858725,0.952547442363108,0.868749965221665,0.785440009275841,0.705092237152293,0.628646755544471,0.557592430293336,0.494353919627213,0.439578120800043,0.388567296397481,0.342358211821316,0.301424496769371,0.266762632504003,0.236895018332785,0.21223801016673,0.191186799386713,0.173371256561178,0.15944300969798,0.148199026663911,0.139942120341426,0.13538777140527,0.134217372186089,0.13646732467841,0.14168397832262,0.149686893913808,0.160371811459969,0.174701240485048,0.192336560467569,0.212891742061135,0.236779428887991,0.264223265753628,0.293704298784918,0.32527647856868,0.35919763934667,0.394805294346204,0.432080017575687,0.468788888957502,0.505894803749422,0.542077474522483,0.577244736678176,0.610140321861927,0.641144289214972,0.670038839510005,0.696802908178531,0.717872678250573,0.734923928432116,0.748792502578163,0.759491038112464,0.767730791519451,0.774809465549876,0.779752911372406,0.783648009448781,0.785774656690946,0.786704510675819,0.786724227466763,0.787442157723244,0.787914754892619,0.788656918344966
"MEorangered1",0.434814416898896,0.419949748356391,0.407191698496345,0.394668186776806,0.382172048178142,0.368969774396853,0.355397202750498,0.340926444981005,0.325401994426658,0.309266941629971,0.292701948273497,0.276212501723553,0.260669187021995,0.24543456642842,0.230891976841979,0.218262241782173,0.207830033510175,0.199242058821982,0.192773159418321,0.189498503156225,0.189210327645423,0.191484244633756,0.196552880727552,0.204523590050863,0.215173277192147,0.228528421947379,0.243922260924838,0.262147276745292,0.286725399916135,0.315313074231448,0.347438348394904,0.385594380054418,0.430707403412426,0.483272789734908,0.542427615721162,0.607597962445158,0.678861789842786,0.754640700442275,0.836589531098249,0.924207820199917,0.98644411347932,0.897287361352124,0.80830556524148,0.719859025263035,0.633823573535543,0.551266416578972,0.475311095181842,0.407999327670683,0.348440940838251,0.298592179955333,0.258363987078911,0.222281282439453,0.191718962604888,0.166113811221489,0.145657348186318,0.128989863697226,0.115766437603769,0.104664203602738,0.0954704680695999,0.0891121136124408,0.0844638649160807,0.0820220560977343,0.0824085917009095,0.0856529675561411,0.0925678052273062,0.103281239154377,0.11827168430305,0.138039813141535,0.163984340269316,0.196541973012611,0.234512134076909,0.279192282404755,0.330829994756069,0.387501078689009,0.450242672834131,0.518877250290652,0.590610055787517,0.663603055504443,0.733160314786937,0.8009220333932,0.865266042674049,0.925380587795799,0.979582261525011,0.971024939567006,0.925360901062394,0.883177667538311,0.849289369618405,0.821390445567623,0.7977428515716,0.778441150577722,0.762096812002625,0.746942455622119,0.734612798522003,0.724791027257043,0.718211113911954,0.713535724982798,0.710367099909465,0.707010176102008,0.704028083207661,0.701146419202636
"MElightpink4",0.0705185908164818,0.0691528944878828,0.0682686661112903,0.0678247704169466,0.0677538506333273,0.0680626145323198,0.0686866685954249,0.0697238415162526,0.0714457959518135,0.0740625825771364,0.0777846510324673,0.0825024041407643,0.0885688581928712,0.0959274732727387,0.104849995568783,0.115584651247237,0.128473657690269,0.143964698645977,0.162028112225192,0.183499823811313,0.208854554358273,0.237977289911441,0.271160208430314,0.308826740090971,0.350553233594,0.395713532506651,0.445098090862677,0.497568441038993,0.553389785025662,0.612288501354347,0.674388410319769,0.738671004163773,0.805348860616063,0.873235986215535,0.939593671239208,0.99612265172018,0.933561278899671,0.872497543110876,0.813115033479762,0.755829998701831,0.702786360876528,0.654747269380438,0.610632285634584,0.570746613090116,0.534503009129564,0.501715224946642,0.472629827614811,0.447110524227847,0.424446923958861,0.404503866274576,0.387365904082639,0.373012306378212,0.361047950351138,0.35116814905032,0.34359035999223,0.337986159213903,0.334112991311188,0.331766113813023,0.3306255279051,0.331142793220628,0.333035348964494,0.336906808983186,0.34235986833976,0.349452519122911,0.358017666109188,0.368245116661072,0.379735143837574,0.392037378844548,0.405665825639014,0.419839859807896,0.434582930633995,0.449541750353564,0.465609632627161,0.481199061829774,0.496040631445592,0.511073720795811,0.525733424696136,0.539910435963119,0.552223397075077,0.562666044547732,0.570804511594063,0.577589539995306,0.582222196496718,0.585876792152087,0.587776159176351,0.588358892400162,0.586954560361282,0.584139171723913,0.580174490343658,0.57503429521769,0.569398517793855,0.56391286238542,0.557859691313086,0.551622054075776,0.545117270176047,0.538870107626656,0.532684829262336,0.527145097233933,0.52171745617013,0.516586874426225
"MElightsteelblue",0.0803469366132542,0.0782055722973374,0.0765318983328641,0.0753162107359774,0.074481807231463,0.0740763138360595,0.0740353725074932,0.074470478028049,0.0756183164539955,0.0776639993096431,0.0807828845662071,0.0848913818670176,0.0903044561546113,0.0969349236330647,0.104991069880892,0.114716407461264,0.126433157519703,0.140573125790285,0.157183976964636,0.177086732987262,0.200643978003312,0.227641994256986,0.258232781972184,0.29293654817658,0.331380920124583,0.372714412172864,0.418057715619537,0.4662179402627,0.517358827486148,0.571365862844627,0.628651597598084,0.688221674115348,0.749979048739675,0.8127483255892,0.874216042070093,0.934080298306479,0.992599306323584,0.949624813072261,0.892906777872842,0.838525762157632,0.788013221474466,0.742129414356715,0.699649469093544,0.66076788420603,0.624748489081786,0.591651829629393,0.562203828069478,0.536028410718832,0.512402854389697,0.49106262059442,0.471739332643893,0.455299542115063,0.441152472102241,0.428547203852831,0.418210057336614,0.409607644173077,0.402196509647171,0.396400395554971,0.391878152754399,0.388579821782986,0.3867816929285,0.386817398015062,0.388337763538678,0.391213588596113,0.394949823294702,0.39983685567489,0.405474541926536,0.411705994314866,0.419094453325232,0.426653923522578,0.434695204663591,0.442649605821203,0.451283733058647,0.459099028337429,0.465599630833405,0.471871324026437,0.477642182333146,0.482886995785488,0.486724632789541,0.489048663782183,0.48958606269806,0.489587048281308,0.488263138363568,0.486511825893764,0.483810766155974,0.480265456907136,0.475500243229648,0.469990243772771,0.463789911679069,0.456788240945995,0.449562090208644,0.442748497553392,0.435752292560566,0.428914070406496,0.42225745678984,0.416110556542863,0.410095675828728,0.404718101561356,0.399624973155648,0.394914723169803
"MElightcyan",0.114359653637327,0.111817845553031,0.109869577831089,0.108357891985522,0.107160631323442,0.106286558205374,0.105690875117671,0.105386430568936,0.105531691992312,0.106282708143521,0.107741997939562,0.109812939976474,0.112782348851544,0.116507736039007,0.121129451759052,0.126876106409752,0.134017560964552,0.142726908109207,0.15306971293316,0.165790452773909,0.181170451256559,0.199066079936734,0.219722711417143,0.243628716033974,0.270703086753027,0.300622869734569,0.333938217442077,0.370252863538567,0.410849557826164,0.455201546395895,0.503499036426414,0.555911345001333,0.612428244154878,0.672289978824856,0.733796784026924,0.796430295058304,0.860167528370406,0.924776019603034,0.990320196091163,0.944345046559314,0.881158458533824,0.821250511483251,0.76384558526367,0.708955083762708,0.656592649759794,0.606989520011204,0.561268337001855,0.519487446168653,0.481269578368189,0.44694015781018,0.416603755790802,0.389301394906372,0.365004966900607,0.343229475291345,0.324522342615934,0.308240320578714,0.294220277430925,0.282177281443967,0.271971416382156,0.264101078879579,0.258217150369097,0.254767983763914,0.253967762221912,0.255692033927647,0.259998664407869,0.266934476503345,0.276290539295524,0.287688156625403,0.301675278498719,0.317375117226994,0.334197291916459,0.352212838486646,0.37173211383243,0.391313074882615,0.411041222478188,0.43150001607457,0.452079398560761,0.472454051434021,0.491334327086421,0.508854187358298,0.524468776578707,0.53896123723048,0.551621359021413,0.562996581110565,0.572989661740606,0.581794951576963,0.587925207004982,0.592097394341041,0.594668946802862,0.59556881223484,0.595442733470049,0.595192623454553,0.593943473747039,0.59208006158838,0.589415709361413,0.586557923939426,0.58330478757616,0.580492246496259,0.577620679562648,0.574908006396727
"MEmediumpurple3",0.157640204489008,0.153183665146894,0.149423859148171,0.146035141856975,0.142886295818851,0.139959809352124,0.137266535204301,0.134861247431507,0.132896599442611,0.131525372388689,0.130834971607375,0.130703209716806,0.131341990438384,0.13256941608031,0.13448327199158,0.137389587130389,0.141506887257588,0.146869571123326,0.153582821109015,0.162268656514561,0.172988033383359,0.185591218551792,0.200259690793996,0.217305772798447,0.236727384070926,0.258238506344473,0.282217283143805,0.30827197421533,0.337816470256684,0.370290334719355,0.40595039184719,0.445466602330655,0.489125307678859,0.536546196395159,0.586451544640969,0.63850892839749,0.692844832056561,0.749746501790643,0.809619321723011,0.871169311919071,0.932380964698817,0.992334820274339,0.948300547273548,0.889908629337974,0.832155538191256,0.775799199805518,0.722393408779829,0.672202138612651,0.624767550920854,0.580989599072364,0.541291826946899,0.504183793808373,0.470282465381018,0.438917517738639,0.410947614943919,0.38574711083344,0.36327278926169,0.34314765927481,0.325136093309958,0.30984088616475,0.29680342868075,0.286432033205589,0.279112323655251,0.274651017065201,0.273049027720414,0.274107422389759,0.277577880972226,0.28318359719464,0.291224899247396,0.300660097973177,0.311008540956018,0.322419231934444,0.334850722917097,0.347161868618321,0.359605030595749,0.372414146464389,0.385252361463732,0.397762266831214,0.408982017384335,0.419139875516255,0.427959452245566,0.436008944457203,0.442543070874114,0.448250054613473,0.45320240760411,0.45734784790688,0.459415438088868,0.459962831431759,0.459362067989454,0.457498666054839,0.45495131918185,0.452397243876648,0.449229201214203,0.4457944764227,0.441912309435776,0.438023884718729,0.433977454833656,0.430382956338948,0.426849152724998,0.423560528798249
"MElavenderblush3",0.055574590051033,0.0538262111619207,0.0524834688740732,0.0516811018410227,0.0513801684697272,0.0515838178070503,0.0522307205451365,0.0535010961994379,0.0556971125121473,0.0590736425278208,0.0639080610630329,0.0702660086408779,0.0786153502053501,0.0890966236671324,0.102317533266441,0.118784570385248,0.138988391664654,0.163910383330305,0.193953147260194,0.230493578153187,0.274532207687949,0.325921558663125,0.384357912553834,0.450187565952635,0.522206551822814,0.597865167834657,0.678698210704282,0.76200493756333,0.846248927210814,0.930285195506697,0.985235134300487,0.903014481827218,0.82367812270364,0.748438343162781,0.680221930059878,0.618575852274733,0.562543843721959,0.511114375134627,0.464498994476045,0.423194557496106,0.388144108554472,0.359130701245771,0.334829433820845,0.315096077067003,0.298549226288062,0.284831541084109,0.274385285025797,0.266912922431931,0.261640578912992,0.257963607062714,0.25575088737207,0.256557621311629,0.259804253204909,0.264718932128146,0.271733154540549,0.280576314097643,0.290673044297639,0.302766408719841,0.316314869472831,0.331221946605265,0.348171283484633,0.367493717014997,0.388575669437637,0.411333546806947,0.434889125075209,0.459818231943553,0.485654157671212,0.512284721289529,0.540686677501538,0.569498922992135,0.599324642107092,0.628883810041213,0.659815548698069,0.69029465236265,0.718383918888355,0.745268544893818,0.770320232200417,0.793613564803773,0.814089538610842,0.831179589771549,0.844301756981682,0.855385606645039,0.863132311326645,0.869332719682618,0.87273934615502,0.873909573650123,0.872483584566343,0.869283407786322,0.864382444144786,0.857540898920156,0.849694426162618,0.842054570031428,0.833582802306211,0.824817022683578,0.815856491402243,0.807352691300897,0.798565464942635,0.790587020822943,0.782804174088035,0.775467685766379
"MEpalevioletred3",0.0555470603243696,0.0540196481702028,0.0529078040969233,0.0523022665443009,0.0521410016614567,0.0524323228442414,0.0531210887040452,0.0543631378088456,0.0564272465459426,0.0595120830590233,0.0638920253530652,0.0695762222614005,0.0769753487331133,0.0861830435590697,0.0976313975066215,0.111696222645525,0.128804979018533,0.149769227952794,0.174771366740001,0.204967492795756,0.24117257799022,0.283277452179923,0.331196579017668,0.385486169574919,0.445327889331974,0.508867566790855,0.577493273305333,0.649244675821339,0.723183251146193,0.798457448939248,0.875595769309927,0.952360499966438,0.971757468958349,0.897883954503784,0.828991294561809,0.7651402613585,0.705579973501831,0.649614656982799,0.597573308425852,0.550063169444683,0.508314448223762,0.472522036343959,0.441486693759207,0.415018380275762,0.392092407952671,0.372360509267456,0.356185305634025,0.343190937811216,0.332621562282807,0.323945288741646,0.317040435839957,0.31314165222652,0.311530895892046,0.311686011336315,0.314015826272244,0.318115491182238,0.323460459364346,0.330502428770327,0.338703381832601,0.348144960890573,0.359233969233211,0.37227517154856,0.386759820759016,0.402697975620479,0.419256239894873,0.43694044577836,0.455268195423042,0.474004164701223,0.493940018017507,0.514121267592642,0.534886306870158,0.555387758828961,0.57706559251873,0.598167372127906,0.617232889095099,0.635593708726483,0.65280120888996,0.668867877222841,0.682539550927365,0.693474376312967,0.701282923693367,0.707555624137709,0.711190716031129,0.713556188954947,0.713688701845445,0.712174896895149,0.708597379197677,0.703570734845176,0.697248837822631,0.689490542860421,0.681088690523072,0.672837266904932,0.663992500029186,0.65495780266116,0.64580426422621,0.63703925445742,0.628263806346549,0.620233063063092,0.612394196738331,0.60498511820846
"MEyellowgreen",0.110971680684809,0.10861641314495,0.106966844294124,0.105821455359299,0.105021612339375,0.104524461877251,0.104272032176969,0.104265727957021,0.10471639084252,0.10583838919754,0.107757865890535,0.11034532379625,0.114003435878153,0.118509775497677,0.12409780506572,0.131020498211041,0.139602718298563,0.150058415492549,0.162416615340128,0.177495384847598,0.195639548684778,0.216844629054672,0.241612666086751,0.270355421770202,0.302917097677562,0.339236245527312,0.379736977417474,0.424043669513596,0.473432991079543,0.527128998877469,0.585036217173586,0.647274041857147,0.714245939010239,0.784762167657233,0.856339658801141,0.928059313727027,0.999948334466716,0.928373653471934,0.857297365864143,0.787471220243683,0.72165544530961,0.660474812998251,0.603237996786604,0.550064443393139,0.50075785784367,0.455360380096958,0.414413266853663,0.378225346152625,0.346067844416996,0.318039843512953,0.294534939693729,0.274017692187215,0.25653148484421,0.24168493559056,0.229624327225544,0.219691769499542,0.211960289828193,0.206033091543624,0.201797207485449,0.199914412536276,0.199921083301964,0.202220393333765,0.207020227055971,0.214408492955053,0.224637502699622,0.238034811743315,0.254590429282554,0.273822292254103,0.296504007019001,0.321933329233324,0.349560726020586,0.379402640839907,0.411942830858822,0.445585325266268,0.480413894996461,0.516753604885195,0.553555364026621,0.590378715014691,0.625172288797961,0.658055015950259,0.688246842354609,0.716072645264391,0.740863837760135,0.763478520582889,0.783381290167424,0.801006080667815,0.814517706561488,0.824814191760909,0.8326344424998,0.837804614201527,0.841145938517328,0.843813739305309,0.844678490654102,0.844335865460141,0.842448827477429,0.839813214977119,0.836370023705398,0.833333113508155,0.830111045591895,0.826957406768009
"MEthistle3",0.0767313195876254,0.0751938506546092,0.0742641551831831,0.0740211720953568,0.0743309838323327,0.075191949980932,0.0764808360074811,0.0782982408338788,0.0809213992933784,0.0846567032681774,0.0897817997962159,0.0963157256798268,0.1048105771417,0.115215339641061,0.128012075602185,0.143560491464821,0.162391388129874,0.185308505993396,0.212411148060466,0.245055200980661,0.284104351349767,0.329446238393323,0.381195774962928,0.439777113631176,0.504494079778287,0.573779093526687,0.648603208455405,0.727207335879597,0.808979269592569,0.892609997022824,0.978013800878577,0.936951953390065,0.853015788970499,0.771920162811385,0.696782638571869,0.627723375627004,0.564332923719471,0.506682790659045,0.454765755360402,0.408367093055395,0.368349668993718,0.33443466367316,0.305338874921947,0.280727978013619,0.259829995472059,0.241981284380053,0.22729244693957,0.215685185506891,0.206475585868502,0.199188363214887,0.194056852931784,0.1913801611321,0.190825601544466,0.192142399331753,0.195549113980505,0.200667256460101,0.207340500223689,0.215787232064194,0.22575777418265,0.237745998235386,0.251953807892499,0.26904201123707,0.288722838313753,0.311166911343192,0.336350825652486,0.365021381940776,0.396853803600131,0.431245062686035,0.468792475785822,0.508768640748772,0.550855994022108,0.594199601113522,0.640007820148743,0.68635455544467,0.732089868172837,0.77837424457219,0.824138441972105,0.868652789273946,0.909873869392859,0.947513086308912,0.980673583031583,0.989602153473984,0.964223999634243,0.941773267849685,0.923251063499665,0.907820841382645,0.896467983477042,0.888246350241672,0.882747286956092,0.880050511696944,0.879351585597933,0.879385211892179,0.881297087969369,0.88457160314385,0.889283701996678,0.894673487794712,0.900875399725009,0.906613281803699,0.912545970350611,0.918479704556218
"MElavenderblush2",0.132597135004622,0.129387637445907,0.12705448619916,0.12546123455619,0.124462891523226,0.123883702472577,0.123650339887196,0.123776361821606,0.124432942923807,0.125899633409019,0.128331007905748,0.131700510807306,0.136474005852363,0.142357689654021,0.149684825295802,0.158931720957915,0.170533021984617,0.184748952869116,0.201700456048724,0.222674507381736,0.248211973954227,0.278230646768401,0.313157922861604,0.353324442336737,0.398526271628523,0.448106151772394,0.502296616247612,0.560695890614176,0.625001784466484,0.69325233496037,0.76508084899558,0.840250946581122,0.918785864000143,0.998918169106809,0.922554571631398,0.846287884330253,0.772218081702615,0.701279252351888,0.633212433666691,0.568744533893349,0.510315842540864,0.458094677239666,0.410987151627824,0.368668325349223,0.330640139309415,0.296622354288965,0.266983153007007,0.241966638436787,0.220540222369876,0.202724307180776,0.188588025149906,0.176780961792775,0.167618361561792,0.160533289423617,0.155674623822209,0.152590454473851,0.151084567038504,0.150927116191306,0.151991772229129,0.155045131117579,0.159943662409363,0.167377945246549,0.177718673337122,0.191266703491332,0.208645851715357,0.230388831358108,0.256743270460123,0.28762615420559,0.324118712578296,0.36570034596696,0.411530580044086,0.46139186203257,0.515679253312316,0.572204173712311,0.630683921242097,0.691333881739683,0.752141219218477,0.811985846460307,0.868002533560671,0.920944276980297,0.969567401928841,0.985853984226931,0.946373042083165,0.910632301386967,0.8788679490631,0.850395578765427,0.827667388198682,0.809269130237438,0.794249001356121,0.782751182663922,0.773597236208563,0.765360186649061,0.759342283528148,0.755050147847025,0.752949784605121,0.751974511310976,0.752131814485619,0.751935076713976,0.752013865933242,0.752169691951285
