"","x"
"1","mediumorchid"
"2","black"
"3","yellowgreen"
"4","sienna2"
"5","indianred4"
"6","black"
"7","yellowgreen"
"8","greenyellow"
"9","midnightblue"
"10","cyan"
"11","greenyellow"
"12","greenyellow"
"13","magenta"
"14","paleturquoise"
"15","lightcyan"
"16","darkgreen"
"17","orangered1"
"18","skyblue3"
"19","lightgreen"
"20","palevioletred3"
"21","salmon"
"22","skyblue2"
"23","coral1"
"24","tan"
"25","firebrick2"
"26","skyblue3"
"27","greenyellow"
"28","blue"
"29","skyblue"
"30","lightcyan"
"31","pink3"
"32","skyblue2"
"33","darkred"
"34","skyblue2"
"35","red"
"36","navajowhite2"
"37","yellow"
"38","skyblue4"
"39","plum1"
"40","sienna4"
"41","darkolivegreen"
"42","mediumpurple1"
"43","pink4"
"44","mediumorchid"
"45","skyblue3"
"46","brown4"
"47","greenyellow"
"48","darkmagenta"
"49","darkred"
"50","yellow"
"51","darkslateblue"
"52","honeydew1"
"53","magenta4"
"54","deeppink"
"55","darkgrey"
"56","yellow"
"57","tan"
"58","yellow3"
"59","thistle2"
"60","midnightblue"
"61","darkseagreen3"
"62","skyblue3"
"63","darkgreen"
"64","magenta"
"65","firebrick2"
"66","indianred4"
"67","tan"
"68","magenta"
"69","lightyellow"
"70","plum2"
"71","darkolivegreen"
"72","salmon4"
"73","darkslateblue"
"74","lightyellow"
"75","turquoise"
"76","sienna2"
"77","mediumpurple3"
"78","lightpink3"
"79","lightpink3"
"80","navajowhite1"
"81","turquoise"
"82","plum"
"83","sienna3"
"84","brown4"
"85","red"
"86","darkolivegreen"
"87","darkseagreen3"
"88","ivory"
"89","slateblue"
"90","brown"
"91","darkolivegreen4"
"92","brown"
"93","honeydew1"
"94","maroon"
"95","darkolivegreen1"
"96","yellow4"
"97","darkmagenta"
"98","mediumorchid"
"99","lavenderblush1"
"100","floralwhite"
"101","black"
"102","honeydew"
"103","tan4"
"104","orange"
"105","grey60"
"106","darkmagenta"
"107","cyan"
"108","darkgrey"
"109","orange"
"110","palevioletred1"
"111","plum2"
"112","lightcyan1"
"113","lightgreen"
"114","thistle"
"115","darkred"
"116","plum2"
"117","darkolivegreen2"
"118","yellow"
"119","darkred"
"120","black"
"121","salmon1"
"122","violet"
"123","floralwhite"
"124","sienna3"
"125","darkorange2"
"126","ivory"
"127","greenyellow"
"128","darkturquoise"
"129","coral2"
"130","greenyellow"
"131","orangered4"
"132","blue4"
"133","salmon"
"134","turquoise"
"135","thistle2"
"136","skyblue3"
"137","darkred"
"138","red"
"139","cyan"
"140","darkgreen"
"141","midnightblue"
"142","lightcoral"
"143","saddlebrown"
"144","lightpink4"
"145","darkorange2"
"146","plum2"
"147","lightgreen"
"148","orange"
"149","navajowhite"
"150","violet"
"151","lavenderblush3"
