"","x"
"antiquewhite1","ENSMUSG00000032423"
"antiquewhite2","ENSMUSG00000023104"
"antiquewhite4","ENSMUSG00000003437"
"bisque4","ENSMUSG00000024427"
"black","ENSMUSG00000021037"
"blue","ENSMUSG00000009418"
"blue2","ENSMUSG00000029405"
"blue4","ENSMUSG00000093930"
"blueviolet","ENSMUSG00000030946"
"brown","ENSMUSG00000002524"
"brown2","ENSMUSG00000030659"
"brown4","ENSMUSG00000014602"
"chocolate4","ENSMUSG00000021930"
"coral","ENSMUSG00000030583"
"coral1","ENSMUSG00000042742"
"coral2","ENSMUSG00000039838"
"coral3","ENSMUSG00000029817"
"coral4","ENSMUSG00000031568"
"cyan","ENSMUSG00000049555"
"darkgreen","ENSMUSG00000033128"
"darkgrey","ENSMUSG00000030678"
"darkmagenta","ENSMUSG00000027860"
"darkolivegreen","ENSMUSG00000025575"
"darkolivegreen1","ENSMUSG00000024505"
"darkolivegreen2","ENSMUSG00000020614"
"darkolivegreen4","ENSMUSG00000031701"
"darkorange","ENSMUSG00000091515"
"darkorange2","ENSMUSG00000006442"
"darkred","ENSMUSG00000018669"
"darkseagreen2","ENSMUSG00000020135"
"darkseagreen3","ENSMUSG00000027104"
"darkseagreen4","ENSMUSG00000026834"
"darkslateblue","ENSMUSG00000032051"
"darkturquoise","ENSMUSG00000021071"
"darkviolet","ENSMUSG00000047261"
"deeppink","ENSMUSG00000020522"
"firebrick2","ENSMUSG00000097433"
"firebrick3","ENSMUSG00000039629"
"firebrick4","ENSMUSG00000034801"
"floralwhite","ENSMUSG00000100158"
"green","ENSMUSG00000071655"
"green4","ENSMUSG00000033540"
"greenyellow","ENSMUSG00000031775"
"grey60","ENSMUSG00000034667"
"honeydew","ENSMUSG00000013089"
"honeydew1","ENSMUSG00000046160"
"indianred2","ENSMUSG00000037149"
"indianred3","ENSMUSG00000051586"
"indianred4","ENSMUSG00000040370"
"ivory","ENSMUSG00000028879"
"lavenderblush1","ENSMUSG00000021234"
"lavenderblush2","ENSMUSG00000021796"
"lavenderblush3","ENSMUSG00000066829"
"lightblue3","ENSMUSG00000037013"
"lightblue4","ENSMUSG00000018848"
"lightcoral","ENSMUSG00000057409"
"lightcyan","ENSMUSG00000002870"
"lightcyan1","ENSMUSG00000031072"
"lightgreen","ENSMUSG00000040591"
"lightpink2","ENSMUSG00000042851"
"lightpink3","ENSMUSG00000025666"
"lightpink4","ENSMUSG00000053510"
"lightskyblue4","ENSMUSG00000039542"
"lightslateblue","ENSMUSG00000004843"
"lightsteelblue","ENSMUSG00000026648"
"lightsteelblue1","ENSMUSG00000026603"
"lightyellow","ENSMUSG00000021376"
"magenta","ENSMUSG00000033068"
"magenta3","ENSMUSG00000023034"
"magenta4","ENSMUSG00000026782"
"maroon","ENSMUSG00000024381"
"mediumorchid","ENSMUSG00000061175"
"mediumpurple","ENSMUSG00000036208"
"mediumpurple1","ENSMUSG00000004056"
"mediumpurple2","ENSMUSG00000038429"
"mediumpurple3","ENSMUSG00000020948"
"mediumpurple4","ENSMUSG00000037860"
"midnightblue","ENSMUSG00000030352"
"mistyrose","ENSMUSG00000001998"
"navajowhite","ENSMUSG00000030987"
"navajowhite1","ENSMUSG00000071076"
"navajowhite2","ENSMUSG00000024614"
"orange","ENSMUSG00000036241"
"orangered","ENSMUSG00000039982"
"orangered1","ENSMUSG00000007815"
"orangered3","ENSMUSG00000021891"
"orangered4","ENSMUSG00000024816"
"paleturquoise","ENSMUSG00000036442"
"palevioletred1","ENSMUSG00000071350"
"palevioletred2","ENSMUSG00000034278"
"palevioletred3","ENSMUSG00000057133"
"pink","ENSMUSG00000026433"
"pink3","ENSMUSG00000103046"
"pink4","ENSMUSG00000034042"
"plum","ENSMUSG00000042595"
"plum1","ENSMUSG00000034863"
"plum2","ENSMUSG00000043165"
"plum3","ENSMUSG00000046449"
"plum4","ENSMUSG00000066278"
"purple","ENSMUSG00000029426"
"red","ENSMUSG00000056692"
"royalblue","ENSMUSG00000017288"
"saddlebrown","ENSMUSG00000051675"
"salmon","ENSMUSG00000019710"
"salmon1","ENSMUSG00000049999"
"salmon2","ENSMUSG00000020381"
"salmon4","ENSMUSG00000056367"
"sienna2","ENSMUSG00000023868"
"sienna3","ENSMUSG00000039033"
"sienna4","ENSMUSG00000032342"
"skyblue","ENSMUSG00000029499"
"skyblue1","ENSMUSG00000007783"
"skyblue2","ENSMUSG00000036564"
"skyblue3","ENSMUSG00000005716"
"skyblue4","ENSMUSG00000071661"
"slateblue","ENSMUSG00000032458"
"steelblue","ENSMUSG00000044072"
"tan","ENSMUSG00000031295"
"tan4","ENSMUSG00000001018"
"thistle","ENSMUSG00000047098"
"thistle1","ENSMUSG00000007415"
"thistle2","ENSMUSG00000019777"
"thistle3","ENSMUSG00000037533"
"thistle4","ENSMUSG00000029211"
"turquoise","ENSMUSG00000058006"
"violet","ENSMUSG00000087259"
"white","ENSMUSG00000052428"
"yellow","ENSMUSG00000020271"
"yellow2","ENSMUSG00000031028"
"yellow3","ENSMUSG00000031174"
"yellow4","ENSMUSG00000006740"
"yellowgreen","ENSMUSG00000035783"
