"","x"
"1","regulation of dendritic spine morphogenesis"
"2","body morphogenesis"
"3","viral entry into host cell"
"4","positive regulation of lipid transport"
"5","positive regulation of glial cell differentiation"
"6","regulation of glutamate receptor signaling pathway"
"7","mitochondrial respiratory chain complex I assembly"
"8","T cell activation involved in immune response"
"9","mitochondrial ATP synthesis coupled electron transport"
"10","mitochondrial ATP synthesis coupled electron transport"
"11","bicellular tight junction assembly"
"12","cell growth involved in cardiac muscle cell development"
"13","cellular response to mechanical stimulus"
"14","regulation of mitotic sister chromatid segregation"
"15","interferon-gamma production"
"16","regulation of cilium movement"
"17","response to protozoan"
"18","negative regulation of oxidative stress-induced cell death"
"19","cellular response to estradiol stimulus"
"20","presynapse assembly"
"21","pyrimidine dimer repair"
"22","translational termination"
"23","meiotic chromosome separation"
"24","response to glucocorticoid"
"25","pyrimidine-containing compound metabolic process"
"26","antigen processing and presentation of exogenous peptide antigen"
"27","phosphatidylinositol phosphorylation"
"28","long-term synaptic depression"
"29","mRNA destabilization"
"30","negative regulation of muscle cell apoptotic process"
"31","lung alveolus development"
"32","mRNA polyadenylation"
"33","maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
"34","positive regulation of fibroblast apoptotic process"
"35","phospholipid transport"
"36","regulation of cell-cell adhesion mediated by cadherin"
"37","regulation of spindle assembly"
"38","positive regulation of protein sumoylation"
"39","positive regulation of peptidyl-threonine phosphorylation"
"40","myoblast differentiation"
"41","positive regulation of T cell mediated cytotoxicity"
"42","regulation of protein localization to cilium"
"43","positive regulation of protein polyubiquitination"
"44","positive regulation of synaptic transmission, GABAergic"
"45","rRNA transport"
"46","mitotic metaphase plate congression"
"47","cellular response to corticotropin-releasing hormone stimulus"
"48","regulation of telomere capping"
"49","snRNA processing"
"50","negative regulation of astrocyte differentiation"
"51","regulation of dendritic spine morphogenesis"
"52","acetyl-CoA metabolic process"
"53","cellular response to amino acid starvation"
"54","positive regulation of histone H3-K27 methylation"
"55","estrogen metabolic process"
"56","pre-miRNA processing"
"57","regulation of phospholipase activity"
"58","energy coupled proton transport, down electrochemical gradient"
"59","artery morphogenesis"
"60","synaptonemal complex organization"
"61","peptidyl-tyrosine dephosphorylation"
"62","positive regulation of tau-protein kinase activity"
"63","endothelial cell morphogenesis"
"64","extracellular exosome biogenesis"
"65","primitive hemopoiesis"
"66","mitochondrial DNA replication"
"67","protein-DNA complex remodeling"
"68","adenylate cyclase-activating adrenergic receptor signaling pathway"
"69","Golgi vesicle budding"
"70","skin morphogenesis"
"71","positive regulation of translation in response to stress"
"72","regulation of myoblast proliferation"
"73","microtubule severing"
"74","mitotic G2 DNA damage checkpoint"
"75","neural retina development"
"76","regulation of nitric oxide biosynthetic process"
"77","epinephrine transport"
"78","positive regulation of T cell receptor signaling pathway"
"79","cellular response to dexamethasone stimulus"
"80","lipopolysaccharide-mediated signaling pathway"
"81","positive regulation of myoblast differentiation"
"82","positive regulation of cellular amine metabolic process"
"83","positive regulation of defense response to virus by host"
"84","voluntary musculoskeletal movement"
"85","regulation of endocrine process"
"86","spliceosomal snRNP assembly"
"87","detection of light stimulus"
"88","neuropeptide signaling pathway"
"89","positive regulation of centrosome cycle"
"90","negative regulation of oxidative stress-induced cell death"
