"","MEantiquewhite4","MEbisque4","MEblack","MEblue","MEblue2","MEbrown","MEbrown2","MEbrown4","MEcoral","MEcoral1","MEcoral2","MEcyan","MEdarkgreen","MEdarkgrey","MEdarkmagenta","MEdarkolivegreen","MEdarkolivegreen4","MEdarkorange","MEdarkorange2","MEdarkred","MEdarkseagreen3","MEdarkseagreen4","MEdarkslateblue","MEdarkturquoise","MEdarkviolet","MEfirebrick4","MEfloralwhite","MEgreen","MEgreenyellow","MEgrey","MEgrey60","MEhoneydew","MEhoneydew1","MEindianred4","MEivory","MElavenderblush2","MElavenderblush3","MElightcoral","MElightcyan","MElightcyan1","MElightgreen","MElightpink3","MElightpink4","MElightsteelblue","MElightsteelblue1","MElightyellow","MEmagenta","MEmagenta4","MEmaroon","MEmediumorchid","MEmediumpurple2","MEmediumpurple3","MEmidnightblue","MEnavajowhite1","MEnavajowhite2","MEorange","MEorangered3","MEorangered4","MEpaleturquoise","MEpalevioletred2","MEpalevioletred3","MEpink","MEplum","MEplum1","MEplum2","MEplum3","MEpurple","MEred","MEroyalblue","MEsaddlebrown","MEsalmon","MEsalmon2","MEsalmon4","MEsienna3","MEskyblue","MEskyblue1","MEskyblue2","MEskyblue3","MEsteelblue","MEtan","MEthistle","MEthistle1","MEthistle2","MEthistle3","MEturquoise","MEviolet","MEwhite","MEyellow","MEyellow4","MEyellowgreen"
"X0",0.203538679067372,0.1187478036002,-0.138408470836628,-0.104255290770942,0.0903132314579734,-0.108079805605756,0.225943673391338,0.21246455852533,-0.04383388702163,-0.142633230042933,0.160227355626004,-0.0472781066353725,-0.172465401260383,0.0795559004161393,-0.0195632858744746,0.076048212223362,-0.0276801424784921,0.1906034137229,0.0768067361002084,0.176991893053218,0.243761686781593,0.00686123650922787,0.0785095688836897,0.168878616743696,0.0960357427968963,0.178361081529685,0.0370353859084802,0.139251078150411,0.110409050881389,-0.196710481502688,0.15026251262812,0.259240657587285,0.227959548622034,0.0302440421194489,-0.175146804572553,0.0451066352499985,0.00316329825290662,0.103143744918585,-0.156625695370798,0.0106512920095384,0.133213247378182,-0.0255861302622754,-0.0174071533006733,0.163929707428893,0.180988274013467,0.0798151779786157,0.142844531777761,0.0538477845712446,-0.00454933461642892,0.0108226738781675,0.132496352041563,-0.13860753013555,0.176504099582002,-0.0389908904093299,0.143448248255635,-0.14472467108915,0.205253977198261,-0.178684311789915,0.161834329408144,-0.1086582968782,0.137003206570626,0.118109306436461,0.0789531663437796,-0.124666081166611,-0.183971243053411,0.102827653226323,-0.0626965053061263,0.150229543510078,0.146240335466504,0.159293695996968,0.183539815941138,-0.0126746754910178,-0.060666827574835,-0.0112566404325211,0.203618413403794,0.0412529095179781,-0.0656120026280725,0.159106742386279,-0.120884256283673,0.145747398432793,-0.0559061742149103,0.20008746517864,0.0317198551379866,0.146078739203682,-0.126311259211614,-0.11308726442398,0.12605607646466,-0.090056129111739,0.0648667206942316,0.0398836856338255
"X1",0.201723871146855,0.117897365579384,-0.13856672471791,-0.104601739395604,0.0876087496495583,-0.108505636213514,0.221141036559853,0.210296250927065,-0.0436950989181279,-0.143090381482038,0.15842865217877,-0.0479585038599392,-0.172298877822322,0.079258758005172,-0.0213717912381153,0.0748337280951209,-0.0295696241884821,0.18924151013155,0.0751473607612311,0.176021516419066,0.240232870696607,0.00616140695456399,0.0776319107545338,0.167544556848213,0.0910455212016959,0.176003516494655,0.0357898277633161,0.13858469152466,0.109820061778732,-0.192627725019982,0.149615953499502,0.255206226676449,0.224793424083356,0.0300903755808337,-0.175430526822952,0.0441231414356183,0.00220245775316165,0.100038076991059,-0.156584386218847,0.00902229967089314,0.132119914301194,-0.0253963148416404,-0.0190267850045874,0.161896180032444,0.179334210491583,0.0793508357298202,0.142394360979767,0.0539988684566418,-0.00593935254119711,0.0108381081001406,0.13084126904517,-0.139968403005941,0.175287268988083,-0.0421242379480239,0.141391648947754,-0.145089115985891,0.202957832522415,-0.178237248492506,0.160917191011443,-0.110225077171784,0.13421256418636,0.117682699411515,0.0786217890611153,-0.125823520428953,-0.184017182660004,0.10111056903471,-0.0634933101681873,0.149451393714459,0.145568655429329,0.158297144759069,0.182137025159924,-0.0163741673676885,-0.0633643407959178,-0.0122727601698864,0.201844020766616,0.0404009190314487,-0.0665701045657017,0.158345079463174,-0.121625797581456,0.144683650958525,-0.0590638324584731,0.19569482014075,0.0295656511334439,0.144553766633138,-0.126503357444982,-0.113434032517409,0.124648949332358,-0.0904431257753145,0.0649366084992292,0.0384157539617376
"X2",0.199837249888189,0.117090831795587,-0.138757646772934,-0.104959580594356,0.0846639782081076,-0.10896450382547,0.216116270548664,0.208031937595796,-0.0436282236582307,-0.143694242149753,0.156613897595185,-0.0486368961570368,-0.172164624979969,0.0789337897089447,-0.0233018296347349,0.0735234014428558,-0.0315870571895702,0.187858081693327,0.0734927199473909,0.17502919989886,0.236480198666152,0.00550072922682341,0.0768042056941924,0.166242986247197,0.0857077972409917,0.173609787389023,0.0345460161059644,0.13789934897361,0.109190034858845,-0.18807647920529,0.148988142197788,0.25093252657914,0.22147360086392,0.0298813784293551,-0.175757526347691,0.0429391295108043,0.00114954483133205,0.0967935459581009,-0.156579960610961,0.00733220979066727,0.130961143332074,-0.0252402935179574,-0.0207210130717769,0.159724133180339,0.17766976437809,0.0788287447494451,0.141963765842601,0.0542071116834199,-0.00732314933073054,0.010821210276442,0.12921405380912,-0.141447010861494,0.174012110606132,-0.0455269094420618,0.139266879429967,-0.14555568632251,0.200642463813132,-0.177870737162,0.160050651056109,-0.111982687083618,0.13128254854187,0.117245675471382,0.0782801345823756,-0.12714171718924,-0.18412244891307,0.099401706049713,-0.0643053368192251,0.148655091624482,0.144951408134974,0.157348747860501,0.180660959672163,-0.0204167119834442,-0.0662864120216394,-0.0132643303502422,0.200045351810583,0.0396177802132404,-0.0675061193012094,0.157619830654795,-0.122478415842513,0.143554558344601,-0.0625349033620794,0.191015939973378,0.0271173061097295,0.143101379340216,-0.126725135100248,-0.113879074401401,0.123123146189457,-0.090831549581182,0.0650384829994839,0.0368995314330358
"X3",0.197817552590443,0.116369732077033,-0.138933820210663,-0.105321100274373,0.0814340011375881,-0.109448280376868,0.210655637753015,0.205525357893576,-0.0435865537240806,-0.144341294574991,0.154713337860638,-0.0493039184739046,-0.171917094557934,0.0786258081709393,-0.0254698568297939,0.0721373627740709,-0.0336986832252733,0.186360091688017,0.0717858261594064,0.173960998618553,0.232315468713798,0.00493548542925707,0.0760619493424384,0.164982058378624,0.079813576404093,0.170977877360447,0.0332182607095132,0.137182400412142,0.108529150759574,-0.18263770600773,0.148390964390975,0.246139656959738,0.217813129315887,0.0296725968453283,-0.175967362677125,0.0416829311040179,6.6982478916998e-05,0.093295757159501,-0.156532089474763,0.00545530126277659,0.129703542554419,-0.0249548168220299,-0.022558427614576,0.157332958535755,0.175898511900637,0.0782609580543311,0.141555236415672,0.0547211815412515,-0.00878000078297103,0.0109000437367862,0.127542418461115,-0.142955639644706,0.172604077128035,-0.0491661663719969,0.136935555880815,-0.14604893374039,0.198155777127046,-0.177407255944108,0.159218665066242,-0.113877045035342,0.128053313890841,0.11682274874912,0.0780339414772639,-0.128575752920738,-0.184091124305027,0.0976296155084564,-0.065155066913365,0.147811874726083,0.144414549132957,0.156456441920892,0.179057073517859,-0.0247560438027821,-0.0694783136075123,-0.0142504176524215,0.198081421447608,0.038843422830115,-0.068034202825895,0.156898570650288,-0.123435066817234,0.14231605831794,-0.0664044316654967,0.18591770383416,0.0243604865025908,0.141690468902975,-0.126948547591396,-0.11419550015178,0.121420194962447,-0.0912215079988614,0.0653681014539523,0.0351729795374193
"X4",0.195565242527564,0.115902940154823,-0.13905382230429,-0.105615985803207,0.0777120407202737,-0.109928670577593,0.204418177115124,0.202650211856931,-0.0435521402381728,-0.144990191534279,0.15273779745994,-0.0498832821555876,-0.171457011841663,0.0783645674448944,-0.0280049146103427,0.0705843277834331,-0.0359152248503161,0.184707958063568,0.0701754850199985,0.17278274585396,0.227493325026702,0.004618554239288,0.0755754830279879,0.163853261204651,0.0729291844085578,0.167983569506818,0.0318152642670596,0.136398166345651,0.107809594223207,-0.175636948929422,0.147849114791569,0.240332221704415,0.213566272322027,0.0294649182011551,-0.175966413257601,0.04026963881797,-0.00106305925180005,0.0894776966525569,-0.156358035598947,0.0032842544597308,0.128267566095048,-0.0244083803782923,-0.0246130787253667,0.154546263935548,0.173986436172183,0.0776201986789159,0.141175675687634,0.0559243711470006,-0.0103471474584549,0.0111866987587441,0.125920250650632,-0.144474387225001,0.170977069398151,-0.0533498716544556,0.134318836540545,-0.146567619526264,0.195386413242427,-0.176786031470764,0.158476387016747,-0.116062761162928,0.124414499346655,0.116419179327139,0.0779141294875125,-0.130203557347248,-0.183755328470825,0.0957902851011647,-0.0659849206597226,0.146885087141708,0.144067793834383,0.155712477744709,0.177272779856248,-0.0295846528397383,-0.0731425900573619,-0.0150841567339487,0.195835262313439,0.0381808507087677,-0.0677765485276454,0.156187976752459,-0.124561036482243,0.140875965954826,-0.0709152424309266,0.180025387888913,0.0210756880244574,0.140483354346491,-0.127126179411556,-0.114290572547179,0.119391625370981,-0.0915349536734942,0.0661776206060713,0.0331317034693286
"X5",0.192900308938648,0.115703593082455,-0.139072214601089,-0.105820974919697,0.0733976856926496,-0.11038753900755,0.197004175079686,0.199218959668436,-0.0434123980913071,-0.145341535831669,0.150649021273594,-0.0503456725891955,-0.170672787250025,0.0781942021670172,-0.0310365403138624,0.0688173510264474,-0.0382016292705659,0.182780350877569,0.0685901841962794,0.171422908780357,0.221899676049389,0.00463546551940963,0.0754313018550232,0.162792645838409,0.0648413320909873,0.164485141889412,0.030320207250527,0.135515550576008,0.1070049429302,-0.166572190896573,0.147351447571874,0.233208110520563,0.208470214496216,0.0292625964798284,-0.175650240684685,0.0386737515227999,-0.00219656177837289,0.0851550640208106,-0.155986165804475,0.000689826715043491,0.126580687580434,-0.0235431032559987,-0.0269384953877749,0.151181461841963,0.171818782108873,0.0768940647044004,0.140810856447588,0.0581579819519455,-0.0120311503360783,0.0118896462869528,0.124275766543411,-0.145982053245034,0.169015166707692,-0.0582175819414393,0.131225630526943,-0.147108269598145,0.192210899623481,-0.175844463195852,0.157795171308083,-0.118536902318024,0.120166413856962,0.116023842433985,0.0780296152402072,-0.132053060402592,-0.183041875497827,0.0939315840824683,-0.0667843801038109,0.145818300960592,0.143887859954976,0.155078593033278,0.175188112113298,-0.0348896946005837,-0.0773540226931079,-0.0157454082994832,0.193169646501124,0.0376734349409926,-0.0664324616702706,0.155473547398718,-0.125864467943142,0.139165829625166,-0.0761705196799777,0.17309021406824,0.0171661823784929,0.139451436647225,-0.12722133138079,-0.114001237188197,0.116924859043957,-0.091746654190352,0.0676239965134161,0.0306353172806787
"X6",0.189854640462326,0.115737350488871,-0.138947546912222,-0.105920159663944,0.0686100943233381,-0.110798024362463,0.188582768232645,0.195240149460256,-0.0431324656893351,-0.145304518324914,0.148473916608865,-0.0506954030597932,-0.169513215177878,0.0781414491923266,-0.0345228835183142,0.0669429516516728,-0.0403652674140839,0.180590078878406,0.0670412233893903,0.169878431841054,0.21557589405749,0.00494348841621018,0.0755522788468761,0.161792055112982,0.0556981745769104,0.160466806814071,0.0287257370450338,0.134539679774505,0.106152109289682,-0.155599161547789,0.146894378921228,0.224859704695442,0.202612799244603,0.0291367128878291,-0.174954573461874,0.0369747837917185,-0.00323711911596589,0.0804666029844997,-0.155366275398241,-0.00229126513839156,0.124696743760057,-0.0223034932944597,-0.0295279968234877,0.147285068365198,0.169377950835567,0.0761367160883611,0.140448158937325,0.0613639937835224,-0.0138140188180761,0.0129733876886566,0.12256753671853,-0.147337504375824,0.166726532116058,-0.063595804320997,0.127681942708301,-0.147594501487753,0.188630290436391,-0.174492609455775,0.157155344869954,-0.121175912529588,0.11534649763697,0.115658415602524,0.0784194075772346,-0.133985730997557,-0.181858936925746,0.0919777497587818,-0.0675387630074649,0.144634298050041,0.143866502863905,0.15454774157995,0.172840591205917,-0.0404454610036656,-0.0819798558521444,-0.0162200346457213,0.190072674280115,0.0372825439452093,-0.0640504052993752,0.154720582866036,-0.127282156116609,0.137212646066809,-0.0820120661975962,0.165310012293554,0.0127629230543784,0.138576032363535,-0.127203978994361,-0.113275167472134,0.114099073865243,-0.0918480225296857,0.0697205775347511,0.0276796569157128
"X7",0.186321696429714,0.115877200799227,-0.138626817918069,-0.105879521760749,0.0634158300901929,-0.111115954225887,0.179107318191637,0.190633717838434,-0.0426922101802386,-0.144795385176855,0.146032586922148,-0.0509449032028268,-0.167940917977479,0.0781885311603789,-0.0384395612469983,0.0649505117888293,-0.0423607220374035,0.178030267390188,0.0654386796819448,0.168020930520642,0.208607694103146,0.00546568561479841,0.0758439491461434,0.160695987698652,0.0456552575780144,0.155770217551645,0.0269681840219976,0.133403108404032,0.105212832988715,-0.142819873853596,0.146381567613045,0.215276022542281,0.19584191074765,0.0290527951876024,-0.173778277470055,0.0353202274169074,-0.00413415436471985,0.0753383680817347,-0.154429081584741,-0.00567742707077899,0.122593652276086,-0.0206282882522783,-0.0323246466549111,0.142886573193077,0.166468390909985,0.0753264279971211,0.139979427666552,0.0654283718650921,-0.0157282032191338,0.0145072900258624,0.120681755488422,-0.148491043559967,0.164039778918405,-0.0693352245169191,0.12356430702327,-0.147938463144767,0.184518463311605,-0.172694592140657,0.156434204210104,-0.123829007072423,0.109880124476058,0.115260072856137,0.0790589927557197,-0.13584106708186,-0.180114594936961,0.0898876161675044,-0.0682368357995075,0.143241138573997,0.143874166638916,0.153977177564324,0.17013559559961,-0.0461914208582338,-0.0868871596582249,-0.0166135942984985,0.186428358574686,0.036863147805201,-0.0606549919478705,0.153783182047673,-0.128703066899428,0.134996004061228,-0.0882465773425798,0.156762593968161,0.00802785904089134,0.137741280204707,-0.127021730798786,-0.111940306096407,0.110910596556941,-0.0918156975493211,0.072378369374837,0.0242092067501582
"X8",0.182328081021968,0.116200802661025,-0.138093271715116,-0.105675915792218,0.0578235999104015,-0.111321297196432,0.16865390913376,0.18543288608776,-0.0420840845666539,-0.143657242737507,0.143410844885623,-0.0510351961230855,-0.165927147944606,0.0783658221056676,-0.0427377124648816,0.0628590306538105,-0.0441843105931467,0.175122654755424,0.0638557464973161,0.165891484431081,0.201061790579947,0.00627264978810706,0.0764097664635873,0.159560211231272,0.034768179514533,0.15052689068829,0.0251350064532908,0.132130555746472,0.104207636857256,-0.128201427074206,0.145848569257901,0.20448094127986,0.188235877021436,0.0290597276392107,-0.172090998760294,0.0336361288808865,-0.00481795985395226,0.0698475748079039,-0.153153589951579,-0.00942640199890126,0.120279616388319,-0.0184700022763346,-0.035242744159032,0.137998900298623,0.163187777096276,0.0744801571333994,0.139446926343508,0.0705159273918461,-0.0177405580160101,0.0166062771620251,0.11868081821175,-0.149419952142819,0.160969000261741,-0.0754686094028622,0.118943385973217,-0.148156265219085,0.179967040944862,-0.170386171717118,0.155696442562281,-0.126521994804106,0.103813254288219,0.11484515044799,0.0800230007486466,-0.137671094653195,-0.177784444506041,0.087784681429319,-0.0688296887408501,0.14168095694156,0.143944023609451,0.153422664066424,0.167111840130729,-0.0520750773093373,-0.0920537635716696,-0.0168370107924449,0.182307470816704,0.036524934553246,-0.0562351214485843,0.152716032305264,-0.130127847680709,0.132527082364829,-0.0948091937281348,0.147499827835978,0.00292799662247802,0.137025885086627,-0.126660886430017,-0.109995676285411,0.107356364538565,-0.0916137428535391,0.0756841629023944,0.0202900964006635
"X9",0.177950919499249,0.116319128108087,-0.137353604792986,-0.105359928117187,0.052169661857693,-0.111416761576344,0.157659001890837,0.179808176164433,-0.0412287723915334,-0.141969345498345,0.140472967110818,-0.0511012697988337,-0.163566794023271,0.0785948070016698,-0.047176792519921,0.0608003339925323,-0.0457502294043255,0.171876588061967,0.0620373576078576,0.163476756041775,0.193061155858777,0.00702349454591721,0.0768527638151731,0.158135746548951,0.0236329675437732,0.144882289056022,0.0231274417127475,0.130719205615587,0.103144468069787,-0.112928106726974,0.145152912300144,0.193145289136634,0.180148407370954,0.0292102593654626,-0.170012992662958,0.0320139398274252,-0.00525048464548475,0.0640501274641183,-0.151584855885786,-0.0133647152684424,0.117838836482206,-0.0159901091873674,-0.0381976218170379,0.132886873925877,0.159527664803282,0.07364664989694,0.138757282692034,0.0758285578398614,-0.0198457500611395,0.0190195781154959,0.116364215524885,-0.150074913409622,0.157608941697065,-0.0814879944790091,0.113931385325247,-0.148167246554218,0.175031006418112,-0.167589834372383,0.154738379872645,-0.128959107435596,0.0973411402000515,0.114347385420359,0.0811559771950592,-0.139320226023278,-0.175030247089261,0.085536676513967,-0.0693931452879087,0.139941195912089,0.143839607778371,0.152664739199188,0.163803647448613,-0.057838569106594,-0.0971741513101731,-0.0171240550220315,0.177819252648966,0.0360558355440791,-0.0515370004327975,0.151380844663801,-0.131393029191602,0.129902928376031,-0.101228822275874,0.137997387986226,-0.00212305552166623,0.136085664798206,-0.126134001384775,-0.107542686522267,0.103676195103641,-0.091325167851249,0.0791279820733736,0.0161256814917677
