"","Step0","Step1","Step2","Step3","Step4","Step5","Step6","Step7","Step8","Step9","Step10","Step11","Step12","Step13","Step14","Step15","Step16","Step17","Step18","Step19","Step20","Step21","Step22","Step23","Step24","Step25","Step26","Step27","Step28","Step29","Step30","Step31","Step32","Step33","Step34","Step35","Step36","Step37","Step38","Step39","Step40","Step41","Step42","Step43","Step44","Step45","Step46","Step47","Step48","Step49","Step50","Step51","Step52","Step53","Step54","Step55","Step56","Step57","Step58","Step59","Step60","Step61","Step62","Step63","Step64","Step65","Step66","Step67","Step68","Step69","Step70","Step71","Step72","Step73","Step74","Step75","Step76","Step77","Step78","Step79","Step80","Step81","Step82","Step83","Step84","Step85","Step86","Step87","Step88","Step89","Step90","Step91","Step92","Step93","Step94","Step95","Step96","Step97","Step98","Step99"
"MEblue2",0.0907682128335212,0.0880501063453834,0.08509049968943,0.0818442505911378,0.0781035396248388,0.0737674496736229,0.0689557393034562,0.0637353073266969,0.0581149045243727,0.0524324829762676,0.0469368084918049,0.0415196469650007,0.036310867922871,0.0311683248024096,0.0262455446854139,0.0215470627210155,0.0170812126421929,0.013210927554239,0.00999941497593463,0.0073712720675161,0.00522269947819168,0.00345236631111121,0.00197062327438919,0.00115316799583913,0.00130662235575115,0.002175378623529,0.004030686449906,0.00696710247164417,0.0108511466768546,0.0155330906550213,0.0205910493267108,0.0260439985923663,0.0319352646439258,0.037889751477921,0.0434026445545607,0.0485823776579301,0.0540156256601655,0.0594893154944309,0.0643849277181252,0.0692839292619202,0.0738809987076703,0.0782080927335533,0.0823557082283773,0.0864494904160697,0.0902163664467809,0.0937505219104378,0.096834850045577,0.0997934825630022,0.102527323109658,0.105152027042007,0.107464125116506,0.109373855859152,0.11046864793371,0.110932756423414,0.110661967874026,0.109589654302591,0.107495444193947,0.104427374130614,0.100613960227037,0.0959802858404535,0.0909683910097916,0.0857862756972568,0.0801313988908102,0.0735848396470391,0.0660425470260849,0.0575402325642613,0.0481573416076847,0.0381286856544689,0.0275258650032854,0.0164418222600016,0.00485351352700823,-0.00687936844757068,-0.019250255837246,-0.0320519092759497,-0.0448679883427609,-0.0578167124862711,-0.070646630181053,-0.0831099631546275,-0.0950912631469554,-0.106598812439853,-0.117344096643473,-0.12744704186535,-0.136872703446201,-0.14556924298862,-0.15363400848656,-0.161119532413833,-0.167881668733318,-0.174114032775003,-0.179806254947109,-0.184687037023877,-0.188925773945829,-0.192574198819288,-0.195734816485875,-0.198409161322865,-0.200641849954845,-0.202501648591297,-0.203983178221139,-0.205214633643,-0.20621922129495,-0.206880185474978
"MEmediumorchid",0.0108771965097764,0.0108927084865085,0.0108757255346959,0.0109549561434496,0.0112430552804512,0.0119495441284439,0.0130387452191182,0.0145803750729245,0.0166899365185107,0.0191153952363499,0.021924408112581,0.0250672834128947,0.02861676536433,0.0324664860184131,0.0363628533510079,0.0403580554509731,0.044397289936378,0.0482879385793882,0.0521914482949157,0.056248478474728,0.0603842528480118,0.0643953640467484,0.0684961081564768,0.0724341081731459,0.0761563824263412,0.0798958109950528,0.0837676174416458,0.0876665293712105,0.0911725038667004,0.0945673632288846,0.097358194100774,0.099865619460439,0.102672182799161,0.105545520767451,0.108312637488315,0.111244565225832,0.114007838307978,0.116477948381399,0.119241621216382,0.122034789633899,0.124589919104267,0.126492321579427,0.12770105130701,0.128331843018075,0.128176977049223,0.127286517103873,0.125563833603783,0.122694519613749,0.119244319872656,0.115313690901668,0.110587067739387,0.105206920529798,0.0989922046631913,0.0916807693128904,0.0832826746379538,0.0740337514608084,0.06406752184487,0.0536724342856683,0.0429060284790234,0.0317720534714996,0.0204831290679525,0.009115851815536,-0.00232672354668606,-0.0135756932495427,-0.0243221369717966,-0.0347217124857564,-0.0450234967961268,-0.0551359480807742,-0.0651407845352648,-0.074826065147585,-0.0841998912148421,-0.0930251270998022,-0.101180736201323,-0.108497814255965,-0.115369317177188,-0.121643941729136,-0.127512561027021,-0.132934673128824,-0.13769571197438,-0.141929899465726,-0.145657761965983,-0.148745939681937,-0.151092945574316,-0.152745943987907,-0.153749671684581,-0.154258972652296,-0.154298073359599,-0.153843798686111,-0.152934416353616,-0.151703165650115,-0.150206165584204,-0.148606928663438,-0.146857061899669,-0.145033396113184,-0.143180743207299,-0.141477814804508,-0.139802857812657,-0.138140029022643,-0.136582134389053,-0.135050948343139
"MElavenderblush2",0.0453338741453526,0.044345425670827,0.0431554489126711,0.0418929220103824,0.0404725098188901,0.0388685827383524,0.0371610559217105,0.0354981641975471,0.0338055814842235,0.0321752201419953,0.0307363781080304,0.0294282826244375,0.0282976892610058,0.0272887284708141,0.0263782225867204,0.0256892023788554,0.0252215087277758,0.0249600999851762,0.0251364537274514,0.0258067392072732,0.0266983716548082,0.0275818092834372,0.0285338913016011,0.0297546438913094,0.0314690307901803,0.0335433125266133,0.0361617524106739,0.0393676631190893,0.0429169974658705,0.0466514103807252,0.0503729718404464,0.0542034960682408,0.0584409414620933,0.0629032582536757,0.0672432327054724,0.0716526542250399,0.0764378555727965,0.0813521782004351,0.0861380718305994,0.090973767204639,0.0955890744011623,0.0999658256708562,0.104042092181857,0.10785437504321,0.111151054996327,0.113980318741939,0.11625092719295,0.117968304763109,0.11920809054312,0.119986657172864,0.120127914749143,0.119628556009874,0.118255246840762,0.116024751056441,0.112803854289485,0.108776369688567,0.103828073449676,0.098121145149071,0.0915839848559213,0.084074973168342,0.0759608743094964,0.0675403950659042,0.0585999322082055,0.0490615103168598,0.0390995544865445,0.0286055580719098,0.0176601948864415,0.00646834984901666,-0.00494591738053004,-0.016311857982808,-0.0276680192025805,-0.0387838671397222,-0.0500145268437285,-0.061240250095487,-0.0722631351218513,-0.0831387174114568,-0.0937324776110577,-0.103871526013434,-0.113416864711029,-0.122351537586977,-0.130598714679252,-0.138252020125802,-0.145356837040278,-0.15180944762582,-0.157537940728511,-0.162678978760441,-0.1672149727341,-0.171287085864987,-0.17482792531496,-0.177771807286994,-0.180159100665175,-0.182173680490865,-0.183875368469136,-0.18528006806789,-0.186398970600813,-0.187343359588863,-0.188098000868368,-0.188752323726203,-0.189351778166905,-0.189760281560273
"MEdarkolivegreen",0.0764313290673366,0.0752107265924222,0.0738937987565538,0.0725007774810134,0.0709399185870017,0.069164040127547,0.0672801978750003,0.0652777204682127,0.0631757028376176,0.0611066348428851,0.0592263137844783,0.0574448462831212,0.0558630657077822,0.0543817324342602,0.0530144347866026,0.0517263655430782,0.0505745460206778,0.0496530415748523,0.0490569313309462,0.0487444341534247,0.0486022978396178,0.0485617505119057,0.0486703102151561,0.0490130964223765,0.0497988667571621,0.0509227104819177,0.0525234349984508,0.0545854307637009,0.0570223314427257,0.0597588056168315,0.0625509811969475,0.0654801912584534,0.0687492768373518,0.0720502427215534,0.0751362012118692,0.0780359004728195,0.0809882034632853,0.083946079867829,0.0867049102984555,0.089421746029212,0.0918517940860379,0.0939555037923313,0.09577830568018,0.0973789349987242,0.0985657601936065,0.0992465009033901,0.0992859059237447,0.0988410955911909,0.0980052207308261,0.0968966275758234,0.095408214036796,0.0934874950374145,0.0909014507681608,0.0876550650202814,0.0836119517296831,0.078741532893613,0.0730664109008449,0.0667642916252526,0.0599588075523061,0.0525891374110752,0.0449329339824919,0.0371875649763867,0.0291944629241707,0.0208178432347123,0.012180398845314,0.00316500009760619,-0.00624506810551106,-0.0158377998270996,-0.025588715838142,-0.0353835466888719,-0.0452444914005496,-0.0549763467763023,-0.06477704263011,-0.0745218905488098,-0.084076263178363,-0.0935274439086418,-0.102719034500091,-0.111543549684587,-0.119861801583668,-0.127717955686746,-0.135019763546939,-0.14176936744289,-0.147966806154398,-0.153574099814801,-0.1586406531658,-0.163246267158954,-0.167357649486834,-0.171056020707546,-0.174318100388783,-0.177098824892628,-0.179450035173704,-0.181480836998461,-0.183209373237396,-0.184638082759795,-0.185808047741379,-0.186792406558218,-0.187540846727224,-0.188123227680835,-0.188610837745728,-0.188935339434594
"MEindianred4",0.0303964060163385,0.0302419653340902,0.0300319152935727,0.0298220819064961,0.0296133570156803,0.0294100160348986,0.0292834982646187,0.0291991578025213,0.02920612517854,0.0293574152558194,0.0297825716183283,0.0304201192691257,0.0313958992536332,0.0325334631120562,0.0338282533410382,0.0351871729516107,0.0366215678532756,0.038249085282638,0.0401864252317826,0.0423215660864924,0.0446174820002614,0.0470492125940888,0.0496818761029257,0.0523842794702682,0.0553276494127942,0.0586029716808911,0.0621539236761398,0.0659743365375308,0.0699453409605332,0.0741454781246795,0.0780511505023603,0.0819365803697086,0.0860226031282163,0.0900165263969879,0.0936587453714244,0.0970844565678193,0.100197536174142,0.103029311327908,0.105704175294603,0.108301219868519,0.110640084099298,0.112606449402427,0.114199733923004,0.115461825979944,0.116128717053643,0.116237593391103,0.115675602046061,0.114409824434568,0.112664693803217,0.110575238841199,0.108065646674219,0.105087029546419,0.101527338503803,0.0971669011192182,0.0918389361067233,0.0856274075337512,0.078682645024945,0.0712822326506582,0.0635068569627618,0.0553904129372603,0.047030856039401,0.0384965746627737,0.0297897853789696,0.0209329222025229,0.0119691325905204,0.00285168738930756,-0.00662557558652199,-0.0163391869599783,-0.026233899903195,-0.0361573777499076,-0.04613393370082,-0.0559796807101792,-0.0657946438556083,-0.0753839012784134,-0.0847859522582834,-0.0939223447460738,-0.102800693826309,-0.11129401717181,-0.119195010046294,-0.12667507738339,-0.133651620513242,-0.140041142023243,-0.145793582779106,-0.150946383380639,-0.155585382357525,-0.15978714159606,-0.163481118373692,-0.166697511595835,-0.169513415645231,-0.171908854655816,-0.173983742158019,-0.17576212448975,-0.177245633607883,-0.178496553772229,-0.179558754530803,-0.180512064870583,-0.181285433938454,-0.181903014048193,-0.182451834724014,-0.182892441724974
"MElavenderblush3",0.00317923436511452,0.00221355332843826,0.00115533602582445,6.73199242713504e-05,-0.00106841474792025,-0.00220762765081781,-0.00325342712404422,-0.00415498147066241,-0.00484223184562281,-0.00527693561715007,-0.0052991060034385,-0.00504936058807355,-0.0043632236443419,-0.00340419355404912,-0.00226661451747623,-0.000977443997647008,0.000528364310716193,0.00226006654667823,0.00439844177306435,0.00695190397548883,0.00973983958971217,0.0126470986225985,0.0158043213604136,0.0191522147099913,0.0228589312630173,0.02705284025835,0.0318689250871528,0.0372384229103043,0.0428523446585543,0.048832722637005,0.054635450529729,0.0604639485904401,0.0667222615140517,0.07311299839703,0.0792982591067535,0.0853872206653425,0.0914205768994172,0.0972853976969509,0.103033411290339,0.108779298373099,0.11418038527755,0.11913825518932,0.1235645717257,0.127653154379764,0.131084619455915,0.133811900477103,0.135675273651721,0.136604382277332,0.136992729689353,0.137018692723445,0.136511088895171,0.135406921098365,0.133397218297154,0.130398754874508,0.126207298471686,0.121010700336573,0.114982007158168,0.108201044545129,0.100753107122687,0.0925912811797604,0.084025598327574,0.0751890872967794,0.065846911670533,0.0560271044874594,0.0459568041052235,0.0354978127037182,0.0245445838376157,0.0132086879748317,0.00163039386721906,-0.00998544355155989,-0.0216319115627224,-0.0330606392918498,-0.0443732482748701,-0.0554652573369554,-0.0663506338475493,-0.0770588625254937,-0.0874891542485235,-0.0975420471403672,-0.106928405630175,-0.115763043680078,-0.123950050644063,-0.131424164024536,-0.138140075393823,-0.144110036367602,-0.149415902596372,-0.154235456485887,-0.158483827575305,-0.162251857875877,-0.165475934902465,-0.168120881653686,-0.170280254377115,-0.172081281157325,-0.173546465384916,-0.174700633884853,-0.175588085765343,-0.176357664170118,-0.176924127338224,-0.177362879245493,-0.177766797045702,-0.178022491767115
"MElightpink3",-0.0257150284597349,-0.0255242567840774,-0.0253674494537891,-0.0250805345790068,-0.0245313452894148,-0.0236617090608309,-0.0224158541733123,-0.020732209757607,-0.01856305073564,-0.016070664403428,-0.0132279666695173,-0.00998085608885186,-0.00623042555352374,-0.00215866273146471,0.00210898126443534,0.00650092561139154,0.011105747447301,0.0158011519974969,0.0207679802864821,0.0260019459575867,0.0313852490865582,0.0367999195225079,0.0423854190378263,0.0477624187987466,0.0530857531648137,0.0586933154938268,0.0644607000467494,0.0703949396613705,0.0761232371329805,0.0819034210600862,0.0870950858113773,0.0920702312697242,0.0972386881618847,0.10253128212891,0.107576730958677,0.112541477304425,0.117041302326789,0.121010708911516,0.124878544943358,0.128774693089486,0.132440264240019,0.135509321911531,0.137913897814506,0.139806468386109,0.140766147078641,0.140878823966599,0.140114803393045,0.138235428835954,0.135744891334592,0.132747674937447,0.129196879451477,0.12503815536463,0.120149066137074,0.114240961151374,0.107096018706395,0.0990388895956054,0.0903889415214251,0.0814020391655884,0.0720454508625303,0.0623860631586451,0.0524952647035642,0.042400946234561,0.0321533641944673,0.0218899810750876,0.0117645712932407,0.00182310827778056,-0.00832986505305985,-0.0185943340670861,-0.029000915559066,-0.0393349924085095,-0.0495317460287735,-0.0593603038762907,-0.0688544116207149,-0.0778668429303009,-0.0866278398932261,-0.0949041430313263,-0.102829043927375,-0.110257162874708,-0.116972155553996,-0.123296557454817,-0.129170648093866,-0.134465437429637,-0.138996250721243,-0.14286197073864,-0.146120151909922,-0.148946065415077,-0.15124660373717,-0.152987112494097,-0.154322309789534,-0.15532653455601,-0.156192472478407,-0.156834242524361,-0.157230466322462,-0.157492673667088,-0.157641121277009,-0.157776637135561,-0.157839798684872,-0.15781468943224,-0.157786949706771,-0.157634809134781
"MEviolet",-0.113656977170318,-0.11400549221734,-0.114452776140125,-0.114770795984978,-0.114866347337542,-0.114575554360473,-0.113845826839315,-0.11250424067858,-0.110549814181849,-0.108084466709445,-0.105058320782137,-0.101553413161228,-0.097429633691699,-0.092790322968898,-0.0878707028442308,-0.0826461582993527,-0.0770810226948141,-0.0713594940129022,-0.065190999893047,-0.0585491784538326,-0.0515443396977055,-0.0443797279395355,-0.0368494389198326,-0.0292222928493227,-0.0214152162597666,-0.0131332349972533,-0.00440285628268234,0.00478090233401881,0.0138444833105959,0.0230799569640941,0.0318384214526564,0.0403982080178252,0.0493441272115031,0.058565960794564,0.0677588914269174,0.0771469492818477,0.0863566833374777,0.0951963159648434,0.104065243753933,0.112964763591549,0.121675710897768,0.129782118342737,0.137149366630831,0.143963006982529,0.149900625454806,0.154950407265851,0.159098379886389,0.161985298444824,0.164216903354598,0.165792289265712,0.166539063799496,0.16642567800964,0.165232813557823,0.162697112750957,0.158683484760733,0.153597805056934,0.147710534451103,0.141178718905675,0.133948175941843,0.126019858985493,0.117512362893935,0.108515896243599,0.0989707376186073,0.0890868977993485,0.079042774522333,0.0688301454309469,0.0582105451714852,0.0472164780789037,0.0358810561628066,0.0245417368111228,0.0133164714515764,0.00251138836404064,-0.00794860665914669,-0.0179967044243677,-0.027788859407245,-0.0371609352502099,-0.0462091688560004,-0.0548187487204277,-0.0626968052550231,-0.0700507082013586,-0.0768173172577942,-0.0828778910905782,-0.0881084270545983,-0.0926042022156549,-0.0963567398803943,-0.0995477731912253,-0.102173722540646,-0.104255833142367,-0.105763819652977,-0.106748480242632,-0.10738253213225,-0.107752644086274,-0.107802556126347,-0.107628524536424,-0.107245968399884,-0.106886266274963,-0.10645409652036,-0.105987259427638,-0.105586574542617,-0.105084940278668
"MEthistle2",0.0318796539082208,0.0297145974218726,0.0272539180882379,0.0244832101332155,0.0211818634471854,0.0172526624340218,0.012827220302894,0.00806830191166639,0.00294274732854171,-0.0021337510831694,-0.00694526663392841,-0.0116469895614981,-0.0160764315811293,-0.0203557075254937,-0.0244095846183486,-0.0281660050574295,-0.0315665690276876,-0.0343226872212241,-0.0362722877765399,-0.0374490922593057,-0.0380619007165483,-0.0383929646966779,-0.0384046669953519,-0.0375929653137282,-0.0358035388427488,-0.0333318550000296,-0.0296444987884833,-0.0246969097764683,-0.0188468671416079,-0.0122795526053602,-0.00528664673743472,0.00213856922987898,0.0101982826004953,0.0185285587287074,0.0265244080440308,0.0343258707288915,0.0426984929198934,0.0512592435373971,0.059325329644078,0.0673667289823116,0.0750352166902773,0.0824883512504732,0.0897247617329443,0.0969926090436745,0.103979995887495,0.110644946739933,0.116735288080274,0.122489731194841,0.127992806435739,0.133316893627419,0.138233648294433,0.142561436552956,0.145752941518411,0.14807995399447,0.149408852908761,0.149735432473888,0.148870210157688,0.14670219594293,0.143465150391938,0.13893984490019,0.133816134042558,0.128421377801868,0.122239518513258,0.114881910220653,0.106362956943425,0.0966843413171195,0.0860264919981594,0.0745091761961581,0.0624122084846621,0.0499934383341046,0.0372309451450416,0.0244417047157245,0.0111270900854691,-0.00259129379227371,-0.0163019231890917,-0.0302010658990874,-0.04395318914438,-0.0573664365305143,-0.0702722962920084,-0.0825998390595553,-0.0940576752980999,-0.104877183932218,-0.115127693544515,-0.124588711263709,-0.133292534003093,-0.141381574931836,-0.14871423100147,-0.155578509409685,-0.161825711498042,-0.167148289597593,-0.171668397361688,-0.175537478393692,-0.17889247412874,-0.181697562344816,-0.184009436932495,-0.185980330862793,-0.187601861780767,-0.189021612015806,-0.19023531302597,-0.191057856814347
"MEcoral",-0.0440547140465381,-0.0439152267542104,-0.0438480145891084,-0.0438061347295282,-0.043771547874836,-0.0436311017328504,-0.0433497590831523,-0.0429072856481341,-0.0422960964100538,-0.0414364753302061,-0.0402148063139717,-0.0387493421316564,-0.0368619773083498,-0.0345788412827626,-0.0320930245132464,-0.0294219525585824,-0.0264439068941463,-0.0231995391965656,-0.0194149488973417,-0.0151866752004608,-0.0105351827545912,-0.00575913620315929,-0.000701430896260696,0.00461636476530609,0.0102750480341522,0.016372363640756,0.0229690960727721,0.0300564006555285,0.0372140078398198,0.0445347253105095,0.051614211973789,0.0586172844244581,0.0659572362323823,0.0734820352391986,0.0806563173963424,0.0877434446352276,0.0948183552822265,0.101683688337392,0.108403333971633,0.115033180144727,0.121450700740148,0.127348576092221,0.132700920299838,0.137717564050305,0.142113921909566,0.145827438068882,0.148633407576617,0.150439296699485,0.151678718313445,0.152322761531922,0.152318715093417,0.151532209572034,0.149750474049212,0.146762792990143,0.142413086040279,0.136939008672944,0.130491841643478,0.123347524227132,0.115528448478138,0.106959186427979,0.0979555126896549,0.0886596581526557,0.0789266495455987,0.068761585632236,0.058268869754379,0.0474436516304625,0.0361278611238073,0.024499865437217,0.0126266227834614,0.000745086378327578,-0.0111140887009024,-0.0227012051544155,-0.0341456390616145,-0.0453995880403406,-0.0564053329687085,-0.0671077613676714,-0.0774426361638106,-0.0872815190731073,-0.0963803887199189,-0.104900330868391,-0.11280890338367,-0.120050725587664,-0.126527870368262,-0.132193003549962,-0.137082157404287,-0.141342312874009,-0.144946351376758,-0.147999017121775,-0.150498589374404,-0.15245418761185,-0.154001606239328,-0.155267549586515,-0.156215545796263,-0.156902885273482,-0.157351248058335,-0.157697792457745,-0.157894815335407,-0.157988789195903,-0.158056671212217,-0.158003417284777
