"","Step0","Step1","Step2","Step3","Step4","Step5","Step6","Step7","Step8","Step9","Step10","Step11","Step12","Step13","Step14","Step15","Step16","Step17","Step18","Step19","Step20","Step21","Step22","Step23","Step24","Step25","Step26","Step27","Step28","Step29","Step30","Step31","Step32","Step33","Step34","Step35","Step36","Step37","Step38","Step39","Step40","Step41","Step42","Step43","Step44","Step45","Step46","Step47","Step48","Step49","Step50","Step51","Step52","Step53","Step54","Step55","Step56","Step57","Step58","Step59","Step60","Step61","Step62","Step63","Step64","Step65","Step66","Step67","Step68","Step69","Step70","Step71","Step72","Step73","Step74","Step75","Step76","Step77","Step78","Step79","Step80","Step81","Step82","Step83","Step84","Step85","Step86","Step87","Step88","Step89","Step90","Step91","Step92","Step93","Step94","Step95","Step96","Step97","Step98","Step99"
"MEblue2",0.369118317385073,0.383686150189032,0.399936277463161,0.418220715555198,0.439879461523529,0.46576026168824,0.495428655425099,0.528707045321176,0.56574566544136,0.604395924357239,0.642846445008747,0.681693448952188,0.719848094966417,0.758204524254663,0.795480640951936,0.831493635989704,0.866050801571352,0.896207236065756,0.921345160306921,0.941975657528243,0.958870753284229,0.972805612603581,0.984475348902571,0.990914923994165,0.989706017020564,0.982862510613873,0.968252366415397,0.945152071668519,0.914669703771621,0.878092898947598,0.838866766456255,0.797017256818835,0.752444257387143,0.708204730882737,0.668089298477955,0.631227846065601,0.593511001617048,0.556575962173998,0.524505760201693,0.493374003500517,0.465072075165078,0.439265619570104,0.415308204324118,0.392424556398864,0.372048229265405,0.35353006409337,0.337846622984223,0.323222733017915,0.310076794643358,0.297787469163283,0.287230964380706,0.278701397906174,0.273888951285466,0.271865817512227,0.273045006687621,0.27774834524446,0.28708969764695,0.301147941167522,0.3192403553757,0.342147242539243,0.368059015307539,0.39607984809005,0.428060425187755,0.466868173336861,0.513862296159153,0.56960078603479,0.634220393763093,0.706448485434238,0.785737761846288,0.871020764159124,0.961775852842974,0.945841698351213,0.849230829490166,0.751569351890244,0.657576087798034,0.567744512107932,0.484891018614475,0.411034677200577,0.346657692358554,0.291152283664933,0.24494723056356,0.206371113582838,0.174489398176561,0.148429642201119,0.126984941929465,0.109283896824215,0.0950021235064361,0.0831828846523122,0.0734417083292737,0.0658403634962973,0.05976876379591,0.0549162114219553,0.0509783891515152,0.0478310110015655,0.0453281610679893,0.0433271991951687,0.0417862937338239,0.0405404958598907,0.0395473094524786,0.0389050019555747
"MEmediumorchid",0.914465628893289,0.91434411041384,0.914477152391809,0.913856491540639,0.911600077004152,0.906069808418858,0.897552608344602,0.885517625887899,0.869091572892229,0.850274727080901,0.828587385004812,0.804474747835301,0.777462243788219,0.748462325501556,0.719463694328224,0.690137084173205,0.660946004838324,0.633300271001603,0.606060870418801,0.578311130587604,0.550643785647536,0.524438403109671,0.498313747283801,0.473882774311771,0.451399626188536,0.429424092597374,0.40732954587564,0.385769491138679,0.366980812699515,0.349333066899336,0.335229836123125,0.322871326980334,0.309390060875681,0.2959730750615,0.283420013922817,0.270512257908912,0.258715728355483,0.248472106432829,0.237346235943196,0.226458626563237,0.216810486894252,0.209818715050393,0.205460717782564,0.203212334124952,0.203762695038303,0.206947935963001,0.213210778066198,0.22393909417122,0.237335544003896,0.253264974506279,0.273371777666977,0.297533917795664,0.327142558066291,0.364304393879763,0.410059742418712,0.464147165515133,0.526556411218629,0.595863108064573,0.671667030108182,0.753668965744275,0.839699975569693,0.928275860818715,0.981670425102901,0.893358060218635,0.810175990108935,0.731632174766211,0.656464241101849,0.585862022618053,0.519638698515059,0.459365962978734,0.40490489296537,0.357283396087484,0.316507921640768,0.282592827260417,0.253034547178832,0.227960647071118,0.206136010657288,0.187338450728411,0.171887952011454,0.15895447479486,0.148180342576066,0.139678793629351,0.133468805245145,0.12922294278193,0.126695660061999,0.125427867667821,0.125330938914958,0.126460614757188,0.128745472029022,0.131889197707471,0.135789950929215,0.140053359405227,0.14483367418786,0.149945507422569,0.155276137375863,0.160299763604163,0.165357899424548,0.170495445010419,0.175414735944484,0.180350507052001
"MElavenderblush2",0.65424736054108,0.661317737536535,0.669869228545551,0.678988355060972,0.689303403443041,0.701019785845206,0.713570293261637,0.725866558889991,0.738454207801134,0.750644787352765,0.76145460321109,0.77132214033005,0.779880214376314,0.787539862040908,0.794469511654163,0.799724152842609,0.803296010854583,0.805294203866244,0.803946028006531,0.798827148646904,0.79203108000619,0.785312782110584,0.778090063563143,0.768856772913136,0.755944412094268,0.740410977599463,0.720951100243367,0.697366433246572,0.671587927587276,0.644870394225231,0.618686523077342,0.592225182759369,0.563563984023608,0.534112675741497,0.506222470015235,0.478678669512385,0.449724000632006,0.42103398129113,0.394138417644672,0.368030591302481,0.344127477978062,0.322383591925103,0.302944716447409,0.285474013950765,0.270917706696055,0.258831452273998,0.249401740970361,0.242428473892996,0.237479110716242,0.234407154510206,0.233852784823649,0.235816638692544,0.241276665525983,0.250330292385333,0.263811709672151,0.281351554891601,0.303945825683133,0.33143807944701,0.364813112277195,0.405604692340852,0.452565540696553,0.504340783368385,0.562501545086532,0.627861545426753,0.699328181329571,0.77754713726554,0.861554879098559,0.949073002889211,0.961048684725501,0.872031592685847,0.784658013361458,0.701640597475918,0.621188488437684,0.544998549099337,0.474929832656483,0.410872269052755,0.353623130056287,0.303742394033984,0.261208627071344,0.225246480833919,0.195278031215755,0.170145777302859,0.1490291360292,0.131615542126713,0.11749741012787,0.105850469228577,0.0963411880308997,0.0883898338620951,0.0819074378888769,0.0768119969715724,0.0728694842049488,0.0696708156689204,0.0670582347454203,0.0649619449166614,0.0633305173285392,0.0619796236767381,0.0609171098565501,0.0600079107679716,0.0591847064714758,0.0586290316014372
"MEdarkolivegreen",0.449762813926852,0.457054561628747,0.464994532849919,0.47347482275597,0.483075490213184,0.494124054989094,0.505988201921897,0.518759411376598,0.532339645121609,0.545877864565467,0.5583251070651,0.57024186621525,0.58092187434905,0.591006465788299,0.600384451984037,0.60927912337088,0.617281431312568,0.623716050609592,0.627893680658035,0.630088418322353,0.631087739624212,0.631372938615014,0.630609480326409,0.628201348315379,0.622695890665008,0.614857766104363,0.603768199319075,0.589615041180093,0.573085603988738,0.55478639772624,0.536409588729325,0.517460702837861,0.496723527009839,0.476235355790399,0.457501875909849,0.440276835924567,0.423121907163873,0.406327506600018,0.391022205153145,0.376291954114911,0.36340652160125,0.352473912255776,0.343168728694859,0.335126394502381,0.329241049155256,0.325895270639183,0.325702267299992,0.327885170555636,0.332012441223956,0.337537056704767,0.345045387371984,0.354888169905679,0.368413041832757,0.385831862565452,0.40820476852241,0.436141287920133,0.470021357622948,0.50926284785613,0.553460066670227,0.603314919442919,0.657111651755035,0.713374854071389,0.773089839851359,0.83711636200414,0.904263677498455,0.97506844597416,0.950828725857017,0.87572042680424,0.800491240970159,0.726716709428894,0.65488547307032,0.586948941899635,0.521978013477932,0.461198279536646,0.405597461983534,0.354681690396306,0.309168163778269,0.269218647568279,0.234897916675585,0.205400232910543,0.180452075759667,0.159431210614425,0.141787996915698,0.127134976601225,0.114919318662472,0.104622579898946,0.0960533771965771,0.0888266188598262,0.0828166892144613,0.0779538027467127,0.0740230693240207,0.0707578285826192,0.0680711108549785,0.0659133048969411,0.0641879150242865,0.0627648471674493,0.061700119280197,0.0608818494675325,0.0602035646332563,0.0597555979194539
"MEindianred4",0.764015561883201,0.765179782302747,0.766764041101204,0.768347624917035,0.769923787989092,0.771460195551372,0.772416586882524,0.773054334679114,0.773001644530367,0.771857781485884,0.7686459103874,0.763836850671593,0.756493881801975,0.74796074437907,0.738285132812202,0.728174039013019,0.717551698303998,0.705564090303789,0.691387925200697,0.675887022313529,0.659368714655025,0.642050027048917,0.623514274327702,0.604728728157386,0.584557712373835,0.562481243409067,0.539004331591586,0.514298077801946,0.489246888123147,0.463471305526636,0.440187225571336,0.417694066690568,0.39477501990081,0.373112729275696,0.354003572677593,0.336596951201592,0.321257597730041,0.307701257983233,0.295243586581165,0.283471069352828,0.273140453037555,0.264653705537861,0.257909759822824,0.252651655470013,0.249903171983786,0.249456416192754,0.251768362790305,0.257029339995081,0.264405084839419,0.273423408319775,0.284525835503802,0.298087874393368,0.314844415935074,0.33618483101235,0.363473977976545,0.396958442070952,0.436485570569791,0.480961086057442,0.530188499082179,0.584130966904884,0.642180061279322,0.703747388339948,0.76859144711786,0.836228480890484,0.905916536068873,0.977535816676737,0.947836841196819,0.871819017830296,0.795569401220475,0.720983468190369,0.64854677565316,0.580131364189585,0.515446999474993,0.45601607178308,0.401631241512046,0.352644628014816,0.308781659849636,0.270298006042092,0.237530959909834,0.209155606354959,0.184949381047699,0.164631185721109,0.147798437374898,0.133850332174397,0.122171754792151,0.112285564328366,0.104117518199725,0.0973907263484179,0.0917866588283755,0.0872229593808092,0.0834173634442867,0.0802620344952493,0.0777035685316979,0.075597418141984,0.07384524481058,0.0723006675519155,0.0710668627816407,0.0700938507670282,0.0692382302272551,0.0685574459218169
"MElavenderblush3",0.974956355014906,0.982561819549759,0.990897844195944,0.999469617957141,0.991582615484257,0.982608494232608,0.974372115286036,0.96727389143258,0.961864635701877,0.958444017124547,0.958269581352508,0.960234680767329,0.96563467731293,0.973184929086569,0.982143876034009,0.992299295300295,0.995837284219734,0.982195451738555,0.965357465698389,0.945271535418062,0.92338069217461,0.90061387147105,0.875981037488595,0.84998969773348,0.821399862079153,0.78933358761139,0.752941984109097,0.712999953540959,0.672054221005834,0.629468021540329,0.589273593194379,0.550117004387491,0.509530108962412,0.469737530540076,0.432894063412908,0.398288951609855,0.365673008180895,0.33559305575581,0.307681904870576,0.281338523748201,0.257990947027154,0.237756019130114,0.220646600351821,0.205632165037298,0.193606824089699,0.184418332364011,0.178325872705838,0.175343758795026,0.174108215179432,0.174025841603017,0.175641532760152,0.179194067221167,0.185794566848437,0.195968783486009,0.210855877847098,0.230408989093573,0.254641934227243,0.283919279817675,0.318568122954336,0.359539959804203,0.405881489608864,0.457184419513278,0.515112673520085,0.579810029791836,0.649807127833321,0.725869165511652,0.808472958131412,0.896224733474711,0.987155438370685,0.921454708279959,0.830839945212482,0.744016485365127,0.661118311164643,0.58362226716875,0.511896357358212,0.446039419577732,0.386735173470642,0.334313606813101,0.289654514571364,0.251407678024877,0.219198832321155,0.192445157867557,0.170495300116942,0.152584846708917,0.137884213307071,0.125486190795392,0.115283273787181,0.106782371698913,0.0999040815710526,0.0945252568480537,0.0903055953619389,0.086901543513451,0.0842081680743726,0.0821337065930356,0.0805665480634243,0.0792269848449836,0.0782524145964738,0.0775041873038717,0.0768204476564915,0.0763901236153556
"MElightpink3",0.799527033950724,0.800983404442585,0.802180998078236,0.804373452553591,0.808574286278931,0.815237349525237,0.824805816421175,0.837777191806697,0.854552865179518,0.873908078100192,0.896074114319537,0.921490678249787,0.950943872391192,0.982994177598282,0.983385509014792,0.948816871266126,0.912675396064092,0.876005709849792,0.837501138467675,0.797337969956449,0.756573911356723,0.716234626312162,0.675425493908198,0.637006211884909,0.599893661166163,0.561877965298162,0.524016817323903,0.486451942661388,0.451597170597249,0.417883163034692,0.388885788870208,0.36226172077444,0.335826245597635,0.310058013028729,0.286723263895985,0.264931231068232,0.246175532778703,0.230408955815582,0.215739230005753,0.201644421913072,0.188998978760141,0.178862407943521,0.171203105547896,0.165346870274415,0.162434646979527,0.162095235214017,0.164407014842457,0.170197546556286,0.178101144625774,0.187965253678097,0.200157774436035,0.215148438040868,0.23376985437245,0.257736827952477,0.28889479407915,0.326913346594264,0.371130456566127,0.420748420351983,0.476264763241744,0.537486564679504,0.603962591863342,0.675313281656577,0.750808633979249,0.828852441156653,0.907517320372258,0.985637349506296,0.934445690623425,0.854310449022627,0.774553954343791,0.697605378264919,0.624565148593399,0.557433650738698,0.496063930848257,0.441270920976015,0.391445034664268,0.347611771487217,0.308647548820386,0.27481420461673,0.246456625722409,0.221657169466765,0.200249912873624,0.182264499221129,0.167835513310348,0.156207448341674,0.146883211645331,0.139140887678051,0.133069696565458,0.128612214814736,0.125270886846808,0.122802020098859,0.120703325963005,0.119165840313139,0.11822418096919,0.11760418968075,0.11725429964651,0.116935592683472,0.11678727801278,0.116846221622661,0.11691136697038,0.11726916092656
"MEviolet",0.26019379761615,0.258725592643045,0.256849596786437,0.255521428425236,0.25512329052817,0.256336271472621,0.259397518983288,0.265090374694288,0.273534403826281,0.284441473848512,0.298220623911846,0.314719500777039,0.334873628823325,0.358503591020203,0.384659707928275,0.413659493958513,0.445908251629294,0.48048454573244,0.519316169921873,0.562840598229963,0.610540729660197,0.661071869737577,0.715869088052746,0.77287938195672,0.832509632523418,0.896814262261682,0.965322718164462,0.962347285474565,0.891259412404531,0.819702061435146,0.753170878108131,0.68984457236959,0.625879492351615,0.562728475476027,0.502959545059848,0.445518154428551,0.392934844938628,0.346122774245491,0.3028365505427,0.263126726611235,0.227838298509022,0.198110024391939,0.173611684299095,0.153008309586669,0.136596771142943,0.123722300929288,0.113862131729962,0.107367193718395,0.102547508023462,0.0992483573831085,0.0977138906042567,0.0979456655148138,0.100410319683672,0.105811045058721,0.114820071544764,0.127075593202588,0.142486992408747,0.161194442807019,0.183967691582878,0.211539933271093,0.244266482428739,0.282512141263427,0.32724799042295,0.378089007178869,0.434382518376358,0.496216131573891,0.565105270748689,0.640865649383888,0.723028956120668,0.808494749069733,0.895382698136284,0.980215946496634,0.937439908125038,0.858943828192433,0.783740478452707,0.713571182959995,0.64801174513212,0.588023120120635,0.535458195009768,0.488591106149191,0.447470549212423,0.412346826481208,0.383369985029893,0.359472626494159,0.340248495672601,0.32442151732322,0.311757261391974,0.301947063411589,0.294969650655448,0.290471514477656,0.287599211733477,0.285931327662669,0.285706895951806,0.286489945153454,0.288216255790532,0.289845722951831,0.291811532717313,0.293944922506635,0.295784197287982,0.298097533869964
"MEthistle2",0.752861481972725,0.769159164874202,0.787804495319459,0.808942740483768,0.834308501954571,0.864719005291473,0.89920578635867,0.936499784193324,0.976818687180566,0.983190401390885,0.945323706861996,0.908437618226429,0.873863201280042,0.84068397396829,0.809506393242216,0.780878735158013,0.755211753142776,0.734601012779656,0.720133416793931,0.711447726969718,0.706939222417436,0.704507737996624,0.704421845200936,0.710388336126355,0.723603133842574,0.741989852727062,0.769688564736676,0.807307279906688,0.852354054906608,0.903488080431944,0.958367610150894,0.983152449788318,0.919786027518951,0.854820161198682,0.793355835817845,0.734577311235366,0.673164340495021,0.612518997544788,0.557666273777534,0.505440027624824,0.458108388481448,0.414554795922044,0.374670220484676,0.337056451154247,0.303234959933923,0.273119242630129,0.247421209039903,0.224719067181649,0.204418587915993,0.186062007964529,0.170203103011665,0.157089290037112,0.147912636013224,0.141480206434461,0.137903005248551,0.1370344999373,0.13934458935955,0.145262596004661,0.154448735455989,0.168009793480734,0.184404320554724,0.202894633056994,0.225674638082003,0.255058484238703,0.292227222815951,0.338601571389202,0.394753569818347,0.461274956943165,0.537315754693998,0.621335822172467,0.713055071796623,0.809260480344327,0.912508241934717,0.979586605821527,0.872108871428565,0.765488182197435,0.664131716899781,0.570769102567175,0.487213515319805,0.413922164457346,0.351948217186358,0.299059098296882,0.254036498204732,0.216814977790706,0.186143168711532,0.160587239702265,0.139764165904251,0.122188457414777,0.107718515384682,0.0964759355440936,0.0876727660271781,0.0806552683705115,0.0749404550475023,0.070416342806042,0.0668558216890936,0.0639369724939691,0.0616139724268714,0.0596369598820586,0.0579882326645369,0.0568922115570945
"MEcoral",0.663402908631185,0.664404314715973,0.664887054573961,0.665187918706858,0.665436430061085,0.666445926695491,0.668469945783129,0.671657963889018,0.676071150322104,0.682296737746753,0.691181026528938,0.70189365942003,0.715776543365566,0.73269471679695,0.751261037530182,0.771369980891491,0.793969061687033,0.818783841223146,0.847956364854989,0.880791405977846,0.917145408164335,0.954650537045923,0.994473798744086,0.963642226603213,0.919184263307843,0.871560969631411,0.82055353173283,0.766579315767142,0.713179921330331,0.659961346851651,0.610056315650816,0.562385648382845,0.514407357503702,0.467492529757912,0.425030949500836,0.385351192989086,0.348049731207793,0.314095875556758,0.283014670185994,0.254429159658083,0.228705844334745,0.206724799556697,0.188122209316892,0.171819271424125,0.158409286552836,0.147703357421101,0.139981953262494,0.135176777594413,0.131952206250938,0.130299954415983,0.130310285719291,0.132330287057277,0.136994598698755,0.145094650514869,0.15752595440889,0.174278748246106,0.195647000372474,0.22146474422789,0.252376152907665,0.289514898796425,0.332258919693747,0.380389445756966,0.435060024327098,0.496646280126831,0.564714907044714,0.639258514306178,0.721201873433481,0.808815246472273,0.900773959088958,0.994129866332603,0.912610067464796,0.822611933602097,0.735919545934839,0.653778380948468,0.577250172906104,0.507081504436484,0.443770889499181,0.387867443573594,0.340129438785149,0.298951865921508,0.263790197537081,0.23415560257136,0.209689613048245,0.189833428169986,0.173824606266369,0.160704628673118,0.150192843318163,0.141700323491649,0.135021164570989,0.129964739547513,0.126067302449886,0.122945991111115,0.120647785711174,0.119002291871526,0.117938278790243,0.11712093846251,0.116658207598394,0.116437997785705,0.1162791293443,0.116403748589433
