"","x"
"1","turquoise"
"2","grey60"
"3","blue"
"4","darkmagenta"
"5","navajowhite2"
"6","pink"
"7","tan"
"8","lightcyan1"
"9","purple"
"10","darkturquoise"
"11","brown"
"12","turquoise"
"13","blue"
"14","darkred"
"15","magenta"
"16","blue"
"17","red"
"18","white"
"19","black"
"20","antiquewhite4"
"21","grey60"
"22","sienna3"
"23","red"
"24","blue"
"25","steelblue"
"26","white"
"27","orangered4"
"28","lightyellow"
"29","turquoise"
"30","midnightblue"
"31","lavenderblush2"
"32","darkolivegreen"
"33","red"
"34","magenta"
"35","pink"
"36","pink"
"37","cyan"
"38","brown"
"39","ivory"
"40","turquoise"
"41","honeydew"
"42","royalblue"
"43","lightgreen"
"44","darkorange"
"45","turquoise"
"46","green"
"47","magenta"
"48","cyan"
"49","lavenderblush3"
"50","black"
"51","indianred4"
"52","plum"
"53","thistle2"
"54","midnightblue"
"55","salmon"
"56","red"
"57","greenyellow"
"58","blue"
"59","maroon"
"60","honeydew"
"61","black"
"62","firebrick4"
"63","violet"
"64","red"
"65","cyan"
"66","sienna3"
"67","brown"
"68","brown"
"69","darkviolet"
"70","brown"
"71","grey60"
"72","lightcyan"
"73","lightyellow"
"74","blue"
"75","purple"
"76","darkorange2"
"77","magenta"
"78","turquoise"
"79","turquoise"
"80","darkgrey"
"81","turquoise"
"82","midnightblue"
"83","green"
"84","ivory"
"85","darkolivegreen"
"86","cyan"
"87","yellow"
"88","darkred"
"89","skyblue"
"90","skyblue3"
"91","midnightblue"
"92","darkgreen"
"93","blue"
"94","plum2"
"95","darkred"
"96","darkmagenta"
"97","cyan"
"98","brown"
"99","pink"
"100","yellow"
"101","greenyellow"
"102","royalblue"
"103","darkmagenta"
"104","brown"
"105","mediumpurple2"
"106","turquoise"
"107","orange"
"108","blue"
"109","yellow"
"110","darkturquoise"
"111","bisque4"
"112","lavenderblush2"
"113","lightgreen"
"114","lightpink3"
"115","red"
"116","yellow"
"117","pink"
"118","darkseagreen3"
"119","magenta"
"120","grey"
"121","tan"
"122","green"
"123","grey60"
"124","magenta"
"125","steelblue"
"126","magenta"
"127","paleturquoise"
"128","steelblue"
"129","blue"
"130","darkolivegreen"
"131","grey60"
"132","lightcyan"
"133","purple"
"134","maroon"
"135","darkred"
"136","orangered4"
"137","lightgreen"
"138","darkolivegreen4"
"139","violet"
"140","lightsteelblue"
"141","turquoise"
"142","thistle"
"143","magenta"
"144","black"
"145","lightgreen"
"146","blue"
"147","magenta"
"148","yellow"
"149","skyblue1"
"150","grey60"
"151","orange"
"152","brown"
"153","mediumpurple3"
"154","sienna3"
"155","mediumorchid"
"156","darkred"
"157","magenta"
"158","red"
"159","grey60"
"160","darkviolet"
"161","antiquewhite4"
"162","pink"
"163","green"
"164","plum2"
"165","turquoise"
"166","brown4"
"167","salmon"
"168","thistle1"
"169","lightgreen"
"170","lightcyan"
"171","thistle1"
"172","violet"
"173","yellow"
"174","grey60"
"175","cyan"
"176","pink"
"177","red"
"178","cyan"
"179","yellowgreen"
"180","brown"
"181","blue"
"182","greenyellow"
"183","grey"
"184","lightsteelblue"
"185","royalblue"
"186","pink"
"187","lightgreen"
"188","magenta"
"189","turquoise"
"190","yellow"
"191","yellow"
"192","antiquewhite4"
"193","magenta"
"194","brown"
"195","blue"
"196","midnightblue"
"197","black"
"198","saddlebrown"
"199","yellow"
"200","floralwhite"
"201","purple"
"202","mediumpurple2"
"203","green"
"204","cyan"
"205","brown"
"206","coral2"
"207","greenyellow"
"208","salmon"
"209","darkmagenta"
"210","darkseagreen4"
"211","darkmagenta"
"212","lightcyan"
"213","blue"
"214","blue"
"215","pink"
"216","grey60"
"217","salmon"
"218","coral2"
"219","grey60"
"220","turquoise"
"221","royalblue"
"222","navajowhite1"
"223","black"
"224","turquoise"
"225","skyblue3"
"226","green"
"227","darkorange"
"228","thistle1"
"229","lightgreen"
"230","darkolivegreen"
"231","blue"
"232","yellow"
"233","tan"
"234","greenyellow"
"235","purple"
"236","magenta"
"237","green"
"238","darkgrey"
"239","salmon2"
"240","yellow"
"241","salmon"
"242","lightgreen"
"243","green"
"244","orangered4"
"245","darkred"
"246","pink"
"247","yellow4"
"248","lightcyan"
"249","greenyellow"
"250","plum"
"251","ivory"
"252","magenta"
"253","skyblue"
"254","saddlebrown"
"255","saddlebrown"
"256","purple"
"257","royalblue"
"258","lightcyan"
"259","lightsteelblue1"
"260","lightcyan"
"261","brown4"
"262","turquoise"
"263","magenta"
"264","green"
"265","blue"
"266","paleturquoise"
"267","cyan"
"268","blue"
"269","saddlebrown"
"270","turquoise"
"271","darkslateblue"
"272","salmon"
"273","darkturquoise"
"274","red"
"275","red"
"276","red"
"277","orangered3"
"278","grey60"
"279","turquoise"
"280","lightcyan1"
"281","darkolivegreen"
"282","darkturquoise"
"283","purple"
"284","bisque4"
"285","darkgrey"
"286","grey60"
"287","magenta"
"288","blue"
"289","green"
"290","pink"
"291","royalblue"
"292","lightcyan"
"293","skyblue2"
"294","honeydew1"
"295","salmon4"
"296","darkolivegreen4"
"297","lightcoral"
"298","darkturquoise"
"299","magenta"
"300","purple"
"301","blue"
"302","paleturquoise"
"303","skyblue1"
"304","plum3"
"305","ivory"
"306","blue"
"307","magenta"
"308","darkslateblue"
"309","greenyellow"
"310","grey"
"311","grey60"
"312","brown"
"313","brown"
"314","salmon"
"315","palevioletred3"
"316","magenta"
"317","darkgrey"
"318","royalblue"
"319","grey60"
"320","lightyellow"
"321","royalblue"
"322","darkseagreen4"
"323","darkseagreen3"
"324","lightgreen"
"325","orangered3"
"326","plum3"
"327","paleturquoise"
"328","pink"
