"","x"
"antiquewhite4","ENSMUSG00000029634"
"bisque4","ENSMUSG00000080316"
"black","ENSMUSG00000001761"
"blue","ENSMUSG00000038668"
"blue2","ENSMUSG00000051390"
"brown","ENSMUSG00000028567"
"brown2","ENSMUSG00000029701"
"brown4","ENSMUSG00000104011"
"coral","ENSMUSG00000037570"
"coral1","ENSMUSG00000044348"
"coral2","ENSMUSG00000037818"
"cyan","ENSMUSG00000085894"
"darkgreen","ENSMUSG00000025511"
"darkgrey","ENSMUSG00000036856"
"darkmagenta","ENSMUSG00000055660"
"darkolivegreen","ENSMUSG00000031709"
"darkolivegreen4","ENSMUSG00000024286"
"darkorange","ENSMUSG00000006456"
"darkorange2","ENSMUSG00000019777"
"darkred","ENSMUSG00000030614"
"darkseagreen3","ENSMUSG00000020817"
"darkseagreen4","ENSMUSG00000029475"
"darkslateblue","ENSMUSG00000025409"
"darkturquoise","ENSMUSG00000101840"
"darkviolet","ENSMUSG00000044501"
"firebrick4","ENSMUSG00000073609"
"floralwhite","ENSMUSG00000029171"
"green","ENSMUSG00000024121"
"greenyellow","ENSMUSG00000015981"
"grey60","ENSMUSG00000001150"
"honeydew","ENSMUSG00000037997"
"honeydew1","ENSMUSG00000017776"
"indianred4","ENSMUSG00000032330"
"ivory","ENSMUSG00000010307"
"lavenderblush2","ENSMUSG00000039620"
"lavenderblush3","ENSMUSG00000049106"
"lightcoral","ENSMUSG00000025962"
"lightcyan","ENSMUSG00000025888"
"lightcyan1","ENSMUSG00000021374"
"lightgreen","ENSMUSG00000028488"
"lightpink3","ENSMUSG00000001056"
"lightpink4","ENSMUSG00000022119"
"lightsteelblue","ENSMUSG00000038172"
"lightsteelblue1","ENSMUSG00000030602"
"lightyellow","ENSMUSG00000020096"
"magenta","ENSMUSG00000034245"
"magenta4","ENSMUSG00000027569"
"maroon","ENSMUSG00000027122"
"mediumorchid","ENSMUSG00000050373"
"mediumpurple2","ENSMUSG00000061315"
"mediumpurple3","ENSMUSG00000047307"
"midnightblue","ENSMUSG00000070044"
"navajowhite1","ENSMUSG00000024378"
"navajowhite2","ENSMUSG00000018666"
"orange","ENSMUSG00000047123"
"orangered3","ENSMUSG00000043259"
"orangered4","ENSMUSG00000025858"
"paleturquoise","ENSMUSG00000041168"
"palevioletred2","ENSMUSG00000027189"
"palevioletred3","ENSMUSG00000102555"
"pink","ENSMUSG00000032269"
"plum","ENSMUSG00000085830"
"plum1","ENSMUSG00000021069"
"plum2","ENSMUSG00000000916"
"plum3","ENSMUSG00000026554"
"purple","ENSMUSG00000024293"
"red","ENSMUSG00000034891"
"royalblue","ENSMUSG00000034771"
"saddlebrown","ENSMUSG00000023259"
"salmon","ENSMUSG00000031949"
"salmon2","ENSMUSG00000060681"
"salmon4","ENSMUSG00000015189"
"sienna3","ENSMUSG00000021594"
"skyblue","ENSMUSG00000028690"
"skyblue1","ENSMUSG00000028617"
"skyblue2","ENSMUSG00000102995"
"skyblue3","ENSMUSG00000020070"
"steelblue","ENSMUSG00000028226"
"tan","ENSMUSG00000032870"
"thistle","ENSMUSG00000030393"
"thistle1","ENSMUSG00000056124"
"thistle2","ENSMUSG00000017978"
"thistle3","ENSMUSG00000055850"
"turquoise","ENSMUSG00000020790"
"violet","ENSMUSG00000058444"
"white","ENSMUSG00000025582"
"yellow","ENSMUSG00000028607"
"yellow4","ENSMUSG00000062683"
"yellowgreen","ENSMUSG00000020952"
