"","x"
"1","regulation of store-operated calcium entry"
"2","antigen processing and presentation of peptide antigen"
"3","myofibril assembly"
"4","response to pain"
"5","meiosis I"
"6","positive regulation of epithelial cell differentiation"
"7","ribosomal small subunit assembly"
"8","mitochondrial respiratory chain complex I assembly"
"9","proteasomal ubiquitin-independent protein catabolic process"
"10","negative regulation of wound healing"
"11","neuropeptide signaling pathway"
"12","ribosomal small subunit assembly"
"13","cellular component maintenance"
"14","sterol biosynthetic process"
"15","positive regulation of oxidoreductase activity"
"16","2'-deoxyribonucleotide metabolic process"
"17","Schwann cell development"
"18","cerebral cortex cell migration"
"19","regulation of astrocyte differentiation"
"20","phospholipid dephosphorylation"
"21","unsaturated fatty acid metabolic process"
"22","heterotypic cell-cell adhesion"
"23","positive regulation of Ras protein signal transduction"
"24","microglial cell activation"
"25","negative regulation of gliogenesis"
"26","positive regulation of osteoblast differentiation"
"27","regulation of long-term synaptic potentiation"
"28","negative regulation of microtubule polymerization or depolymerization"
"29","negative regulation of mitotic nuclear division"
"30","export across plasma membrane"
"31","negative regulation of neural precursor cell proliferation"
"32","regulation of protein localization to synapse"
"33","regulation of autophagosome assembly"
"34","endocrine process"
"35","embryonic placenta morphogenesis"
"36","mRNA methylation"
"37","regulation of centrosome cycle"
"38","serine family amino acid metabolic process"
"39","retinoic acid metabolic process"
"40","negative regulation of protein dephosphorylation"
"41","positive regulation of calcium ion transmembrane transporter activity"
"42","negative regulation of retrograde protein transport, ER to cytosol"
"43","dendrite arborization"
"44","viral gene expression"
"45","G1 DNA damage checkpoint"
"46","regulation of protein deacetylation"
"47","collagen fibril organization"
"48","regulation of establishment of protein localization to mitochondrion"
"49","phosphatidylethanolamine biosynthetic process"
"50","positive regulation of leukocyte apoptotic process"
"51","proline transport"
"52","regulation of actin filament-based movement"
"53","postsynaptic density organization"
"54","protein localization to Golgi apparatus"
"55","iron ion transport"
"56","regulation of interferon-gamma production"
"57","protein polyglutamylation"
"58","negative regulation of sodium ion transport"
"59","susceptibility to natural killer cell mediated cytotoxicity"
"60","ionotropic glutamate receptor signaling pathway"
"61","regulation of centrosome cycle"
"62","positive regulation of cell size"
"63","secretory granule localization"
"64","regulation of dopamine secretion"
"65","basement membrane assembly"
"66","positive regulation of myelination"
"67","regulation of stem cell division"
"68","nucleotide-sugar biosynthetic process"
"69","detection of mechanical stimulus involved in sensory perception of pain"
"70","platelet formation"
"71","regulation of transcription involved in G1/S transition of mitotic cell cycle"
"72","blastocyst formation"
"73","replication fork processing"
"74","neuropeptide signaling pathway"
"75","heparan sulfate proteoglycan biosynthetic process, enzymatic modification"
"76","respiratory chain complex IV assembly"
"77","negative regulation of interleukin-10 production"
"78","cytokinetic process"
"79","postsynaptic modulation of chemical synaptic transmission"
"80","fucosylation"
"81","regulation of inositol 1,4,5-trisphosphate-sensitive calcium-release channel activity"
"82","negative regulation of vascular permeability"
"83","postsynaptic neurotransmitter receptor internalization"
"84","righting reflex"
"85","neuromuscular synaptic transmission"
"86","interleukin-1 beta biosynthetic process"
"87","ribosomal large subunit export from nucleus"
"88","endochondral bone morphogenesis"
"89","maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
"90","induced systemic resistance"
"91","positive regulation of cilium assembly"
"92","pons development"
"93","regulation of translational elongation"
"94","DNA replication checkpoint"
"95","glutathione metabolic process"
"96","neuron cellular homeostasis"
"97","protein transport along microtubule"
