"","Step0","Step1","Step2","Step3","Step4","Step5","Step6","Step7","Step8","Step9","Step10","Step11","Step12","Step13","Step14","Step15","Step16","Step17","Step18","Step19","Step20","Step21","Step22","Step23","Step24","Step25","Step26","Step27","Step28","Step29","Step30","Step31","Step32","Step33","Step34","Step35","Step36","Step37","Step38","Step39","Step40","Step41","Step42","Step43","Step44","Step45","Step46","Step47","Step48","Step49","Step50","Step51","Step52","Step53","Step54","Step55","Step56","Step57","Step58","Step59","Step60","Step61","Step62","Step63","Step64","Step65","Step66","Step67","Step68","Step69","Step70","Step71","Step72","Step73","Step74","Step75","Step76","Step77","Step78","Step79","Step80","Step81","Step82","Step83","Step84","Step85","Step86","Step87","Step88","Step89","Step90","Step91","Step92","Step93","Step94","Step95","Step96","Step97","Step98","Step99"
"MEsalmon4",-0.0764967449529297,-0.0786393422273049,-0.080829427789382,-0.083194887012305,-0.0858263331450057,-0.088622572022661,-0.0916069437450647,-0.0946484516608203,-0.0977814060088288,-0.101053477633915,-0.104432662220555,-0.10782146353728,-0.111085613918122,-0.114139209109796,-0.117013545249009,-0.119888012146234,-0.122585832809497,-0.124941256531072,-0.127199458128539,-0.129209603244419,-0.130961934669059,-0.132368200634927,-0.133380186949361,-0.133938187214655,-0.134149007455027,-0.133919632643451,-0.133212442963438,-0.132005078216527,-0.130172389679576,-0.12779232879904,-0.124768394252655,-0.120952859553132,-0.116134176449433,-0.110640547626411,-0.104375993786666,-0.0974650373553735,-0.090034379988906,-0.0821464573072521,-0.073789047320446,-0.0653492272402345,-0.0565672539065287,-0.0472316392551238,-0.0374328569849636,-0.027373393410161,-0.0174789691851595,-0.00768354895004975,0.0020189845655086,0.0118651948466069,0.0220975497251114,0.0324045472903172,0.0427313148617276,0.0531137761444135,0.0632647975992095,0.0732883388791065,0.082678476381685,0.0912899588613674,0.0996531058926719,0.108272784824465,0.116710936615113,0.12460843629314,0.131729204679008,0.137935503380625,0.143182573430207,0.147373557969274,0.150391004426973,0.152838397500998,0.154281146663462,0.154060742632368,0.15295319551808,0.151050181497779,0.148121160739266,0.144705833471289,0.140993880204531,0.136199403540228,0.130353075195315,0.123609075700335,0.116565868021145,0.109614307426618,0.102780846912441,0.0959860040758196,0.0889044744587267,0.0823661058551609,0.0761457603600946,0.0702038640926748,0.0644802113601454,0.058954378150748,0.0537002854537819,0.0490608061455308,0.0450800151870106,0.0415250501694961,0.0381871200546909,0.0353256280391677,0.0325002621413298,0.0300147619636729,0.0278954187235874,0.0261240656752197,0.0244351392386337,0.022892402490959,0.0215388069359647,0.0202816926274977
"MElightpink4",-0.0163443799542354,-0.0190902155870483,-0.0219798775343409,-0.0252245520231974,-0.0289411675564642,-0.0330273906347357,-0.0375630910615934,-0.0425296322402191,-0.0478417415942867,-0.0534339884845619,-0.0592331188404661,-0.0652471455087429,-0.0712606878342936,-0.0771418616252612,-0.0829374493318781,-0.0888139585855025,-0.0947849854677009,-0.100592183520358,-0.106351474286095,-0.111916715335238,-0.117261544107646,-0.122213136121765,-0.126841465307822,-0.130955413867856,-0.134690088775966,-0.137918300566482,-0.140529950843047,-0.142691310523026,-0.144232984983983,-0.145238508323151,-0.145593641629013,-0.144875622596183,-0.142844748902963,-0.139924166277696,-0.136204715313965,-0.131452286871377,-0.125926641698547,-0.119743978007946,-0.112722557350478,-0.105366442253632,-0.0973871763445959,-0.0885869807954555,-0.0790862795345397,-0.0690774439933539,-0.0590850216411299,-0.0489588818760114,-0.0388059865818947,-0.0281929048863922,-0.0170034280782278,-0.00541596643995738,0.00677345597823633,0.0191900965210317,0.0317068144844234,0.0442987456424493,0.0565640743326638,0.0683431666215923,0.0801244654241665,0.0923109417429185,0.104359887884551,0.115930897761659,0.126743376863285,0.136654252515428,0.145260182763249,0.152363367662516,0.157831706038597,0.162248502462367,0.165443088772754,0.166700909669407,0.166775204725692,0.165590366836958,0.163061849269144,0.159571754776824,0.155580939241942,0.150338664240279,0.143678551758404,0.136064527979076,0.128065929542021,0.120179412446699,0.112126102408978,0.104109729612841,0.0957074718690633,0.0877582416326207,0.0798735635820519,0.0723735981048927,0.0652147522097374,0.0583803243052121,0.0518867100197919,0.0460720139750922,0.0410138871732327,0.0365100450956746,0.032207599112089,0.0284670566368491,0.0247763047152368,0.0215691015195764,0.0188729857167478,0.0165816672710201,0.0144539248403204,0.0126152537077433,0.0110495678345801,0.00970815619863165
"MEnavajowhite1",0.0140557008444045,0.0110904935193721,0.00786253156458754,0.00414120735989865,-0.00011676579294764,-0.00479361667497602,-0.0100168632747304,-0.0158325827332354,-0.0220896442769556,-0.028723267203844,-0.0356786801788462,-0.0429788659161784,-0.0503746355361543,-0.0577316990156595,-0.0650571878066585,-0.0725664358004051,-0.0802355490879441,-0.0877225616092961,-0.0951159638357575,-0.102418346745544,-0.109579456308874,-0.116385487003858,-0.122838969619615,-0.12882795838008,-0.134513437525759,-0.139629106477105,-0.144100492165914,-0.148066331805027,-0.15132425833968,-0.154012402688629,-0.155978661078355,-0.156777931063937,-0.156352939323999,-0.154980110159498,-0.152815625470528,-0.1495838108787,-0.145383854690469,-0.14055071000238,-0.134918477305387,-0.128913423697039,-0.122270644383783,-0.11473239425375,-0.106428050563522,-0.0975254351938566,-0.0884789558171885,-0.0792072126805716,-0.0697035203574919,-0.0594837197124613,-0.0486604318688088,-0.0374976647416846,-0.0256830433513311,-0.0136313133167524,-0.00162799757461693,0.0104953127745115,0.0223486886114826,0.0337121693929836,0.0450592452178472,0.0568541903489185,0.068688631090473,0.0802724987471146,0.0912101091540727,0.101422415945148,0.110829089435989,0.119098328388277,0.125986733516664,0.132084150163262,0.137271186905306,0.140773075143269,0.143300387220522,0.144763372129857,0.145008152043322,0.144389404608401,0.14327570210774,0.140930193681152,0.137355942448547,0.132909427321719,0.128140572516062,0.123534585213575,0.118926112304492,0.114330137159104,0.109371706252502,0.104752666754938,0.100052884434491,0.0955417853397053,0.0911538106267533,0.0868895763137781,0.0828231853131148,0.0792371273093045,0.0761843196990693,0.0734875899829862,0.0708818863711252,0.0686852910590578,0.0664510014225261,0.0645288573454516,0.0629688530472341,0.0617311365678104,0.0605504696981185,0.0595580630747708,0.0587661919777632,0.0581803438212082
"MEindianred4",-0.191404621167439,-0.192852039649423,-0.193552267350787,-0.192916198911635,-0.191518486106243,-0.189354174288159,-0.18625386826913,-0.18140800054646,-0.175359737597028,-0.168400621229881,-0.16057755525329,-0.151554921988163,-0.141923183551129,-0.132151427641471,-0.12182581159242,-0.110766650927528,-0.0988416523912732,-0.0865860183015926,-0.0742850861645739,-0.0618073213387096,-0.0491293901452469,-0.0368066359414974,-0.0245925035382941,-0.0126330811504602,-0.000893489097160046,0.00965631861990255,0.0191021889918384,0.0279987330037584,0.0363785299800995,0.0438856317977275,0.0508293417320617,0.0567183726793623,0.0621325596996824,0.0667587858291379,0.0709029208709707,0.0737383728447861,0.0749972519033635,0.0755311753728683,0.0753126731392745,0.0746188412373232,0.0730668898753272,0.0703877447945185,0.0675173137739681,0.0635614132383066,0.0589106779343746,0.0536068850669875,0.0482924622259996,0.0414508200788666,0.0340445247791601,0.0270750570087101,0.0194920336361175,0.0123093134362407,0.0056988869362914,-0.00118636051400209,-0.00866827941576807,-0.01605922097929,-0.0236862152979061,-0.0314429894640539,-0.0387296407644656,-0.0450376956998293,-0.050461848766208,-0.0558154254098664,-0.0606907053308752,-0.0648901165640828,-0.0670435373580642,-0.0675570336070646,-0.0672139764005668,-0.0650115958210724,-0.062112217001451,-0.0579816220655615,-0.0525862720297033,-0.0450390061855342,-0.0361368816837262,-0.0265067256506417,-0.0157580324374073,-0.00495200014953392,0.00585700479215508,0.0162045108055665,0.0265485808998037,0.0369647167600234,0.0470896385186093,0.0570360138311171,0.0676671296225223,0.0783179361275229,0.0886768106515848,0.0988322853305469,0.108577031396932,0.117850824727173,0.126471842448024,0.134454599732752,0.141823587359853,0.148615867268318,0.15502234047454,0.161128337974103,0.167078077856755,0.17262392680321,0.177853350263498,0.18284251216439,0.187748987839128,0.192700508600515
"MEorangered4",-0.192594091267352,-0.193242128069256,-0.193399463424289,-0.192748117143616,-0.191670532898228,-0.190158542150491,-0.188067224646813,-0.184989830795814,-0.181220765412256,-0.176916669037629,-0.172092463114746,-0.166542369494106,-0.160584058182667,-0.154400519920276,-0.147767117073049,-0.140600461619392,-0.132841813388237,-0.12470274800267,-0.116402929327545,-0.107920179636117,-0.0992075031380451,-0.0905226350303678,-0.0817671028408903,-0.0729683334100947,-0.0641391842451832,-0.0558737508162802,-0.0481732547877162,-0.0407004051817392,-0.0333759017672657,-0.0264219753676148,-0.0197233825851406,-0.0134494966567512,-0.00730240040854264,-0.00152811637090341,0.00397238336747463,0.0087784644900685,0.0127331371683486,0.0162447410414368,0.0194027276257317,0.022292739783891,0.0247308902481516,0.0266275658950406,0.0284765144650164,0.0297681578124358,0.0306715735043725,0.0310027611575607,0.0310099762596425,0.0300843894210065,0.0288496763913027,0.0279080621916504,0.0267233356822078,0.025759696621177,0.0251535018896805,0.024300557453972,0.0230169650033826,0.0216032011671908,0.0199708876025257,0.0182517312945348,0.0167568519947547,0.0160102159384726,0.0156477409501696,0.0152680041623111,0.014971416919073,0.0148085762009445,0.0155680195891509,0.0171401961013201,0.0191373170959006,0.0218690840527215,0.0248686564317142,0.0284365189973012,0.0324826843148499,0.0374889993399118,0.0431426515232062,0.0488971713538653,0.0550852582116681,0.061060262039654,0.0668913886038199,0.0724374580649524,0.0780191131388545,0.0836424729548717,0.0890061245562529,0.0941064635592138,0.0995502139910751,0.105002505662751,0.110290084685474,0.115399378735261,0.120202750347227,0.124776195433218,0.128985145834771,0.132841696194696,0.136259977102885,0.139381319512344,0.142276077935087,0.145102572866747,0.147904483660851,0.150516721415503,0.15291432684693,0.155202372416538,0.157486439019187,0.159846921917783
"MEplum1",-0.169734088644548,-0.170605599460345,-0.171039925637459,-0.170671694287071,-0.169858435245181,-0.168599033534587,-0.166776517950828,-0.164000268090131,-0.160524772790009,-0.15647984082891,-0.151889649064659,-0.146588173872652,-0.140873056285452,-0.134949539409527,-0.128554460171789,-0.121656350323894,-0.114243366604804,-0.106561780485876,-0.098683083441924,-0.0905978530333067,-0.0823291572146256,-0.0742273442927578,-0.0661699329742641,-0.0582260058558211,-0.0503316694424403,-0.04305633453744,-0.0364577552510021,-0.0302157374421268,-0.0243008459301277,-0.0188563751114955,-0.0136903824470016,-0.00907222896956832,-0.0046864387400765,-0.000715657159797537,0.00284181701528257,0.00567577925058099,0.00768190089939549,0.00928125601902047,0.0105051116420744,0.0114539340329949,0.0118681318011475,0.0116106781741893,0.0112023872797105,0.0102179649232543,0.00889618768696416,0.00717225226125635,0.00533400781563927,0.00261508898225734,-0.000398838637412582,-0.00299019140662598,-0.00561510792173495,-0.0078176160957249,-0.00953716448517104,-0.011398743881462,-0.0134342376487494,-0.0153433920104307,-0.0173793888164895,-0.0195215485203814,-0.0213320295850401,-0.0222858696073816,-0.0225631974315869,-0.0227844844390849,-0.0226086636455969,-0.0220367632166109,-0.0203040965394163,-0.0176301491419235,-0.0143203967405624,-0.00972003133109299,-0.00467223278686644,0.0011629443464766,0.00772398683886939,0.0154592389532428,0.0238155962148425,0.032448893445992,0.0417953480580633,0.0511164149068284,0.0602722336688837,0.0689545023381515,0.0775932110529814,0.0861910911260614,0.0945194478399762,0.102538087401369,0.110755195958215,0.118862908211379,0.126721366728527,0.134331833941647,0.141553127861904,0.148330734747398,0.15457765807856,0.160366032523946,0.165631675561814,0.170398191228619,0.174895198862624,0.179166799894533,0.183290517737855,0.187108668065889,0.190678342486646,0.194070728623992,0.197420761736751,0.200810262195036
"MEbrown",-0.0966202743965226,-0.0973919168910516,-0.0982221874361704,-0.0991221279644513,-0.100127372563188,-0.101198673571371,-0.1023536779322,-0.103595362197565,-0.104915254429044,-0.106297072639441,-0.107723657783692,-0.109184259684178,-0.110599206482739,-0.111921732045239,-0.113069140539441,-0.114154015733054,-0.115157313828402,-0.116003340496836,-0.116673345404947,-0.117148975985216,-0.11744267732797,-0.117575096288551,-0.117530423526036,-0.11726264715948,-0.116790993827524,-0.116045692577386,-0.115100251204951,-0.113984168719226,-0.112639956383587,-0.11105998990507,-0.109132100987186,-0.106734301072877,-0.103839614077823,-0.100566296000908,-0.0969969960825096,-0.0930956105851203,-0.0888700339037984,-0.0844118272762203,-0.0797085401180943,-0.0749135964933861,-0.0699494493778107,-0.0647598857428918,-0.0593673161879784,-0.0538267084043362,-0.0482936579640366,-0.0427618163829114,-0.0372439424928757,-0.0316265879315872,-0.0258475693341068,-0.0198153700367549,-0.0133886931621345,-0.00665304663447226,0.000264881193284866,0.00725679017003725,0.0142312056426916,0.0210742221841848,0.0279078765364569,0.0347665468566408,0.041645344723965,0.0485836942675915,0.0554402463247493,0.062005657953326,0.0681788305531315,0.0738453732956078,0.0790576554834,0.0839807224263362,0.0886233642494717,0.0929175468017778,0.0969378320495566,0.100749647409536,0.10427456275201,0.107570198827004,0.110632567689444,0.113305728837103,0.115620070715907,0.117540728585411,0.119158225097651,0.120532473532109,0.121807817688185,0.123009560621687,0.123885751580712,0.124675328177123,0.125310471116782,0.12590174833584,0.126448124790316,0.126955403367723,0.127345726299981,0.127724660632927,0.128118494977019,0.1285152339745,0.12875023841493,0.128890672667643,0.128924192516904,0.128981897804575,0.129111194503404,0.129279006454503,0.129432881296304,0.129605757937166,0.129833256724738,0.130104351133002
"MEsalmon",-0.130620821491404,-0.131186994252812,-0.131681307989467,-0.132090228241556,-0.132512311944658,-0.132909550471735,-0.133263675091174,-0.133475834082996,-0.133607173128224,-0.133676388939428,-0.133664336179634,-0.133516964855467,-0.133231831025828,-0.132782740301911,-0.132086482962326,-0.131226170214233,-0.130135133379945,-0.128808682195884,-0.127311019897139,-0.125579038215096,-0.123623575729398,-0.121493754287084,-0.119174387942864,-0.116602504750382,-0.11379933244704,-0.110843824366396,-0.107773861748323,-0.104583435364588,-0.101193734943073,-0.0976428694169738,-0.0938487601734517,-0.0897521413978249,-0.0852312878934005,-0.0804859295648666,-0.0755084466181861,-0.0703767082102813,-0.0651693382711145,-0.0598220773032548,-0.054312398664839,-0.0487816859900206,-0.0431568589781249,-0.0374403010260548,-0.031577665552794,-0.0257194392387292,-0.0200388926102636,-0.0145202499583919,-0.00917276914873648,-0.00397520808953143,0.00130536377747526,0.00680795798875289,0.0124837673034462,0.0184068630453819,0.0244883280324704,0.0305287053650658,0.0364017974153932,0.0420844307094185,0.0476886388836075,0.0532871118983284,0.0588507607145352,0.0644549755481029,0.0699244004916668,0.0750610946661638,0.079716105386299,0.0838243793889546,0.0875501003296152,0.0910511246064535,0.0942735966797505,0.097205665445181,0.0998550056173514,0.102350972054649,0.104603948011375,0.106758492058378,0.108785824465809,0.110445583514814,0.111795601375322,0.112750229855509,0.113401440656956,0.113790225873455,0.11408087947121,0.114339079089081,0.114281962609393,0.114201737008044,0.114139713539153,0.114091539004776,0.114031492833234,0.113980894155445,0.113832577073942,0.113735509610585,0.113694543555632,0.113696127462236,0.11356971349577,0.113404872873854,0.113178085217124,0.113016838722447,0.112951312491477,0.112931580926198,0.112907599868877,0.112910604685465,0.112980097761362,0.11309887193192
"MEgreen",-0.12085483987153,-0.121493349801829,-0.122015069125778,-0.122299103719322,-0.1224788448536,-0.122547243507283,-0.122476685690939,-0.122138670054835,-0.121623354976677,-0.120965994618243,-0.120159035079969,-0.119156060660332,-0.118026287334815,-0.116810941606216,-0.115361884681221,-0.113720154550693,-0.111854569762862,-0.109835301482512,-0.107652853398233,-0.105305746729146,-0.102804622612337,-0.10028417405025,-0.097696794868058,-0.095040893082998,-0.092294606084303,-0.0896070283468024,-0.0870249875228286,-0.0844744857008872,-0.0819109449993847,-0.0794018615812311,-0.0768042655607368,-0.0741106615537656,-0.0712559380297084,-0.0683179782025658,-0.0653277433407621,-0.0624124459069707,-0.0596015096215597,-0.0567931739910073,-0.0539949735801722,-0.0512106240323007,-0.0484578987315369,-0.0457962611247448,-0.0430847004773708,-0.0404737300992496,-0.0379544194296288,-0.0355358671930425,-0.0331182588562148,-0.0309109933133715,-0.0286948570774249,-0.0261559716691137,-0.0233885827307397,-0.020267766772668,-0.016847148305703,-0.0133823623713358,-0.00990966185000496,-0.00637785277374593,-0.00283967135699864,0.000667335702164107,0.00436475229187436,0.00847848116260239,0.0128646767022977,0.0172189829861274,0.0215468641439335,0.0258130658727247,0.0303394312616479,0.0350583045670443,0.0399261816320154,0.045218837704326,0.0506021523652542,0.0562344262799074,0.0620711388825759,0.0682326300174069,0.0745041245568384,0.0807772126912046,0.0872046479584665,0.0934759680267642,0.099512114909184,0.105181053419744,0.110758915585018,0.116249515916476,0.121421416588226,0.126334931339134,0.131129362933676,0.13575770975673,0.140194776765549,0.144469981631296,0.148472164562482,0.152193751321006,0.155608231594912,0.158765432767271,0.161588716520914,0.164062639279596,0.166332415381493,0.16845836964011,0.17050066061016,0.172387383288385,0.174131083856252,0.175780952355973,0.177408065072307,0.179042848406489
"MEyellow",-0.151203366297041,-0.151677511216104,-0.151952963077895,-0.151925504499665,-0.151768093308407,-0.151455968618201,-0.150926705442811,-0.149984530688888,-0.148774516035868,-0.147356734346834,-0.145719624930957,-0.143760271949766,-0.141591871415516,-0.139264543644756,-0.136642683579419,-0.133746506762371,-0.130503492648567,-0.127007043895172,-0.123349516746326,-0.119470296280962,-0.115379530851352,-0.111210388589558,-0.106908708790652,-0.102451446071997,-0.097832030403406,-0.0932900285554432,-0.0888657011573796,-0.0844623561521407,-0.0800080083369812,-0.075580323008656,-0.0710782357324538,-0.066543768406169,-0.0618086609748379,-0.0570660038917483,-0.0522557690112317,-0.0475841358021846,-0.043134265281025,-0.0387159094997875,-0.0343137931155943,-0.0299708231235671,-0.0257073239166749,-0.0215984529785874,-0.0174581585777382,-0.0135114809371365,-0.00980808102224268,-0.00635685457246391,-0.00307033756828207,-0.000165245058871246,0.00269432417949822,0.00581313723251476,0.00897562260332566,0.0124145868112585,0.016084428528944,0.0196816148451294,0.0230944959687944,0.0264115518262704,0.0296389033919592,0.0328110682329312,0.0360335989439329,0.0395178674616929,0.0430990984113555,0.046494993785892,0.0496493383399206,0.0525738280232835,0.0556078572529415,0.0587732192795151,0.0619590779858164,0.0653739270556294,0.0687613610334708,0.0723258962814862,0.0759905307221729,0.0799641434859924,0.0840756371241529,0.0880652845891877,0.0920956787671218,0.0958794218546127,0.0994233826454858,0.102636540491275,0.105764756308801,0.108861102082961,0.111659330328621,0.114338293950372,0.11709796267765,0.119809937196721,0.122417935209665,0.124946306911701,0.127286185423757,0.129509508229916,0.131592927537564,0.133540425603602,0.135235534989849,0.136731870290678,0.138103703753495,0.13942853145545,0.140748315630984,0.141986473923048,0.143137907394318,0.144241804794087,0.145358617724497,0.146499718200388
