"","Step0","Step1","Step2","Step3","Step4","Step5","Step6","Step7","Step8","Step9","Step10","Step11","Step12","Step13","Step14","Step15","Step16","Step17","Step18","Step19","Step20","Step21","Step22","Step23","Step24","Step25","Step26","Step27","Step28","Step29","Step30","Step31","Step32","Step33","Step34","Step35","Step36","Step37","Step38","Step39","Step40","Step41","Step42","Step43","Step44","Step45","Step46","Step47","Step48","Step49","Step50","Step51","Step52","Step53","Step54","Step55","Step56","Step57","Step58","Step59","Step60","Step61","Step62","Step63","Step64","Step65","Step66","Step67","Step68","Step69","Step70","Step71","Step72","Step73","Step74","Step75","Step76","Step77","Step78","Step79","Step80","Step81","Step82","Step83","Step84","Step85","Step86","Step87","Step88","Step89","Step90","Step91","Step92","Step93","Step94","Step95","Step96","Step97","Step98","Step99"
"MEsalmon4",0.449373868539414,0.436738834840473,0.424034583566672,0.410555123385787,0.395858499691951,0.380589531723189,0.364692396263528,0.348918134368774,0.333123149176993,0.31712011732353,0.301123328702211,0.28562190856043,0.271201694873141,0.25816378091663,0.246288343247098,0.234794833076776,0.224352809474712,0.215506968371288,0.207261251165328,0.20011309270668,0.194027803539809,0.189241901867849,0.185851249358713,0.184000695385113,0.183305038708801,0.184062013090842,0.18641019550194,0.190469419144501,0.196752877519709,0.205134272858705,0.216147618970752,0.230633536516972,0.249880757171604,0.273138431125553,0.301387150433947,0.334697190467396,0.373017552002366,0.416498361295284,0.46562932196933,0.518300556137063,0.576155893886783,0.640758340174713,0.71156730783392,0.786896328472292,0.862961668108066,0.939522058020607,0.984094405764287,0.906729849114581,0.827254647611134,0.748926268382078,0.67292745434683,0.599700864702375,0.531760466390814,0.468670132452697,0.413476279791217,0.366361249844316,0.323907264076343,0.283598247151936,0.247520521591446,0.216741646008467,0.191405847172805,0.171135399145635,0.155270802290958,0.14341007510223,0.135303620958473,0.128988554635231,0.125372892313802,0.125920155497929,0.128697971448687,0.133580041878262,0.141368239417944,0.150877862690963,0.161749200338072,0.176639063439303,0.196126828974261,0.220479110018552,0.248112724084311,0.277639606379761,0.308875568859271,0.342118351271659,0.379070217418846,0.415249117359062,0.451462927968311,0.487638730861527,0.523890952185801,0.560136430819123,0.595672070563739,0.627866487241812,0.656060334054463,0.681654263516885,0.706019206886372,0.727146434595366,0.748209368212553,0.766893459036218,0.782931623293524,0.796406720972977,0.809310744422627,0.821142700957809,0.831557246181528,0.841255658267979
"MElightpink4",0.87177862583735,0.850469660544467,0.82816036250796,0.803272755509996,0.775006085733107,0.744265053158284,0.710608266120709,0.674383564738472,0.636446255124662,0.597499786411936,0.55827981555668,0.518955672348057,0.481094017494015,0.445548252012051,0.412009847621987,0.379557652104317,0.348220182535321,0.319345643457058,0.292279623295671,0.267609952746878,0.245281688940477,0.225775559551817,0.208553187771786,0.194050197458782,0.181528384403012,0.171189306830323,0.163147843622709,0.15670775287288,0.152231414095345,0.149363894914627,0.148360895845626,0.150394043222449,0.156257881390081,0.164987639197988,0.176622028674583,0.192349169334317,0.211880714743978,0.235361695059094,0.264158246875703,0.296797898266891,0.335085297844183,0.380781612279986,0.434128852436898,0.494666191857168,0.559265883559194,0.628581956377035,0.70147848316269,0.780674733060884,0.866655144146262,0.957350160507532,0.946674268524353,0.84969646469519,0.754158678729002,0.66165238298572,0.57617737250608,0.499275704187686,0.428100523106557,0.361002767781703,0.301462159630969,0.250716297904016,0.208908173536753,0.175184735071613,0.149302534422029,0.130196314127384,0.116806272872132,0.106789717879615,0.099972357927762,0.0973838049879141,0.0972325739656199,0.0996665009579761,0.105020522644499,0.112776750207317,0.122182552241013,0.135441198696742,0.153830073781098,0.177072011011814,0.204157991423085,0.233650908283284,0.266710152717829,0.302628780209261,0.343527414612913,0.385270751891975,0.429552996932721,0.474253201917835,0.519163646444305,0.563969302397344,0.608168735586178,0.648987248313482,0.685365080096899,0.7183756799898,0.750402073548875,0.778596479394534,0.806699874877574,0.831323834057882,0.852151763012341,0.8699333175302,0.886503839728035,0.900862848407708,0.913115409238717,0.923629180310225
"MEnavajowhite1",0.889610802299531,0.912794866149312,0.938116021982476,0.967382321592711,0.999080057331457,0.962247225284463,0.92120835271427,0.875761038019218,0.827315488237,0.776655639781417,0.724528295119493,0.671141832195381,0.618674920501771,0.56831498514134,0.520175858183899,0.473073243418692,0.427458358391891,0.385464736830578,0.346531872424113,0.310594069659204,0.27779333443325,0.2488504402897,0.223390078245113,0.201456422744528,0.182107034549969,0.165889298866423,0.152612308515856,0.141517235415806,0.1328683443481,0.126040428199624,0.121218933306392,0.119300137638372,0.120317470645888,0.123649433865878,0.129046256080135,0.137437204165394,0.148952780646783,0.163085068128801,0.180782253062398,0.201155037033773,0.225555611998148,0.255681558270972,0.291930289088856,0.334396326854967,0.381364965881792,0.433424166944915,0.490753688054157,0.556613150625448,0.630678934865636,0.711090008242504,0.799771163793043,0.892923731362978,0.987174315230034,0.917457862205993,0.825322406481561,0.739150958184751,0.656208754540507,0.574219117807977,0.497104216430831,0.427244878221493,0.366782378785115,0.315347389875453,0.272316844676377,0.237914436162348,0.21166098783701,0.190201629959261,0.173226241175864,0.16241376264626,0.154927664275181,0.150713773810998,0.150017206434777,0.151782651802659,0.154999513790307,0.161940671438588,0.172958443757195,0.187422983814486,0.203892223964983,0.220759504983169,0.238598576511704,0.257363040916617,0.278710902438908,0.299636380309901,0.321960234032649,0.344367332914546,0.3670794768707,0.390010188170683,0.412656491940504,0.433249952952973,0.451233158731292,0.46745878279294,0.48343443541904,0.497125187138636,0.511256735369988,0.523577209256836,0.533685525959389,0.541774006946208,0.549545384954905,0.55611917681577,0.561391551163729,0.565307457155069
"MEindianred4",0.0564352691724728,0.0545603274480869,0.0536718073081991,0.0544784161557266,0.0562858833730231,0.0591814345963817,0.0635401851253468,0.0708728939269853,0.080967486752735,0.093969999230228,0.110497260083638,0.132271621291058,0.158974397895118,0.189973999594442,0.227260857822682,0.272588740985084,0.327882432234407,0.391674593786363,0.46262754409459,0.541274404986094,0.62738524766319,0.71618504384118,0.808106206112742,0.900723464778426,0.992960708748544,0.924035750563434,0.850376964831683,0.78214762060091,0.719347788888961,0.664616858544447,0.615507326135152,0.575135487476774,0.539144119057092,0.509297854001932,0.483304314789488,0.465936577133691,0.458336519631258,0.45513393119261,0.456443052709712,0.46061382237068,0.470018439070779,0.486496602779263,0.504486808130138,0.529834524221663,0.560427772937401,0.596312833565146,0.633268409582307,0.682192673255993,0.736672919737027,0.789164601403662,0.84735998474607,0.903255303961304,0.95512446548544,0.990653432901787,0.931788712646216,0.873997125348677,0.815049402599111,0.756140058224591,0.702038081398678,0.656362759742466,0.618066828540137,0.581244961324884,0.548619502320555,0.521250236126964,0.507489017257527,0.504235532555375,0.506407922717426,0.520468933067972,0.539277240778792,0.566638675667314,0.603334684519641,0.656353393850136,0.721135124350541,0.793490522518746,0.876341392041432,0.961000817751368,0.953880723930251,0.87286666652129,0.793171721117063,0.715018387954737,0.641763695837974,0.572993410933158,0.503539383173266,0.438621239849978,0.380296926639578,0.327928501020644,0.282239456008621,0.242901144914839,0.209893114521156,0.182300066119764,0.159270073465349,0.140029251430616,0.123545891350979,0.109264269165747,0.0966179737523203,0.0858961511169666,0.0766745647416607,0.0686343191595032,0.0614066490324788,0.0547541867497361
"MEorangered4",0.0548906681765297,0.0540638650115,0.0538646789062294,0.0546932185331731,0.056086910214388,0.0580914036322156,0.0609601494012919,0.0653906578805165,0.0711693770796162,0.0782651835025321,0.0868807320579076,0.097707139825388,0.110482639669886,0.125077251471721,0.142332436501024,0.16293469272276,0.1876495189435,0.216391266044383,0.248779039380823,0.285178460373421,0.326086351333307,0.370420411994058,0.418661061236257,0.470619184303222,0.526093072798006,0.580849421444795,0.634108247410636,0.687644529799438,0.741660883391245,0.794136149122006,0.84557062948993,0.894343627275994,0.942516864771499,0.987961138258639,0.968711356113299,0.930923781414822,0.899941234150527,0.872553691575319,0.848050924827914,0.825752782218435,0.807047300828895,0.792570204081154,0.778524810447151,0.76875473674383,0.761942569077999,0.75944977431564,0.759395494708414,0.766368175646089,0.775698572875823,0.782835666383383,0.791841024052041,0.799186131599769,0.803815729859117,0.810341248067868,0.820185847413776,0.831061122400413,0.843657184257821,0.856966028791796,0.86857140816841,0.874378476876735,0.877200101624263,0.880157746042085,0.88246891370937,0.883738276716596,0.877820886399679,0.865592584451588,0.850105021807237,0.829013338141744,0.805993489400353,0.778827898291424,0.748341009340366,0.711153821197782,0.66996142585682,0.629015307541381,0.586207131879056,0.546183203552106,0.508455103527589,0.473862271681974,0.440375491508236,0.4080330775952,0.378523276406158,0.351697363284806,0.32440959497766,0.298478824649791,0.274670032799889,0.252910079486518,0.233559461253456,0.216118677701493,0.200902365434327,0.187649911763855,0.176444876593159,0.166649314723689,0.15793003657057,0.149749161287885,0.141957745878789,0.134973604437131,0.128796301876556,0.123105227016938,0.117618902338088,0.112149531243646
"MEplum1",0.0913584976915019,0.0896829763223101,0.0888571072261473,0.089556906254054,0.0911179312463128,0.0935777322330368,0.0972299024987563,0.103007823565296,0.110615985575513,0.120012999689914,0.131409325920797,0.145579006974665,0.162112596145225,0.18068094853869,0.202423068225214,0.227912853942915,0.257726740475027,0.291320887672756,0.32866285854767,0.370021295500459,0.41545910890707,0.462976421400528,0.513048962474628,0.565001780671044,0.618974595044653,0.670583414409565,0.71876213266653,0.765377548037652,0.810339038835665,0.852280413287196,0.89246250390742,0.928618183076165,0.963090719708503,0.994361719392894,0.977613550476373,0.955306237650741,0.939535005502621,0.926978001012959,0.91738106903409,0.909948902172652,0.906706866113506,0.908721847532794,0.911918549784449,0.919631733471408,0.929999766171193,0.943539666042983,0.957994979186112,0.979399195660603,0.996857745600322,0.976445055419413,0.955783507859771,0.938468847327429,0.924970369019832,0.910381002834145,0.894462807617561,0.879570442686211,0.863734856658206,0.847131660236731,0.833150803159844,0.825805633304091,0.823672818121578,0.821971908485402,0.823323277881351,0.827722489089558,0.841082603790264,0.861788083474018,0.887545443313755,0.923536044547108,0.963202524173618,0.990837905674864,0.939204373187287,0.878668073039548,0.814057308917776,0.74859409095411,0.679695074371086,0.613511125919847,0.551384634737654,0.495436408017692,0.442882599311557,0.393846316609741,0.349578396658392,0.3100257304977,0.272638642931389,0.23885000173175,0.20898788822049,0.182703309890137,0.160075064828951,0.140799822040666,0.124639536116921,0.110973643543609,0.0995808459385459,0.0900795028794921,0.0817880560581839,0.0744879558886375,0.0679470438566519,0.0623131241261372,0.0573957786804234,0.0530216237373387,0.0489749693149063,0.0451438636007525
"MEbrown",0.338923252896566,0.335061659874732,0.330937969280705,0.326504921651374,0.321598289607019,0.31642169277618,0.3109012962411,0.30503682496485,0.298882743221883,0.292527966697809,0.286061719688932,0.27954053654012,0.273318801428972,0.267588370423057,0.26268304589044,0.258101622122106,0.253913524509869,0.250418315036356,0.24767388372167,0.245738262403414,0.244548247734321,0.244013019439877,0.244193493045636,0.245277217890866,0.247194127659154,0.250244218617781,0.25415046620498,0.258815260415452,0.264510659040523,0.271312947556296,0.279771683369094,0.290535963665496,0.303891787293949,0.319470835987888,0.337034494404082,0.356917621142653,0.379255637647493,0.403719240057888,0.43050985464933,0.458839427970947,0.489221309518265,0.52208848522128,0.557387015563195,0.594805252734768,0.633259987747452,0.672707344037397,0.712959269904184,0.754761028530352,0.798515607032941,0.844859375121165,0.894818546350979,0.947620867171459,0.99791312776409,0.942875293528284,0.88824129691095,0.835138575014023,0.782837075379803,0.731298843084252,0.68078207543931,0.631218585431332,0.583792238511971,0.539974823284058,0.500310410706756,0.465287930116771,0.434295742039287,0.406133161980465,0.380585256859828,0.357842133311733,0.337330681507191,0.318584826098219,0.301859744170602,0.286752698689249,0.273173241133266,0.261679251150251,0.251997606312485,0.244151853423905,0.237676812317924,0.232270145964325,0.227330026526291,0.222742929117177,0.219439856620392,0.216493092759661,0.214143123063195,0.211971785337473,0.209979302863229,0.208141382314821,0.206735042368287,0.205376245745519,0.203970805551584,0.202561980753204,0.201730776553312,0.201235234832648,0.201117084750447,0.200913803064603,0.200458858261649,0.199869497941294,0.199330181109482,0.198725514497308,0.197931810701803,0.196988994049057
"MEsalmon",0.195201772260953,0.19325604192411,0.191568767384001,0.190181056927301,0.188756335620185,0.187422571391561,0.18623935340175,0.185533086535029,0.185096843749097,0.184867244198861,0.184907210140517,0.185396390194347,0.186345529359554,0.187847601462815,0.190193733728372,0.193121929111543,0.196882144059848,0.201524443254855,0.206859814307578,0.213154918738335,0.220424558677765,0.22853966881803,0.23761271892953,0.24796307270151,0.259593406742,0.272252706237681,0.285835907171343,0.30042213717435,0.316445432329121,0.333811835781319,0.35302365417482,0.374523894974339,0.399154151780652,0.426012958888625,0.455270009841804,0.486565113521101,0.51945528803414,0.554366640363696,0.591480410524212,0.629826621003791,0.669859070191685,0.711512477904241,0.755128415259988,0.799493369709904,0.843131600532089,0.885986533517529,0.927829232178681,0.968689118316342,0.989715931956219,0.946403044402964,0.90189096584047,0.85576337349493,0.808903563152547,0.763018666946587,0.719175772401774,0.677602082956416,0.637527223523354,0.598508939130442,0.560827348593175,0.524053748272543,0.489377272455765,0.457952923169225,0.430465962235526,0.407010678985865,0.386403201431845,0.367621750810191,0.3508388628316,0.335991168151882,0.32292301561734,0.310914155541362,0.300326823123095,0.2904260130479,0.281309487434966,0.273989756836149,0.268131353118841,0.26404025508095,0.261273908437433,0.259631785893131,0.258408750487445,0.257325580675624,0.257564921655769,0.257901355844813,0.258161663133952,0.258363971328218,0.258616285734183,0.258829032212136,0.259453331934326,0.259862466006198,0.260035267586043,0.260028584951596,0.260562304182099,0.261259380828558,0.262220491661757,0.26290530442612,0.263183940949508,0.263267884581279,0.263369931237679,0.263357143361211,0.263061512935188,0.262556758185571
"MEgreen",0.231014414604788,0.228541229632095,0.226534245138347,0.225446821437436,0.224760583173885,0.224499828601121,0.224768817966295,0.22606058827299,0.228039954820133,0.230582530601263,0.233730775216003,0.237685396256736,0.242195420812843,0.247112846602602,0.253065327363973,0.259927227009649,0.267877406107793,0.27666613084938,0.28638039254442,0.297077800768713,0.308763072342051,0.320837232494322,0.333543656702474,0.346914355231641,0.361088120237942,0.375299821041109,0.389269097476349,0.403369096803172,0.41784025219564,0.432291303855317,0.447547952230901,0.463681860952311,0.481123326420177,0.499434224965446,0.518438395489866,0.537314203713767,0.555830594145137,0.57463071449133,0.593652424903356,0.61285664409564,0.632103650476883,0.650950312331573,0.670378988725347,0.689294516971653,0.707729248706431,0.725586977701855,0.743585782253734,0.760140250528797,0.77687078401317,0.796163462231432,0.817332757289218,0.841363229518276,0.867869582297611,0.894867996522364,0.92204892745292,0.949784576286502,0.977630448563957,0.994742412732685,0.96562264482102,0.933278777141709,0.898913013394449,0.864980592455747,0.831495165998166,0.798778872923338,0.764444993769802,0.729130924075504,0.693286162665623,0.655068663298364,0.6170891058827,0.578406223128263,0.539546103595415,0.499971550766386,0.461305424192491,0.424334974585687,0.388287138900695,0.354947762233872,0.324595726007327,0.297653379493583,0.272622438231029,0.249407527515903,0.228818921950378,0.210390987567018,0.193453456192482,0.178059788988919,0.164163891263822,0.15155186665018,0.14041720771837,0.130629649463828,0.122116239256049,0.114630370986198,0.108241899385149,0.102875129163197,0.0981366300886768,0.0938556952095056,0.0898834269016456,0.0863332659300785,0.0831522374470584,0.0802291468527367,0.0774274564975202,0.0746921403894041
"MEyellow",0.133181908561651,0.131955317918622,0.131246705403736,0.131317213224373,0.13172196996969,0.132527361197058,0.133901620461311,0.136374846073964,0.139601888670973,0.143456278296925,0.148006302419363,0.153593654454032,0.159959563640945,0.167008383578718,0.17522161607424,0.184634864167398,0.195606751948976,0.20795492964519,0.221457223858898,0.236441425397618,0.252992253493229,0.27066039605931,0.289743879062538,0.310436898766532,0.332871712997275,0.35590989107458,0.379278968072678,0.403436864283724,0.428774344309886,0.454839757964075,0.482220535544005,0.510665916070809,0.54126562199207,0.572791359684392,0.605616377704769,0.638265494801592,0.670021846223513,0.702138745471558,0.73466723163628,0.767224996691859,0.799585837956636,0.831097702442276,0.863123240738842,0.893859523797817,0.92284550977955,0.949949689614898,0.975813899701851,0.998698112320989,0.978775149890285,0.954225771453134,0.929376329969213,0.902431966553473,0.873800974347821,0.845893621960475,0.81959040968598,0.794215565131332,0.769730826926168,0.745882924376467,0.721899506590769,0.69626825855008,0.67027523588775,0.645980750431269,0.62374196686786,0.603420525195006,0.582653612035959,0.561344658037541,0.540279895878897,0.51814210672383,0.496647689595385,0.474545331011297,0.452388576704563,0.429028303886661,0.405600970935674,0.383603851567142,0.362128498568481,0.342657108329159,0.325029488036148,0.309558937883647,0.294965350099524,0.280974702170171,0.268718826419561,0.257328869691671,0.245945364176456,0.235101987253659,0.224992966853652,0.21548827125959,0.206949128998794,0.199062001749664,0.19186965641042,0.18531845226858,0.179750165485717,0.174937442219089,0.170608976491449,0.166504307165874,0.162488408236034,0.15878671764697,0.155401042559832,0.152206083951108,0.149024102679362,0.145824828910607
